Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1953-10-01,-3.81,-0.33,,0.19666666666666666,-1.1,0.0,-0.63,-0.53,0.72,-0.8,,,-0.44,0.05,,0.02,-0.03,-0.18666666666666665,-0.14,-0.23999999999999996,,-4.25,,,,0.77,0.06,-0.28,0.05,,-1.03,-1.02,0.24,0.21,0.11,-4.54,-0.28,-0.28,-0.04,-0.4,0.41,,-1.78,,-0.05,0.05,-0.16,-0.32666666666666666,,0.67,0.3,-0.02,
1954-01-01,0.58,0.22,,-1.0633333333333332,-1.22,0.0,-1.24,-0.73,-0.26,-3.53,,,-0.74,0.93,,-0.28,0.07,-0.2333333333333333,-2.52,0.2233333333333333,,-0.16,,,,0.86,-0.14,-0.05,0.04,,-0.86,-3.8,0.13,0.27,0.94,0.84,-0.97,-0.05,-0.08,-0.39,-0.28,,0.66,,0.0,0.04,0.22,0.49333333333333335,,1.01,0.23,-0.65,
1954-04-01,-0.98,-0.02,,-0.84,1.53,0.01,-0.47,2.12,-0.59,-3.37,,,1.04,-0.12,,-0.04,0.04,0.7366666666666667,-3.25,-0.24333333333333332,,0.07,,,,-1.45,-0.01,-0.14,0.02,,1.36,-2.33,0.67,-1.04,-0.34,-0.39,-0.27,-0.14,0.13,0.27,-0.23,,2.96,,0.07,0.02,1.32,0.47,,0.12,0.17,-0.59,
1954-07-01,0.61,-0.09,,-0.19666666666666668,0.08,0.05,1.04,-0.58,0.1,-2.8,,,2.41,1.18,,0.17,0.24,0.5,-1.96,-0.4566666666666667,,3.02,,,,0.94,0.49,0.05,0.04,,-0.43,-2.52,0.36,-0.28,1.29,0.51,1.09,0.05,0.18,0.32,-0.04,,3.18,,0.16,-0.01,1.32,0.6766666666666667,,0.84,0.02,0.17,
1954-10-01,1.42,0.5,,0.009999999999999962,2.08,0.06,0.01,0.71,-0.78,-0.57,,,1.48,0.89,,0.55,0.31,1.51,-0.42,-0.15333333333333335,,2.9,,,,-0.22,-0.4,0.02,0.06,,1.3,-1.69,0.48,1.11,1.74,2.2,0.04,0.02,0.06,0.15,0.04,,5.09,,0.18,0.0,1.44,0.35333333333333333,,0.16,-0.03,0.24,
1955-01-01,3.88,0.28,,0.07666666666666665,3.25,0.1,0.27,0.57,0.05,-0.95,,,2.54,0.34,,0.71,0.18,1.2233333333333334,0.34,0.036666666666666646,,6.42,,,,-0.95,-0.55,-0.08,0.05,,2.53,0.03,-0.39,-0.98,1.06,3.83,0.78,-0.08,-0.11,0.03,0.25,,5.55,,0.11,-0.05,1.76,0.49666666666666665,,1.3,0.45,0.87,
1955-04-01,1.42,0.61,,-0.3766666666666667,2.05,0.05,1.87,-0.43,-0.13,-1.07,,,2.66,0.79,,0.14,0.27,1.0833333333333333,-0.66,0.15333333333333335,,4.08,,,,-0.94,0.37,0.25,0.13,,1.61,-1.64,-1.37,0.57,1.84,1.55,2.33,0.25,0.13,0.51,0.17,,4.63,,0.16,0.07,0.33,0.0,,0.4,0.33,0.73,
1955-07-01,-0.39,-0.17,,0.59,1.26,0.02,1.44,1.04,0.05,0.82,,,1.46,0.41,,0.46,0.1,0.8766666666666666,0.79,-0.3266666666666667,,1.06,,,,-0.33,0.38,0.4,0.15,,0.63,0.62,0.7,0.2,0.63,-0.45,2.0,0.4,0.02,0.2,0.28,,2.96,,0.15,0.12,-0.55,0.3433333333333333,,-0.03,0.42,0.47,
1955-10-01,1.33,0.44,,-0.42333333333333334,-1.01,0.01,0.74,0.05,0.13,-1.82,,,0.21,0.75,,-0.06,0.3,-0.0366666666666667,-1.63,-0.11666666666666665,,1.55,,,,-0.61,0.54,0.17,0.21,,-1.2,-1.39,-0.56,-0.43,1.97,1.21,1.22,0.17,0.14,0.38,0.49,,3.07,,0.11,0.2,-1.01,0.8733333333333334,,0.19,0.27,-0.35,
1956-01-01,-0.9,-0.01,,-0.16666666666666666,-1.71,-0.06,-1.16,0.8,-0.52,-0.21,,,-1.22,0.75,,0.11,0.09,-0.14333333333333334,0.13,0.21333333333333335,,-2.11,,,,-0.73,-0.28,-0.18,0.21,,-1.81,-0.1,0.07,-0.11,1.05,-0.37,-0.61,-0.18,-0.04,-0.1,0.22,,0.37,,0.03,0.27,-0.6,0.29,,0.34,0.34,-0.61,
