Date,Average of GDP and GDI,Disposable personal income,Gross domestic income (GDI),Gross national income,Net domestic income
1994-07-01,3.1,2.4,3.8,3.7,3.8
1994-10-01,4.8,5.9,4.9,4.8,5.0
1995-01-01,1.5,3.4,1.7,2.2,1.3
1995-04-01,1.8,1.1,2.4,2.5,2.1
1995-07-01,4.2,3.7,5.0,4.2,5.2
1995-10-01,2.7,2.3,2.6,3.2,2.4
1996-01-01,3.8,3.8,4.5,4.9,4.6
1996-04-01,6.4,3.7,6.0,5.5,6.2
1996-07-01,3.7,3.2,3.7,3.5,3.6
1996-10-01,4.6,2.0,5.0,5.3,5.1
1997-01-01,3.5,3.7,4.5,4.0,4.4
1997-04-01,6.1,3.5,5.3,5.6,5.3
1997-07-01,5.8,4.8,6.6,6.2,6.8
1997-10-01,4.5,6.0,5.5,5.2,5.5
1998-01-01,4.0,8.8,4.0,4.4,3.7
1998-04-01,4.9,5.7,6.0,5.9,6.0
1998-07-01,5.4,4.0,5.7,5.0,5.6
1998-10-01,5.2,3.0,3.9,4.0,3.5
1999-01-01,4.8,4.3,5.7,6.1,5.6
1999-04-01,2.7,0.3,1.9,2.1,1.2
1999-07-01,4.7,2.9,4.0,3.9,3.6
1999-10-01,6.4,5.3,6.0,6.4,6.0
2000-01-01,4.8,7.2,8.2,7.9,8.6
2000-04-01,5.1,4.8,2.7,2.8,2.0
2000-07-01,2.1,5.4,3.7,3.5,3.2
2000-10-01,1.2,2.7,0.1,1.0,-1.0
2001-01-01,1.4,3.2,4.2,3.6,3.8
2001-04-01,1.0,-0.3,-0.4,-0.1,-1.2
2001-07-01,-1.8,9.5,-2.0,-2.9,-2.6
2001-10-01,-1.1,-6.5,-3.2,-0.9,-3.6
2002-01-01,4.1,9.9,4.9,3.4,3.3
2002-04-01,3.2,3.3,3.8,3.1,4.8
2002-07-01,1.4,0.5,1.2,1.6,1.2
2002-10-01,1.7,2.5,3.0,3.5,3.0
2003-01-01,0.9,0.1,-0.2,-0.8,-1.1
2003-04-01,3.4,4.6,3.3,3.7,3.1
2003-07-01,5.6,7.0,4.4,4.3,4.5
2003-10-01,4.1,1.1,3.4,4.3,3.4
2004-01-01,2.8,1.8,3.4,3.9,3.4
2004-04-01,3.9,4.2,4.6,3.7,4.9
2004-07-01,4.4,2.6,5.0,5.3,5.3
2004-10-01,3.2,4.7,2.2,1.3,1.9
2005-01-01,4.0,-5.3,3.5,4.5,3.4
2005-04-01,2.9,3.7,3.9,3.4,3.8
2005-07-01,3.1,1.5,3.0,3.2,2.8
2005-10-01,4.2,3.6,6.2,5.2,6.5
2006-01-01,5.9,7.6,6.4,6.4,6.8
2006-04-01,1.3,1.5,1.6,1.4,1.2
2006-07-01,1.1,0.6,1.6,1.2,1.1
2006-10-01,2.2,5.0,0.9,1.1,0.3
2007-01-01,0.6,3.1,0.0,-0.1,-0.7
2007-04-01,2.2,2.0,1.9,2.4,1.6
2007-07-01,-0.6,0.7,-3.4,-1.9,-4.6
2007-10-01,1.3,0.5,0.1,1.3,-0.4
2008-01-01,-1.0,1.7,-0.2,-0.5,-0.9
2008-04-01,0.8,8.5,-0.7,-0.6,-1.4
2008-07-01,-1.3,-7.5,-0.5,0.0,-1.1
2008-10-01,-8.6,4.6,-8.8,-10.7,-10.8
2009-01-01,-5.4,-0.3,-6.4,-5.7,-7.9
2009-04-01,0.3,2.7,1.4,1.4,1.5
2009-07-01,1.5,-4.8,1.7,3.3,1.8
2009-10-01,5.4,0.6,6.4,6.0,7.4
2010-01-01,2.1,2.4,2.2,3.0,2.4
2010-04-01,3.9,6.8,3.9,3.9,4.4
2010-07-01,4.6,2.2,6.2,5.8,7.1
2010-10-01,1.6,1.5,1.0,1.4,0.9
2011-01-01,-0.3,4.1,0.4,0.6,0.1
2011-04-01,2.8,-0.8,2.9,2.8,3.1
2011-07-01,0.4,2.1,0.9,1.4,0.6
2011-10-01,4.2,0.9,3.7,4.0,4.0
2012-01-01,5.8,6.3,8.2,7.7,9.3
2012-04-01,1.4,2.7,0.9,0.5,0.6
2012-07-01,-1.4,-3.1,-3.4,-3.3,-4.5
2012-10-01,3.1,11.6,5.9,5.7,6.4
2013-01-01,2.0,-14.9,0.0,-0.3,-0.6
2013-04-01,1.8,3.1,2.4,2.7,2.3
2013-07-01,1.9,1.4,0.4,0.6,-0.1
2013-10-01,2.9,0.6,2.3,2.1,2.2
2014-01-01,0.6,4.7,2.7,2.6,2.6
2014-04-01,5.5,5.1,5.7,5.3,6.2
2014-07-01,4.8,3.8,4.7,5.1,5.0
2014-10-01,2.8,5.8,3.5,2.8,3.6
2015-01-01,3.2,5.6,2.7,2.7,2.7
2015-04-01,1.9,1.2,1.4,1.1,1.1
2015-07-01,1.1,2.3,0.7,0.7,0.3
2015-10-01,0.8,2.3,0.8,1.2,0.4
2016-01-01,2.4,3.3,2.4,2.0,2.3
2016-04-01,-0.3,-0.8,-1.9,-1.8,-2.8
2016-07-01,2.8,2.3,2.7,2.7,2.6
2016-10-01,2.1,2.6,2.0,3.1,1.8
2017-01-01,2.6,4.2,3.3,3.2,3.4
2017-04-01,2.4,4.4,2.5,2.3,2.4
2017-07-01,2.6,2.8,2.0,2.8,1.8
2017-10-01,4.5,2.5,4.3,5.0,4.6
2018-01-01,3.1,4.3,2.9,2.6,2.9
2018-04-01,2.3,3.6,2.4,2.1,2.2
2018-07-01,3.3,4.3,4.0,3.2,4.1
2018-10-01,1.1,3.9,1.7,1.7,1.3
2019-01-01,3.3,5.0,4.1,4.4,4.2
2019-04-01,2.1,-0.3,0.9,0.9,0.4
