Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1980-10-01,1.6949999999999998,3.41,0.515,2.045,0.57,1.915,0.5700000000000001,-1.85,-0.55,-0.7550000000000001,0.21000000000000008,20.45,2.79,2.52,1.6475,0.24,0.455,0.13,5.55,0.19,0.03
1981-01-01,-1.885,0.6900000000000001,-0.39,-1.875,0.20500000000000002,1.71,0.35,2.82,4.92,1.945,-0.5700000000000001,15.2,3.0,5.364999999999999,3.1875,3.99,1.2633333333333334,0.54,5.63,1.045,3.085
1981-04-01,1.83,4.025,-0.42000000000000004,1.305,0.175,0.6699999999999999,0.9299999999999999,1.51,0.67,-2.705,1.415,0.21,0.38,-6.130000000000001,-3.6599999999999997,0.35,1.8949999999999998,0.31,-10.03,-0.145,-0.62
1981-07-01,-0.565,-2.375,0.14,-2.7399999999999998,0.23,-0.37000000000000005,-0.885,-8.36,0.11,0.5549999999999999,-0.725,-3.13,-1.37,-2.545,-0.5725,0.56,-0.1466666666666667,0.05,-4.76,-0.275,0.30500000000000005
1981-10-01,-1.1600000000000001,2.495,-0.065,0.72,0.275,1.17,0.2275,1.86,-0.01,2.23,0.07499999999999996,11.26,0.69,2.73,1.72,1.12,0.11999999999999998,0.275,-0.65,-0.46499999999999997,0.755
1982-01-01,-0.9050000000000001,-2.9400000000000004,-1.1099999999999999,-1.51,0.010000000000000009,-0.63,-1.4525000000000001,-14.89,-1.38,-3.45,0.030000000000000002,-12.27,1.32,-5.375,-1.55,-1.92,-0.7616666666666667,1.69,-3.69,0.06,-0.1299999999999999
1982-04-01,2.71,0.175,-0.15500000000000003,-0.935,0.8049999999999999,-0.68,-1.3275000000000001,3.63,-1.22,3.5650000000000004,1.015,-9.22,2.83,-9.504999999999999,-3.77,0.44,0.365,0.20500000000000002,-14.42,-0.47,0.37500000000000006
1982-07-01,0.125,-3.625,0.034999999999999996,-1.835,0.37,1.3800000000000001,-0.08500000000000002,-15.93,-0.66,-2.015,0.63,20.05,-0.17,7.390000000000001,4.47,1.95,-1.1133333333333335,0.085,16.77,-0.6699999999999999,-0.51
1982-10-01,-5.23,-5.055,-0.63,0.065,0.565,-1.1400000000000001,-0.8325,-14.57,-2.54,-1.41,-0.49,-16.86,2.07,-4.075,-1.775,-0.05,-1.4333333333333333,0.335,-5.37,-0.085,0.44
1983-01-01,4.255,4.81,0.51,2.905,2.09,3.085,1.9225,6.09,0.52,1.48,1.1,10.06,-0.58,-7.015,-3.8875,1.12,0.6583333333333333,-1.295,-16.22,0.29,-1.33
1983-04-01,4.34,1.5350000000000001,0.14,-0.71,1.665,-0.09000000000000001,0.78,-2.09,3.29,-0.6449999999999999,1.0,30.55,3.94,10.805,4.5725,0.93,-0.2866666666666666,0.4,15.65,0.9750000000000001,0.835
1983-07-01,1.045,3.68,-0.065,-3.105,1.5750000000000002,2.0749999999999997,1.8225,5.79,0.36,1.645,-0.9099999999999999,31.62,3.37,9.805,4.1125,0.48,1.9533333333333334,-0.09999999999999999,12.65,1.225,1.5350000000000001
1983-10-01,6.08,7.5600000000000005,-0.01999999999999999,2.41,1.605,3.645,1.7225,8.78,-0.48,-1.5550000000000002,0.14,19.91,1.2,-1.26,-0.5325000000000002,3.48,1.1733333333333333,0.215,-8.09,1.12,-1.2
1984-01-01,2.515,2.83,0.135,-1.075,1.46,2.2350000000000003,1.3074999999999999,0.58,8.03,1.105,-1.175,27.22,9.03,3.16,1.39,2.49,1.4233333333333331,0.245,1.31,1.21,8.344999999999999
1984-04-01,0.16999999999999998,5.695,0.020000000000000004,0.31999999999999995,2.03,1.52,0.6775,6.25,4.07,-0.9850000000000001,0.51,14.35,3.49,3.2649999999999997,1.72,0.64,1.3433333333333335,-0.245,1.07,1.0150000000000001,2.42
1984-07-01,2.35,3.97,0.08,-0.375,2.0100000000000002,0.8049999999999999,0.13499999999999995,11.07,-1.94,1.415,-0.465,7.26,3.51,-0.33499999999999996,0.1,-0.01,1.1366666666666667,0.29000000000000004,-2.0,0.009999999999999995,0.75
1984-10-01,0.245,4.33,0.13,1.425,0.88,0.12,0.5775,8.12,0.27,1.39,0.42000000000000004,9.07,3.18,2.075,0.52,1.61,0.875,0.20500000000000002,1.88,0.315,0.49
1985-01-01,0.33999999999999997,0.875,-0.245,1.21,0.1,1.0650000000000002,-0.20999999999999996,-0.7,1.76,-2.675,0.635,-10.04,1.51,-7.595,-3.055,-1.07,0.9900000000000001,-0.25,-11.65,0.305,0.395
1985-04-01,2.62,2.29,0.065,1.225,0.23000000000000004,0.1,0.515,-2.17,1.32,-1.665,-0.6,20.56,0.59,5.215,2.145,-0.31499999999999995,0.63,-0.17,4.57,0.52,0.7050000000000001
1985-07-01,2.495,-2.245,0.019999999999999997,-1.45,0.18,0.2,-0.3175,-4.17,-1.54,-0.345,-1.12,-1.13,-2.68,-1.38,-0.26749999999999996,-0.28,-0.7599999999999999,0.54,-0.5599999999999999,-0.295,-1.315
1985-10-01,-0.21500000000000008,4.654999999999999,0.8999999999999999,1.9649999999999999,1.0,2.08,0.23500000000000001,8.95,3.53,0.595,0.53,16.26,0.34,5.305000000000001,3.4575,0.8700000000000001,0.61,0.895,4.654999999999999,0.9950000000000001,-1.345
1986-01-01,-1.42,1.5150000000000001,-0.16,-0.3,1.395,0.755,0.8525,0.47,12.66,0.95,-0.19500000000000006,-2.72,2.32,-1.675,-1.3099999999999998,-0.19499999999999998,-0.37333333333333335,6.055,-2.8899999999999997,-0.655,2.7249999999999996
1986-04-01,3.13,4.755,0.39,1.2000000000000002,1.275,1.81,0.94,6.64,-2.27,-1.0299999999999998,-0.6,21.3,-3.16,3.6,1.7624999999999997,-0.135,1.3116666666666668,0.395,3.4,-0.51,-2.34
1986-07-01,0.28,0.32000000000000006,0.09,-0.355,1.23,0.8999999999999999,-0.45499999999999996,5.52,3.95,1.475,-0.415,7.22,4.33,3.36,2.5875,2.43,-0.18166666666666667,-0.115,1.865,1.96,2.6399999999999997
1986-10-01,-0.9099999999999999,2.62,0.22,0.44,1.23,1.8450000000000002,1.5475,15.55,0.25,0.5249999999999999,-0.25,2.18,0.96,1.81,0.27999999999999997,0.705,1.3166666666666667,0.16999999999999998,-0.7899999999999999,0.2,0.25
1987-01-01,0.7100000000000001,-0.515,0.505,-0.215,1.0550000000000002,-0.71,-1.15,-1.92,2.28,-0.8900000000000001,0.52,-5.17,2.85,-4.775,-1.5875000000000001,-1.68,0.4633333333333333,0.23500000000000001,-1.825,0.335,0.85
1987-04-01,1.135,5.654999999999999,0.21500000000000002,-0.4,2.135,1.9649999999999999,0.625,14.69,2.84,0.7649999999999999,-0.605,6.89,3.5,0.645,0.6799999999999999,0.025000000000000022,1.5483333333333336,0.43999999999999995,0.325,1.5499999999999998,1.46
1987-07-01,-1.04,7.1450000000000005,0.355,2.1,2.185,-0.41,-0.22,15.69,2.84,3.1399999999999997,-0.08999999999999998,8.04,-0.01,3.8099999999999996,1.92,1.0150000000000001,0.7066666666666666,0.04000000000000001,3.09,0.57,0.495
1987-10-01,3.3499999999999996,5.275,0.245,0.375,1.68,0.7849999999999999,1.07,11.79,3.99,-2.77,0.7050000000000001,6.06,3.46,2.425,0.5349999999999999,1.47,1.025,0.41500000000000004,-0.555,1.1600000000000001,1.1949999999999998
1988-01-01,-0.3650000000000001,4.1450000000000005,0.385,0.255,1.1749999999999998,1.24,0.775,20.66,3.47,2.31,-0.675,-0.99,-0.88,2.015,0.8500000000000001,0.965,1.0633333333333332,0.27,-0.055,0.855,0.48500000000000004
1988-04-01,-0.475,4.215,0.18,2.415,0.8,0.16999999999999993,0.03750000000000003,8.93,2.76,-1.1,-0.13,-3.17,-1.36,-0.515,-0.21,-0.825,0.5283333333333333,0.26,0.395,0.47,-0.08499999999999996
1988-07-01,0.19,2.415,0.045,-1.77,0.935,1.695,0.4825,4.81,3.31,0.22999999999999998,0.21,8.38,1.4,1.905,1.3225,1.935,1.1933333333333334,0.18,0.03,0.03,1.7049999999999998
1988-10-01,1.66,5.125,0.425,1.2750000000000001,0.875,1.88,1.3825,11.62,1.16,0.06,-0.12000000000000001,11.3,1.46,2.5149999999999997,0.8125,-0.035,1.0433333333333332,0.675,1.09,-0.135,0.5349999999999999
1989-01-01,1.7149999999999999,0.125,0.015,0.13000000000000003,-0.6949999999999998,1.165,0.605,6.61,5.88,0.6549999999999999,0.039999999999999994,1.0,0.87,0.8250000000000001,0.38750000000000007,-0.33,0.041666666666666664,1.285,1.4,0.9450000000000001,0.9800000000000001
1989-04-01,-2.9450000000000003,6.99,-0.045000000000000005,1.785,1.685,2.62,0.91,17.03,1.67,0.37,0.31,1.37,0.54,1.77,1.2850000000000001,2.545,1.3099999999999998,0.7,-1.2999999999999998,0.075,0.05499999999999999
1989-07-01,-2.1149999999999998,2.8499999999999996,-0.009999999999999995,1.7399999999999998,0.925,-0.98,-0.515,2.5,1.65,0.06499999999999995,-0.605,-2.05,1.51,0.085,0.06249999999999999,-0.085,0.1466666666666667,0.735,0.265,0.305,1.225
1989-10-01,0.9400000000000001,1.025,0.275,-2.25,1.25,0.76,0.17250000000000004,2.93,3.26,0.6000000000000001,-0.025,6.92,0.52,0.07999999999999996,0.2475,-0.31999999999999995,1.17,0.115,0.21500000000000002,0.255,1.3
1990-01-01,0.765,6.045000000000001,0.325,2.035,0.86,0.87,0.6325000000000001,14.91,3.63,1.3199999999999998,0.0,10.22,3.08,5.21,2.4125,0.59,0.47833333333333333,-0.18000000000000002,3.66,1.9449999999999998,1.34
1990-04-01,1.8599999999999999,1.35,0.29000000000000004,0.21499999999999997,-0.195,1.0699999999999998,-0.1675,3.01,2.06,-0.715,-0.08499999999999999,-1.23,0.56,-2.95,-0.7750000000000001,0.4,0.5483333333333333,0.22999999999999998,-2.6350000000000002,0.615,0.21
1990-07-01,-1.09,1.0899999999999999,0.385,0.19499999999999998,0.435,-0.5549999999999999,0.27999999999999997,2.86,0.2,-0.40499999999999997,0.365,-2.34,0.74,0.0,-0.5574999999999999,0.395,0.5916666666666667,0.51,-0.925,-0.105,-0.79
1990-10-01,-1.6800000000000002,0.13,0.2,-0.63,0.33999999999999997,-0.69,-0.0925,0.02,3.55,-0.9400000000000001,0.05000000000000002,-9.32,-0.98,-1.5999999999999999,-1.0550000000000002,-0.01,0.22166666666666668,0.715,-2.205,-0.7000000000000001,0.905
