Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Private fixed investment in equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
1949-01-01,65.49,2.979,16.59,0.211,,22.776,8.901,9.403,21.915,20.707,11.439,13.393,16.676,0.063,6.534,,0.429,15.995,15.239,5.655,3.291,20.983,3.875,16.602,,1.756,3.276,116.67,2.655,15.703,29.65,29.377,11.442,7.025
1950-01-01,65.859,1.899,21.002,0.234,,25.568,11.474,11.295,29.317,22.286,12.021,13.677,19.264,0.07,10.11,,0.47,22.912,17.63,6.465,3.632,22.932,4.105,17.627,,1.869,3.624,84.221,3.344,16.588,27.217,33.399,12.666,8.342
1951-01-01,65.359,1.862,15.928,0.261,,27.469,10.093,13.519,21.058,26.687,14.474,15.101,21.629,0.077,10.882,,0.533,29.869,21.431,7.115,3.738,24.799,3.688,17.734,,2.026,3.722,110.439,3.093,14.187,53.229,35.027,12.166,8.71
1952-01-01,61.129,4.359,12.548,0.34,,31.019,9.46,15.891,29.644,30.463,14.015,14.458,22.479,0.088,8.643,,0.543,31.826,21.575,7.699,3.631,25.618,3.877,17.853,,2.26,3.617,97.87,3.076,15.187,57.117,31.014,10.044,6.523
1953-01-01,56.56,4.102,20.134,0.392,,27.752,9.319,16.819,27.422,32.149,13.553,16.236,24.756,0.097,12.528,,0.475,40.212,19.864,7.819,3.961,27.981,4.079,17.559,,2.843,3.943,87.956,3.236,17.962,49.841,32.506,11.944,6.478
1954-01-01,49.4,4.593,19.183,0.343,,22.983,8.23,17.521,39.658,34.175,15.099,16.126,25.52,0.087,5.634,,0.497,43.941,17.823,5.701,3.74,27.112,3.991,16.385,,3.014,3.729,50.423,3.332,17.214,25.944,28.442,10.468,6.133
1955-01-01,56.037,3.27,24.905,0.381,,30.329,9.754,17.294,34.747,30.84,17.429,18.638,25.326,0.1,13.428,,0.604,34.777,23.423,7.782,4.251,30.6,4.653,19.389,,3.134,4.238,57.134,3.794,19.635,38.586,33.347,13.319,8.09
1956-01-01,46.69,7.137,17.483,0.464,,36.063,10.867,19.423,31.352,31.935,18.559,20.027,27.963,0.116,14.509,,0.658,43.398,24.253,8.386,4.363,35.19,4.753,20.026,,3.333,4.356,72.665,4.198,22.131,55.685,36.352,11.967,7.897
1957-01-01,45.26,9.234,19.344,0.529,,28.216,10.861,20.609,39.478,36.387,17.249,19.749,28.314,0.132,12.554,,0.636,40.881,23.03,8.571,4.478,43.2,4.817,18.91,,3.461,4.469,91.852,4.21,22.894,68.1,34.015,12.79,7.013
1958-01-01,57.098,6.602,14.155,0.455,,29.071,8.686,17.205,39.262,33.791,17.338,17.206,23.597,0.118,8.361,,0.556,25.646,15.214,7.301,3.826,41.791,5.48,19.08,,2.871,3.833,38.948,4.472,20.088,63.939,29.993,9.328,5.913
1959-01-01,59.205,14.648,19.858,0.539,0.0,33.48,9.234,17.701,33.798,30.306,17.883,17.923,23.953,0.129,14.479,,0.628,27.66,17.928,7.242,4.281,40.602,6.635,20.609,,3.793,4.291,43.803,5.142,20.396,58.153,31.833,12.361,7.264
1960-01-01,47.011,13.195,20.668,0.692,0.0,26.657,10.029,19.324,32.107,28.686,18.391,19.415,25.828,0.154,19.505,,0.758,31.381,16.215,7.285,4.445,40.313,7.191,19.051,,4.513,4.447,58.457,4.825,20.476,52.413,36.053,12.734,7.304
1961-01-01,48.094,13.672,19.389,0.83,0.0,25.239,10.501,19.3,28.291,27.404,17.848,18.242,24.448,0.168,27.645,,0.839,28.17,14.777,7.008,4.353,34.245,7.813,19.018,,4.608,4.356,39.429,4.839,20.296,45.569,34.53,12.037,7.568
1962-01-01,51.162,12.687,23.922,0.947,0.0,27.077,11.563,19.897,26.607,25.193,18.858,19.613,25.704,0.185,28.747,,0.898,31.061,14.41,6.438,4.85,30.494,8.672,20.277,,5.733,4.85,60.406,5.128,21.481,47.592,37.705,14.841,9.736
1963-01-01,63.296,7.581,22.787,0.888,0.0,35.935,15.746,20.075,26.621,27.704,21.193,22.302,27.767,0.214,38.259,,1.097,37.472,18.382,6.77,5.227,32.074,9.454,23.652,,9.126,5.23,63.255,5.719,21.206,40.997,37.274,14.367,10.379
1964-01-01,68.215,13.356,24.141,0.915,0.0,42.943,17.112,22.78,26.591,32.304,22.956,26.438,31.382,0.243,47.082,,1.264,39.409,20.52,7.13,5.887,31.898,10.546,26.281,,13.975,5.885,90.447,6.13,23.4,47.295,42.252,16.253,10.821
1965-01-01,74.105,19.931,30.117,1.058,0.001,48.771,19.988,25.496,27.757,38.225,25.16,29.516,36.998,0.287,57.317,,1.368,49.629,22.956,8.14,6.958,32.482,11.31,29.297,,16.549,6.95,110.647,6.849,27.784,53.869,53.868,20.361,13.29
1966-01-01,85.671,27.851,28.692,1.206,0.002,53.811,20.459,30.556,33.401,44.198,28.157,33.178,42.549,0.373,62.106,,1.545,60.219,24.038,8.796,8.032,41.649,12.881,32.897,,21.082,8.01,128.795,7.006,31.604,56.907,58.327,22.392,15.38
1967-01-01,86.403,36.749,27.607,1.238,0.002,47.979,15.243,29.679,44.634,42.931,28.111,29.805,42.719,0.396,50.248,,2.049,74.556,17.881,9.448,7.952,39.599,11.385,30.917,,17.431,7.933,112.937,7.185,31.31,58.103,53.089,21.652,13.527
1968-01-01,80.735,52.612,35.081,1.291,0.002,49.948,17.427,28.271,52.296,50.78,27.47,29.185,41.872,0.418,52.135,,2.055,66.071,18.376,9.3,8.437,37.261,12.578,31.323,,19.158,8.431,80.472,8.567,32.804,76.033,52.895,26.035,16.056
1969-01-01,81.135,38.128,36.208,1.505,0.003,54.32,19.458,29.665,58.567,61.373,30.265,32.455,44.653,0.502,63.542,,2.508,64.84,19.357,9.784,9.135,43.56,13.572,33.578,,21.865,9.135,106.571,9.771,36.495,82.061,54.751,27.075,18.88
1970-01-01,91.256,31.573,29.031,1.652,0.004,52.075,21.474,30.831,61.888,71.359,29.347,32.069,45.287,0.556,63.537,,2.809,61.742,25.791,10.554,8.973,37.869,14.343,34.971,,25.474,8.988,81.579,10.638,36.449,80.467,54.645,22.215,15.646
1971-01-01,85.281,16.568,39.365,1.605,0.006,51.374,21.526,28.24,65.758,72.72,27.373,30.187,41.593,0.593,55.156,,3.261,47.706,28.944,9.892,9.045,34.117,15.489,34.708,,30.098,9.077,85.812,11.934,37.186,74.465,50.412,23.993,17.087
1972-01-01,99.815,23.419,42.124,1.526,0.009,61.718,25.442,30.739,73.787,75.214,34.335,31.165,44.847,0.678,52.951,,3.571,55.176,23.415,12.508,10.198,40.425,17.106,39.174,,37.418,10.246,77.247,14.297,37.563,91.046,54.603,27.874,21.506
1973-01-01,129.061,35.26,48.227,1.826,0.01,73.597,30.147,36.663,71.671,90.36,36.737,38.076,53.022,0.803,84.274,,4.173,70.726,28.517,13.96,12.086,57.199,20.55,46.245,,45.602,12.13,86.515,16.088,40.353,130.233,60.406,33.52,25.251
1974-01-01,121.131,25.98,42.314,1.867,0.013,78.387,30.444,39.523,73.127,98.761,32.882,42.966,57.094,0.919,102.276,,4.73,78.96,37.931,17.62,12.337,74.006,21.898,46.246,,51.534,12.382,100.92,16.388,38.701,106.64,58.723,30.341,23.796
1975-01-01,129.577,22.859,41.787,1.755,0.013,62.632,27.051,32.162,59.022,96.392,27.832,36.407,48.409,0.888,86.964,,4.783,65.792,46.282,16.121,11.045,62.14,18.901,42.59,,56.176,11.093,91.678,15.254,32.175,138.504,47.04,26.139,16.702
1976-01-01,123.874,20.769,50.842,1.906,0.019,59.351,31.284,31.796,51.447,104.537,30.24,36.964,48.648,1.019,102.957,,5.306,65.21,46.711,17.284,11.724,73.626,20.412,43.276,,59.891,11.773,70.455,16.05,35.418,130.833,46.3,29.062,20.271
1977-01-01,122.779,27.933,63.704,2.537,0.028,76.27,30.116,36.879,45.794,97.599,37.122,43.709,51.559,1.268,101.319,,5.515,66.501,49.252,27.327,13.543,73.841,23.762,48.386,,57.992,13.588,78.324,17.565,38.044,134.187,46.57,35.32,24.586
1978-01-01,128.797,32.669,67.576,2.981,0.055,91.908,43.296,37.062,43.967,99.209,41.49,50.069,57.365,1.659,144.181,,6.205,77.842,46.068,30.157,15.589,112.644,26.903,53.929,,67.595,15.628,97.514,19.108,43.0,128.212,57.168,39.036,27.76
1979-01-01,138.951,47.833,59.986,3.526,0.089,84.947,51.117,39.817,42.468,110.6,44.763,53.472,61.465,1.999,222.415,,6.196,85.73,44.513,30.893,16.866,142.262,30.335,56.48,,68.037,16.91,131.897,20.935,47.422,145.71,58.721,40.751,28.023
1980-01-01,110.472,48.853,48.972,3.943,0.141,65.367,56.658,38.487,35.738,101.939,47.335,49.831,58.822,2.33,192.647,,6.093,85.854,43.603,32.01,16.121,154.679,27.696,50.622,,69.731,16.175,114.885,20.954,46.642,143.168,58.584,33.267,19.928
1981-01-01,106.901,42.97,58.012,4.094,0.219,60.979,59.783,39.36,39.641,101.253,48.793,47.968,57.888,2.694,190.929,,6.773,83.492,63.383,33.483,16.721,163.449,27.155,51.855,,76.434,16.767,66.585,20.927,46.27,168.044,57.158,32.349,18.655
1982-01-01,73.71,35.755,58.347,4.112,0.266,38.617,48.235,38.069,33.28,91.086,51.54,44.398,52.881,2.841,95.782,,8.379,68.057,42.801,34.376,15.661,123.479,28.595,43.599,,77.109,15.71,39.755,20.115,46.314,105.517,57.255,28.662,17.235
1983-01-01,62.797,35.566,77.661,4.092,0.404,42.586,50.082,38.887,29.147,85.454,55.131,40.697,48.683,3.3,74.274,,8.98,51.522,25.446,33.647,16.388,195.496,27.763,41.695,,74.627,16.457,26.527,22.452,46.857,63.272,57.803,32.274,19.654
1984-01-01,66.048,31.795,92.426,4.575,0.66,58.193,54.175,46.913,31.777,81.412,63.876,48.715,55.717,4.189,83.653,,9.696,61.627,22.513,41.088,19.567,221.468,29.715,47.208,,92.045,19.625,39.341,24.887,54.557,53.702,65.628,38.445,25.689
1985-01-01,52.679,33.521,91.131,4.881,0.829,62.818,56.652,46.318,35.732,80.143,66.663,51.671,58.289,4.6,79.778,,9.95,66.441,19.52,42.661,20.641,217.708,31.156,47.576,,87.161,20.71,34.566,26.848,57.84,39.444,70.497,39.951,28.666
1986-01-01,47.399,40.687,93.526,5.134,0.953,60.211,58.551,43.923,30.07,74.767,68.618,54.114,58.017,4.937,82.026,,10.186,65.795,10.403,42.821,20.878,238.193,32.911,46.773,,87.113,20.971,30.545,29.049,57.933,43.428,71.551,38.425,24.36
1987-01-01,48.92,43.185,79.848,5.122,1.198,54.991,58.632,46.92,39.419,67.208,73.3,50.176,56.574,5.154,94.05,4.499,10.893,59.742,9.767,42.475,20.953,147.044,34.987,48.264,71.217,87.377,21.06,23.895,30.237,62.541,52.634,73.844,36.537,24.752
1988-01-01,64.597,45.495,88.748,5.707,1.368,52.623,63.419,48.008,41.536,70.264,70.817,52.628,59.413,5.627,78.98,5.026,11.642,63.807,11.614,42.63,22.336,128.723,36.749,50.146,66.484,93.653,22.437,37.289,31.261,63.373,45.108,78.183,38.688,24.788
1989-01-01,76.152,35.335,77.117,5.691,1.664,65.244,61.977,49.312,46.003,75.3,78.689,53.02,63.557,6.174,76.774,4.359,12.206,74.662,13.556,52.609,23.518,138.358,38.577,55.684,65.947,98.74,23.607,52.571,31.427,66.703,40.096,86.091,34.877,23.32
1990-01-01,83.393,47.567,82.588,5.9,1.644,64.616,55.659,47.879,39.757,75.068,73.658,51.262,59.881,6.257,79.43,3.642,13.456,68.458,12.287,55.764,23.03,113.41,37.582,53.707,51.053,94.587,23.114,52.818,30.482,58.488,40.403,77.971,34.408,18.603
1991-01-01,67.309,49.796,84.014,5.677,1.786,42.128,46.229,44.51,46.932,75.286,64.834,46.776,56.045,6.385,66.766,3.433,14.286,64.488,9.744,56.224,21.974,105.835,36.749,45.87,43.199,97.462,22.056,48.158,29.29,54.615,40.486,70.425,33.466,16.487
1992-01-01,57.693,48.811,81.253,6.055,2.443,41.134,47.09,45.173,44.147,76.078,71.105,48.426,57.069,7.315,65.856,3.491,15.557,67.717,8.606,58.2,23.279,115.828,37.12,45.615,55.18,98.785,23.357,45.309,30.196,52.616,29.224,69.98,34.233,19.146
1993-01-01,65.64,46.52,90.427,6.45,3.131,52.066,46.921,46.698,42.361,74.692,71.609,55.835,61.913,8.319,123.525,5.247,16.957,73.487,16.401,58.087,26.235,124.995,42.822,50.939,72.509,117.856,26.284,51.386,30.799,55.49,51.823,76.741,40.787,26.538
1994-01-01,72.381,30.72,110.0,7.648,3.891,58.218,49.415,51.072,45.398,79.996,73.157,59.987,67.436,9.467,113.147,8.571,16.29,85.27,15.833,60.706,29.45,124.101,46.586,54.618,80.356,126.512,29.461,67.155,31.0,60.197,43.132,81.415,47.808,35.133
1995-01-01,73.52,42.91,103.2,8.812,5.867,64.042,53.093,54.984,37.348,82.643,77.042,65.711,74.015,11.4,119.429,9.876,16.404,97.556,15.71,65.915,33.01,125.243,49.202,57.562,88.792,115.37,32.982,72.132,31.401,63.084,41.436,92.699,51.409,39.654
1996-01-01,72.614,40.367,101.634,10.009,8.472,71.565,51.184,56.96,44.367,89.456,78.702,67.884,76.761,13.773,124.878,12.578,17.829,99.291,16.268,68.172,36.154,128.225,51.701,59.776,78.257,118.992,36.083,71.386,31.25,64.665,51.981,95.249,53.114,42.9
1997-01-01,82.948,47.783,98.361,11.404,12.286,76.061,57.788,60.419,41.135,77.545,90.362,71.026,78.418,16.611,120.646,15.278,20.099,106.73,20.913,62.06,40.175,127.154,54.992,65.195,73.034,120.002,40.048,78.85,30.987,63.511,59.633,94.508,56.939,47.412
1998-01-01,85.986,64.591,94.226,13.167,17.86,85.508,68.481,63.275,48.44,80.594,101.473,75.714,81.831,20.547,120.279,15.377,23.232,106.877,20.803,63.249,45.447,113.666,59.283,71.602,90.91,135.781,45.278,90.315,33.163,71.523,62.636,97.84,61.577,51.392
1999-01-01,62.773,93.728,111.946,15.981,25.375,85.945,65.798,68.531,59.111,85.758,109.977,73.03,82.336,25.062,108.745,17.165,24.878,103.292,30.285,63.162,51.112,82.464,62.64,73.228,101.427,118.203,50.913,101.225,36.646,77.238,63.666,98.572,72.647,57.355
2000-01-01,69.102,97.216,117.028,20.704,30.77,86.695,68.777,77.044,76.205,89.372,117.977,77.441,89.447,30.245,102.498,16.627,27.369,105.246,29.929,67.149,56.088,85.835,66.829,77.124,86.91,112.977,55.853,96.211,38.997,79.773,72.915,111.995,71.165,53.115
2001-01-01,73.243,100.915,117.521,19.375,31.537,76.743,74.071,70.419,115.647,87.928,110.234,70.665,82.851,29.882,83.226,14.463,29.766,89.292,33.901,69.824,53.675,108.013,68.78,76.21,61.798,79.807,53.485,73.587,39.704,82.517,65.687,99.291,64.471,43.179
2002-01-01,83.792,73.903,117.896,15.821,33.107,70.848,79.426,63.064,123.0,77.944,105.267,69.98,77.27,28.583,87.966,12.892,33.881,80.796,22.002,70.548,50.828,117.111,73.668,75.704,61.997,58.302,50.697,64.324,40.896,79.871,75.678,87.088,58.31,40.016
2003-01-01,90.542,51.967,105.993,18.2,37.154,74.28,82.85,63.74,108.314,85.123,105.873,74.37,77.588,32.238,86.027,13.726,38.249,79.868,26.922,66.356,53.046,181.812,82.722,80.717,60.471,67.508,52.919,58.357,43.431,82.818,80.415,81.883,53.957,41.39
2004-01-01,99.151,57.368,101.12,20.789,42.188,85.573,98.231,70.632,51.703,85.774,108.864,76.601,76.159,36.319,108.016,16.957,43.36,80.172,30.96,71.831,57.583,187.455,88.274,87.008,81.344,67.649,57.465,61.232,48.399,87.315,88.644,78.606,61.478,52.576
2005-01-01,104.026,52.583,112.674,22.251,47.797,105.416,92.463,76.26,60.921,92.059,113.97,84.815,82.71,40.204,114.699,20.108,51.222,86.712,40.885,74.646,63.553,192.315,95.74,95.273,96.079,64.046,63.38,76.765,50.517,93.715,84.918,82.237,68.992,62.261
2006-01-01,97.07,47.775,122.639,26.364,59.782,118.48,90.474,86.353,75.793,103.899,115.327,90.297,89.676,46.525,133.497,22.7,55.091,90.629,58.134,77.853,69.632,200.56,99.345,99.666,103.233,56.314,69.383,86.808,51.522,94.749,76.962,87.481,74.108,69.081
2007-01-01,96.624,61.275,123.313,31.146,68.251,112.115,76.837,89.415,112.378,112.189,108.105,88.82,92.538,52.986,143.49,20.733,63.082,92.312,75.571,86.681,72.406,100.363,99.249,98.903,77.722,85.757,72.092,90.005,50.03,95.496,98.541,88.274,70.997,59.146
2008-01-01,106.285,64.705,91.038,33.027,73.601,116.712,77.933,83.262,114.916,118.179,101.252,83.594,88.698,55.861,219.087,12.72,64.669,91.223,77.626,86.731,68.945,113.065,94.46,97.512,62.706,94.704,68.659,90.937,48.452,89.101,120.07,80.99,55.649,39.999
2009-01-01,106.254,41.135,38.549,31.134,74.893,64.411,61.171,67.544,94.437,89.013,75.104,66.85,69.268,53.051,188.711,0.834,61.168,65.733,67.252,71.282,54.331,91.255,80.233,78.265,46.852,76.936,54.213,61.15,44.968,82.219,106.523,62.407,26.04,13.467
2010-01-01,98.088,59.855,92.928,39.977,86.858,116.97,70.273,71.96,68.51,80.584,75.649,70.64,69.19,61.971,227.824,28.2,65.202,64.722,78.918,80.529,65.327,86.508,82.33,88.682,59.59,88.444,65.111,58.906,49.384,91.197,94.716,62.225,50.826,36.499
2011-01-01,106.565,66.267,104.131,43.511,86.739,115.49,71.148,77.847,103.289,89.692,81.745,80.188,82.987,64.993,190.027,45.664,68.401,82.554,100.849,85.819,74.109,85.098,87.573,95.132,79.664,103.084,73.827,81.451,53.565,95.893,89.009,85.235,65.292,54.621
2012-01-01,142.376,67.334,146.41,47.557,95.605,121.237,84.872,81.309,141.966,99.474,84.892,87.056,89.952,71.002,199.117,51.183,73.926,95.792,134.116,97.358,82.24,86.312,80.706,103.693,91.093,100.317,81.877,119.217,56.161,100.562,96.393,81.007,77.303,61.703
2013-01-01,166.912,71.125,159.228,54.793,95.088,109.31,99.792,88.089,119.503,99.166,85.123,85.332,89.662,76.145,204.293,61.902,82.217,94.358,134.853,97.711,86.77,95.135,88.707,106.816,93.403,93.595,86.449,131.528,63.277,95.509,117.797,83.675,85.921,70.169
2014-01-01,169.577,80.724,158.988,63.381,94.897,122.767,97.627,90.135,112.585,106.631,88.712,89.528,94.177,81.066,184.488,72.817,84.156,98.131,150.471,105.83,93.626,109.669,96.085,114.545,106.504,91.193,93.329,162.343,71.634,102.952,115.043,93.438,95.832,81.652
2015-01-01,129.694,82.204,162.924,75.647,94.927,102.607,101.809,89.303,116.367,106.876,94.774,92.64,95.107,87.231,102.031,88.357,89.228,99.777,108.074,103.665,97.177,116.454,100.317,104.612,120.332,90.763,96.959,169.003,80.862,105.045,120.373,90.667,106.278,96.736
2016-01-01,102.1,73.451,139.899,87.698,94.223,98.312,100.869,94.327,105.934,100.675,97.836,92.754,94.776,92.266,85.545,100.255,92.149,93.097,82.087,101.549,96.338,109.344,99.924,98.481,94.705,98.805,96.264,137.511,90.642,107.043,91.058,94.87,100.893,98.806
2017-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-01-01,108.162,97.32,68.001,105.668,113.098,95.543,110.799,111.251,91.131,103.628,102.737,107.668,104.777,107.992,116.218,115.949,106.942,103.717,119.368,107.207,105.917,98.752,102.663,103.958,125.23,99.703,105.853,102.348,100.988,99.709,80.009,97.776,106.134,118.398
2019-01-01,120.77,49.664,65.965,108.988,114.445,112.953,106.904,117.782,86.615,104.995,101.637,108.459,106.675,111.127,84.481,125.197,113.801,95.576,102.419,106.946,106.998,96.563,106.142,106.651,129.479,97.103,106.918,108.138,100.835,98.352,77.651,107.371,101.67,126.298
2020-01-01,116.548,70.181,20.132,108.633,124.337,79.393,114.512,111.648,81.116,94.083,94.162,99.808,97.218,112.07,51.246,84.011,111.675,87.493,92.892,96.45,96.177,89.667,103.314,97.726,89.926,93.11,96.309,67.822,105.652,96.473,83.788,91.742,73.487,85.579
2021-01-01,135.258,61.446,73.67,121.092,142.453,93.45,118.377,122.607,79.602,93.875,94.204,108.565,103.684,124.025,113.817,82.852,117.41,93.525,90.4,104.46,102.615,98.274,110.619,103.952,106.415,113.45,102.79,66.803,115.139,96.84,85.503,95.003,75.566,89.483
2022-01-01,124.279,64.771,51.72,136.207,151.112,123.241,117.193,130.677,71.618,90.758,98.455,109.796,106.95,133.057,77.499,76.287,123.842,93.327,92.282,103.117,107.089,118.861,106.526,106.214,115.486,118.312,107.187,92.639,114.449,90.137,91.778,106.841,75.853,87.673
2023-01-01,102.138,83.518,162.677,131.22,140.416,145.744,112.653,137.277,72.144,85.058,88.963,111.261,107.852,127.338,54.375,104.594,122.651,91.003,96.968,99.424,110.799,98.075,104.277,104.769,120.985,113.724,110.934,105.357,120.807,87.674,90.187,106.928,96.77,109.256
