Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1970-01-01,-0.3133333333333333,0.5233333333333333,0.36,-3.38,0.17333333333333334,0.27,0.245,0.24,0.28,0.02,0.09333333333333334,-0.03,0.1,-3.5,-0.13999999999999999,0.17,0.016666666666666666,-0.24,1.27,-0.023333333333333334
1971-01-01,0.10666666666666667,0.51,0.6,-3.37,0.33,0.43,0.13,0.18,0.1,0.05666666666666667,0.07666666666666666,-0.25,0.06,-4.07,0.24,0.21333333333333335,0.013333333333333334,-0.14,1.49,-0.03333333333333333
1972-01-01,0.14666666666666667,0.43333333333333335,0.43,-1.62,0.3133333333333333,0.16,0.37,-0.1,0.19,-0.11333333333333334,0.18666666666666668,-0.26,0.05,-2.58,0.22333333333333336,0.18666666666666668,0.006666666666666668,-0.11,1.09,-0.006666666666666665
1973-01-01,-0.22,0.47333333333333333,0.4,-1.74,0.26666666666666666,0.19,0.24,-0.02,0.31,0.06333333333333334,0.08666666666666667,-0.21,0.0,-1.78,0.016666666666666666,0.12333333333333334,0.023333333333333334,-0.19,1.42,-0.10999999999999999
1974-01-01,-0.17333333333333334,0.5933333333333334,0.71,0.3,0.44333333333333336,0.31,0.21500000000000002,0.25,0.2,0.08333333333333333,0.24333333333333332,-0.06,0.06,-0.33,0.12,0.19999999999999998,0.06666666666666667,-0.04,1.9,-0.2733333333333333
1975-01-01,0.24,0.7000000000000001,0.9,0.25,0.35000000000000003,0.07,0.235,0.01,0.02,0.010000000000000002,-0.003333333333333336,-0.06,0.08,-0.32,0.26666666666666666,0.16,0.06999999999999999,-0.03,1.96,-0.006666666666666667
1976-01-01,0.1366666666666667,0.15333333333333335,0.19,0.06,-0.02,0.1,0.06,-0.05,0.07,-0.023333333333333334,0.10666666666666667,-0.14,-0.01,-0.18,0.22,0.09333333333333334,-0.013333333333333334,-0.08,0.46,-0.02666666666666667
1977-01-01,0.35333333333333333,0.013333333333333334,0.07,0.97,0.17666666666666667,0.12,0.045,0.07,-0.01,-0.13333333333333333,0.12666666666666668,-0.05,-0.04,0.3,0.32666666666666666,0.04,-0.02666666666666667,-0.05,0.23,0.06
1978-01-01,1.1266666666666667,0.22,0.3,1.09,0.006666666666666665,0.22,0.22,0.04,0.05,0.14,0.013333333333333336,-0.18,-0.01,0.2,0.7266666666666667,0.08666666666666667,0.03333333333333333,-0.08,1.78,0.4566666666666667
1979-01-01,0.4566666666666667,-0.01,0.07,1.01,0.02,0.27,0.02,0.04,-0.06,0.006666666666666665,0.03333333333333333,-0.23,-0.02,0.76,0.10666666666666667,0.15333333333333332,0.0,-0.01,0.79,0.3566666666666667
1980-01-01,0.19999999999999998,-0.21666666666666667,-0.29,1.91,-0.003333333333333332,0.23,0.325,0.2,-0.02,0.12666666666666668,0.023333333333333334,-0.02,-0.02,1.1,0.25333333333333335,0.08,-0.02,0.07,-0.1,-0.09666666666666668
1981-01-01,-0.020000000000000018,-0.19999999999999998,-0.4,2.08,-0.24666666666666667,0.17,-0.01,-0.01,0.13,-0.1366666666666667,-0.07,-0.18,-0.04,1.91,0.3666666666666667,0.08,-0.02666666666666667,0.02,-1.11,-0.4000000000000001
