Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Private fixed investment in intellectual property products,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
2010-01-01,-26.5,2.9,10.9,0.0,2.5,-16.7,12.0,9.5,17.1,11.4,-0.3,-3.8,-4.5,0.7,6.0,-17.6,-1.1,-2.5,8.5,5.8,-0.3,6.4,-2.7,2.7,0.4,-14.9,7.0,3.8,8.0,17.6,7.2
2011-01-01,-18.3,12.9,-5.5,4.3,-0.3,2.7,9.2,-0.8,42.1,5.2,0.9,12.9,-13.5,12.1,2.8,5.9,2.8,11.9,17.1,1.8,3.5,-9.2,17.5,6.2,4.2,5.6,8.4,11.0,10.8,-4.7,9.1
2012-01-01,-7.3,-3.2,-6.2,0.4,-7.1,-23.9,7.9,1.8,3.6,11.0,2.1,15.1,-4.3,-3.1,6.3,3.1,-4.2,2.1,1.6,6.1,5.4,2.1,17.8,5.0,0.8,-2.7,10.5,11.0,0.1,-9.3,7.7
2013-01-01,34.3,12.1,-3.7,7.2,3.0,-11.0,4.6,0.2,13.9,1.9,6.4,5.8,-6.9,9.0,3.5,-1.7,-2.6,5.7,10.1,0.4,4.8,6.5,11.3,6.3,7.0,-18.6,10.3,7.1,21.8,1.5,20.5
2014-01-01,-0.3,9.9,-1.5,6.0,7.2,21.4,6.8,3.4,-4.6,5.7,4.8,7.4,3.8,8.7,-3.8,0.1,14.1,-1.8,15.8,-6.5,7.8,6.6,10.1,6.3,5.4,-6.5,1.9,8.3,2.8,1.3,9.2
2015-01-01,8.5,9.8,-1.6,3.7,0.6,28.4,1.4,3.8,24.5,5.5,0.4,0.8,7.3,10.7,0.6,-0.1,-0.3,-0.7,18.1,-2.9,7.2,3.7,11.8,4.7,3.5,24.6,-6.8,6.4,-6.9,2.2,14.9
2016-01-01,20.7,13.6,0.5,9.1,-10.4,16.3,11.6,4.1,39.3,5.8,7.6,16.4,5.1,12.0,3.4,4.4,11.8,5.9,17.2,2.2,7.8,5.7,13.8,9.5,8.8,-7.8,4.7,11.8,3.4,1.1,7.5
2017-01-01,-8.8,6.5,0.8,3.2,0.2,-15.0,12.7,3.2,11.1,3.8,0.7,5.5,5.5,7.6,1.5,8.0,3.9,3.7,14.8,0.6,6.3,-0.2,15.0,6.9,3.1,25.0,-4.2,12.5,1.1,1.3,4.5
2018-01-01,-11.9,14.0,-2.5,5.9,-3.1,23.4,12.5,3.4,4.2,4.1,1.8,3.3,8.1,13.0,10.8,4.8,-0.9,1.3,23.2,12.4,4.7,10.1,17.7,8.9,6.1,0.3,-5.6,13.3,-5.7,2.5,5.7
2019-01-01,-23.0,16.8,-3.8,10.3,-0.6,25.3,4.5,1.3,26.1,0.4,6.5,-2.7,9.7,16.4,5.2,5.3,-4.4,6.2,22.1,4.6,8.2,18.7,10.2,8.2,10.0,9.8,13.3,7.5,-3.7,1.9,7.3
2020-01-01,-0.2,3.7,-6.3,1.9,-6.8,-7.8,7.6,-4.1,20.9,-5.0,0.3,-6.6,1.9,4.2,3.0,-7.1,-0.8,-2.9,3.6,2.5,8.8,1.3,11.5,4.5,1.9,11.5,11.0,9.5,5.2,-2.7,4.5
2021-01-01,-3.4,13.2,-4.1,8.5,-5.8,4.2,16.6,-1.4,5.1,-2.2,4.7,11.0,5.3,14.0,3.5,-1.9,0.2,3.4,15.4,3.2,4.8,6.5,16.9,10.2,8.2,25.3,7.5,14.9,13.9,-0.9,4.4
2022-01-01,27.0,12.6,0.4,9.2,0.4,7.1,13.2,6.9,12.3,3.9,6.7,18.4,17.1,12.5,3.9,19.5,1.1,4.4,13.2,4.5,11.0,7.5,17.4,11.2,9.0,11.5,3.3,14.8,13.3,10.5,1.8
2023-01-01,4.0,5.1,-1.3,5.1,2.3,3.6,4.7,2.3,-8.4,-2.0,5.1,3.9,12.3,5.2,4.0,14.8,3.7,7.0,5.3,4.4,10.2,5.9,8.4,5.8,5.1,6.8,3.2,7.2,10.3,7.0,2.9
