Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1971-04-01,9.77,8.989,8.19,54.54,18.982,13.003,48.656,27.907,19.165,9.201,5.179,69.362,33.736,35.939,12.938,25.409,54.143,16.951,44.265,61.98
1971-07-01,10.031,9.052,8.599,54.303,19.309,13.325000000000001,48.629,28.136,19.397,9.404,5.246,68.036,34.928,35.866,12.995,25.612,56.632,16.942666666666668,44.414,61.757
1971-10-01,10.459,9.364,7.805,52.869,19.816,12.850999999999999,48.286,28.202,18.875,8.767,5.361,66.291,33.939,36.11,13.26,26.037,58.813,17.134666666666664,44.972,61.595
1972-01-01,10.698,9.719,8.692,53.302,20.66,13.758000000000001,48.549,28.72,20.119,10.048,5.48,65.624,35.852,36.229,13.683,26.38,62.651,17.591666666666665,45.096,63.204
1972-04-01,10.967,9.94,8.439,53.82,21.016,13.766333333333334,48.743,29.372,21.261,9.691,5.573,66.181,36.313,37.208,13.906,26.882,63.838,17.547,45.019,63.558
1972-07-01,11.249,10.178,8.947,51.352,21.254,14.182,47.814,29.649,21.563,9.893,5.619,62.111,36.083,37.721,14.11,27.297,64.12,17.650666666666666,45.381,63.698
1972-10-01,11.845,10.957,9.326,51.485,22.185,14.766333333333334,48.21,30.146,21.699,10.339,5.693,62.395,36.007,38.433,14.786,27.937,66.386,17.893333333333334,46.005,64.712
1973-01-01,12.599,11.561,10.008,52.151,23.055,15.406333333333334,48.625,30.892,22.97,10.816,5.759,63.261,36.39,38.665,15.406,28.447,68.603,18.226666666666667,46.215,66.826
1973-04-01,12.45,12.095,10.49,51.312,23.231,15.436666666666667,48.283,31.228,23.949,10.505,5.842,61.981,36.169,38.338,15.979,28.435,65.048,18.115333333333336,46.289,68.914
1973-07-01,12.34,12.244,10.526,49.497,23.162,15.385666666666665,47.715,31.064,23.081,10.214,5.907,58.852,36.207,38.518,16.225,28.535,62.259,17.87966666666667,46.774,70.473
1973-10-01,12.051,12.441,11.043,49.609,22.963,15.597666666666667,48.073,31.359,23.903,10.291,5.982,59.269,35.889,38.366,16.347,28.449,59.436,17.740666666666666,47.343,69.826
1974-01-01,11.769,12.451,11.187,50.804,22.506,15.319333333333333,48.941,31.089,22.538,9.942,5.995,60.257,37.375,37.851,16.33,28.195,55.571,18.007666666666665,47.941,69.435
1974-04-01,11.832,12.428,11.732,50.63,22.224,15.653333333333334,49.186,31.163,22.448,10.468,6.02,60.895,36.053,37.6,16.302,28.296,53.328,18.419999999999998,48.534,69.152
1974-07-01,11.901,12.488,11.1,50.955,21.859,15.389333333333333,49.284,30.869,21.285,10.285,6.078,59.77,38.422,37.681,16.136,28.418,51.542,18.259333333333334,48.445,66.155
