Date,Capital transfer payments,Capital transfer receipts,Consumption expenditures,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer payments to the rest of the world,Current transfer receipts,Dividends,Excise taxes,Federal grants-in-aid,From business (net),From persons,From the rest of the world,Government social benefit payments to persons,Gross government investment,Income receipts on assets,Income taxes,Interest payments,Interest receipts,Less: Consumption of fixed capital,Net lending or net borrowing (-),Net purchases of nonproduced assets,Net state and local government saving,Other,Personal current taxes,Property taxes,Rents and royalties,Sales taxes,Social insurance funds,Subsidies,Taxes on corporate income,Taxes on production and imports,To persons and business,To the rest of the world,Total expenditures,Total receipts
1947-01-01,,299.0,10628.0,176.0,13119.0,13203.0,334.0,11480.0,1640.0,,789.0,,,572.0,55.0,162.0,,1640.0,2690.0,425.0,,850.0,,1792.0,-596.0,82.0,85.0,,973.0,,123.0,,,,620.0,9887.0,850.0,,14099.0,13502.0
1947-04-01,,327.0,10984.0,180.0,13745.0,13955.0,357.0,11779.0,1900.0,,1210.0,,,980.0,59.0,171.0,,1900.0,2730.0,429.0,,861.0,,1831.0,-449.0,88.0,210.0,,987.0,,123.0,,,,584.0,10208.0,861.0,,14731.0,14282.0
1947-07-01,,324.0,11383.0,172.0,14626.0,14657.0,338.0,12212.0,2372.0,,1503.0,,,1256.0,63.0,184.0,,2372.0,2941.0,432.0,,871.0,,1903.0,-775.0,93.0,31.0,,1017.0,,123.0,,,,580.0,10615.0,871.0,,15756.0,14981.0
1947-10-01,,330.0,11811.0,172.0,14962.0,14891.0,320.0,12701.0,2268.0,,1262.0,,,996.0,67.0,199.0,,2268.0,3199.0,435.0,,884.0,,1971.0,-1066.0,97.0,-72.0,,1011.0,,123.0,,,,632.0,11058.0,884.0,,16287.0,15221.0
1948-01-01,,428.0,12064.0,204.0,15804.0,15472.0,301.0,13217.0,2836.0,,1286.0,,,992.0,74.0,220.0,,2836.0,3461.0,464.0,,905.0,,2045.0,-1417.0,97.0,-332.0,,1138.0,,150.0,,,,656.0,11423.0,905.0,,17317.0,15900.0
1948-04-01,,440.0,12363.0,204.0,16113.0,16174.0,280.0,13578.0,2828.0,,1645.0,,,1332.0,78.0,235.0,,2828.0,3936.0,467.0,,923.0,,2108.0,-1434.0,107.0,61.0,,1141.0,,150.0,,,,692.0,11745.0,923.0,,18048.0,16614.0
1948-07-01,,459.0,12862.0,200.0,16549.0,16615.0,260.0,13919.0,2744.0,,1766.0,,,1436.0,80.0,250.0,,2744.0,4313.0,470.0,,943.0,,2183.0,-1725.0,121.0,67.0,,1145.0,,150.0,,,,680.0,12094.0,943.0,,18799.0,17074.0
1948-10-01,,469.0,13293.0,196.0,16631.0,17120.0,257.0,14122.0,2372.0,,2071.0,,,1724.0,84.0,263.0,,2372.0,4567.0,474.0,,966.0,,2212.0,-1535.0,139.0,489.0,,1136.0,,150.0,,,,656.0,12330.0,966.0,,19124.0,17589.0
1949-01-01,,530.0,13605.0,200.0,17060.0,17643.0,307.0,14584.0,2464.0,,2058.0,,,1700.0,83.0,275.0,,2464.0,4798.0,494.0,,991.0,,2209.0,-1643.0,166.0,583.0,,1331.0,,166.0,,,,656.0,12597.0,991.0,,19816.0,18173.0
1949-04-01,,508.0,13770.0,192.0,17348.0,17797.0,316.0,14820.0,2560.0,,1973.0,,,1604.0,86.0,283.0,,2560.0,5368.0,495.0,,1018.0,,2177.0,-2422.0,188.0,449.0,,1350.0,,166.0,,,,576.0,12894.0,1018.0,,20727.0,18305.0
1949-07-01,,591.0,14178.0,196.0,17934.0,18580.0,331.0,15168.0,2712.0,,2393.0,,,2016.0,90.0,287.0,,2712.0,5701.0,493.0,,1044.0,,2164.0,-2511.0,211.0,646.0,,1371.0,,166.0,,,,600.0,13197.0,1044.0,,21682.0,19171.0
1949-10-01,,559.0,14399.0,188.0,18360.0,18683.0,340.0,15412.0,2892.0,,2256.0,,,1872.0,97.0,287.0,,2892.0,5722.0,487.0,,1070.0,,2157.0,-2915.0,231.0,322.0,,1376.0,,166.0,,,,588.0,13448.0,1070.0,,22157.0,19242.0
1950-01-01,,612.0,14805.0,216.0,19082.0,19055.0,350.0,15752.0,3180.0,,2223.0,,,1836.0,107.0,280.0,,3180.0,5607.0,515.0,,1096.0,,2091.0,-3182.0,252.0,-26.0,,1466.0,,203.0,,,,584.0,13702.0,1096.0,,22850.0,19667.0
1950-04-01,,625.0,14983.0,220.0,19799.0,19517.0,360.0,16145.0,3692.0,,2272.0,,,1880.0,112.0,280.0,,3692.0,5737.0,520.0,,1124.0,,2100.0,-3561.0,267.0,-282.0,,1479.0,,203.0,,,,700.0,13966.0,1124.0,,23702.0,20142.0
1950-07-01,,627.0,15300.0,224.0,19482.0,20236.0,346.0,16903.0,3028.0,,2223.0,,,1824.0,117.0,282.0,,3028.0,6019.0,539.0,,1154.0,,2197.0,-2717.0,276.0,753.0,,1483.0,,203.0,,,,860.0,14560.0,1154.0,,23580.0,20863.0
1950-10-01,,632.0,15600.0,232.0,19646.0,20450.0,359.0,17064.0,2860.0,,2222.0,,,1816.0,120.0,286.0,,2860.0,6337.0,573.0,,1186.0,,2337.0,-2844.0,281.0,805.0,,1492.0,,203.0,,,,936.0,14636.0,1186.0,,23926.0,21082.0
1951-01-01,,643.0,15886.0,236.0,19865.0,21605.0,379.0,17939.0,2760.0,,2415.0,,,2000.0,119.0,296.0,,2760.0,6574.0,636.0,,1220.0,,2500.0,-1971.0,280.0,1740.0,,1645.0,,218.0,,,,1028.0,15266.0,1220.0,,24219.0,22248.0
1951-04-01,,655.0,16095.0,236.0,19997.0,21545.0,397.0,17801.0,2652.0,,2445.0,,,2024.0,120.0,301.0,,2652.0,7124.0,666.0,,1249.0,,2599.0,-2598.0,276.0,1548.0,,1664.0,,218.0,,,,872.0,15265.0,1249.0,,24798.0,22200.0
1951-07-01,,632.0,16473.0,248.0,20335.0,21741.0,408.0,18132.0,2584.0,,2277.0,,,1848.0,123.0,306.0,,2584.0,7270.0,676.0,,1278.0,,2670.0,-2833.0,270.0,1405.0,,1695.0,,218.0,,,,788.0,15649.0,1278.0,,25206.0,22373.0
1951-10-01,,674.0,16819.0,248.0,20703.0,22405.0,415.0,18600.0,2580.0,,2475.0,,,2040.0,126.0,309.0,,2580.0,7183.0,667.0,,1304.0,,2716.0,-2354.0,262.0,1702.0,,1716.0,,218.0,,,,844.0,16040.0,1304.0,,25433.0,23079.0
1952-01-01,,670.0,16749.0,268.0,20904.0,22726.0,428.0,19007.0,2828.0,,2364.0,,,1924.0,132.0,308.0,,2828.0,7349.0,659.0,,1327.0,,2702.0,-2401.0,245.0,1821.0,,1816.0,,238.0,,,,844.0,16347.0,1327.0,,25797.0,23396.0
1952-04-01,,687.0,17569.0,272.0,21921.0,23206.0,409.0,19427.0,2996.0,,2452.0,,,2004.0,135.0,313.0,,2996.0,7351.0,646.0,,1356.0,,2773.0,-2850.0,244.0,1285.0,,1845.0,,238.0,,,,796.0,16786.0,1356.0,,26743.0,23893.0
1952-07-01,,735.0,17387.0,276.0,21668.0,23803.0,387.0,19840.0,2892.0,,2652.0,,,2196.0,138.0,318.0,,2892.0,7366.0,648.0,,1389.0,,2870.0,-1878.0,252.0,2135.0,,1846.0,,238.0,,,,792.0,17202.0,1389.0,,26416.0,24538.0
1952-10-01,,740.0,17776.0,296.0,22139.0,24403.0,387.0,20382.0,2936.0,,2672.0,,,2208.0,139.0,325.0,,2936.0,7526.0,665.0,,1427.0,,2840.0,-1949.0,267.0,2264.0,,1845.0,,238.0,,,,872.0,17665.0,1427.0,,27092.0,25143.0
1953-01-01,,676.0,18304.0,296.0,22672.0,24383.0,420.0,20737.0,2900.0,,2211.0,,,1740.0,137.0,334.0,,2900.0,7801.0,719.0,,1469.0,,2901.0,-2823.0,309.0,1710.0,,1911.0,,258.0,,,,864.0,17962.0,1469.0,,27882.0,25059.0
1953-04-01,,896.0,18264.0,300.0,22773.0,25620.0,438.0,21033.0,3000.0,,3107.0,,,2624.0,141.0,342.0,,3000.0,7712.0,742.0,,1510.0,,2884.0,-1411.0,326.0,2847.0,,1923.0,,258.0,,,,868.0,18242.0,1510.0,,27927.0,26516.0
1953-07-01,,801.0,18641.0,312.0,23274.0,25598.0,460.0,21382.0,3080.0,,2688.0,,,2192.0,146.0,350.0,,3080.0,8012.0,756.0,,1553.0,,2915.0,-2309.0,337.0,2324.0,,1951.0,,258.0,,,,844.0,18587.0,1553.0,,28708.0,26399.0
1953-10-01,,819.0,18771.0,316.0,23276.0,25715.0,492.0,21404.0,2908.0,,2742.0,,,2232.0,152.0,358.0,,2908.0,8457.0,761.0,,1597.0,,2877.0,-2665.0,344.0,2439.0,,1959.0,,258.0,,,,660.0,18785.0,1597.0,,29199.0,26534.0
1954-01-01,,851.0,19154.0,316.0,23792.0,26199.0,533.0,21737.0,2996.0,,2811.0,,,2276.0,166.0,369.0,,2996.0,8943.0,802.0,,1642.0,,2847.0,-3153.0,316.0,2408.0,,2056.0,,305.0,,,,720.0,18961.0,1642.0,,30204.0,27050.0
1954-04-01,,826.0,19632.0,324.0,24366.0,26449.0,562.0,22041.0,3044.0,,2721.0,,,2176.0,172.0,373.0,,3044.0,9210.0,801.0,,1690.0,,2972.0,-3666.0,337.0,2083.0,,2089.0,,305.0,,,,740.0,19212.0,1690.0,,30940.0,27275.0
1954-07-01,,843.0,20304.0,328.0,25134.0,26933.0,580.0,22397.0,3088.0,,2826.0,,,2276.0,174.0,376.0,,3088.0,9492.0,802.0,,1742.0,,2981.0,-4245.0,377.0,1799.0,,2109.0,,305.0,,,,788.0,19500.0,1742.0,,32021.0,27776.0
1954-10-01,,840.0,20580.0,328.0,25517.0,27378.0,608.0,22813.0,3140.0,,2822.0,,,2268.0,176.0,378.0,,3140.0,9532.0,807.0,,1797.0,,3044.0,-4222.0,434.0,1861.0,,2114.0,,305.0,,,,844.0,19855.0,1797.0,,32439.0,28218.0
1955-01-01,,932.0,21324.0,332.0,26380.0,28108.0,680.0,23564.0,3200.0,,2722.0,,,2180.0,169.0,373.0,,3200.0,9825.0,810.0,,1856.0,,3013.0,-4692.0,540.0,1728.0,,2364.0,,300.0,,,,936.0,20264.0,1856.0,,33732.0,29040.0
1955-04-01,,976.0,21573.0,336.0,26788.0,28775.0,734.0,24013.0,3300.0,,2868.0,,,2324.0,169.0,375.0,,3300.0,10110.0,825.0,,1915.0,,3066.0,-4682.0,601.0,1987.0,,2361.0,,300.0,,,,948.0,20704.0,1915.0,,34434.0,29751.0
1955-07-01,,1052.0,21915.0,336.0,27151.0,29614.0,763.0,24701.0,3260.0,,2967.0,,,2416.0,170.0,381.0,,3260.0,10261.0,847.0,,1976.0,,3235.0,-4158.0,647.0,2463.0,,2408.0,,300.0,,,,980.0,21313.0,1976.0,,34823.0,30666.0
1955-10-01,,1032.0,22380.0,344.0,27665.0,30214.0,781.0,25306.0,3248.0,,2907.0,,,2344.0,172.0,391.0,,3248.0,10382.0,876.0,,2037.0,,3329.0,-4147.0,676.0,2550.0,,2423.0,,300.0,,,,1008.0,21875.0,2037.0,,35394.0,31246.0
1956-01-01,,1065.0,22809.0,356.0,28175.0,31072.0,767.0,26146.0,3268.0,,2866.0,,,2284.0,179.0,403.0,,3268.0,11050.0,937.0,,2098.0,,3464.0,-4294.0,671.0,2897.0,,2663.0,,324.0,,,,1044.0,22439.0,2098.0,,36431.0,32137.0
1956-04-01,,1105.0,23346.0,364.0,28757.0,31839.0,766.0,26755.0,3248.0,,2984.0,,,2380.0,183.0,421.0,,3248.0,11385.0,970.0,,2163.0,,3580.0,-4299.0,681.0,3082.0,,2667.0,,324.0,,,,1068.0,23020.0,2163.0,,37243.0,32944.0
1956-07-01,,1165.0,23992.0,376.0,29492.0,32570.0,765.0,27270.0,3268.0,,3160.0,,,2532.0,186.0,442.0,,3268.0,11492.0,999.0,,2232.0,,3698.0,-4236.0,686.0,3078.0,,2689.0,,324.0,,,,1008.0,23573.0,2232.0,,37971.0,33735.0
1956-10-01,,1173.0,24577.0,384.0,30267.0,33154.0,758.0,27801.0,3384.0,,3186.0,,,2532.0,188.0,466.0,,3384.0,11610.0,1025.0,,2306.0,,3779.0,-4461.0,690.0,2887.0,,2693.0,,324.0,,,,1056.0,24052.0,2306.0,,38788.0,34327.0
1957-01-01,,1630.0,24994.0,392.0,30852.0,34203.0,748.0,28538.0,3476.0,,3459.0,,,2776.0,182.0,501.0,,3476.0,12456.0,1066.0,,2382.0,,3841.0,-4323.0,689.0,3351.0,,2866.0,,341.0,,,,1088.0,24584.0,2382.0,,40157.0,35833.0
1957-04-01,,1566.0,25704.0,392.0,31702.0,34506.0,750.0,28942.0,3548.0,,3341.0,,,2636.0,186.0,519.0,,3548.0,12615.0,1081.0,,2451.0,,3951.0,-4992.0,697.0,2804.0,,2889.0,,341.0,,,,1040.0,25013.0,2451.0,,41064.0,36072.0
1957-07-01,,1656.0,26434.0,400.0,32593.0,35100.0,785.0,29281.0,3648.0,,3543.0,,,2816.0,196.0,531.0,,3648.0,12617.0,1090.0,,2512.0,,3998.0,-5165.0,709.0,2506.0,,2905.0,,341.0,,,,1020.0,25356.0,2512.0,,41921.0,36756.0
1957-10-01,,1728.0,27085.0,404.0,33382.0,35329.0,773.0,29346.0,3732.0,,3713.0,,,2968.0,208.0,537.0,,3732.0,12934.0,1094.0,,2565.0,,4006.0,-5977.0,725.0,1948.0,,2908.0,,341.0,,,,928.0,25510.0,2565.0,,43035.0,37057.0
1958-01-01,,2342.0,27935.0,392.0,34488.0,35516.0,755.0,29697.0,3968.0,,3511.0,,5162.0,2732.0,241.0,538.0,,3968.0,13171.0,1161.0,1829.0,2585.0,783.0,3976.0,-6580.0,756.0,1028.0,2098.3333333333335,3022.0,13365.0,378.0,3137.0,49.0,,888.0,25787.0,2585.0,,44438.0,37858.0
1958-04-01,,2640.0,28764.0,396.0,35436.0,36301.0,742.0,30071.0,4020.0,,3928.0,,5253.0,3156.0,238.0,534.0,,4020.0,13311.0,1164.0,1829.0,2653.0,786.0,4078.0,-6499.0,771.0,865.0,1993.3333333333333,3028.0,13632.0,378.0,3287.0,48.0,,908.0,26135.0,2653.0,,45441.0,38941.0
1958-07-01,,2560.0,29311.0,392.0,36064.0,36958.0,748.0,30848.0,4004.0,,3800.0,,5433.0,3056.0,219.0,525.0,,4004.0,13897.0,1170.0,1829.0,2749.0,792.0,4177.0,-7050.0,784.0,894.0,1983.3333333333333,3077.0,13876.0,378.0,3587.0,35.0,,1032.0,26739.0,2749.0,,46568.0,39518.0
1958-10-01,,3135.0,29725.0,400.0,36749.0,38679.0,768.0,31741.0,4148.0,,4589.0,,5704.0,3892.0,186.0,511.0,,4148.0,14356.0,1181.0,1829.0,2876.0,803.0,4246.0,-5838.0,793.0,1930.0,2233.0,3128.0,14182.0,378.0,4037.0,32.0,,1188.0,27425.0,2876.0,,47652.0,41814.0
1959-01-01,,3543.0,30172.0,404.0,37558.0,38900.0,965.0,32700.0,4336.0,,3723.0,,6065.0,3328.0,104.0,291.0,,4336.0,14656.0,1107.0,2041.0,3050.0,829.0,4287.0,-6278.0,793.0,1342.0,1898.6666666666667,3606.0,14415.0,278.0,4638.0,27.0,0.0,1160.0,27934.0,3050.0,,48721.0,42443.0
1959-04-01,,2896.0,30541.0,408.0,37985.0,39935.0,1034.0,33182.0,4324.0,,4201.0,,6153.0,3820.0,105.0,276.0,,4324.0,14414.0,1110.0,2111.0,3121.0,832.0,4309.0,-6059.0,800.0,1950.0,2126.0,3694.0,14466.0,278.0,4728.0,24.0,0.0,1272.0,28216.0,3121.0,,48890.0,42831.0
1959-07-01,,4082.0,30964.0,416.0,38559.0,41034.0,1076.0,34357.0,4324.0,,4049.0,,6487.0,3672.0,108.0,269.0,,4324.0,13996.0,1136.0,2363.0,3272.0,858.0,4345.0,-3903.0,808.0,2474.0,2326.3333333333335,3967.0,14935.0,278.0,4915.0,24.0,0.0,1128.0,29262.0,3272.0,,49019.0,45116.0
1959-10-01,,3375.0,31494.0,424.0,39257.0,41851.0,1108.0,35065.0,4372.0,,4079.0,,6599.0,3700.0,111.0,268.0,,4372.0,13278.0,1175.0,2401.0,3391.0,897.0,4379.0,-3748.0,819.0,2595.0,2390.6666666666665,4025.0,15432.0,278.0,4943.0,25.0,0.0,1088.0,29952.0,3391.0,,48975.0,45226.0
1960-01-01,,2766.0,32436.0,448.0,40417.0,43056.0,1129.0,35976.0,4424.0,,4175.0,,6679.0,3744.0,163.0,268.0,,4424.0,13534.0,1328.0,2500.0,3558.0,1052.0,4436.0,-4524.0,830.0,2638.0,2435.3333333333335,4152.0,15606.0,276.0,5108.0,35.0,0.0,1380.0,30444.0,3558.0,,50346.0,45822.0
1960-04-01,,3087.0,33362.0,444.0,41518.0,43985.0,1155.0,36695.0,4500.0,,4283.0,,6829.0,3828.0,168.0,287.0,,4500.0,13952.0,1408.0,2531.0,3656.0,1132.0,4493.0,-4754.0,849.0,2468.0,2400.6666666666665,4212.0,16026.0,276.0,5290.0,21.0,0.0,1264.0,31219.0,3656.0,,51826.0,47072.0
1960-07-01,,3233.0,33820.0,476.0,41998.0,44489.0,1174.0,37293.0,4620.0,,4259.0,,6915.0,3776.0,171.0,312.0,,4620.0,14438.0,1287.0,2556.0,3558.0,1011.0,4557.0,-5033.0,875.0,2491.0,2421.3333333333335,4264.0,16454.0,276.0,5363.0,28.0,0.0,1204.0,31825.0,3558.0,,52755.0,47722.0
1960-10-01,,2938.0,34537.0,476.0,42764.0,45234.0,1194.0,37852.0,4700.0,,4443.0,,6937.0,3932.0,174.0,337.0,,4700.0,14502.0,1269.0,2557.0,3527.0,993.0,4618.0,-5383.0,906.0,2470.0,2427.6666666666665,4292.0,16866.0,276.0,5503.0,28.0,0.0,1148.0,32412.0,3527.0,,53555.0,48172.0
1961-01-01,,3507.0,35581.0,484.0,44043.0,46110.0,1210.0,38427.0,4852.0,,4609.0,,7043.0,3992.0,231.0,386.0,,4852.0,15355.0,1379.0,2602.0,3610.0,1023.0,4683.0,-6050.0,952.0,2067.0,2323.0,4347.0,17188.0,356.0,5511.0,21.0,0.0,1160.0,32920.0,3610.0,,55667.0,49617.0
1961-04-01,,3171.0,36580.0,468.0,45370.0,47246.0,1226.0,39171.0,4920.0,,4962.0,,7188.0,4312.0,230.0,420.0,,4920.0,14501.0,1420.0,2733.0,3870.0,1064.0,4752.0,-5683.0,982.0,1876.0,2276.0,4484.0,17453.0,356.0,5604.0,-3.0,0.0,1244.0,33443.0,3870.0,,56100.0,50417.0
1961-07-01,,3199.0,36821.0,496.0,45922.0,48291.0,1238.0,40062.0,5032.0,,5067.0,,7340.0,4392.0,227.0,448.0,,5032.0,15004.0,1428.0,2886.0,4069.0,1072.0,4820.0,-5623.0,1007.0,2369.0,2444.0,4646.0,17705.0,356.0,5834.0,14.0,0.0,1320.0,34096.0,4069.0,,57113.0,51490.0
1961-10-01,,3283.0,37443.0,520.0,46813.0,49286.0,1247.0,40952.0,5124.0,,5126.0,,7433.0,4432.0,224.0,470.0,,5124.0,16148.0,1441.0,2979.0,4247.0,1085.0,4900.0,-6519.0,1027.0,2473.0,2486.6666666666665,4747.0,17974.0,356.0,6127.0,16.0,0.0,1436.0,34769.0,4247.0,,59088.0,52569.0
1962-01-01,,3446.0,37943.0,524.0,47591.0,50386.0,1243.0,41814.0,5220.0,,5327.0,,7575.0,4616.0,226.0,485.0,,5220.0,15833.0,1477.0,3061.0,4429.0,1052.0,4998.0,-5624.0,1030.0,2794.0,2605.3333333333335,4850.0,18331.0,425.0,6334.0,3.0,0.0,1488.0,35476.0,4429.0,,59456.0,53832.0
1962-04-01,,3611.0,38441.0,540.0,48231.0,51069.0,1267.0,42390.0,5312.0,,5329.0,,7566.0,4612.0,223.0,494.0,,5312.0,15857.0,1543.0,3137.0,4478.0,1118.0,5095.0,-5360.0,1047.0,2838.0,2639.3333333333335,4960.0,18748.0,425.0,6378.0,9.0,0.0,1472.0,35958.0,4478.0,,60040.0,54680.0
1962-07-01,,3341.0,38814.0,556.0,48801.0,52184.0,1312.0,43139.0,5348.0,,5589.0,,7706.0,4868.0,226.0,495.0,,5348.0,16219.0,1588.0,3238.0,4639.0,1163.0,5175.0,-5385.0,1065.0,3383.0,2839.3333333333335,5103.0,19174.0,425.0,6341.0,25.0,0.0,1520.0,36516.0,4639.0,,60910.0,55525.0
1962-10-01,,3702.0,39488.0,572.0,49636.0,52829.0,1373.0,43773.0,5480.0,,5567.0,,7797.0,4848.0,229.0,490.0,,5480.0,16478.0,1544.0,3284.0,4668.0,1119.0,5273.0,-5396.0,1086.0,3193.0,2801.3333333333335,5191.0,19579.0,425.0,6355.0,19.0,0.0,1528.0,37054.0,4668.0,,61927.0,56531.0
1963-01-01,,3857.0,40294.0,596.0,50647.0,53631.0,1455.0,44422.0,5572.0,,5617.0,,7873.0,4896.0,254.0,467.0,,5572.0,17223.0,1541.0,3329.0,4773.0,1149.0,5355.0,-6136.0,1110.0,2984.0,2775.3333333333335,5269.0,19885.0,392.0,6423.0,30.0,8.0,1540.0,37613.0,4773.0,,63624.0,57488.0
1963-04-01,,3982.0,41104.0,624.0,51680.0,54798.0,1516.0,45217.0,5664.0,,5826.0,,8067.0,5104.0,256.0,466.0,,5664.0,17264.0,1615.0,3330.0,4900.0,1223.0,5457.0,-5844.0,1137.0,3118.0,2842.3333333333335,5303.0,20125.0,392.0,6605.0,33.0,12.0,1648.0,38266.0,4900.0,,64624.0,58780.0
1963-07-01,,4230.0,41934.0,640.0,52726.0,56314.0,1564.0,46332.0,5728.0,,6101.0,,8246.0,5372.0,257.0,472.0,,5728.0,18117.0,1677.0,3496.0,5053.0,1285.0,5548.0,-5915.0,1164.0,3588.0,3021.6666666666665,5497.0,20356.0,392.0,7038.0,27.0,12.0,1692.0,39143.0,5053.0,,66459.0,60544.0
1963-10-01,,4499.0,42863.0,656.0,53980.0,57401.0,1585.0,47097.0,5824.0,,6348.0,,8302.0,5608.0,253.0,487.0,,5824.0,18473.0,1715.0,3573.0,5277.0,1323.0,5665.0,-6082.0,1193.0,3421.0,2973.6666666666665,5587.0,20614.0,392.0,7346.0,30.0,16.0,1732.0,39778.0,5277.0,,67981.0,61900.0
1964-01-01,,4279.0,43853.0,664.0,55165.0,59236.0,1604.0,48282.0,5976.0,,6859.0,,8661.0,6068.0,256.0,535.0,,5976.0,18617.0,1827.0,3733.0,5324.0,1401.0,5761.0,-5735.0,1230.0,4071.0,3235.3333333333335,5763.0,20989.0,426.0,7405.0,31.0,12.0,1828.0,40691.0,5324.0,,69250.0,63515.0
1964-04-01,,4645.0,44768.0,672.0,56393.0,60281.0,1620.0,49233.0,6088.0,,6802.0,,8668.0,6000.0,256.0,546.0,,6088.0,19421.0,1954.0,3951.0,5525.0,1528.0,5859.0,-6281.0,1252.0,3888.0,3190.6666666666665,5999.0,21446.0,426.0,7623.0,33.0,12.0,1828.0,41406.0,5525.0,,71207.0,64926.0
1964-07-01,,5083.0,45634.0,688.0,57218.0,61204.0,1635.0,50484.0,6196.0,,6491.0,,8890.0,5684.0,258.0,549.0,,6196.0,19551.0,1906.0,4139.0,5379.0,1480.0,5957.0,-5793.0,1269.0,3987.0,3245.6666666666665,6215.0,21924.0,426.0,7856.0,53.0,8.0,1872.0,42397.0,5379.0,,72081.0,66287.0
1964-10-01,,4877.0,46677.0,704.0,58537.0,62271.0,1649.0,51093.0,6356.0,,6868.0,,8961.0,6060.0,262.0,546.0,,6356.0,19507.0,1957.0,4249.0,5496.0,1531.0,6064.0,-6113.0,1281.0,3733.0,3189.3333333333335,6359.0,22389.0,426.0,7752.0,59.0,8.0,1848.0,42886.0,5496.0,,73261.0,67148.0
1965-01-01,,4790.0,47811.0,724.0,59954.0,63449.0,1666.0,52152.0,6464.0,,6818.0,,9139.0,5976.0,339.0,503.0,,6464.0,19721.0,2089.0,4323.0,5671.0,1642.0,6211.0,-6500.0,1275.0,3495.0,3127.6666666666665,6460.0,22757.0,447.0,8091.0,78.0,8.0,1876.0,43816.0,5671.0,,74739.0,68239.0
1965-04-01,,4718.0,49017.0,752.0,61515.0,65203.0,1673.0,53175.0,6612.0,,7367.0,,9496.0,6520.0,341.0,506.0,,6612.0,20676.0,2236.0,4380.0,5871.0,1789.0,6364.0,-7191.0,1285.0,3688.0,3210.3333333333335,6547.0,23054.0,447.0,8264.0,98.0,16.0,1940.0,44688.0,5871.0,,77112.0,69921.0
1965-07-01,,4662.0,50376.0,764.0,63031.0,66705.0,1667.0,54393.0,6720.0,,7695.0,,9690.0,6832.0,335.0,528.0,,6720.0,21909.0,2186.0,4430.0,5915.0,1739.0,6495.0,-8378.0,1299.0,3674.0,3244.6666666666665,6621.0,23329.0,447.0,8823.0,81.0,20.0,1980.0,45792.0,5915.0,,79744.0,71367.0
1965-10-01,,4818.0,51569.0,792.0,64422.0,68224.0,1647.0,55700.0,6808.0,,7804.0,,9867.0,6912.0,325.0,567.0,,6808.0,22353.0,2281.0,4535.0,6017.0,1834.0,6638.0,-8412.0,1317.0,3802.0,3302.3333333333335,6756.0,23608.0,447.0,9370.0,103.0,28.0,2112.0,46832.0,6017.0,,81454.0,73042.0
1966-01-01,,5058.0,53124.0,800.0,66383.0,71116.0,1607.0,56915.0,7032.0,,9299.0,,9972.0,8336.0,320.0,643.0,,7032.0,22706.0,2495.0,4847.0,6199.0,1968.0,6788.0,-7478.0,1352.0,4734.0,3658.6666666666665,7134.0,23922.0,527.0,9569.0,107.0,28.0,2256.0,47525.0,6199.0,,83653.0,76174.0
1966-04-01,,5115.0,54574.0,816.0,68438.0,73401.0,1582.0,58046.0,7508.0,,10405.0,,10105.0,9396.0,308.0,701.0,,7508.0,23075.0,2552.0,5225.0,6332.0,2025.0,7019.0,-7347.0,1368.0,4963.0,3796.0,7567.0,24288.0,527.0,9635.0,112.0,24.0,2256.0,48223.0,6332.0,,85862.0,78516.0
1966-07-01,,5237.0,56148.0,828.0,70461.0,75376.0,1573.0,59478.0,7724.0,,10807.0,,10134.0,9744.0,302.0,761.0,,7724.0,23385.0,2690.0,5634.0,6565.0,2163.0,7186.0,-7426.0,1379.0,4915.0,3839.6666666666665,8018.0,24714.0,527.0,10034.0,126.0,24.0,2232.0,49228.0,6565.0,,88039.0,80613.0
1966-10-01,,5166.0,57717.0,840.0,72587.0,76880.0,1568.0,60633.0,8220.0,,11105.0,,10229.0,9988.0,302.0,815.0,,8220.0,24749.0,2735.0,5982.0,6630.0,2208.0,7371.0,-9305.0,1385.0,4293.0,3686.0,8385.0,25216.0,527.0,10134.0,131.0,20.0,2176.0,50072.0,6630.0,,91351.0,82046.0
1967-01-01,,5111.0,58816.0,852.0,73779.0,78409.0,1565.0,61575.0,8368.0,,11625.0,,10285.0,10304.0,452.0,869.0,,8368.0,25837.0,2792.0,5921.0,6571.0,2156.0,7519.0,-9939.0,1362.0,4630.0,3781.6666666666665,8319.0,25842.0,636.0,10106.0,126.0,24.0,2580.0,50676.0,6571.0,,93459.0,83520.0
1967-04-01,,4243.0,60205.0,868.0,75945.0,79925.0,1561.0,62542.0,8948.0,,12162.0,,10419.0,10796.0,455.0,911.0,,8948.0,25688.0,2792.0,5866.0,6768.0,2156.0,7643.0,-11193.0,1371.0,3980.0,3574.6666666666665,8294.0,26566.0,636.0,10254.0,117.0,24.0,2576.0,51672.0,6768.0,,95361.0,84168.0
1967-07-01,,5331.0,62168.0,888.0,79080.0,82548.0,1549.0,64819.0,9524.0,,12184.0,,10724.0,10780.0,460.0,944.0,,9524.0,25250.0,3107.0,6199.0,7359.0,2471.0,7850.0,-9986.0,1386.0,3468.0,3420.3333333333335,8677.0,27333.0,636.0,11031.0,139.0,28.0,2600.0,53542.0,7359.0,,97865.0,87879.0
