Date,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Gross domestic purchases excluding final sales of computers to domestic purchasers,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1965-04-01,-3.9,5.1000000000000005,,7.0,1.2,5.2,,,5.0,,,6.3,9.3,6.7,15.3
1965-07-01,17.6,9.433333333333334,,8.6,10.6,9.2,,,9.2,,,4.3,10.2,8.2,7.7
1965-10-01,3.6,16.466666666666665,,10.8,13.3,9.5,,,9.5,,,23.5,12.2,7.3,4.1
1966-01-01,39.5,11.200000000000001,,6.9,18.3,10.1,,,10.0,,,0.9,12.0,2.6,8.9
1966-04-01,-4.5,-0.4000000000000002,,1.8,-1.3,1.4,,,1.1,,,1.9,10.9,9.1,-15.4
1966-07-01,11.3,5.699999999999999,,4.1,4.0,3.4,,,3.2,,,-2.7,9.3,4.3,-2.3
1966-10-01,5.7,1.9333333333333336,,1.2,6.8,3.3,,,3.2,,,7.8,7.2,4.9,-15.5
1967-01-01,-13.0,-0.6333333333333332,,4.2,-1.8,3.6,,,3.5,,,10.6,5.7,9.9,0.6
1967-04-01,-2.6,5.666666666666667,,4.3,-3.6,0.2,,-0.8,0.1,,27.7,-4.4,4.6,2.2,8.6
1967-07-01,2.9,-0.7333333333333334,,2.7,2.0,3.8,,4.3,3.8,,-7.6,1.1,4.8,4.9,7.0
1967-10-01,5.1,0.6,,3.5,-0.4,3.1,,3.0,3.0,,4.7,-5.5,4.7,4.5,11.4
1968-01-01,3.9,9.766666666666667,,8.6,9.3,8.4,,5.9,8.5,,83.3,14.8,5.0,8.6,4.1
1968-04-01,8.7,2.8666666666666667,,4.1,9.5,6.9,,6.1,6.9,,23.1,10.2,4.3,4.7,6.1
1968-07-01,5.0,9.066666666666666,,6.2,1.9,3.1,,4.0,3.1,,-12.6,-1.0,3.5,4.5,2.4
1968-10-01,7.7,0.6666666666666666,,2.4,-1.1,1.6,,0.9,1.5,,16.0,-9.1,3.4,3.5,4.1
1969-01-01,12.7,7.866666666666666,,4.2,13.1,6.4,,6.4,6.5,,7.1,13.4,2.3,0.9,5.2
1969-04-01,-9.1,-1.1666666666666667,,2.0,-2.9,1.2,,2.9,1.2,,-29.8,3.7,1.2,5.8,-1.6
1969-07-01,10.0,1.9000000000000001,,2.2,2.9,2.7,,1.1,2.8,,44.4,-3.5,-0.8,2.8,1.2
1969-10-01,-3.8,0.9999999999999999,,-0.1,-3.5,-1.9,,-0.5,-1.9,,-28.3,-3.1,-3.2,3.4,-17.5
1970-01-01,-14.0,1.8,,1.1,-2.1,-0.6,,1.5,-0.4,,-41.1,10.7,-6.3,1.3,-2.9
1970-04-01,2.5,0.23333333333333336,,-0.9,3.8,0.6,,-0.9,0.8,,47.3,5.0,-6.4,0.6,-11.4
1970-07-01,10.8,1.5,,3.8,1.5,3.7,,4.7,4.0,,-18.1,-6.5,-4.2,3.5,14.6
1970-10-01,-33.6,-6.6000000000000005,,-0.9,-14.2,-4.2,,0.9,-4.2,,-81.2,8.0,-4.8,1.5,11.9
1971-01-01,41.3,7.133333333333334,,5.1,23.3,11.3,,2.6,11.7,,1031.4,9.3,-0.8,3.2,7.0
1971-04-01,-5.0,-0.23333333333333348,,2.7,-1.4,2.2,,3.5,2.2,,-21.6,2.0,0.2,2.1,17.0
1971-07-01,15.2,4.8,,3.6,3.7,3.3,,3.1,3.4,,8.4,-5.7,0.7,2.3,6.2
1971-10-01,-7.7,4.6000000000000005,,4.6,-4.5,0.9,,0.2,0.9,,20.5,-1.5,3.1,4.0,7.4
1972-01-01,19.8,4.533333333333333,,5.9,8.6,7.6,,6.6,7.6,,30.7,-1.1,6.7,5.2,14.2
1972-04-01,18.1,13.233333333333334,,6.5,21.1,9.4,,9.9,9.5,,-0.7,24.1,4.1,2.8,0.2
1972-07-01,10.2,5.5,,3.6,6.0,3.8,,5.4,3.9,,-26.4,2.1,2.4,2.8,0.6
1972-10-01,27.7,16.966666666666665,,9.7,9.3,6.9,,3.6,6.9,,113.9,-6.2,4.3,3.7,11.9
1973-01-01,29.1,15.433333333333332,,8.8,18.8,10.3,,8.4,10.5,,56.6,9.2,3.3,3.2,11.8
1973-04-01,12.4,4.133333333333334,,1.8,10.7,4.4,,6.1,4.5,,-23.7,9.1,0.8,2.6,-8.6
1973-07-01,-0.4,0.4666666666666666,,0.5,-5.6,-2.1,,-1.6,-2.1,,-11.7,-10.6,-1.2,1.9,-5.2
1973-10-01,0.8,2.3666666666666667,,0.5,10.6,3.9,,4.7,4.0,,-13.6,21.4,-2.3,1.3,-8.5
1974-01-01,-6.9,0.0666666666666667,,-0.5,-6.8,-3.4,,-2.0,-3.3,,-32.9,-6.8,-4.9,1.8,-11.6
