Date,Actual employer and household contributions (5+7),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Claims to benefits accrued through service to employers,Contributions,"Current expenditures, accrual basis","Current receipts, accrual basis",Dividends,Effect on personal income (1-7-9 or 15-7-9),Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets,Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets (including plans' claims on employers),Interest,Interest accrued on benefit entitlements,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Benefit payments and withdrawals (20),Less: Effect on personal consumption expenditures (2),Less: Interest and dividend income received by plans (10),Less: Pension service charges,Monetary income receipts on assets (12+14),Monetary interest,Net change in benefit entitlements,Output,Plus: Household actual contributions (7),Plus: Implied funding of benefits from holding gains on assets
1950-01-01,905.0,510.0,395.0,8.0,385.0,649.0,1365.0,2068.0,2779.0,2779.0,0.0,1681.0,1686.0,1676.0,1673.0,703.0,468.0,703.0,566.0,703.0,703.0,706.0,8.0,385.0,385.0,8.0,703.0,8.0,137.0,137.0,1683.0,8.0,395.0,3.0
1951-01-01,1115.0,625.0,490.0,8.0,475.0,795.0,1537.0,2331.0,3133.0,3133.0,0.0,1849.0,1855.0,1840.0,1841.0,794.0,430.0,794.0,631.0,794.0,794.0,792.0,8.0,475.0,475.0,8.0,794.0,8.0,163.0,163.0,1856.0,8.0,490.0,-2.0
1952-01-01,1275.0,715.0,560.0,7.0,545.0,915.0,1747.0,2617.0,3494.0,3494.0,0.0,2064.0,2066.0,2051.0,2057.0,870.0,479.0,870.0,678.0,870.0,870.0,864.0,7.0,545.0,545.0,7.0,870.0,7.0,192.0,192.0,2072.0,7.0,560.0,-6.0
1953-01-01,1415.0,790.0,625.0,8.0,620.0,991.0,1912.0,2863.0,3822.0,3822.0,0.0,2246.0,2257.0,2252.0,2238.0,951.0,505.0,951.0,747.0,951.0,951.0,965.0,8.0,620.0,620.0,8.0,951.0,8.0,204.0,204.0,2243.0,8.0,625.0,14.0
1954-01-01,1630.0,940.0,690.0,8.0,690.0,1175.0,2100.0,3144.0,4197.0,4197.0,0.0,2462.0,2471.0,2471.0,2454.0,1045.0,478.0,1045.0,802.0,1045.0,1045.0,1061.0,8.0,690.0,690.0,8.0,1045.0,8.0,243.0,243.0,2454.0,8.0,690.0,17.0
1955-01-01,1740.0,985.0,755.0,7.0,760.0,1253.0,2269.0,3423.0,4584.0,4584.0,0.0,2675.0,2689.0,2694.0,2668.0,1154.0,536.0,1154.0,874.0,1154.0,1154.0,1180.0,7.0,760.0,760.0,7.0,1154.0,7.0,280.0,280.0,2663.0,7.0,755.0,26.0
1956-01-01,1945.0,1110.0,835.0,8.0,872.0,1388.0,2512.0,3798.0,5092.0,5092.0,0.0,2971.0,2953.0,2990.0,2963.0,1286.0,575.0,1286.0,963.0,1286.0,1286.0,1312.0,8.0,872.0,872.0,8.0,1286.0,8.0,323.0,323.0,2926.0,8.0,835.0,26.0
1957-01-01,2185.0,1270.0,915.0,11.0,995.0,1553.0,2776.0,4228.0,5692.0,5692.0,0.0,3324.0,3248.0,3328.0,3313.0,1452.0,602.0,1452.0,1078.0,1452.0,1452.0,1467.0,11.0,995.0,995.0,11.0,1452.0,11.0,374.0,374.0,3233.0,11.0,915.0,15.0
1958-01-01,2395.0,1370.0,1025.0,25.0,1105.0,1715.0,3083.0,4710.0,6363.0,6363.0,0.0,3710.0,3599.0,3679.0,3685.0,1628.0,713.0,1628.0,1178.0,1628.0,1628.0,1621.0,25.0,1105.0,1105.0,25.0,1628.0,25.0,450.0,450.0,3605.0,25.0,1025.0,-7.0
1959-01-01,2677.0,1563.0,1114.0,33.0,1219.0,2000.0,3100.0,5101.0,7135.0,7135.0,0.0,4020.0,3886.0,3991.0,3987.0,2001.0,456.0,2001.0,1426.0,2001.0,2001.0,2005.0,33.0,1219.0,1219.0,33.0,2001.0,33.0,575.0,575.0,3882.0,33.0,1114.0,4.0
1960-01-01,2981.0,1780.0,1201.0,20.0,1372.0,2271.0,3430.0,5635.0,7860.0,7860.0,0.0,4454.0,4231.0,4402.0,4434.0,2205.0,469.0,2205.0,1523.0,2205.0,2205.0,2173.0,20.0,1372.0,1372.0,20.0,2205.0,20.0,682.0,682.0,4263.0,20.0,1201.0,-32.0
1961-01-01,3190.0,1910.0,1280.0,32.0,1510.0,2444.0,3776.0,6282.0,8820.0,8820.0,0.0,5034.0,4705.0,4935.0,5002.0,2506.0,618.0,2506.0,1710.0,2506.0,2506.0,2440.0,32.0,1510.0,1510.0,32.0,2506.0,32.0,796.0,796.0,4772.0,32.0,1280.0,-66.0
1962-01-01,3317.0,1976.0,1341.0,15.0,1631.0,2575.0,3648.0,6671.0,9710.0,9710.0,0.0,5345.0,5183.0,5473.0,5330.0,3023.0,346.0,3023.0,2119.0,3023.0,3023.0,3166.0,15.0,1631.0,1631.0,15.0,3023.0,15.0,904.0,904.0,5040.0,15.0,1341.0,142.0
1963-01-01,3596.0,2195.0,1401.0,40.0,1779.0,2791.0,3964.0,7305.0,10686.0,10686.0,0.0,5944.0,5664.0,6042.0,5904.0,3341.0,408.0,3341.0,2327.0,3341.0,3341.0,3478.0,40.0,1779.0,1779.0,40.0,3341.0,40.0,1014.0,1014.0,5526.0,40.0,1401.0,138.0
1964-01-01,4015.0,2424.0,1591.0,43.0,2000.0,3154.0,4347.0,8040.0,11776.0,11776.0,0.0,6492.0,6141.0,6550.0,6449.0,3693.0,375.0,3693.0,2511.0,3693.0,3693.0,3795.0,43.0,2000.0,2000.0,43.0,3693.0,43.0,1182.0,1182.0,6040.0,43.0,1591.0,102.0
1965-01-01,4262.0,2533.0,1729.0,49.0,2137.0,3352.0,4791.0,8795.0,12849.0,12849.0,0.0,7115.0,6820.0,7228.0,7066.0,4004.0,578.0,4004.0,2728.0,4004.0,4004.0,4166.0,49.0,2137.0,2137.0,49.0,4004.0,49.0,1276.0,1276.0,6658.0,49.0,1729.0,161.0
1966-01-01,4891.0,2989.0,1902.0,56.0,2497.0,3868.0,5335.0,9866.0,14454.0,14454.0,0.0,8020.0,7436.0,8031.0,7964.0,4532.0,500.0,4532.0,3002.0,4532.0,4532.0,4598.0,56.0,2497.0,2497.0,56.0,4532.0,56.0,1530.0,1530.0,7369.0,56.0,1902.0,66.0
1967-01-01,5788.0,3584.0,2204.0,64.0,2877.0,4675.0,5759.0,11048.0,16401.0,16401.0,0.0,8908.0,8320.0,8993.0,8844.0,5289.0,35.0,5289.0,3461.0,5289.0,5289.0,5438.0,64.0,2877.0,2877.0,64.0,5289.0,64.0,1828.0,1828.0,8171.0,64.0,2204.0,149.0
1968-01-01,6283.0,3850.0,2433.0,101.0,3031.0,5120.0,6747.0,12780.0,18915.0,18915.0,97.0,10448.0,10004.0,10602.0,10347.0,6034.0,565.0,6034.0,4065.0,6034.0,5937.0,6288.0,101.0,3031.0,3031.0,101.0,6034.0,101.0,1969.0,1872.0,9749.0,101.0,2433.0,255.0
1969-01-01,7244.0,4526.0,2718.0,116.0,3516.0,5682.0,7779.0,14635.0,21607.0,21607.0,151.0,12033.0,11556.0,12354.0,11917.0,6856.0,651.0,6856.0,4786.0,6856.0,6705.0,7293.0,116.0,3516.0,3516.0,116.0,6856.0,116.0,2070.0,1919.0,11119.0,116.0,2718.0,437.0
1970-01-01,8172.0,5108.0,3064.0,131.0,4037.0,6764.0,8570.0,17070.0,25702.0,25702.0,235.0,14137.0,13324.0,14297.0,14006.0,8500.0,529.0,8500.0,5740.0,8500.0,8265.0,8791.0,131.0,4037.0,4037.0,131.0,8500.0,131.0,2760.0,2525.0,13033.0,131.0,3064.0,291.0
1971-01-01,9043.0,5608.0,3435.0,146.0,4662.0,7418.0,10251.0,20276.0,30447.0,30447.0,279.0,16987.0,15898.0,17125.0,16841.0,10025.0,1354.0,10025.0,6842.0,10025.0,9746.0,10310.0,146.0,4662.0,4662.0,146.0,10025.0,146.0,3183.0,2904.0,15614.0,146.0,3435.0,285.0
1972-01-01,10182.0,6370.0,3812.0,158.0,5511.0,8452.0,12045.0,24317.0,36746.0,36746.0,328.0,20663.0,18837.0,20536.0,20505.0,12272.0,2021.0,12272.0,8333.0,12272.0,11944.0,12303.0,158.0,5511.0,5511.0,158.0,12272.0,158.0,3939.0,3611.0,18806.0,158.0,3812.0,31.0
1973-01-01,11501.0,7348.0,4153.0,170.0,6294.0,9353.0,11931.0,26480.0,41199.0,41199.0,458.0,22497.0,21288.0,23429.0,22327.0,14549.0,600.0,14549.0,10233.0,14549.0,14091.0,15650.0,170.0,6294.0,6294.0,170.0,14549.0,170.0,4316.0,3858.0,20186.0,170.0,4153.0,1102.0
1974-01-01,12948.0,8505.0,4443.0,180.0,7080.0,10624.0,13200.0,30059.0,47097.0,47097.0,821.0,25796.0,23740.0,26377.0,25616.0,16858.0,432.0,16858.0,11922.0,16858.0,16037.0,17620.0,180.0,7080.0,7080.0,180.0,16858.0,180.0,4936.0,4115.0,22979.0,180.0,4443.0,761.0
1975-01-01,15007.0,10197.0,4810.0,192.0,8182.0,12660.0,14935.0,34834.0,54925.0,54925.0,842.0,30216.0,26541.0,29913.0,30024.0,19899.0,120.0,19899.0,13872.0,19899.0,19057.0,19789.0,192.0,8182.0,8182.0,192.0,19899.0,192.0,6027.0,5185.0,26652.0,192.0,4810.0,-111.0
1976-01-01,17369.0,12088.0,5281.0,213.0,9581.0,15050.0,14574.0,37366.0,60371.0,60371.0,842.0,32298.0,28307.0,32607.0,32085.0,22792.0,-2582.0,22792.0,15317.0,22792.0,21950.0,23313.0,213.0,9581.0,9581.0,213.0,22792.0,213.0,7475.0,6633.0,27785.0,213.0,5281.0,521.0
1977-01-01,19333.0,13529.0,5804.0,217.0,10544.0,17008.0,15965.0,41211.0,66673.0,66673.0,1256.0,35624.0,31388.0,36128.0,35407.0,25246.0,-3151.0,25246.0,16810.0,25246.0,23990.0,25967.0,217.0,10544.0,10544.0,217.0,25246.0,217.0,8436.0,7180.0,30667.0,217.0,5804.0,721.0
1978-01-01,21297.0,15043.0,6254.0,231.0,11960.0,18813.0,17591.0,45734.0,74108.0,74108.0,1671.0,39711.0,34118.0,39824.0,39480.0,28143.0,-3475.0,28143.0,18436.0,28143.0,26472.0,28486.0,231.0,11960.0,11960.0,231.0,28143.0,231.0,9707.0,8036.0,33774.0,231.0,6254.0,343.0
1979-01-01,23560.0,16869.0,6691.0,249.0,13304.0,22049.0,19363.0,51169.0,83223.0,83223.0,1913.0,44727.0,37484.0,44097.0,44478.0,31806.0,-3948.0,31806.0,19764.0,31806.0,29893.0,31425.0,249.0,13304.0,13304.0,249.0,31806.0,249.0,12042.0,10129.0,37865.0,249.0,6691.0,-381.0
1980-01-01,26209.0,19132.0,7077.0,268.0,15052.0,25769.0,20438.0,57187.0,94204.0,94204.0,1782.0,50378.0,40939.0,48914.0,50110.0,36749.0,-5503.0,36749.0,21869.0,36749.0,34967.0,35553.0,268.0,15052.0,15052.0,268.0,36749.0,268.0,14880.0,13098.0,42135.0,268.0,7077.0,-1195.0
1981-01-01,28652.0,20808.0,7844.0,356.0,17151.0,28724.0,23700.0,65099.0,106854.0,106854.0,2159.0,57611.0,46370.0,55677.0,57255.0,41399.0,-4596.0,41399.0,23820.0,41399.0,39240.0,39821.0,356.0,17151.0,17151.0,356.0,41399.0,356.0,17579.0,15420.0,47948.0,356.0,7844.0,-1578.0
1982-01-01,31836.0,23277.0,8559.0,446.0,19338.0,35664.0,27203.0,77174.0,127591.0,127591.0,2795.0,69061.0,52343.0,63122.0,68615.0,49971.0,-4187.0,49971.0,26359.0,49971.0,47176.0,44477.0,446.0,19338.0,19338.0,446.0,49971.0,446.0,23612.0,20817.0,57836.0,446.0,8559.0,-5494.0
1983-01-01,33576.0,24820.0,8756.0,413.0,20519.0,40730.0,29446.0,86231.0,143428.0,143428.0,3194.0,77888.0,58744.0,70507.0,77475.0,56785.0,-3717.0,56785.0,28699.0,56785.0,53591.0,49818.0,413.0,20519.0,20519.0,413.0,56785.0,413.0,28086.0,24892.0,65712.0,413.0,8756.0,-6967.0
1984-01-01,35570.0,26346.0,9224.0,401.0,23509.0,41923.0,31572.0,91081.0,150991.0,150991.0,3699.0,82258.0,61785.0,76070.0,81857.0,59509.0,-3597.0,59509.0,29246.0,59509.0,55810.0,53722.0,401.0,23509.0,23509.0,401.0,59509.0,401.0,30263.0,26564.0,67572.0,401.0,9224.0,-5787.0
1985-01-01,37999.0,28036.0,9963.0,653.0,25498.0,46273.0,33951.0,98423.0,163547.0,163547.0,4346.0,89113.0,66750.0,82285.0,88460.0,64471.0,-3395.0,64471.0,30046.0,64471.0,60125.0,58297.0,653.0,25498.0,25498.0,653.0,64471.0,653.0,34425.0,30079.0,72925.0,653.0,9963.0,-6174.0
