Date,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Nondefense,Nondurable goods,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1955-01-01,4.7,,-7.966666666666666,41.1,31.1,3.7,15.7,-7.5,,,16.3,2.4,,23.9,6.6,26.666666666666668,0.2,11.9,-2.866666666666667,,46.3,,,,25.8,-28.8,-8.9,4.0,,92.9,-0.9,-38.6,4.2,7.1,-12.6,-10.4,0.9,7.1,,9.3,,9.8,-9.4,32.8,1.2,,17.7,13.0,68.5,
1955-04-01,11.4,,2.9,23.5,14.2,40.5,-9.1,-8.2,,,17.8,6.3,,5.2,10.1,1.233333333333333,-3.9,6.7,13.933333333333332,,26.6,,,,24.7,24.9,49.6,13.1,,45.9,-12.7,24.1,7.6,26.1,51.1,16.2,42.0,5.2,,7.9,,12.6,12.5,5.9,29.633333333333336,,5.3,10.3,51.4,
1955-07-01,-3.3,,11.233333333333333,13.6,6.2,27.5,29.0,4.3,,,9.4,3.2,,15.7,4.2,11.833333333333334,2.6,5.5,-25.833333333333332,,6.3,,,,6.9,24.0,74.3,15.1,,15.0,4.4,3.6,2.7,21.3,79.6,1.8,12.9,7.5,,5.0,,11.2,21.0,-8.3,17.7,,-0.6,13.9,27.6,
1955-10-01,8.8,,-10.566666666666668,-10.2,2.4,12.2,1.8,-12.7,,,1.6,6.1,,-0.4,11.4,16.966666666666665,-7.7,2.4,-0.20000000000000048,,9.6,,,,15.4,33.9,28.6,22.1,,-25.3,-11.2,-20.8,8.4,12.5,26.2,15.3,26.5,11.9,,5.1,,7.2,35.3,-15.8,-5.466666666666666,,2.4,10.3,-18.5,
1956-01-01,0.2,,-7.233333333333333,-17.0,-16.3,-18.4,20.4,-2.4,,,-6.5,6.2,,5.2,4.0,12.866666666666667,-0.1,-1.5,32.43333333333334,,-10.9,,,,17.8,-14.2,-22.2,20.0,,-38.0,-1.5,-8.2,4.6,-4.8,-21.9,-7.0,-6.5,5.8,,0.7,,0.0,45.1,-9.8,10.4,,4.3,13.0,-30.4,
1956-04-01,1.5,,4.8,0.5,-5.4,0.8,29.8,10.1,,,4.2,-1.8,,13.1,0.8,5.833333333333333,8.3,3.3,34.0,,-3.1,,,,-2.1,7.6,62.8,16.4,,-13.9,10.3,9.3,-1.0,7.3,62.1,5.7,-17.2,-2.7,,1.4,,9.8,28.4,-2.1,18.0,,5.1,15.0,-9.0,
1956-07-01,3.8,,-17.1,-6.8,5.9,4.1,14.1,-6.4,,,0.2,0.1,,-7.2,-4.8,3.266666666666667,-3.5,-0.3,23.23333333333333,,-3.6,,,,3.6,34.1,-18.3,9.6,,-12.6,-1.1,-35.2,0.3,4.1,-17.7,8.7,14.9,0.1,,0.9,,0.0,11.3,-7.3,10.4,,2.0,2.6,-22.4,
1956-10-01,-0.5,,17.333333333333336,13.5,13.2,-1.0,19.1,14.4,,,-1.8,3.3,,1.1,9.1,9.633333333333333,10.6,6.8,6.833333333333333,,-3.6,,,,-17.1,-10.8,10.8,9.2,,32.3,12.7,26.3,3.2,0.1,9.6,8.1,-19.2,3.9,,5.6,,3.4,7.4,-5.8,-8.0,,4.1,-0.9,29.6,
1957-01-01,-4.9,,20.566666666666666,7.6,5.0,7.4,28.7,8.1,,,-0.3,3.0,,-3.8,5.6,14.6,8.9,2.6,12.633333333333333,,-6.1,,,,35.8,1.0,6.9,-4.0,,30.0,3.7,43.0,2.4,2.1,8.0,-10.2,8.6,7.5,,2.8,,-8.1,-7.8,-5.4,44.86666666666667,,10.3,-3.4,14.0,
1957-04-01,-1.7,,-15.733333333333334,-9.2,12.1,-1.5,-11.4,-4.9,,,-3.4,3.9,,-0.7,-4.7,-2.8000000000000003,-2.1,-0.9,11.133333333333333,,-0.4,,,,3.1,-1.5,46.0,0.8,,-15.5,3.3,-47.0,1.5,-0.8,42.8,-9.8,-20.7,3.1,,0.7,,-8.2,-4.4,-9.1,-1.2999999999999998,,3.3,-0.3,-0.9,
1957-07-01,8.8,,-4.066666666666666,-2.7,8.1,14.9,-10.7,2.1,,,4.1,3.8,,-2.2,8.0,-5.366666666666667,3.5,4.0,14.033333333333333,,9.5,,,,-7.4,3.0,33.6,4.9,,-11.5,3.7,-9.3,5.7,8.3,37.5,25.2,3.8,5.6,,3.2,,6.2,3.4,-5.2,-1.9666666666666666,,5.8,0.1,29.7,
1957-10-01,-9.8,,59.46666666666667,-4.6,-1.7,-14.9,-11.4,4.8,,,-6.5,-1.0,,-9.0,-1.0,-1.8333333333333333,6.7,-4.1,1.5666666666666664,,-27.4,,,,1.3,-14.8,-33.8,1.9,,1.0,-4.5,104.0,-2.6,-8.9,-33.6,-3.1,-4.5,0.1,,0.2,,-9.9,3.8,-0.5,12.033333333333331,,10.2,-2.3,-12.1,
1958-01-01,-3.9,,-22.366666666666664,-24.0,-8.6,-36.2,-34.1,-11.3,,,-20.7,-3.0,,0.1,2.3,-17.5,-3.4,-10.0,28.933333333333337,,-24.4,,,,6.1,-31.4,-22.6,1.2,,-49.4,-3.0,-52.9,-3.5,-23.1,-23.2,-7.1,-8.7,-8.1,,-5.4,,1.8,6.3,-14.8,4.7,,11.8,-7.3,-61.6,
1958-04-01,7.9,,55.599999999999994,-6.0,6.3,-19.0,1.8,13.2,,,-9.5,-0.5,,-6.5,12.5,1.9333333333333333,10.4,2.7,8.066666666666668,,-7.8,,,,18.3,-21.9,-23.9,5.8,,-5.6,4.5,98.6,3.7,-13.9,-23.9,-2.4,18.5,5.2,,3.4,,-8.5,5.8,1.4,24.400000000000002,,5.7,-12.6,-41.2,
1958-07-01,9.3,,-1.9999999999999998,8.5,4.6,-4.1,1.3,-1.4,,,6.1,3.7,,14.5,7.3,5.033333333333333,2.3,9.6,3.966666666666667,,34.4,,,,-5.9,-17.3,11.0,10.7,,0.3,0.0,-9.8,7.5,-4.1,10.2,11.1,18.5,15.8,,6.8,,15.1,13.8,32.1,-6.766666666666667,,8.8,-8.8,-16.0,
1958-10-01,7.1,,27.200000000000003,15.5,24.2,23.4,-1.5,9.0,,,25.9,4.9,,6.2,3.6,12.633333333333333,8.3,9.7,13.799999999999999,,38.7,,,,22.8,15.1,18.4,14.7,,28.9,3.0,56.3,5.6,15.8,15.3,8.1,3.2,7.1,,5.5,,12.7,10.5,48.6,6.233333333333333,,7.1,6.3,74.9,
1959-01-01,1.5,,-0.26666666666666666,23.6,29.8,23.9,32.3,-7.7,,,25.7,7.5,,7.9,0.7,4.5666666666666655,-4.0,7.9,16.7,,23.6,,,,11.0,12.1,3.3,12.8,,47.7,-11.9,19.7,5.3,13.1,7.5,-5.8,5.3,6.7,,7.5,,26.6,5.0,53.4,167.9,,2.4,-1.4,79.5,
1959-04-01,10.7,,45.93333333333334,15.9,3.0,12.6,-3.2,7.6,-1.9,14.3,12.9,2.4,5.4,9.0,0.8,15.300000000000002,5.0,9.3,2.866666666666666,-9.4,34.9,3.1,6.3,4.0,20.9,-8.6,10.2,7.2,-13.2,27.1,-5.2,102.5,3.4,12.0,7.0,7.8,6.9,0.1,9.2,6.3,10.0,7.3,9.8,14.7,-6.833333333333333,,0.9,13.0,50.5,6.1
1959-07-01,-2.7,,4.433333333333334,8.0,-9.0,13.7,44.5,5.5,-1.9,8.2,4.3,2.4,8.9,2.0,-1.4,17.633333333333333,3.5,0.3,-2.9000000000000004,-8.1,-23.4,1.5,5.7,7.4,3.9,1.3,10.0,-2.0,-11.3,16.8,6.7,0.2,1.5,11.2,7.9,1.7,5.2,5.7,0.7,4.2,2.7,0.8,1.5,-7.3,16.466666666666665,,0.2,12.4,37.9,8.6
1959-10-01,3.9,,-2.4,-17.8,-12.8,-0.8,-18.4,-3.9,11.5,7.9,-4.6,2.7,4.6,2.1,0.0,-11.4,-3.2,1.1,-2.3000000000000003,0.1,13.7,-1.1,4.7,5.8,-9.8,27.2,43.1,3.1,-5.5,-39.9,-3.2,-7.1,2.5,-1.1,40.6,7.0,4.2,2.3,4.2,0.5,4.9,1.6,9.9,-10.9,-5.566666666666667,,-2.0,-3.0,-39.1,5.0
1960-01-01,1.2,,-20.23333333333333,13.5,-24.3,14.6,62.3,-14.2,28.3,-0.4,14.0,-1.4,-6.4,-6.5,3.4,31.099999999999998,-6.6,9.3,10.2,19.4,46.7,5.6,3.0,5.6,15.9,8.6,21.6,6.5,15.1,48.7,-5.5,-47.5,1.0,14.6,10.5,-6.4,-19.7,5.2,4.1,3.9,9.6,-5.3,20.0,12.9,19.266666666666666,,6.9,17.8,62.7,2.3
1960-04-01,2.8,,6.6000000000000005,9.4,-13.9,6.9,12.0,1.0,14.2,5.0,-7.1,2.5,6.2,3.6,9.7,10.799999999999999,4.6,-2.1,22.599999999999998,9.6,-32.4,2.9,4.2,4.0,3.1,33.0,26.8,5.2,7.4,16.1,-2.7,22.8,4.4,6.0,26.2,7.1,-2.6,7.7,4.7,5.1,4.6,5.6,10.5,-28.9,-3.1,,10.4,4.8,-16.9,0.8
1960-07-01,-6.3,,7.233333333333333,-3.1,46.6,-16.2,9.0,12.9,5.4,0.8,-8.3,-2.4,-5.2,-11.5,-6.7,-5.1,10.2,2.0,18.066666666666666,-6.8,-1.0,-10.0,-0.7,4.1,-11.3,-22.3,-9.9,17.8,-12.4,7.6,13.1,11.9,-2.3,-6.8,-14.6,-6.2,-28.7,4.6,-2.8,-1.6,1.5,-11.1,4.8,-11.4,7.7,,6.1,0.8,-0.2,1.0
1960-10-01,-1.5,,12.6,-9.6,22.2,-13.4,2.2,1.6,-2.9,-2.5,-0.8,-0.8,0.5,-1.9,0.1,-6.533333333333334,2.8,-5.0,8.666666666666666,5.7,-37.5,8.6,4.2,6.8,-17.6,-13.2,32.2,9.3,10.5,-20.5,-3.9,33.5,0.3,-0.9,24.4,-0.5,-4.1,4.7,3.5,0.5,3.9,3.2,2.6,-0.4,-2.1333333333333333,,4.7,16.1,-37.5,0.8
1961-01-01,3.7,,-14.866666666666665,-20.2,33.9,-12.4,-2.7,1.4,-8.0,19.5,-3.3,3.4,3.2,-0.5,-4.8,-1.7,6.1,2.7,29.366666666666664,-2.0,10.8,4.3,4.4,3.3,-1.9,-23.2,-20.3,12.0,1.1,-42.5,11.1,-36.0,2.4,-5.6,-20.5,-1.0,13.7,3.2,2.7,-0.1,4.0,2.4,3.8,1.6,-4.033333333333334,-17.7,13.5,-1.8,-14.8,-0.7
1961-04-01,4.2,,21.933333333333334,8.5,23.2,20.6,-17.3,3.6,14.1,10.0,6.7,4.5,-3.1,5.5,10.7,-3.8333333333333335,1.0,7.0,-10.5,20.1,31.1,11.7,5.7,6.2,5.0,16.7,45.0,13.5,23.2,11.5,-1.5,34.0,5.5,9.3,48.6,4.8,11.6,6.1,7.4,6.1,4.7,11.4,8.9,1.6,6.1000000000000005,21.6,-2.7,-6.5,18.2,2.4
1961-07-01,3.3,,7.5,10.2,5.2,5.5,19.3,12.6,4.6,-10.4,9.9,-0.8,-0.8,7.4,-8.6,24.866666666666664,8.8,7.9,13.1,1.4,34.9,3.3,1.1,3.5,29.2,3.2,7.3,7.7,-0.1,12.6,13.0,10.8,0.3,3.9,-0.8,8.3,-5.8,5.3,1.4,2.0,4.4,12.0,8.9,23.7,2.6999999999999997,0.0,3.4,0.2,18.8,2.0
1961-10-01,11.3,,3.733333333333333,20.9,-7.6,26.4,6.7,7.7,12.1,5.1,13.3,2.0,7.0,8.6,1.1,8.833333333333334,9.1,8.1,21.566666666666666,7.9,6.8,6.4,7.2,7.6,9.8,34.1,12.1,4.6,5.8,40.0,7.7,7.2,5.6,12.8,12.1,14.4,-3.9,10.9,7.5,8.3,10.2,6.8,10.1,14.3,7.2,70.6,11.2,-2.1,60.6,5.9
1962-01-01,2.1,,11.733333333333333,9.0,-13.0,10.8,-2.3,15.7,5.5,-6.3,7.9,-0.3,4.0,1.3,11.8,5.1000000000000005,7.9,7.3,6.666666666666667,6.6,23.4,10.1,3.8,5.2,12.8,1.3,32.8,0.6,7.0,20.1,15.2,18.2,3.4,8.2,29.2,6.9,3.9,8.5,3.1,4.3,0.3,-2.2,7.4,7.2,5.7,17.7,-2.9,7.7,15.2,3.4
