Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
1996-01-01,-0.03,-0.15,-0.11,1.61,4.88,0.35,-0.02,0.12,0.12,0.17,0.1,0.25,0.91,7.07,-0.04,1.57,0.36,0.09,0.02,0.11,9.41,0.03,0.25,0.73,-0.65,0.08,-0.01,-0.01,0.07,0.09,0.16,0.74,0.92
1997-01-01,0.36,0.42,-0.22,1.74,5.15,0.2,0.07,0.2,-0.05,-0.29,0.67,0.35,0.52,7.15,0.03,1.53,0.53,0.37,0.14,-0.29,11.0,-0.01,0.31,1.71,-0.3,0.02,0.1,-0.01,-0.05,0.06,-0.05,1.59,1.23
1998-01-01,0.1,0.9,-0.26,1.99,5.36,0.4,0.11,0.15,0.11,0.07,0.61,0.48,1.01,8.24,0.0,0.05,0.68,0.01,0.0,0.05,12.99,-0.1,0.38,1.9,0.97,0.26,0.14,0.07,0.31,0.02,0.19,1.83,1.02
1999-01-01,-0.71,1.45,1.03,2.76,5.03,0.02,-0.03,0.26,0.15,0.11,0.43,-0.26,0.14,7.65,0.06,0.89,0.33,-0.15,0.25,0.0,12.34,-0.22,0.28,0.45,0.54,-0.25,0.12,0.11,0.21,0.01,0.04,4.04,1.43
2000-01-01,0.18,0.16,0.27,4.02,2.72,0.03,0.03,0.38,0.22,0.07,0.37,0.39,1.81,7.3,0.03,-0.25,0.45,0.08,-0.01,0.15,9.64,0.02,0.32,1.0,-0.69,-0.07,-0.05,0.07,0.08,0.06,0.66,-0.5,-0.94
2001-01-01,0.11,0.17,0.02,-1.01,0.31,-0.35,0.04,-0.28,0.48,-0.03,-0.34,-0.57,-1.58,-0.44,0.08,-0.91,0.41,-0.59,0.09,0.1,-4.26,0.13,0.14,-0.22,-1.12,-0.37,-0.22,0.02,0.09,-0.05,-0.59,-2.1,-2.03
2002-01-01,0.31,-1.39,0.02,-2.73,0.57,-0.23,0.05,-0.33,0.1,-0.19,-0.24,-0.06,-1.44,-1.57,-0.02,-0.7,0.75,-0.34,-0.31,0.03,-5.25,0.06,0.38,-0.13,0.01,-0.24,-0.1,0.03,-0.09,0.07,-0.61,-2.09,-0.69
2003-01-01,0.21,-1.25,-0.67,1.78,1.4,0.14,0.03,0.03,-0.21,0.15,0.03,0.44,0.09,4.4,0.01,0.41,0.85,-0.04,0.14,-0.18,4.31,0.43,0.77,1.44,-0.08,0.11,-0.07,0.07,0.11,0.04,-0.28,-1.62,0.33
2004-01-01,0.27,0.32,-0.27,1.65,1.54,0.48,0.14,0.33,-0.8,0.01,0.16,0.22,-0.4,4.4,-0.17,1.59,0.94,0.01,0.12,0.23,8.45,0.04,0.46,1.79,1.09,0.0,0.03,0.14,0.16,0.07,-0.17,2.82,2.68
2005-01-01,0.15,-0.27,0.61,0.8,1.45,0.8,-0.05,0.25,0.12,0.13,0.26,0.78,1.73,3.65,-0.06,1.44,1.3,0.26,0.28,0.11,10.24,0.03,0.59,2.25,0.73,-0.04,0.18,0.05,0.22,-0.03,0.18,2.67,2.18
