Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of agricultural goods,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1974-04-01,6.25,26.9,-7.4,52.3,113.8,29.6,31.15,-0.6,33.9,20.8,21.0,26.6,6.4,20.9,-22.2,87.05,14.4,25.2,22.9,35.6,3.8,13.0,40.1,34.525000000000006,10.8,13.033333333333333,-1.05,128.8,28.1,-4.3500000000000005
1974-07-01,4.200000000000001,11.8,-5.3999999999999995,-38.75,5.9,-17.1,-17.275,-33.3,-17.2,-21.6,-19.9,-20.1,-26.9,-12.1,-30.4,-47.9,0.3,-6.7,-6.8,-13.1,-7.3,-7.7,-12.25,-10.925,24.8,-15.1,-2.25,-4.5,1.1500000000000004,2.3499999999999996
1974-10-01,-18.25,10.299999999999999,-1.5,103.94999999999999,79.5,-22.1,-16.575,0.2,18.4,7.2,10.9,11.5,-6.0,28.6,-2.3500000000000005,83.7,-18.5,-7.0,-3.9,5.0,-14.5,11.1,-4.3999999999999995,-5.7,-6.9,15.766666666666666,9.8,17.9,32.75,6.2
1975-01-01,-45.0,-0.25,121.25,8.600000000000001,-7.0,-41.55,-36.35,51.0,-15.5,-0.7,2.8,-14.2,22.1,19.2,11.000000000000004,71.55,-39.6,-39.1,-34.5,-38.5,-41.3,-10.2,-23.75,-31.775000000000002,-28.6,5.666666666666667,24.200000000000003,-32.7,-24.05,16.1
1975-04-01,32.4,-28.15,1.45,13.599999999999998,-28.4,-15.95,-23.75,-46.9,-1.6,-18.2,-11.1,-8.0,-36.4,24.0,-27.450000000000003,121.15,-38.7,-30.1,-28.4,-21.4,-31.5,-21.4,-26.6,-16.075,-33.8,-16.383333333333333,28.6,-26.1,-24.650000000000002,-18.8
1975-07-01,54.900000000000006,2.5999999999999996,-32.9,-37.9,59.1,44.35,15.225000000000001,53.8,-5.1,7.7,-6.6,-1.0,29.5,-48.4,136.3,-60.7,29.4,48.6,37.6,67.1,46.4,0.1,14.45,37.5,18.9,27.96666666666667,9.1,54.1,10.6,5.8999999999999995
1975-10-01,15.05,22.650000000000002,24.85,6.0,10.9,27.5,21.25,49.6,11.6,25.7,24.6,15.4,48.5,19.8,38.550000000000004,87.9,21.8,24.4,23.1,26.7,26.5,17.4,28.799999999999997,40.85,81.2,15.083333333333334,15.399999999999999,19.1,13.35,19.45
1976-01-01,30.65,19.349999999999998,18.55,-29.3,64.9,19.7,18.9,-5.6,-4.4,-4.4,-2.7,-4.7,-4.6,5.4,-14.45,-34.55,52.2,31.8,27.4,16.7,42.9,10.3,12.25,17.0,46.9,53.79999999999999,22.1,6.3,29.65,13.4
1976-04-01,16.35,7.8,-7.0,56.199999999999996,64.19999999999999,19.65,13.3,16.1,1.2,2.6,4.1,0.4,4.6,10.8,11.1,74.6,18.6,21.5,18.5,24.1,16.6,5.3,19.5,29.35,20.5,-13.75,14.350000000000001,36.1,-8.6,14.0
1976-07-01,-1.55,8.0,-27.6,-14.65,50.2,17.15,35.15,6.2,10.7,10.9,12.1,11.1,11.0,17.7,17.8,31.5,16.8,19.0,17.4,20.8,16.3,10.3,19.0,5.975,0.6,25.450000000000003,29.3,26.1,19.35,14.65
1976-10-01,-6.699999999999999,22.15,2.55,-10.85,77.65,27.65,21.875,7.9,2.2,7.1,4.1,4.9,14.3,-7.5,1.9500000000000002,-33.5,13.7,15.2,14.0,16.4,10.1,8.5,15.55,18.3,31.6,9.299999999999999,7.5,29.4,15.8,0.6000000000000014
1977-01-01,0.65,-17.95,24.35,-38.9,22.0,16.6,7.525,-6.8,-7.4,-7.4,-6.3,-10.3,-7.3,-1.4,-10.600000000000001,34.45,4.3,23.3,20.1,40.3,-0.3,5.3,10.55,9.799999999999999,-28.4,36.8,-3.05,100.3,-3.95,-6.75
1977-04-01,28.75,16.15,-8.65,264.65,32.55,5.45,17.25,1.7,12.0,10.7,11.2,14.7,9.2,13.3,1.7000000000000002,8.35,26.5,3.1,3.9,-12.0,21.4,7.6,4.25,11.325,16.2,5.733333333333334,-5.4,-28.3,24.299999999999997,7.6
1977-07-01,-11.600000000000001,-7.7,9.950000000000001,-47.55,81.94999999999999,23.200000000000003,9.4,6.2,-6.8,1.8,3.1,-4.0,14.8,8.9,-11.9,51.35,2.1,-4.6,-5.4,-10.0,-3.1,-9.2,2.6,15.124999999999996,14.1,-1.7333333333333334,-3.65,-8.3,-10.05,-3.85
1977-10-01,12.0,23.5,37.8,316.15,35.2,-7.35,-4.125,0.2,-11.3,-15.6,-12.2,-18.8,-21.2,2.6,16.7,31.55,22.1,5.9,5.8,-6.9,15.6,5.5,-20.85,-19.325,-12.7,6.416666666666667,13.95,-15.9,-11.05,8.4
1978-01-01,-5.15,46.3,50.800000000000004,298.2,78.05000000000001,52.95,54.225,10.2,13.1,6.5,9.8,9.3,-2.2,22.9,41.849999999999994,26.4,30.3,30.8,29.6,31.0,38.4,23.7,12.100000000000001,26.125,21.3,13.383333333333335,41.25,10.9,31.7,3.1
1978-04-01,41.35,19.7,-18.2,89.6,109.35,49.45,47.85,141.8,47.2,63.7,48.7,48.3,89.9,1.6,78.45,-11.950000000000001,11.9,1.7,1.2,-7.7,11.5,-0.8,28.75,31.25,39.8,1.0166666666666664,9.0,-24.2,2.8499999999999996,8.25
1978-07-01,-22.45,16.95,8.95,29.9,36.85,-7.8,-4.225,-10.7,3.0,2.0,4.4,7.6,0.8,15.4,-17.9,-5.45,-1.4,4.8,5.3,11.3,-3.2,8.2,26.549999999999997,23.4,-21.9,6.833333333333333,32.15,35.2,9.95,17.8
1978-10-01,32.25,41.0,15.95,73.6,85.1,5.4,6.074999999999999,-26.6,33.3,16.6,16.8,28.0,-3.3,17.8,14.599999999999998,44.75,8.7,5.2,5.6,1.6,8.2,7.6,-3.6999999999999997,-2.875,-5.2,25.7,18.6,-4.0,9.85,-3.7500000000000004
1979-01-01,-20.4,18.85,8.149999999999999,140.20000000000002,42.85,-9.649999999999999,-9.0,-29.9,8.9,-0.9,0.3,4.4,-13.8,5.6,-17.45,-26.700000000000003,-10.6,-0.7,-1.1,10.3,-6.6,-2.7,3.55,5.95,-16.9,22.383333333333336,16.5,20.6,21.0,8.149999999999999
1979-04-01,7.500000000000001,13.25,0.1499999999999999,-19.15,58.599999999999994,6.65,7.225,53.3,-7.2,1.1,1.0,-8.8,14.9,0.7,35.55,-6.35,12.8,2.6,2.2,-6.7,11.6,0.3,0.6499999999999999,-0.17500000000000004,44.8,-13.6,7.050000000000001,-20.6,0.09999999999999998,-0.1499999999999999
1979-07-01,-10.7,14.05,-7.45,22.35,21.45,2.3,5.0,48.3,7.9,19.4,15.2,14.1,37.5,-1.5,5.399999999999999,-16.95,0.7,-6.6,-6.0,-13.0,-7.6,-2.7,15.049999999999999,10.775,-17.5,2.6166666666666667,-3.85,-4.8,10.35,-10.899999999999999
1979-10-01,20.0,36.6,33.7,256.1,79.2,35.650000000000006,30.575,33.0,42.3,31.8,27.7,27.3,18.6,10.7,34.95,2.1500000000000004,10.7,10.6,9.0,10.1,13.8,0.6,5.3500000000000005,11.975,4.7,28.349999999999998,6.45,2.4,3.4,12.1
1980-01-01,-16.049999999999997,30.15,-32.2,152.5,66.7,86.85000000000001,86.37500000000001,-22.1,31.8,16.1,11.6,23.7,-3.5,-6.9,-31.099999999999998,-5.050000000000001,13.6,0.5,0.3,-9.2,3.7,-1.3,4.949999999999999,13.075000000000003,-5.1,50.76666666666666,-11.05,-7.5,-19.7,28.15
1980-04-01,-26.35,11.65,-23.5,58.95,43.650000000000006,-25.0,-21.900000000000002,33.7,-5.4,5.7,7.8,0.9,24.3,17.6,8.65,117.55,-19.3,-28.4,-26.0,-35.0,-17.0,-11.0,-3.3500000000000014,-0.9500000000000002,0.6,-14.916666666666666,30.75,-47.4,-2.55,-16.0
1980-07-01,-10.55,-13.1,-21.4,-33.15,112.05000000000001,-25.0,-32.15,20.6,-15.8,-3.1,-0.9,-11.6,17.7,10.1,6.6,13.9,-18.4,-29.4,-25.8,-37.3,-20.4,-3.6,-28.0,-22.025,-34.4,21.5,7.75,-45.9,-5.75,18.55
1980-10-01,32.05,21.05,700.0500000000001,131.64999999999998,37.349999999999994,21.15,11.625,-29.9,7.5,-2.4,-2.4,5.6,-14.7,-2.5,8.100000000000001,-5.449999999999999,23.5,24.6,23.2,25.4,25.6,16.2,3.1999999999999993,19.425,3.3,10.433333333333334,3.3000000000000007,21.8,3.4,0.75
1981-01-01,-21.6,4.550000000000001,-38.25,-25.7,13.9,17.95,4.55,23.1,-6.9,3.0,7.7,-4.0,18.3,31.1,20.6,-24.299999999999997,6.7,18.1,18.2,28.2,16.1,18.9,14.299999999999999,23.925,71.7,19.383333333333333,24.05,22.3,22.5,121.55000000000001
1981-04-01,28.7,24.35,-50.550000000000004,30.55,40.949999999999996,8.45,15.7,-24.8,19.2,1.8,2.2,10.4,-18.6,3.8,-22.9,73.75,29.4,0.2,0.6,-19.0,19.1,2.8,-18.75,-10.95,4.9,37.0,12.7,-31.4,-2.45,-14.100000000000001
1981-07-01,-7.1,0.0,247.5,-51.25,16.0,-7.35,-13.05,7.7,-22.1,-10.3,-8.2,-18.5,10.2,0.6,3.3,-2.25,4.0,-3.7,-4.5,-10.4,2.6,-8.3,-6.3,-2.6750000000000003,7.8,-1.4500000000000004,4.75,-17.7,-4.8,8.600000000000001
1981-10-01,-15.1,21.150000000000002,-9.1,97.0,28.6,6.25,1.1500000000000004,31.0,-7.8,2.3,1.8,-4.2,18.5,0.0,30.8,-6.25,16.3,13.6,12.0,11.0,20.5,3.7,14.549999999999999,18.025000000000002,15.2,-0.8333333333333334,12.35,-2.8,-8.45,16.35
1982-01-01,-14.399999999999999,-10.149999999999999,-47.55,-47.35,14.15,-11.35,-20.924999999999997,-25.5,-22.0,-18.1,-16.3,-18.2,-12.5,-8.7,-36.75,-1.5499999999999998,-7.4,-14.2,-10.9,-20.6,-13.5,8.0,-14.05,-10.275,-23.2,-11.116666666666667,64.1,-16.0,0.4500000000000002,4.600000000000001
1982-04-01,35.5,3.85,-0.8500000000000005,-27.4,59.400000000000006,4.4,-10.5,36.6,2.3,4.7,2.4,-5.7,7.9,-5.9,55.9,37.599999999999994,1.1,-10.7,-6.4,-21.8,8.7,17.7,-24.299999999999997,-3.9250000000000016,6.1,8.9,7.8500000000000005,-52.6,-8.55,15.5
1982-07-01,-3.8,-16.75,-1.0500000000000003,-57.5,42.75,9.05,-1.5750000000000002,-40.0,-16.5,-19.6,-16.6,-19.2,-23.7,-4.4,-5.9,22.700000000000003,-3.3,25.1,19.9,62.9,4.1,-2.1,24.799999999999997,26.775000000000002,27.4,-11.283333333333333,0.6500000000000004,125.5,-13.1,-8.75
1982-10-01,-47.8,-24.85,-13.75,34.400000000000006,27.55,-16.2,-18.55,-15.0,-26.2,-18.4,-17.1,-21.0,-6.3,-12.2,-15.75,-21.5,-23.7,-19.5,-14.8,-15.5,-18.2,11.6,-12.95,-8.05,-0.7,-0.4333333333333338,6.3999999999999995,-23.6,-2.3499999999999996,15.400000000000002
1983-01-01,54.05,38.4,29.099999999999998,169.45,285.5,25.200000000000003,30.375,12.4,11.0,8.0,6.6,5.9,3.9,2.1,15.85,63.300000000000004,68.5,12.5,9.5,-26.6,49.3,-3.6,-20.45,-5.374999999999998,14.9,30.916666666666668,-30.1,-60.0,5.449999999999999,-23.6
1983-04-01,50.95,8.5,25.650000000000002,-33.0,99.05,-3.8,14.375000000000002,-9.1,5.8,-2.7,1.2,-5.7,-13.3,15.3,-1.4000000000000004,39.25,21.8,37.7,34.5,59.0,20.7,20.3,41.5,25.299999999999997,11.1,2.4000000000000004,11.5,137.1,15.4,20.900000000000002
1983-07-01,9.0,33.25,4.450000000000001,-50.5,70.3,13.55,21.975,32.5,1.7,7.6,6.2,-4.3,16.2,1.3,17.5,-27.95,37.9,38.9,35.0,40.1,28.4,17.3,34.15,25.775,5.8,21.683333333333334,-0.8500000000000001,83.7,21.8,34.55
1983-10-01,75.25,52.199999999999996,23.700000000000003,276.25,84.25,35.05,29.349999999999998,-22.1,28.1,11.6,8.3,16.4,-7.7,-2.4,-11.75,2.1999999999999997,60.2,24.3,21.1,-7.9,48.9,6.2,-3.8499999999999996,6.675000000000001,56.6,12.65,3.9499999999999997,-37.6,20.85,-20.4
1984-01-01,18.8,21.75,7.65,-40.55,65.25,11.200000000000001,15.2,-0.2,0.9,0.6,8.6,-4.6,0.0,40.7,20.65,-37.3,38.0,32.7,36.3,26.2,39.0,55.7,8.7,11.425,33.7,18.516666666666666,6.699999999999999,7.7,22.5,358.85
1984-04-01,-0.6999999999999997,37.5,-3.7,-0.4499999999999993,88.65,12.2,8.2,-14.2,9.2,8.1,10.3,8.6,6.6,17.6,-11.2,18.85,24.1,17.4,17.8,9.1,19.8,20.1,13.85,17.525,8.4,18.25,-1.3500000000000005,7.0,18.8,43.35
1984-07-01,30.2,25.15,30.5,78.5,70.8,4.3,-0.5,23.5,12.9,15.1,9.1,5.3,18.3,-8.2,21.0,-21.25,18.5,8.6,10.8,-3.3,13.8,21.6,0.9000000000000004,2.2250000000000005,-0.1,13.566666666666665,14.700000000000001,-13.1,0.1499999999999999,21.65
