Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
1981-01-01,0.59,,0.04,3.83,0.1,,,3.93,,2.38,2.76,-0.8,-0.07,1.07,0.24,0.09,0.3,2.41,,0.22,,0.27,,4.08,,-0.11,2.89,,1.49,0.02
1982-01-01,0.53,,-0.02,3.15,0.02,,,0.16,,0.3,2.13,-0.4,-0.1,1.03,0.07,0.0,0.17,1.34,,0.05,,0.4,,3.22,,0.06,2.79,,-0.01,0.02
1983-01-01,0.57,,0.0,3.41,0.03,,,1.04,,1.02,2.31,0.36,-0.33,1.1,0.06,0.03,0.19,0.18,,0.06,,0.42,,3.48,,0.56,3.38,,0.32,0.0
1984-01-01,0.89,,0.12,6.19,0.25,,,2.18,,0.77,4.68,0.55,0.76,1.51,0.08,0.09,0.59,1.44,,0.06,,0.37,,6.27,,0.59,5.21,,0.43,0.02
1985-01-01,0.76,,0.04,4.92,0.12,,,-0.09,,0.38,3.53,0.7,-0.19,1.39,0.21,0.06,0.38,1.0,,0.18,,0.11,,5.13,,0.46,3.96,,-0.38,0.03
1986-01-01,0.43,,0.05,1.97,-0.12,,0.96,1.87,,0.69,0.99,0.93,0.18,0.98,0.51,0.09,-0.06,-0.8,,0.48,0.65,0.12,1.02,2.48,,0.49,2.62,,0.86,0.03
1987-01-01,0.02,,0.13,0.76,0.01,,0.75,-0.31,,-0.79,0.73,-0.16,0.39,0.03,0.36,0.03,0.03,-0.99,,0.33,1.56,1.05,0.81,1.12,,0.77,3.12,,-0.08,0.03
1988-01-01,-0.38,2.17,0.09,2.6,0.22,,1.42,0.19,,0.15,0.43,0.17,-0.06,2.17,0.46,0.03,-0.07,0.07,,0.44,0.34,0.46,2.09,3.06,0.0,-0.04,3.86,,-0.02,0.02
1989-01-01,-0.37,1.93,0.13,3.9,0.14,,1.23,0.8,,-0.04,1.77,0.51,0.23,2.13,0.12,-0.06,-0.13,1.19,,0.09,2.27,0.51,3.39,4.01,0.2,-0.08,6.89,,0.55,0.02
1990-01-01,-0.36,2.28,0.01,3.5,0.38,,0.8,0.61,,0.52,0.84,-0.28,0.27,2.66,0.05,0.12,0.08,0.51,,0.01,0.45,0.45,3.0,3.54,0.38,0.07,4.25,,-0.31,0.03
1991-01-01,-0.12,2.51,-0.02,3.89,0.08,,0.77,0.18,,-0.3,1.0,0.16,-0.04,2.89,0.18,0.0,-0.01,0.21,,0.14,0.39,0.67,0.98,4.06,0.38,0.01,2.14,,0.54,0.04
