Date,Aircraft,Amusement and recreation,Commercial,Conservation and development,Educational,Electronics,Equipment,Federal,Government enterprise gross fixed investment,Gross government fixed investment,Health care,Highways and streets,Industrial,Intellectual property products,Military facilities,Missiles,National defense,Net purchases of used structures,New,Nondefense,Office,Other,Other equipment,Power,Public safety,Research and development,Residential,Sewer systems,Ships,Software,State and local,Structures,Transportation,Vehicles,Water systems
1943-01-01,,3.9559999999999995,3.657,4.9079999999999995,3.268,,22.304999999999996,13.262,4.551,10.759,4.606,5.987,4.149,22.814999999999998,3.196,,12.4315,4.609,4.148333333333333,19.72275,3.3885,4.980499999999999,,5.169,3.627,10.561333333333334,4.7475000000000005,3.657,,,11.993,4.59,5.152,,4.118
1944-01-01,,3.2039999999999997,3.772,5.191,3.3205,,21.819,13.1612,4.631,10.13,4.6915,5.734500000000001,3.976,23.988999999999997,3.09,,12.320500000000001,4.717,4.140666666666667,22.943,3.7085,5.2445,,4.936,3.965,11.954999999999998,5.029,4.306,,,12.2546,4.727333333333333,5.0485,,4.846
1945-01-01,,3.814,4.004,5.531000000000001,3.3964999999999996,,29.35766666666667,13.7142,6.34,9.422,4.871499999999999,5.272,4.071,24.208,3.144,,11.67625,4.996,4.190666666666666,20.6275,3.77,5.623,,5.248,4.0344999999999995,11.978666666666667,5.2605,4.193,,,12.543600000000001,4.939,4.8645,,4.716
1946-01-01,,5.364000000000001,4.702,6.048,3.9059999999999997,,30.980333333333334,14.8904,6.865,10.264,5.640499999999999,5.5605,5.015,26.75,3.681,,12.63425,5.706,4.732666666666667,19.898249999999997,4.5015,6.327999999999999,,6.065,4.8149999999999995,12.414666666666667,5.5715,4.423,,,13.738800000000001,5.5263333333333335,5.324,,4.975
1947-01-01,,6.492,6.11,6.993499999999999,5.2885,,32.80533333333333,16.7104,8.033,11.761,7.662,6.274,6.015,31.8545,4.443,,14.27825,7.079,5.768999999999999,22.051750000000002,6.0625,7.234500000000001,,7.027,6.514,13.797666666666666,7.2045,5.529,,,16.2008,6.513333333333333,6.0365,,5.703
1948-01-01,,7.0855,7.0425,7.7305,5.878,,33.698,17.518,8.791,12.718,8.505,7.0275,6.681,34.0715,4.743,,14.995999999999999,7.692,6.3356666666666674,22.5165,6.513,8.3795,,7.928,6.973,14.148666666666665,7.523,6.336,,,17.3764,7.124333333333333,6.7705,,6.537
1949-01-01,,6.970000000000001,6.776999999999999,7.949,5.5835,,34.599,17.74,9.012,12.706,8.259,6.773,6.795,32.836,4.724,,15.24625,7.68,6.268000000000001,22.948,6.3315,8.1395,,7.7355,6.781499999999999,14.165000000000001,7.4465,6.515,,,17.385799999999996,7.143666666666667,6.729,,6.723
1950-01-01,,7.3065,6.697,7.534,5.5235,,35.852333333333334,18.124000000000002,9.07,12.592,8.189,6.1015,6.369,34.004000000000005,4.565,,15.60175,7.759,6.051666666666667,23.339,6.33,8.2515,,7.925,6.654,14.531333333333334,7.6645,6.862,,,17.650399999999998,7.096666666666667,6.166,,7.081
1951-01-01,,7.272500000000001,7.689500000000001,8.009,6.2695,,37.17966666666667,19.3772,9.959,14.025,9.358,7.4879999999999995,7.328,37.5715,5.434,,16.95175,8.523,6.8806666666666665,24.882,7.1965,8.2415,,7.8405000000000005,7.6505,15.668999999999999,8.3905,7.312,,,19.4966,7.830333333333333,7.0969999999999995,,7.553
1952-01-01,,7.4704999999999995,7.867,8.528500000000001,6.6355,,37.67,19.774,10.282,14.329,9.594000000000001,7.6995000000000005,7.516,37.0015,5.62,,17.24375,8.756,7.132666666666666,25.57825,7.371,8.334,,8.107,7.843,15.887333333333332,8.612,7.524,,,19.702,8.120666666666667,7.409,,7.775
