Date,Accommodations,Air transportation,Alcoholic beverages purchased for off-premises consumption,"Audio-video, photographic, and information processing equipment services",Children's and infants' clothing,Clothing and footwear,Commercial and vocational schools,Communication,Dental services,Durable goods,Education services,Educational books,Electricity,Electricity and gas,Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions",Financial services,Financial services and insurance,Financial services furnished without payment,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food furnished to employees (including military),Food produced and consumed on farms,Food services,Food services and accommodations,Foreign travel by U.S. residents,Fuel oil and other fuels,Furnishings and durable household equipment,Furniture and furnishings,Gambling,Garments,Gasoline and other energy goods,"Glassware, tableware, and household utensils",Goods,Gross output of nonprofit institutions,Ground transportation,Group housing,Health care,Higher education,Hospital and nursing home services,Hospitals,Household appliances,Household consumption expenditures (for services),Household maintenance,Household supplies,Household utilities,Housing,Housing and utilities,Imputed rental of owner-occupied nonfarm housing,Insurance,Internet access,Jewelry and watches,Less: Expenditures in the United States by nonresidents,Less: Receipts from sales of goods and services by nonprofit institutions,Life insurance,Luggage and similar personal items,"Magazines, newspapers, and stationery","Membership clubs, sports centers, parks, theaters, and museums",Men's and boys' clothing,"Motor vehicle fuels, lubricants, and fluids",Motor vehicle maintenance and repair,Motor vehicle parts and accessories,Motor vehicle services,Motor vehicles and parts,Musical instruments,Natural gas,Net expenditures abroad by U.S. residents,Net foreign travel,Net health insurance,Net household insurance,Net motor vehicle and other transportation insurance,Net purchases of used motor vehicles,New motor vehicles,Nondurable goods,"Nursery, elementary, and secondary schools",Nursing homes,Other clothing materials and footwear,Other durable goods,Other motor vehicle services,Other nondurable goods,Other recreational services,Other services,Outpatient services,Paramedical services,Personal care and clothing services,Personal care products,Pharmaceutical and other medical products,Physician services,Postal and delivery services,Professional and other services,Public transportation,Purchased meals and beverages,Recreation services,Recreational books,Recreational goods and vehicles,Recreational items,Rental of tenant-occupied nonfarm housing,Rental value of farm dwellings,Services,Social services and religious activities,"Sporting equipment, supplies, guns, and ammunition",Sports and recreational vehicles,Telecommunication services,Telephone and related communication equipment,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Transportation services,"Video, audio, photographic, and information processing equipment and media",Water supply and sanitation,Water transportation,Women's and girls' clothing
1952-10-01,,,,,,1.16,,,,-1.29,,,,,,,,,,-0.53,,,,,,,,-0.09,,,,0.09,,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.32,,,,,,,,,,0.68,,,,0.07,,-0.03,,,,,,,,,,,,,,,0.05,,,,1.26,,,,,,,,,,,,,
1953-01-01,,,,,,0.04,,,,0.63,,,,,,,,,,-1.33,,,,,,,,0.04,,,,0.25,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,-0.78,,,,-0.06,,0.26,,,,,,,,,,,,,,,-0.03,,,,1.66,,,,,,,,,,,,,
1953-04-01,,,,,,-0.73,,,,0.16,,,,,,,,,,-0.68,,,,,,,,0.11,,,,0.27,,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,-0.79,,,,-0.04,,0.35,,,,,,,,,,,,,,,0.05,,,,1.22,,,,,,,,,,,,,
1953-07-01,,,,,,-0.15,,,,-0.29,,,,,,,,,,0.11,,,,,,,,0.13,,,,0.39,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,,,,,,,,,,0.38,,,,0.04,,0.04,,,,,,,,,,,,,,,0.12,,,,2.08,,,,,,,,,,,,,
1953-10-01,,,,,,-0.14,,,,0.22,,,,,,,,,,-0.04,,,,,,,,0.02,,,,0.16,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.0,,,,0.03,,0.01,,,,,,,,,,,,,,,0.06,,,,1.53,,,,,,,,,,,,,
1954-01-01,,,,,,0.41,,,,0.57,,,,,,,,,,0.08,,,,,,,,-0.06,,,,-0.02,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,0.59,,,,0.06,,0.12,,,,,,,,,,,,,,,0.09,,,,0.87,,,,,,,,,,,,,
1954-04-01,,,,,,-0.02,,,,-1.5,,,,,,,,,,0.43,,,,,,,,0.0,,,,0.0,,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.43,,,,,,,,,,0.6,,,,-0.05,,0.19,,,,,,,,,,,,,,,-0.01,,,,0.35,,,,,,,,,,,,,
1954-07-01,,,,,,0.25,,,,-0.94,,,,,,,,,,-1.02,,,,,,,,-0.07,,,,-0.11,,-1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,,,,,,,,,,-0.71,,,,-0.09,,0.16,,,,,,,,,,,,,,,-0.07,,,,0.33,,,,,,,,,,,,,
1954-10-01,,,,,,-0.22,,,,-0.31,,,,,,,,,,-0.74,,,,,,,,-0.16,,,,-0.04,,-1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,-0.84,,,,-0.03,,0.17,,,,,,,,,,,,,,,-0.09,,,,0.74,,,,,,,,,,,,,
1955-01-01,,,,,,-0.18,,,,0.22,,,,,,,,,,-0.14,,,,,,,,0.02,,,,0.11,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,0.04,,,,0.08,,0.25,,,,,,,,,,,,,,,-0.01,,,,1.04,,,,,,,,,,,,,
1955-04-01,,,,,,-0.06,,,,0.27,,,,,,,,,,-0.65,,,,,,,,0.03,,,,0.11,,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,-0.47,,,,-0.01,,0.13,,,,,,,,,,,,,,,-0.08,,,,0.61,,,,,,,,,,,,,
1955-07-01,,,,,,0.14,,,,0.58,,,,,,,,,,-0.32,,,,,,,,0.12,,,,0.19,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,0.21,,,,0.0,,0.2,,,,,,,,,,,,,,,-0.02,,,,0.8,,,,,,,,,,,,,
1955-10-01,,,,,,0.01,,,,0.13,,,,,,,,,,-0.42,,,,,,,,0.08,,,,0.13,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,-0.01,,,,-0.02,,0.26,,,,,,,,,,,,,,,-0.07,,,,0.97,,,,,,,,,,,,,
1956-01-01,,,,,,0.25,,,,0.22,,,,,,,,,,-0.1,,,,,,,,0.05,,,,0.14,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,0.51,,,,-0.02,,0.22,,,,,,,,,,,,,,,-0.04,,,,0.92,,,,,,,,,,,,,
1956-04-01,,,,,,0.25,,,,0.14,,,,,,,,,,0.95,,,,,,,,0.16,,,,0.17,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,1.6,,,,0.0,,0.22,,,,,,,,,,,,,,,0.0,,,,0.97,,,,,,,,,,,,,
1956-07-01,,,,,,0.31,,,,0.88,,,,,,,,,,0.78,,,,,,,,0.22,,,,0.42,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,1.64,,,,0.02,,0.13,,,,,,,,,,,,,,,0.02,,,,1.45,,,,,,,,,,,,,
1956-10-01,,,,,,0.16,,,,0.79,,,,,,,,,,0.1,,,,,,,,0.28,,,,0.17,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,0.52,,,,0.02,,0.09,,,,,,,,,,,,,,,0.05,,,,1.05,,,,,,,,,,,,,
1957-01-01,,,,,,0.11,,,,0.53,,,,,,,,,,0.64,,,,,,,,0.01,,,,0.45,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,1.51,,,,0.0,,0.3,,,,,,,,,,,,,,,-0.01,,,,1.6,,,,,,,,,,,,,
1957-04-01,,,,,,0.05,,,,0.84,,,,,,,,,,0.24,,,,,,,,0.14,,,,0.26,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,0.86,,,,0.07,,0.31,,,,,,,,,,,,,,,0.09,,,,0.86,,,,,,,,,,,,,
1957-07-01,,,,,,0.04,,,,-0.01,,,,,,,,,,1.09,,,,,,,,0.06,,,,-0.02,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,,,,,,,,1.71,,,,0.02,,0.61,,,,,,,,,,,,,,,0.06,,,,1.58,,,,,,,,,,,,,
1957-10-01,,,,,,0.08,,,,0.08,,,,,,,,,,0.25,,,,,,,,0.06,,,,-0.01,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,0.6,,,,0.02,,0.29,,,,,,,,,,,,,,,0.08,,,,1.4,,,,,,,,,,,,,
1958-01-01,,,,,,-0.03,,,,0.95,,,,,,,,,,2.42,,,,,,,,0.12,,,,0.07,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,2.57,,,,-0.01,,0.12,,,,,,,,,,,,,,,0.1,,,,1.5,,,,,,,,,,,,,
1958-04-01,,,,,,-0.02,,,,-0.21,,,,,,,,,,0.73,,,,,,,,-0.24,,,,-0.4,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,0.32,,,,0.04,,0.01,,,,,,,,,,,,,,,0.03,,,,0.63,,,,,,,,,,,,,
