Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Net purchases of used structures,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1955-01-01,-0.02,,,-0.18,0.32,0.05,2.24,0.23,0.03,-0.2,-0.78,-0.12,0.23,0.09,-0.02,-0.02,1.11,-0.19,-0.16,0.41,0.55,0.12,0.0,0.5,,0.43,0.185,2.85,2.26,0.99,0.04,0.3,0.09,0.865,8.0,0.5,-0.69,-0.46,11.81,0.26,9.71,9.56,,0.0,-0.21,0.19
1956-01-01,0.01,,,0.11,-0.09,-0.01,1.14,0.73,0.08,0.13,0.41,0.06,0.12,0.02,-0.03,-0.04,0.71,0.13,0.11,0.43,1.8,0.06,-0.01,-0.21,,0.22,-0.385,4.03,4.76,0.52,-0.04,0.16,0.25,0.49000000000000005,-6.15,-0.2,0.66,1.39,-0.17,0.12,-5.07,-4.93,,-0.01,0.14,0.1
1957-01-01,0.01,,,0.1,-0.06,0.01,-0.53,-0.12,0.04,-0.14,0.58,-0.14,-0.09,0.34,0.31,0.39,0.6,-0.17,0.03,0.1,0.48,-0.05,-0.02,-0.36,,-0.17,-0.16999999999999998,-0.02,-0.18,-0.4,0.09,-0.12,-0.08,0.1,-3.57,-0.34,0.5,0.39,-3.0,0.07,-3.37,-2.82,,0.07,-0.16,-0.08
1958-01-01,0.03,,,0.31,0.34,0.04,0.53,-0.39,0.12,0.16,0.17,0.25,0.01,0.24,0.18,0.22,-0.2,-0.6,0.23,-0.03,-2.66,0.02,0.07,-0.41,,0.02,-0.33,-2.5,-2.51,0.13,0.01,0.13,-0.21,0.03,0.94,-0.48,-0.03,-0.42,-1.69,0.05,0.53,0.83,,0.04,-0.56,0.01
1959-01-01,0.03,,,0.27,0.85,0.01,0.89,0.06,0.04,-0.11,-0.84,0.71,0.09,-0.01,-0.05,-0.06,1.71,-0.13,0.31,0.16,-0.64,0.05,0.03,0.16,1.66,0.17,0.28,1.06,1.3,0.42,0.05,0.15,0.33,2.335,10.56,0.13,-0.51,-0.46,13.77,0.23,14.13,12.47,8.9,-0.01,-0.11,0.08
1960-01-01,0.03,,,0.34,-0.16,0.05,0.63,0.24,-0.01,0.09,0.02,0.19,0.06,0.11,0.06,0.08,0.88,0.04,0.23,-0.02,1.62,0.03,0.02,-0.33,-0.77,0.11,0.0050000000000000044,3.11,3.19,0.24,0.12,0.07,-0.17,0.9600000000000001,-4.97,-0.35,-0.15,0.09,-0.94,0.15,-4.16,-4.13,-4.19,0.01,0.07,0.05
1961-01-01,-0.01,,,-0.09,0.14,0.02,1.48,-0.29,0.18,0.1,-0.25,-0.09,0.12,0.42,0.3,0.37,0.28,-0.2,0.25,-0.01,-0.14,0.06,0.02,0.09,1.49,0.21,-0.16,0.58,0.74,0.49,-0.04,0.15,-0.06,0.095,-0.21,0.07,-0.32,-0.6,0.99,-0.01,0.24,0.24,-1.7,0.07,-0.21,0.1
1962-01-01,0.01,,,0.06,0.59,0.03,1.36,0.11,0.44,0.14,-0.01,0.24,0.09,0.49,0.35,0.44,-1.18,0.01,-0.11,0.28,0.06,0.05,0.02,0.25,3.26,0.16,-0.06,1.95,2.14,0.4,0.03,0.15,-0.05,0.23,5.29,0.23,-0.05,0.05,6.96,0.04,5.52,4.83,2.03,0.09,0.01,0.07
1963-01-01,0.02,,,0.16,0.61,-0.01,-0.4,0.2,-0.14,-0.03,0.29,0.03,-0.05,0.03,0.04,0.05,0.45,0.14,0.36,0.3,0.02,-0.02,0.01,-0.3,3.31,-0.1,0.125,0.48,0.49,-0.21,0.04,-0.03,0.06,1.035,5.35,-0.32,0.35,0.55,6.45,-0.1,6.81,5.96,2.04,0.01,0.15,-0.04
1964-01-01,-0.01,,,-0.05,0.34,0.04,1.0,0.32,0.19,0.11,0.17,-0.03,0.06,0.47,0.36,0.44,-0.01,0.07,0.9,0.43,1.1,0.03,0.0,0.3,-0.08,0.1,-0.07500000000000001,4.13,4.07,0.24,0.02,0.08,0.23,0.9,2.82,0.3,0.4,0.72,7.51,-0.05,3.61,3.44,2.9,0.09,0.06,0.05
