Date,Domestic corporate business,Domestic corporate business (2-8+16),Financial,Government,"Imputed dividends paid by domestic corporate business, financial",Imputed dividends received by persons,Monetary dividends paid,Monetary dividends received,Net corporate dividend payments (19+20),Nonfinancial,Paid by Federal Reserve banks,Personal dividend income (18-13 or 15+17),Persons,Received by financial corporations from Federal Reserve banks,Received by the U.S. Treasury from Federal Reserve banks,Rest of the world,Rest of the world (6-12)
1980-01-01,73738.0,59251.0,23444.5,11803.0,10933.0,10933.0,119389.0,119389.0,75999.0,50293.5,11776.0,64196.0,53263.0,70.0,11706.0,13118.0,16748.0
1981-01-01,77434.0,68438.0,24659.0,14150.0,13010.0,13010.0,125880.0,125880.0,83883.0,52775.0,14099.0,69733.0,56723.0,75.0,14024.0,13009.5,15445.0
1982-01-01,83473.5,72098.0,24831.0,15359.0,15361.0,15361.0,135695.0,135695.0,88483.0,58642.5,15284.0,73124.0,57763.0,79.0,15205.0,15660.5,16385.0
1983-01-01,88280.0,84246.0,27730.5,14405.0,17310.0,17310.0,141274.0,141274.0,96391.0,60549.5,14314.0,81986.0,64676.0,85.0,14229.0,13453.5,12145.0
1984-01-01,94133.0,89736.0,30269.0,16218.0,19678.0,19678.0,148812.0,148812.0,102028.0,63864.0,16147.0,85810.0,66132.0,93.0,16054.0,13504.0,12292.0
1985-01-01,97776.5,99909.0,34382.5,17952.0,22274.0,22274.0,157583.0,157583.0,111746.0,63394.0,17899.0,93794.0,71520.0,103.0,17796.0,15070.5,11837.0
1986-01-01,103817.0,103192.0,36559.5,17954.0,23232.0,23232.0,171670.0,171670.0,121075.0,67257.5,17914.0,103121.0,79889.0,110.0,17804.0,18931.5,17883.0
1987-01-01,102754.5,103163.0,34779.0,17901.0,24992.0,24992.0,169752.0,169752.0,119868.0,67975.5,17856.0,101967.0,76975.0,117.0,17739.0,19559.5,16705.0
1988-01-01,132375.0,113617.0,45521.0,17540.0,25949.0,25949.0,221337.0,221337.0,145511.0,86854.0,17490.0,127971.0,102022.0,126.0,17364.0,29181.0,31894.0
1989-01-01,150635.0,147709.0,55438.5,21823.0,29441.0,29441.0,257647.0,257647.0,179309.0,95196.5,21776.0,157486.0,128045.0,130.0,21646.0,32078.0,31600.0
1990-01-01,160365.0,168590.0,60967.5,23846.0,32716.0,32716.0,271960.0,271960.0,193564.0,99397.5,23749.0,169718.0,137002.0,141.0,23608.0,31171.0,24974.0
1991-01-01,162860.5,177803.0,62853.0,21121.0,36222.0,36222.0,275097.0,275097.0,202130.0,100008.0,20931.0,181009.0,144787.0,153.0,20778.0,29282.5,24327.0
1992-01-01,170896.0,178473.0,63100.0,17239.0,39593.0,39593.0,285019.0,285019.0,206507.0,107796.0,16946.0,189268.0,149675.0,172.0,16774.0,30666.0,28034.0
1993-01-01,182136.5,201111.0,71428.5,16573.0,42554.0,42554.0,300882.0,300882.0,221693.0,110708.0,16182.0,205120.0,162566.0,195.0,15987.0,29176.0,20582.0
1994-01-01,204185.0,220391.0,84388.0,21226.0,46375.0,46375.0,350845.0,350845.0,258557.0,119796.5,20682.0,237331.0,190956.0,212.0,20470.0,40569.0,38166.0
1995-01-01,231940.5,250774.0,97561.0,24352.0,50567.0,50567.0,390603.0,390603.0,283546.0,134380.0,23620.0,259194.0,208627.0,231.0,23389.0,42173.0,32772.0
1996-01-01,268661.5,283461.0,117191.0,21436.0,55680.0,55680.0,451626.0,451626.0,323852.0,151470.5,20339.0,302416.0,246736.0,256.0,20083.0,48878.5,40391.0
1997-01-01,303125.5,312727.0,132819.0,22184.0,59294.0,59294.0,509832.0,509832.0,359937.0,170306.5,20959.0,337753.0,278459.0,300.0,20659.0,56385.0,47210.0
1998-01-01,322671.5,344361.0,143939.5,28191.0,59676.0,59676.0,548261.0,548261.0,386631.0,178732.5,26904.0,358440.0,298764.0,343.0,26561.0,62112.0,42270.0
1999-01-01,325442.5,333669.0,153399.0,26907.0,60474.0,60474.0,554700.0,554700.0,375368.0,172043.5,25784.0,348461.0,287987.0,374.0,25410.0,71811.0,41699.0
2000-01-01,353742.0,383651.0,166048.0,26699.0,60033.0,60033.0,601886.0,601886.0,413069.0,187694.0,25754.0,386370.0,326337.0,410.0,25344.0,71626.0,29418.0
2001-01-01,332891.0,362060.0,156277.5,28511.0,60019.0,60019.0,571312.0,571312.0,402921.0,176613.5,27517.0,374410.0,314391.0,428.0,27089.0,66969.5,40861.0
2002-01-01,340127.0,379443.0,162459.0,26046.0,60992.0,60992.0,592182.0,592182.0,427522.0,177668.0,24979.0,401476.0,340485.0,484.0,24495.0,68789.5,48079.0
2003-01-01,377074.0,422953.0,173806.5,23851.0,64878.0,64878.0,657125.0,657125.0,455049.0,203268.0,22540.0,431198.0,366320.0,518.0,22022.0,84965.0,32096.0
2004-01-01,465773.0,517519.0,215964.5,20472.0,77401.0,77401.0,821474.0,821474.0,579837.0,249808.0,18660.0,559365.0,481964.0,582.0,18078.0,104483.0,62318.0
2005-01-01,643108.5,318392.0,254852.0,24226.0,90709.0,90709.0,1120290.0,1120290.0,579254.0,388256.5,22249.0,555028.0,464319.0,781.0,21468.0,232908.5,260862.0
