Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Residual,Services,Software,State and local,Structures,Transportation equipment,Transportation services
2012-07-01,85498.0,344110.0,98249.0,901237.6666666666,1026568.0,74208.0,954361.0,2137473.0,-24922.0,1363348.0,385327.0,1033119.0,2681288.0,872002.0,796598.0,220954.0,291425.0,2272077.3333333335,3357201.0,17469650.0,217384.0,1365826.0,2759860.0,1923896.0,7884373.0,2330004.0,2479452.0,209744.0,270808.0,653267.0,981094.0,391986.0,853288.0,-341978.0,509149.0,2424764.0,114044.0,2139633.0,175616.0,162813.0,243873.0,916741.0,974669.0,11691414.0,478262.0,251909.0,333337.0,534146.0,-42872.0,3173271.0,247346.0,1993353.0,534258.0,232667.0,358600.0
2012-10-01,24013.0,341360.0,101218.0,893416.0,1049847.0,74348.0,973367.0,2139526.0,-19979.0,1336152.0,399291.0,1025725.0,2729394.0,873994.0,803091.0,223952.0,288329.0,2269127.0,3324137.0,17489852.0,214388.66666666666,1368540.0,2736423.0,1933068.0,7890953.0,2323179.0,2456092.0,214355.0,278678.0,666083.0,970319.0,405522.0,826679.0,-316566.0,508898.0,2424826.0,46231.0,2162912.0,180634.0,164468.0,241475.0,922425.0,971716.0,11738007.0,484393.0,257516.0,338929.0,561974.0,-48984.0,3185164.3333333335,254150.0,1987819.0,523964.0,241128.0,359246.0
2013-01-01,75942.0,346228.0,103546.0,887651.0,1076207.0,74335.0,993659.0,2150631.0,-4949.0,1305953.0,385266.0,1037244.0,2782635.0,879524.0,811642.0,228963.0,294867.0,2296533.3333333335,3293099.0,17662400.0,209920.33333333334,1361225.0,2845380.0,1924413.0,7911106.0,2346458.0,2453983.0,213069.0,290573.0,688207.0,976624.0,414683.0,806700.0,-303352.0,498712.0,2461515.0,81563.0,2196264.0,189944.0,166171.0,240931.0,941247.0,953207.0,11814326.0,485936.0,267586.0,352258.0,583345.0,-33993.0,3183040.6666666665,262952.0,1987201.0,513041.0,250213.0,364809.0
2013-04-01,79526.0,348173.0,97809.0,886965.3333333334,1081462.0,74946.0,995375.0,2170131.0,12299.0,1295886.0,385940.0,1037745.0,2811721.0,880417.0,802278.0,231992.0,298425.0,2317073.0,3288858.0,17709671.0,209217.66666666666,1372327.0,2882489.0,1941554.0,7937045.0,2343092.0,2489615.0,211772.0,290799.0,685463.0,986995.0,416650.0,802275.0,-319485.0,493013.0,2463711.0,66771.0,2207605.0,194795.0,164269.0,238644.0,935332.0,965747.0,11848089.0,484396.0,269635.0,354960.0,603035.0,-30002.0,3191468.0,257564.0,1993083.0,526559.0,255501.0,372761.0
2013-07-01,137289.0,347880.0,98776.0,880863.0,1091328.0,74458.0,998034.0,2188712.0,14087.0,1277807.0,386578.0,1032389.0,2863364.0,889850.0,805573.0,237546.0,299299.0,2334945.6666666665,3272825.0,17860450.0,209979.66666666666,1373262.0,2998991.0,1947776.0,7953688.0,2333588.0,2507502.0,213668.0,294656.0,699763.0,987320.0,414554.0,786507.0,-318791.0,490816.0,2482654.0,122816.0,2248212.0,197656.0,164758.0,233923.0,944979.0,975479.0,11896258.0,490505.0,274846.0,361596.0,613966.0,-19659.0,3201216.6666666665,265394.0,1995116.0,552040.0,256444.0,377193.0
2013-10-01,121413.0,349888.0,102199.0,874115.3333333334,1102516.0,74150.0,1038905.0,2251769.0,13663.0,1256027.0,386524.0,1041311.0,2910211.0,898330.0,818897.0,239744.0,302574.0,2369569.6666666665,3247579.0,18016147.0,208272.33333333334,1384847.0,3027805.0,1968746.0,8022703.0,2349746.0,2527321.0,212652.0,299531.0,706401.0,998826.0,415054.0,774015.0,-275552.0,481526.0,2506699.0,107322.0,2302178.0,199451.0,169793.0,260602.0,955110.0,982334.0,12001027.0,492903.0,278044.0,362175.0,604215.0,-12097.0,3228310.3333333335,271340.0,1991643.0,557443.0,268504.0,377662.0
2014-01-01,58313.0,350982.0,98657.0,874851.6666666666,1120977.0,75363.0,1049377.0,2230209.0,-2104.0,1254936.0,382465.0,1035358.0,2946011.0,904778.0,819935.0,241968.0,300362.0,2378445.0,3233646.0,17953974.0,202991.33333333334,1365093.0,2998148.0,1954171.0,8040878.0,2360831.0,2559945.0,217658.0,301891.0,713319.0,983168.0,424101.0,764400.0,-329736.0,490217.0,2514711.0,60895.0,2339393.0,204679.0,172070.0,259022.0,959102.0,992472.0,12044203.0,499239.0,283141.0,362843.0,601624.0,-22128.0,3237575.3333333335,276163.0,1978790.0,578061.0,273313.0,387230.0
2014-04-01,92815.0,359899.0,100843.0,871855.3333333334,1162828.0,76388.0,1077672.0,2278387.0,-1520.0,1247703.0,387525.0,1041321.0,3032651.0,906527.0,830729.0,253424.0,299133.0,2433066.0,3238033.0,18185911.0,207419.33333333334,1388961.0,3121321.0,1990080.0,8079254.0,2339398.0,2618248.0,223883.0,313714.0,731432.0,1001910.0,443400.0,759699.0,-339861.0,487703.0,2540347.0,95316.0,2406416.0,214119.0,176449.0,259587.0,977156.0,998183.0,12159899.0,496835.0,290264.0,372617.0,621366.0,-17726.0,3254771.6666666665,283457.0,1990341.0,598857.0,282443.0,389421.0
2014-07-01,106049.0,362893.0,99823.0,878321.3333333334,1182991.0,77474.0,1111248.0,2287790.0,-1938.0,1262053.0,388138.0,1054689.0,3094489.0,911945.0,840648.0,258103.0,300841.0,2453683.0,3259900.0,18406941.0,208279.66666666666,1405638.0,3193152.0,2026130.0,8156313.0,2325869.0,2623176.0,228766.0,313587.0,747241.0,1017814.0,448935.0,769714.0,-335386.0,492021.0,2561827.0,109269.0,2458452.0,214870.0,178981.0,273691.0,988884.0,1014045.0,12280086.0,505538.0,297462.0,379542.0,630798.0,-16005.0,3278381.0,291110.0,1997887.0,600814.0,298913.0,394640.0
2014-10-01,83220.0,369895.0,102198.0,875295.6666666666,1205849.0,78767.0,1105789.0,2306749.0,-5500.0,1243057.0,383104.0,1060185.0,3137275.0,917856.0,853725.0,263021.0,307515.0,2493707.6666666665,3257472.0,18500031.0,210485.0,1421244.0,3203351.0,2062272.0,8248087.0,2339843.0,2692035.0,223717.0,322338.0,764208.0,1038178.0,457839.0,747787.0,-385286.0,495105.0,2592382.0,90589.0,2479937.0,221203.0,182810.0,267100.0,998792.0,1028814.0,12421595.0,513014.0,302700.0,392925.0,653415.0,-29874.0,3314605.0,293760.0,2014353.0,611158.0,294877.0,394607.0
2015-01-01,169373.0,372491.0,100385.0,883332.6666666666,1228897.0,79121.0,1117415.0,2288491.0,2861.0,1248048.0,375368.0,1070828.0,3150326.0,925033.0,861985.0,267539.0,316876.0,2516520.0,3277170.0,18666621.0,209051.33333333334,1426968.0,3314895.0,2086633.0,8300343.0,2351139.0,2732128.0,224765.0,325639.0,759608.0,1051479.0,471500.0,745606.0,-443637.0,502343.0,2618169.0,168155.0,2481110.0,225992.0,185283.0,257849.0,1004656.0,1019637.0,12516902.0,518269.0,305375.0,383893.0,666289.0,-20268.0,3330499.0,297416.0,2029059.0,604938.0,311663.0,396731.0
2015-04-01,145308.0,376402.0,100724.0,887715.6666666666,1253678.0,79440.0,1122157.0,2294628.0,1006.0,1251919.0,376968.0,1078535.0,3184460.0,929224.0,873397.0,273292.0,317065.0,2539022.0,3309301.0,18782243.0,215368.0,1428370.0,3328049.0,2102503.0,8342773.0,2332931.0,2753525.0,226162.0,332137.0,763776.0,1051326.0,485448.0,747548.0,-458897.0,504279.0,2633975.0,145684.0,2498351.0,231977.0,188388.0,247804.0,1012176.0,1034621.0,12603053.0,523642.0,307631.0,383499.0,684076.0,-15146.0,3345517.6666666665,301515.0,2057326.0,613431.0,318135.0,401159.0
2015-07-01,120301.0,379530.0,102523.0,892203.0,1270069.0,80265.0,1140854.0,2276101.0,-1406.0,1250784.0,386420.0,1072113.0,3220257.0,934230.0,875223.0,280596.0,320934.0,2552503.6666666665,3326769.0,18857418.0,216730.33333333334,1433591.0,3335270.0,2133263.0,8376982.0,2334878.0,2772301.0,224921.0,342043.0,775881.0,1047247.0,486565.0,740332.0,-496200.0,510434.0,2661582.0,122530.0,2513595.0,239978.0,189716.0,246141.0,1027904.0,1038568.0,12691790.0,523953.0,314011.0,391207.0,705645.0,-16857.0,3361491.0,305129.0,2075918.0,597171.0,329608.0,402014.0
2015-10-01,99571.0,380941.0,98016.0,897944.6666666666,1278273.0,80786.0,1128413.0,2273012.0,1288.0,1260182.0,396127.0,1072972.0,3219485.0,937031.0,881102.0,285799.0,320354.0,2554200.0,3341055.0,18892206.0,215733.66666666666,1448221.0,3315334.0,2134215.0,8400440.0,2327874.0,2780142.0,227011.0,346894.0,796860.0,1052247.0,481596.0,746010.0,-507130.0,514151.0,2671659.0,98316.0,2502473.0,248903.0,191023.0,240110.0,1034379.0,1043056.0,12743411.0,537509.0,320354.0,402559.0,716639.0,-12931.0,3378721.3333333335,314188.0,2080801.0,577134.0,315437.0,406548.0
2016-01-01,62384.0,388148.0,101356.0,902514.0,1295286.0,81704.0,1125443.0,2266512.0,-12453.0,1261134.0,394592.0,1052327.0,3243156.0,948001.0,884790.0,291066.0,324824.0,2570667.3333333335,3371646.0,19001690.0,221371.66666666666,1463448.0,3301090.0,2172034.0,8455511.0,2335647.0,2776830.0,223141.0,350391.0,821304.0,1068920.0,484958.0,743247.0,-510318.0,517890.0,2696651.0,75335.0,2504570.0,249202.0,189615.0,239334.0,1036775.0,1059797.0,12839618.0,539987.0,329880.0,414257.0,739045.0,-11513.0,3390771.6666666665,325922.0,2110487.0,557417.0,313328.0,411930.0
2016-04-01,19192.0,387947.0,100151.0,903756.0,1306272.0,81973.0,1113799.0,2284053.0,-3422.0,1254810.0,389231.0,1039172.0,3267121.0,965698.0,885876.0,294550.0,324081.0,2582773.3333333335,3369042.0,19062709.0,219294.0,1480764.0,3287033.0,2202643.0,8489385.0,2348093.0,2780375.0,225902.0,351824.0,841936.0,1091507.0,486047.0,735829.0,-496323.0,519006.0,2720377.0,22525.0,2525941.0,251767.0,187677.0,236196.0,1043185.0,1064661.0,12903306.0,536723.0,338052.0,425374.0,741346.0,-3718.0,3406732.0,335156.0,2114243.0,570209.0,300260.0,412510.0
2016-07-01,-3687.0,392672.0,97568.0,908811.0,1339752.0,83962.0,1112586.0,2321136.0,29.0,1261434.0,403533.0,1045823.0,3303627.0,973748.0,890007.0,300637.0,324849.0,2609827.6666666665,3383696.0,19197938.0,219118.66666666666,1491295.0,3301079.0,2192203.0,8521474.0,2356355.0,2800667.0,223958.0,357560.0,858886.0,1087782.0,504480.0,743289.0,-479531.0,518147.0,2729065.0,-3870.0,2564000.0,259942.0,188886.0,232227.0,1038206.0,1075096.0,12993064.0,544789.0,345863.0,429801.0,739347.0,-1396.0,3428572.3333333335,345510.0,2122261.0,592897.0,298990.0,417597.0
2016-10-01,55550.0,390369.0,99592.0,908587.6666666666,1360770.0,84927.0,1118081.0,2303823.0,-5826.0,1262501.0,404265.0,1048674.0,3333741.0,985890.0,894330.0,303414.0,321426.0,2634499.0,3389649.0,19304352.0,221321.33333333334,1504809.0,3391749.0,2218504.0,8561685.0,2347848.0,2841006.0,226716.0,364666.0,868457.0,1100543.0,516937.0,742228.0,-537183.0,520280.0,2733555.0,60289.0,2584602.0,265041.0,188702.0,229065.0,1035986.0,1079184.0,13060061.0,551189.0,351827.0,428416.0,748925.0,2636.0,3433842.0,355269.0,2127153.0,598385.0,297671.0,422111.0
