Date,Change in private inventories,Durable goods,Farm,Manufacturing,Merchant wholesalers,Motor vehicle dealers,Nondurable goods,Nonfarm,Nonmerchant wholesalers,Other,Residual,Retail trade,Wholesale trade
1964-01-01,20471.0,2434.5,-5719.0,10983.0,4169.0,3594.0,2443.5,25821.0,460.0,1684.5,17407.0,7629.0,4539.0
1964-04-01,19642.0,3172.5,-6236.0,2584.0,9100.0,1705.0,2691.0,25354.0,377.0,3744.0,3987.0,9544.0,9200.0
1964-07-01,23536.0,3426.0,-6084.0,12433.0,4225.0,5188.0,1757.6666666666667,29075.0,570.0,1397.5,18328.0,8382.0,4713.0
1964-10-01,22509.0,2620.1666666666665,-4449.0,23892.0,4550.0,-9483.0,2783.1666666666665,26560.0,1090.0,1962.0,17000.0,-5170.0,5607.0
1965-01-01,51575.0,6852.833333333333,1283.0,15117.0,12400.0,9543.0,2551.0,49919.0,430.0,2519.0,30705.0,18785.0,12469.0
1965-04-01,37157.0,4224.333333333333,4200.0,12327.0,7933.0,6363.0,2249.6666666666665,32950.0,920.0,1830.0,17836.0,8167.0,8696.0
1965-07-01,41846.0,4977.333333333333,4552.0,23799.0,6155.0,3350.0,1475.1666666666667,37285.0,574.0,799.5,29618.0,4132.0,6593.0
1965-10-01,33654.0,1898.3333333333333,4652.0,15379.0,-180.0,3949.0,2982.3333333333335,29000.0,972.0,508.0,19037.0,8874.0,902.0
1966-01-01,58962.0,7570.333333333333,1686.0,29358.0,14022.0,833.0,3641.5,57283.0,1546.0,1890.5,37324.0,10455.0,15304.0
1966-04-01,56666.0,6252.0,-4036.0,31245.0,7959.0,7248.0,4944.166666666667,61361.0,2886.0,1156.0,44555.0,15971.0,10888.0
1966-07-01,50369.0,6845.666666666667,-2531.0,39912.0,8912.0,-4603.0,2669.5,53519.0,2405.0,1521.5,38771.0,-997.0,11286.0
1966-10-01,69319.0,8524.5,-3333.0,35066.0,20169.0,-15909.0,7206.0,73295.0,3154.0,10584.5,38326.0,10174.0,23034.0
1967-01-01,64874.0,4566.0,5667.0,39192.0,8747.0,-4026.0,7724.666666666667,59442.0,4774.0,1468.0,34131.0,1973.0,13721.0
1967-04-01,28499.0,1574.5,10621.0,16148.0,-2350.0,-7962.0,1552.5,17937.0,2491.0,3998.0,9253.0,-3963.0,438.0
1967-07-01,38402.0,3178.0,2058.0,18345.0,15854.0,-4769.0,6722.0,36334.0,1610.0,5341.5,9138.0,-4627.0,17172.0
1967-10-01,37360.0,4910.833333333333,-3508.0,17160.0,8272.0,3791.0,3600.6666666666665,40535.0,2366.0,3892.5,19306.0,6478.0,10625.0
1968-01-01,34133.0,1801.1666666666667,10796.0,7219.0,1639.0,5282.0,2110.1666666666665,23355.0,-57.0,2194.5,13833.0,10474.0,1549.0
1968-04-01,59786.0,4018.1666666666665,18368.0,16546.0,9727.0,7171.0,5040.166666666667,41427.0,2982.0,1264.0,27145.0,10915.0,12739.0
1968-07-01,32636.0,1804.8333333333333,1916.0,21889.0,4501.0,-5709.0,4710.333333333333,30653.0,1496.0,2414.5,17150.0,-755.0,6025.0
1968-10-01,27116.0,3682.5,-7112.0,11326.0,-2050.0,14329.0,806.5,33977.0,991.0,1112.5,32302.0,19704.0,-976.0
1969-01-01,45460.0,4334.0,5016.0,18428.0,10478.0,739.0,4351.5,40352.0,2607.0,2260.0,19982.0,5903.0,13096.0
1969-04-01,37989.0,3927.5,5520.0,9756.0,11255.0,-1722.0,3920.1666666666665,32480.0,2232.0,3237.0,6860.0,5766.0,13485.0
1969-07-01,43899.0,5133.5,-3206.0,16405.0,8909.0,6821.0,4407.333333333333,47271.0,1865.0,3514.5,27198.0,15414.0,10782.0
1969-10-01,23776.0,3902.5,-7206.0,15480.0,3594.0,4286.0,1072.8333333333333,31139.0,1024.0,989.0,22658.0,8534.0,4630.0
1970-01-01,4328.0,455.1666666666667,4288.0,-4494.0,11973.0,-4513.0,2187.8333333333335,-21.0,-677.0,-65.5,-11062.0,-3912.0,11227.0
1970-04-01,20148.0,98.0,2059.0,2432.0,6759.0,3175.0,5400.333333333333,18164.0,1882.0,-563.5,3519.0,8109.0,8667.0
1970-07-01,20250.0,4320.0,-6345.0,7696.0,12084.0,2291.0,1687.8333333333333,26782.0,464.0,469.5,9970.0,6551.0,12548.0
1970-10-01,-16829.0,-2012.0,-13948.0,-5810.0,12712.0,-17650.0,6077.666666666667,-2749.0,1152.0,3018.5,-29684.0,-10395.0,13888.0
1971-01-01,47696.0,3847.5,9412.0,1405.0,-11.0,19209.0,2021.1666666666667,38307.0,498.0,2585.0,24902.0,31050.0,491.0
1971-04-01,40589.0,2421.5,15168.0,-4715.0,12555.0,11265.0,4363.0,25205.0,-972.0,2977.0,6249.0,15508.0,11591.0
1971-07-01,38579.0,3958.3333333333335,7839.0,-6187.0,9683.0,18966.0,1969.8333333333333,30764.0,-1334.0,538.0,17406.0,28399.0,8342.0
1971-10-01,-2228.0,224.5,-8409.0,-6830.0,14951.0,-11051.0,4625.0,6585.0,-727.0,2976.0,-19743.0,-545.0,14224.0
1972-01-01,13935.0,1574.5,532.0,2677.0,-858.0,-308.0,6.333333333333333,13603.0,-837.0,3838.5,7720.0,8475.0,-1702.0
1972-04-01,45638.0,4412.166666666667,8375.0,8868.0,11446.0,-158.0,3744.0,37464.0,266.0,4652.5,13046.0,12646.0,11733.0
1972-07-01,48838.0,4531.666666666667,3028.0,19593.0,13700.0,-1047.0,6085.666666666667,47098.0,2453.0,3260.5,20928.0,8978.0,16205.0
1972-10-01,19615.0,6625.833333333333,-9502.0,5550.0,5016.0,5727.0,-2288.5,32311.0,-217.0,4673.0,19479.0,18192.0,4815.0
1973-01-01,32168.0,6640.5,-12910.0,22649.0,9120.0,7077.0,2874.1666666666665,52377.0,803.0,2744.0,26833.0,15087.0,9943.0
1973-04-01,62868.0,7730.833333333333,15111.0,23888.0,-4765.0,9915.0,-2259.8333333333335,46863.0,2963.0,3387.0,46043.0,19480.0,-1844.0
1973-07-01,29975.0,7062.5,5829.0,20757.0,-1736.0,4551.0,-5363.833333333333,24336.0,188.0,2842.5,29606.0,129.0,-1584.0
1973-10-01,69558.0,6923.166666666667,2448.0,34582.0,10485.0,7415.0,7432.5,74523.0,2521.0,3034.0,32691.0,19340.0,13061.0
1974-01-01,33922.0,5146.166666666667,-7106.0,20628.0,21003.0,-3235.0,7277.0,48611.0,1223.0,8814.5,9987.0,-4854.0,22420.0
1974-04-01,44484.0,3256.8333333333335,-119.0,30468.0,19833.0,-5970.0,9103.333333333334,48468.0,1662.0,-647.0,20638.0,-3059.0,21595.0
1974-07-01,14232.0,5146.166666666667,1083.0,23076.0,-4825.0,-3701.0,-4363.333333333333,14265.0,1839.0,-637.5,19777.0,-9081.0,-3035.0
