Date,Capital transfer payments,Capital transfer receipts,Consumption expenditures,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer receipts,Dividends,From business (net),From persons,From the rest of the world,Government social benefits,Gross government investment,Income receipts on assets,Interest and miscellaneous receipts,Interest payments,Interest receipts,Less: Consumption of fixed capital,Net government saving,Net lending or net borrowing (-),Net purchases of nonproduced assets,Other,Other current transfer payments to the rest of the world,Personal current taxes,Rents and royalties,Social insurance funds,Subsidies,Taxes from the rest of the world,Taxes on corporate income,Taxes on production and imports,To persons,To persons and business,To the rest of the world,Total expenditures,Total receipts
1957-07-01,24.0,1880.0,76806.0,11532.0,109693.0,110607.0,,97073.0,20084.0,1003.0,564.0,428.0,6037.5,32.0,18224.0,30599.0,999.0,435.0,11742.0,,16828.0,914.0,,,,1860.0,39197.0,435.0,,1061.0,,20864.0,37012.0,18224.0,,204.0,,112487.0
1957-10-01,24.0,1708.0,79236.0,11356.0,113702.0,107936.0,,94506.0,21320.0,1025.0,612.0,440.0,5956.5,28.0,19436.0,30826.0,1049.0,437.0,12184.0,,17077.0,-5765.0,,,,1884.0,38804.0,437.0,,962.0,,18956.0,36746.0,19436.0,,204.0,,109644.0
1958-01-01,28.0,1750.0,78576.0,11364.0,114010.0,104832.0,,91329.0,22636.0,1071.0,592.0,485.0,5957.0,36.0,20808.0,31267.0,1068.0,476.0,11701.0,,17057.0,-9178.0,,,-7922.0,1828.0,38178.0,476.0,-1256.0,1097.0,,16328.0,36823.0,20808.0,,168.0,,106582.0
1958-04-01,28.0,1692.0,81642.0,11288.0,119228.0,105103.0,,91703.0,24592.0,1064.0,572.0,482.0,5917.0,36.0,22648.0,31981.0,1048.0,476.0,11703.0,,17352.0,-14125.0,,,-10604.0,1944.0,37696.0,476.0,-3521.0,1291.0,,16676.0,37331.0,22648.0,,92.0,,106795.0
1958-07-01,28.0,1652.0,82168.0,11456.0,120661.0,109092.0,,95648.0,25020.0,1032.0,480.0,459.0,5996.5,36.0,22976.0,32925.0,956.0,476.0,11997.0,,17724.0,-11569.0,,,-8167.0,2044.0,38945.0,476.0,-3402.0,1476.0,,18908.0,37795.0,22976.0,,128.0,,110744.0
1958-10-01,32.0,1687.0,83676.0,11576.0,122285.0,113638.0,,100153.0,24520.0,981.0,452.0,426.0,6045.5,40.0,22472.0,34316.0,928.0,476.0,12477.0,,18043.0,-8647.0,,,-6294.0,2048.0,39376.0,476.0,-2353.0,1612.0,,21848.0,38929.0,22472.0,,168.0,,115325.0
1959-01-01,44.0,1691.0,80978.0,13700.0,122518.0,119294.0,494.0,103332.0,26844.0,667.0,704.0,332.0,6995.5,44.0,22736.0,36217.0,1102.0,398.0,13548.0,,18253.0,-3224.0,,,-2627.0,4108.0,40758.0,398.0,-597.0,1148.0,84.0,22720.0,39770.0,22736.0,,208.0,,120985.0
1959-04-01,40.0,1732.0,82377.0,13944.0,123465.0,123568.0,554.0,107238.0,26908.0,661.0,772.0,341.0,7112.0,40.0,22612.0,36158.0,1171.0,399.0,13253.0,,18480.0,102.0,,,354.0,4296.0,41986.0,399.0,-252.0,928.0,84.0,24876.0,40292.0,22612.0,,236.0,,125300.0
1959-07-01,60.0,1882.0,83354.0,13900.0,124772.0,122988.0,521.0,106509.0,26412.0,645.0,1008.0,332.0,7086.5,40.0,22844.0,36138.0,1413.0,405.0,13918.0,,18756.0,-1784.0,,,-1136.0,3568.0,42679.0,405.0,-648.0,1088.0,84.0,22024.0,41722.0,22844.0,,296.0,,124870.0
1959-10-01,52.0,1915.0,83669.0,13952.0,126707.0,124346.0,610.0,107561.0,27508.0,651.0,1160.0,339.0,7114.0,36.0,23476.0,34939.0,1571.0,411.0,14462.0,,19012.0,-2361.0,,,-1218.0,4032.0,43733.0,411.0,-1143.0,1068.0,84.0,21320.0,42424.0,23476.0,,384.0,,126261.0
