Date,Chained (2017) dollars,Current dollars,Personal saving as a percentage of disposable personal income
1978-01-01,22530.0,7063.0,11.3
1978-04-01,22711.0,7266.0,10.4
1978-07-01,22821.0,7430.0,10.7
1978-10-01,22904.0,7598.0,10.5
1979-01-01,23120.0,7814.0,11.1
1979-04-01,22851.0,7935.0,10.4
1979-07-01,22889.0,8145.0,9.9
1979-10-01,22865.0,8334.0,9.8
1980-01-01,22887.0,8592.0,10.1
1980-04-01,22623.0,8701.0,11.4
1980-07-01,22802.0,8975.0,11.5
1980-10-01,23045.0,9296.0,11.4
1981-01-01,22956.0,9500.0,10.8
1981-04-01,22924.0,9646.0,10.8
1981-07-01,23351.0,9987.0,12.2
1981-10-01,23307.0,10121.0,12.8
1982-01-01,23312.0,10252.0,12.2
1982-04-01,23406.0,10391.0,12.4
1982-07-01,23466.0,10582.0,12.2
1982-10-01,23494.0,10711.0,11.0
1983-01-01,23681.0,10886.0,11.0
1983-04-01,23801.0,11041.0,9.8
1983-07-01,24096.0,11325.0,9.5
1983-10-01,24562.0,11620.0,10.0
1984-01-01,24984.0,11948.0,11.0
1984-04-01,25335.0,12234.0,11.1
1984-07-01,25604.0,12459.0,11.6
1984-10-01,25753.0,12609.0,11.1
1985-01-01,25643.0,12703.0,9.2
1985-04-01,26100.0,13034.0,10.1
1985-07-01,25961.0,13067.0,8.2
1985-10-01,26181.0,13269.0,8.9
1986-01-01,26483.0,13518.0,9.3
1986-04-01,26759.0,13645.0,9.5
1986-07-01,26842.0,13759.0,8.4
1986-10-01,26782.0,13811.0,7.9
1987-01-01,26927.0,14017.0,8.5
1987-04-01,26592.0,13977.0,6.4
1987-07-01,27003.0,14327.0,7.0
1987-10-01,27325.0,14623.0,8.2
1988-01-01,27719.0,14951.0,8.1
1988-04-01,27978.0,15257.0,8.5
1988-07-01,28189.0,15562.0,8.6
1988-10-01,28387.0,15829.0,8.4
1989-01-01,28637.0,16152.0,8.9
1989-04-01,28478.0,16280.0,8.1
1989-07-01,28587.0,16438.0,7.9
1989-10-01,28754.0,16665.0,8.2
1990-01-01,28919.0,17004.0,8.2
1990-04-01,29042.0,17232.0,8.7
1990-07-01,28943.0,17391.0,8.3
1990-10-01,28611.0,17419.0,8.2
1991-01-01,28610.0,17510.0,8.8
1991-04-01,28734.0,17681.0,8.7
1991-07-01,28742.0,17806.0,8.7
1991-10-01,28868.0,18014.0,9.4
1992-01-01,29339.0,18422.0,9.6
1992-04-01,29516.0,18656.0,9.9
1992-07-01,29534.0,18787.0,9.3
1992-10-01,29563.0,18936.0,8.8
1993-01-01,29588.0,19065.0,8.7
1993-04-01,29590.0,19195.0,8.2
1993-07-01,29514.0,19229.0,7.3
1993-10-01,29625.0,19412.0,7.2
1994-01-01,29737.0,19556.0,6.7
1994-04-01,29946.0,19803.0,6.9
1994-07-01,30025.0,19998.0,6.7
1994-10-01,30362.0,20317.0,7.0
1995-01-01,30537.0,20534.0,7.5
1995-04-01,30534.0,20652.0,6.8
1995-07-01,30712.0,20857.0,6.7
1995-10-01,30792.0,21003.0,6.5
1996-01-01,31001.0,21264.0,6.5
1996-04-01,31193.0,21538.0,6.3
1996-07-01,31334.0,21728.0,6.4
1996-10-01,31392.0,21916.0,6.1
1997-01-01,31596.0,22156.0,6.0
1997-04-01,31777.0,22339.0,6.3
1997-07-01,32046.0,22588.0,5.8
1997-10-01,32418.0,22922.0,6.1
1998-01-01,33022.0,23351.0,7.0
1998-04-01,33394.0,23656.0,6.7
1998-07-01,33621.0,23890.0,6.4
1998-10-01,33771.0,24060.0,5.8
1999-01-01,34045.0,24303.0,5.9
1999-04-01,33975.0,24391.0,4.5
1999-07-01,34107.0,24620.0,4.1
1999-10-01,34446.0,25015.0,3.9
2000-01-01,34958.0,25594.0,4.1
2000-04-01,35284.0,25956.0,4.3
2000-07-01,35653.0,26396.0,4.5
2000-10-01,35797.0,26653.0,4.2
2001-01-01,35999.0,27003.0,4.7
2001-04-01,35887.0,27045.0,4.4
2001-07-01,36611.0,27605.0,6.3
2001-10-01,35912.0,27089.0,3.3
2002-01-01,36693.0,27733.0,5.5
2002-04-01,36905.0,28100.0,5.9
2002-07-01,36857.0,28208.0,5.4
2002-10-01,36992.0,28444.0,5.5
2003-01-01,36924.0,28609.0,5.1
2003-04-01,37261.0,28899.0,5.1
2003-07-01,37802.0,29511.0,5.5
2003-10-01,37814.0,29666.0,5.0
2004-01-01,37912.0,29971.0,4.6
2004-04-01,38217.0,30416.0,5.0
2004-07-01,38368.0,30686.0,4.5
2004-10-01,38718.0,31231.0,4.5
2005-01-01,38112.0,30921.0,2.5
2005-04-01,38378.0,31333.0,2.2
2005-07-01,38422.0,31708.0,1.8
2005-10-01,38669.0,32166.0,2.4
2006-01-01,39299.0,32861.0,3.2
2006-04-01,39357.0,33198.0,3.0
2006-07-01,39312.0,33399.0,2.4
2006-10-01,39690.0,33664.0,2.6
2007-01-01,39905.0,34156.0,2.7
2007-04-01,40013.0,34539.0,2.8
2007-07-01,39977.0,34703.0,2.4
2007-10-01,39925.0,35010.0,2.2
2008-01-01,40006.0,35368.0,2.8
2008-04-01,40740.0,36369.0,4.6
2008-07-01,39858.0,35961.0,3.5
2008-10-01,40218.0,35706.0,5.6
2009-01-01,40106.0,35366.0,5.7
2009-04-01,40292.0,35671.0,6.8
2009-07-01,39713.0,35401.0,5.1
2009-10-01,39680.0,35643.0,5.3
2010-01-01,39838.0,35924.0,5.4
2010-04-01,40423.0,36508.0,6.2
2010-07-01,40556.0,36699.0,6.1
2010-10-01,40622.0,36994.0,6.0
2011-01-01,40957.0,37612.0,6.6
2011-04-01,40802.0,37838.0,6.3
2011-07-01,40932.0,38135.0,6.6
2011-10-01,40939.0,38267.0,6.6
2012-01-01,41493.0,39042.0,7.4
2012-04-01,41698.0,39330.0,7.9
2012-07-01,41281.0,39050.0,7.0
2012-10-01,42342.0,40278.0,9.1
2013-01-01,40599.0,38755.0,4.8
2013-04-01,40837.0,39002.0,5.3
2013-07-01,40894.0,39217.0,5.2
2013-10-01,40864.0,39332.0,4.6
2014-01-01,41266.0,39902.0,5.3
2014-04-01,41708.0,40510.0,5.5
2014-07-01,42010.0,40914.0,5.5
2014-10-01,42517.0,41353.0,5.7
2015-01-01,43027.0,41662.0,6.2
2015-04-01,43080.0,41921.0,5.8
2015-07-01,43228.0,42175.0,5.6
2015-10-01,43381.0,42291.0,5.8
2016-01-01,43655.0,42579.0,5.9
2016-04-01,43490.0,42687.0,5.2
2016-07-01,43647.0,42989.0,5.1
2016-10-01,43845.0,43382.0,5.2
2017-01-01,44233.0,44021.0,5.5
2017-04-01,44647.0,44522.0,6.0
2017-07-01,44878.0,44911.0,6.0
2017-10-01,45080.0,45383.0,5.5
2018-01-01,45498.0,46125.0,5.8
2018-04-01,45846.0,46721.0,6.1
2018-07-01,46257.0,47298.0,6.6
2018-10-01,46629.0,47860.0,7.2
2019-01-01,47153.0,48496.0,8.2
2019-04-01,47065.0,48676.0,7.3
2019-07-01,47313.0,49049.0,6.9
2019-10-01,47471.0,49406.0,6.7
2020-01-01,47734.0,49832.0,9.0
2020-04-01,52433.0,54517.0,24.5
2020-07-01,50546.0,52980.0,15.0
2020-10-01,49476.0,52106.0,12.1
2021-01-01,55448.0,59050.0,19.7
2021-04-01,51097.0,55263.0,10.0
2021-07-01,50447.0,55312.0,8.3
2021-10-01,49804.0,55512.0,6.3
2022-01-01,48330.0,54887.0,3.3
2022-04-01,48035.0,55559.0,2.2
2022-07-01,48713.0,56999.0,3.1
2022-10-01,49057.0,57971.0,3.4
2023-01-01,50251.0,59958.0,4.7
2023-04-01,50567.0,60770.0,5.0
2023-07-01,50616.0,61234.0,4.6
2023-10-01,50882.0,61808.0,4.5
2024-01-01,51462.0,63041.0,5.4
2024-04-01,51473.0,63450.0,4.9
2024-07-01,51393.0,63594.0,4.1
2024-10-01,51555.0,64172.0,3.7
