Date,Agriculture,Air,Disability,Economic affairs,Education,Elementary and secondary,Energy,Executive and legislative,Federal,Fire,General economic and labor affairs,General public service,Government,Gross expenditures,Health,Health (net),Higher,Highways,Housing and community services,Income security,Interest payments,Law courts,Less: Sales to other sectors,Libraries,Libraries and other,National defense,Natural resources,Other,Other economic affairs,Police,Postal service,Prisons,Public order and safety,Recreation and culture,Retirement,Space,State and local,Tax collection and financial management,Transit and railroad,Transportation,Unemployment,Water,Welfare and social services
1969-01-01,4663.666666666667,1027.0,5999.333333333333,17937.0,28674.0,21985.333333333332,537.0,3434.3333333333335,196984.0,2084.0,3250.6666666666665,33339.0,284710.0,13623.0,16962.0,10061.0,4078.3333333333335,6026.0,1286.3333333333333,33687.666666666664,24422.666666666668,1051.3333333333333,3562.0,579.0,2988.0,85336.5,974.3333333333334,1678.4444444444443,9251.666666666666,3331.3333333333335,0.0,962.6666666666666,6734.666666666667,1148.6666666666667,25816.0,1758.0,101385.0,2929.3333333333335,38.666666666666664,7513.333333333333,2584.0,1146.0,8502.666666666666
1970-01-01,4174.333333333333,1297.0,6745.333333333333,19230.0,33477.0,25136.333333333332,543.5,4141.666666666667,219944.0,2383.0,3494.3333333333335,40102.333333333336,319221.0,15836.0,20084.0,11915.0,4995.666666666667,6685.333333333333,1836.3333333333333,41510.0,29588.666666666668,1203.3333333333333,3922.0,650.0,3726.0,84607.0,1335.0,2087.222222222222,9358.0,3792.3333333333335,0.0,1147.3333333333333,7731.666666666667,1275.6666666666667,30740.0,2181.0,117619.0,3366.6666666666665,50.0,8418.0,4426.0,1227.0,10967.333333333334
1971-01-01,3962.0,1492.0,7777.0,21292.333333333332,38183.333333333336,28376.666666666668,662.5,5035.0,241602.0,2695.0,4425.666666666667,44614.0,354491.0,18723.0,22703.5,13970.0,5771.333333333333,7272.0,2373.0,49711.666666666664,32414.0,1385.0,4752.0,721.0,4493.0,86002.0,1491.6666666666667,2225.5,10299.0,4426.0,0.0,1344.0,8952.333333333334,1454.3333333333333,35629.0,2556.0,135031.0,3606.0,100.0,9289.333333333334,6293.5,1384.0,13659.0
1972-01-01,4917.333333333333,1522.0,8821.0,24169.666666666668,42602.0,31502.0,831.0,5812.666666666667,268020.0,2926.0,5219.0,50277.0,388548.0,21543.0,26585.0,15826.0,6385.666666666667,7778.666666666667,2791.0,55265.333333333336,35642.666666666664,1568.3333333333333,5717.0,801.0,5228.5,89042.5,1707.6666666666667,2834.4,12388.333333333334,5066.666666666667,0.0,1530.0,10115.0,1622.3333333333333,39563.0,2631.0,151041.0,3939.3333333333335,212.33333333333334,10027.666666666666,6245.0,1533.0,15510.666666666666
1973-01-01,3995.6666666666665,1626.0,10211.333333333334,24539.666666666668,46111.333333333336,33944.333333333336,792.5,5570.0,287556.0,3160.0,5560.666666666667,58553.666666666664,421512.0,24573.0,29969.0,17870.0,6948.0,8591.333333333334,3070.0,62331.333333333336,41320.0,1797.6666666666667,6702.0,872.0,5758.5,87813.0,1691.0,3812.1,11778.0,5613.666666666667,0.0,1771.6666666666667,11290.0,1797.3333333333333,48525.0,2552.0,167445.0,4175.333333333333,258.6666666666667,11060.0,4865.0,1689.0,15947.333333333334
1974-01-01,2390.3333333333335,1808.0,11567.0,26055.333333333332,51790.0,37637.333333333336,1532.5,6500.666666666667,319849.0,3508.0,5390.333333333333,66191.0,473911.0,28504.0,35724.0,20944.0,8142.0,10372.0,3433.6666666666665,72771.66666666667,46350.666666666664,2040.6666666666667,7560.0,976.0,6578.0,92328.5,1960.0,4375.3,10765.0,6265.333333333333,0.0,2198.0,12842.666666666666,2141.6666666666665,54561.0,3225.0,188970.0,4755.333333333333,307.3333333333333,13140.333333333334,7338.5,1883.5,19302.0
1975-01-01,3109.0,1910.0,13128.0,31382.333333333332,60586.666666666664,42803.333333333336,2467.5,7874.333333333333,374759.0,2690.0,6767.0,74358.33333333333,549878.0,33392.0,42327.5,24777.0,10111.666666666666,11621.333333333334,3905.6666666666665,92266.66666666667,51602.0,2341.0,8615.0,1096.0,8172.0,97693.5,2414.3333333333335,5422.1,13929.333333333334,7083.0,0.0,2523.0,14636.666666666666,2384.6666666666665,61921.0,3594.0,218744.0,5480.666666666667,819.6666666666666,15056.666666666666,18339.0,2013.5,23894.0
1976-01-01,3097.6666666666665,2047.0,14835.0,33287.333333333336,64677.0,46074.666666666664,2916.5,8579.0,403484.0,2880.6666666666665,7871.0,82370.66666666667,591024.0,36382.0,47746.5,26359.0,11266.333333333334,11958.0,4374.333333333333,100070.66666666667,57816.0,2578.0,10022.0,1160.0,8209.5,99869.0,2437.0,5596.9,15330.333333333334,7553.0,0.0,2803.0,15814.666666666666,2583.3333333333335,69294.0,3389.5,236616.0,5486.0,981.6666666666666,15697.333333333334,16937.0,2089.5,26125.0
1977-01-01,3920.0,2198.0,16564.0,37191.0,69310.0,49913.333333333336,3899.0,8425.333333333334,437317.0,3080.6666666666665,8893.333333333334,90622.33333333333,640329.0,40261.0,53631.5,29203.0,12483.666666666666,12490.666666666666,4767.0,106441.33333333333,63835.333333333336,2833.6666666666665,11059.0,1240.0,8073.0,106927.5,2686.0,5971.6,18090.666666666668,8234.333333333334,0.0,3128.6666666666665,17278.0,2756.3333333333335,76863.0,3383.5,257773.0,6270.0,1333.6666666666667,16844.666666666668,13746.5,2332.5,27736.0
1978-01-01,5160.666666666667,2317.0,17825.0,44247.0,74213.0,53691.333333333336,5411.0,8875.0,485865.0,3374.6666666666665,11969.333333333334,103310.33333333333,703312.0,45201.0,60325.0,32334.0,13419.333333333334,13594.666666666666,5316.333333333333,112672.33333333333,74964.0,3213.3333333333335,12866.0,1348.0,8429.0,115641.0,2899.0,6150.2,23638.333333333332,9000.0,0.0,3469.0,19056.333333333332,3131.0,84411.0,3455.0,280929.0,6777.333333333333,1434.6666666666667,18305.333333333332,10880.0,2597.0,29718.0
