Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1965-04-01,6426.0,156967.0,208380.33333333334,,721623.0,321138.0,730191.0,,,709646.0,,164172.0,20544.0,324100.0,84953.0
1965-07-01,6969.0,163215.0,213438.33333333334,,740031.0,329449.0,749323.0,,,728275.0,,166235.0,21048.0,333141.0,86732.0
1965-10-01,5688.0,163956.0,221385.33333333334,,764273.0,339662.0,771857.0,,,750165.0,,175706.0,21691.0,342832.0,89363.0
1966-01-01,10404.0,178462.0,229014.0,,781862.0,357393.0,795734.0,,,773359.0,,178931.0,22375.0,347402.0,90938.0
1966-04-01,9237.0,177184.0,230176.0,,792665.0,357580.0,804981.0,,,781975.0,,180396.0,23006.0,357759.0,89642.0
1966-07-01,8889.0,182631.0,234856.0,,807786.0,364136.0,819638.0,,,796083.0,,181505.0,23555.0,366359.0,89143.0
1966-10-01,12378.0,186474.0,237616.0,,816798.0,372928.0,833302.0,,,809315.0,,186454.0,23987.0,373617.0,86756.0
1967-01-01,11567.25,180397.0,237827.33333333334,,828747.0,372164.0,844170.0,,811459.0,819846.0,32711.0,191767.0,24324.0,384809.0,87198.0
1967-04-01,4755.75,180026.0,241843.33333333334,,842642.0,369105.0,848983.0,,813892.0,824342.0,35091.0,189079.0,24640.0,390570.0,89307.0
1967-07-01,6947.25,182840.0,243562.0,,855970.0,374606.0,865233.0,,830157.0,840221.0,35076.0,191767.0,25012.0,399060.0,91566.0
1967-10-01,6324.75,186853.0,245825.33333333334,,873006.0,377172.0,881439.0,,845477.0,856018.0,35962.0,190318.0,25422.0,408814.0,95454.0
1968-01-01,6328.5,189618.0,253565.66666666666,,900949.0,388786.0,909387.0,,867493.0,883489.0,41894.0,199168.0,25898.0,422501.0,98100.0
1968-04-01,10561.5,195717.0,257940.66666666666,,920262.0,400992.0,934344.0,,889983.0,907984.0,44361.0,205276.0,26360.0,432812.0,100540.0
1968-07-01,5760.75,199284.0,265446.6666666667,,943145.0,405851.0,950825.0,,907411.0,924014.0,43414.0,206567.0,26812.0,443512.0,101463.0
1968-10-01,4505.25,205158.0,268556.6666666667,,962024.0,408842.0,968030.0,,922533.0,940743.0,45497.0,203684.0,27287.0,453538.0,105650.0
1969-01-01,8616.75,212869.0,275694.0,,981848.0,425030.0,993337.0,,947693.0,965618.0,45643.0,212161.0,27719.0,459289.0,109018.0
1969-04-01,6916.5,209233.0,277778.3333333333,,999798.0,425889.0,1009020.0,,966207.0,980918.0,42813.0,216657.0,28102.0,472596.0,110534.0
1969-07-01,7645.5,216048.0,282285.6666666667,,1019762.0,433623.0,1029956.0,,982896.0,1001590.0,47060.0,217574.0,28366.0,484422.0,111911.0
1969-10-01,4340.25,215970.0,285632.6666666667,,1032360.0,434236.0,1038147.0,,994947.0,1009675.0,43200.0,218266.0,28472.0,495282.0,108628.0
1970-01-01,1367.25,209811.0,289830.0,,1049377.0,436568.0,1051200.0,,1012912.0,1022834.0,38288.0,226757.0,28366.0,505913.0,108719.0
1970-04-01,3810.75,213247.0,292917.0,,1062294.0,444457.0,1067375.0,,1025384.0,1039119.0,41992.0,231209.0,28256.0,514022.0,108896.0
1970-07-01,3812.25,218832.0,295127.3333333333,,1080975.0,447774.0,1086059.0,,1044992.0,1057753.0,41066.0,228942.0,28306.0,526093.0,112191.0
1970-10-01,-2988.0,199936.0,293016.0,,1092591.0,435540.0,1088608.0,,1061196.0,1060297.0,27412.0,235604.0,28311.0,535900.0,117167.0
1971-01-01,9190.5,221188.0,300321.3333333333,,1122902.0,462735.0,1135156.0,,1083496.0,1106543.0,51660.0,241548.0,28613.0,550590.0,121830.0
1971-04-01,8156.25,220091.0,302816.0,,1145396.0,465099.0,1156271.0,,1107294.0,1127330.0,48976.0,245007.0,28941.0,561866.0,129306.0
1971-07-01,7641.0,227430.0,307102.6666666667,,1167488.0,470842.0,1177675.0,,1129999.0,1148404.0,47677.0,243412.0,29271.0,573198.0,133635.0
1971-10-01,-221.25,222928.0,311217.0,,1190592.0,466530.0,1190297.0,,1139488.0,1160561.0,50809.0,243602.0,29736.0,585369.0,138398.0
1972-01-01,2420.25,236080.0,318314.6666666667,,1227382.0,480699.0,1230609.0,,1175991.0,1200185.0,54619.0,244619.0,30424.0,604555.0,145355.0
