Date,Auto output,Domestic output of new autos,Exports,Final sales,Gross government investment,Imports,Net purchases of used autos,New autos,Personal consumption expenditures,Private fixed investment,Sales of imported new autos
1958-04-01,-46.5,-56.6,-25.7,-14.3,30.6,4.3,22.5,-20.35,-10.9,-28.1,165.0
1958-07-01,30.6,42.2,-22.0,-9.1,-26.2,263.7,-1.0499999999999998,-2.9000000000000004,-3.5,-6.8,94.8
1958-10-01,72.1,76.1,-26.2,37.5,3.7,12.3,-0.3999999999999986,40.45,30.8,82.9,116.4
1959-01-01,101.2,116.1,-8.2,63.6,5.0,70.3,-27.849999999999998,102.65,58.0,109.4,54.2
1959-04-01,18.6,19.4,-6.4,28.7,-0.4,65.7,47.4,24.65,29.8,35.3,35.8
1959-07-01,5.9,8.7,3.4,21.3,-5.1,37.3,-36.5,29.0,14.8,61.1,4.4
1959-10-01,-71.1,-76.4,-70.6,-46.3,7.9,-30.1,13.899999999999999,-56.8,-44.0,-53.2,7.2
1960-01-01,462.3,648.1,427.3,73.0,18.6,9.4,32.60000000000001,127.5,56.0,130.6,-27.3
1960-04-01,-39.5,-41.3,-38.4,7.6,25.6,-57.7,118.3,-12.299999999999999,16.8,-33.2,-41.0
1960-07-01,19.4,25.4,-40.8,11.5,12.5,-74.9,-10.15,8.25,9.7,1.6,-24.6
1960-10-01,-42.0,-41.7,102.8,-24.5,8.1,-53.5,25.5,-29.049999999999997,-23.2,-39.3,-36.3
1961-01-01,-69.3,-73.8,-14.3,-41.4,15.9,-56.6,-11.0,-36.45,-48.0,-11.3,-37.2
1961-04-01,133.5,165.3,-24.3,14.7,12.4,-10.7,25.199999999999996,37.400000000000006,12.2,27.1,0.6
1961-07-01,23.4,27.4,23.0,11.9,-0.4,99.2,-11.450000000000001,10.15,12.6,15.7,-0.4
1961-10-01,59.0,65.8,7.5,44.3,8.8,87.9,1.1500000000000004,50.25,48.0,39.2,-29.1
1962-01-01,6.9,5.8,20.9,21.0,8.0,22.9,13.35,21.4,18.5,33.0,5.0
1962-04-01,-1.4,1.5,51.4,16.1,10.0,-14.5,3.1500000000000004,15.85,17.6,5.5,-34.5
1962-07-01,47.5,54.6,5.9,-4.1,4.9,63.1,20.45,-1.3500000000000005,-8.5,21.5,-9.0
1962-10-01,5.0,3.3,-21.0,36.0,19.8,14.2,-14.649999999999999,46.199999999999996,41.5,18.2,46.3
1963-01-01,8.9,10.5,-65.2,8.0,24.0,-28.3,41.95,-0.7999999999999998,15.9,-20.8,41.0
1963-04-01,1.6,1.4,409.7,6.1,31.3,19.7,-3.25,-2.25,12.2,-27.7,30.2
1963-07-01,16.6,17.4,-28.2,-2.7,15.8,44.4,23.75,-12.55,-0.6,-8.3,-22.0
1963-10-01,16.6,19.4,222.8,14.5,8.2,-17.8,2.0500000000000007,35.35,7.2,43.2,5.3
1964-01-01,-0.4,-2.3,-22.8,8.0,-7.1,42.3,11.350000000000001,0.6499999999999999,10.5,3.7,116.3
1964-04-01,3.1,4.1,0.0,2.4,-6.6,77.2,-0.34999999999999964,8.6,3.4,5.4,20.0
1964-07-01,2.1,1.5,21.3,24.5,-22.9,5.6,-2.95,28.95,22.4,38.8,17.9
1964-10-01,-38.4,-41.0,-31.8,-37.3,-9.2,22.8,-10.399999999999999,-45.45,-34.6,-46.4,14.4
1965-01-01,260.5,309.6,120.5,168.6,11.1,-70.1,81.25,236.3,137.0,317.5,21.8
1965-04-01,-8.8,-10.7,-14.7,-14.3,26.8,258.8,25.200000000000003,-19.1,-9.8,-24.0,45.9
1965-07-01,-11.2,-11.6,-49.0,9.8,6.7,-12.1,18.25,-0.5999999999999996,15.2,-11.4,57.2
1965-10-01,10.3,10.5,387.5,1.3,12.4,281.7,15.000000000000002,13.350000000000001,1.7,6.4,99.5
1966-01-01,28.1,26.6,-7.7,25.4,7.1,127.7,29.45,30.4,29.5,24.7,84.6
1966-04-01,-31.3,-30.7,-38.9,-38.4,5.8,-23.5,-9.600000000000001,-37.599999999999994,-38.3,-38.8,-33.0
1966-07-01,-19.0,-21.6,433.2,9.9,-11.7,67.4,-19.9,7.1000000000000005,12.0,-6.1,76.4
1966-10-01,21.2,22.9,136.7,-1.7,-12.2,199.9,80.45,25.3,-2.9,29.5,97.3
