Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Single family,Software,Structures,Transportation equipment
1958-07-01,0.32,,0.13,-0.46499999999999997,-2.19,0.49,0.87,-2.05,-0.71,0.83,-2.82,-2.24,0.48,1.71,1.865,5.47,-0.54,0.49,5.22,6.21,0.74,8.97,7.46,4.64,,3.1050000000000004,-1.44
1958-10-01,0.16,,0.67,4.3999999999999995,1.8,0.81,1.29,-0.64,0.46,1.52,11.31,1.78,0.78,0.56,2.7,9.95,0.47,0.81,15.1,15.8,0.62,14.57,13.32,8.43,,7.9,5.11
1959-01-01,0.07,,0.8,4.095,1.37,0.37,1.15,-0.41,0.67,2.13,9.34,0.19,0.41,0.63,1.08,14.35,-0.46,0.37,14.81,16.39,0.35,16.39,14.61,12.22,,8.200000000000001,5.9
1959-04-01,1.85,-0.01,0.09,2.1750000000000003,-0.93,0.32,0.6,0.52,0.05,0.65,7.82,2.96,0.34,0.71,1.335,3.33,-0.43,0.32,7.42,8.0,0.52,5.13,4.46,2.68,-0.01,4.0,4.25
1959-07-01,0.66,0.08,-0.25,2.0450000000000004,0.14,0.44,-0.15,1.16,-0.27,-0.28,6.96,2.73,0.35,0.45,0.665,-2.31,-0.19,0.46,0.31,0.37,0.08,-2.65,-2.42,-2.03,0.03,0.18500000000000005,3.46
1959-10-01,-0.82,0.21,-0.36,-0.195,2.53,1.9,0.25,0.63,-0.01,-0.57,-0.68,-0.57,1.69,0.36,-0.29000000000000004,-3.69,0.04,2.0,-4.31,-4.43,0.51,-3.9,-3.74,-3.13,0.1,-2.215,-5.05
1960-01-01,0.76,0.44,-0.7,2.71,0.98,0.98,0.58,1.58,-0.45,-0.52,9.7,3.83,0.54,-1.96,1.81,2.06,0.47,1.2,7.31,8.04,1.06,4.34,3.48,2.58,0.22,4.02,5.23
1960-04-01,-0.07,0.08,-0.35,1.2000000000000002,3.27,1.33,0.42,0.44,-0.18,-1.12,3.98,1.1,1.26,-0.23,-0.30499999999999994,-9.83,0.36,1.55,-8.94,-9.89,0.56,-11.05,-10.03,-8.71,0.21,-4.945,-1.9
1960-07-01,0.08,0.28,0.97,-3.04,-2.81,-0.54,1.4,0.81,0.02,-0.07,-4.56,0.27,-0.81,-2.83,0.019999999999999997,-3.75,-0.83,-0.38,-3.22,-3.63,0.28,-3.74,-3.49,-3.68,0.15,-1.815,0.0
1960-10-01,2.25,0.34,0.55,-2.55,-1.54,1.61,0.79,0.73,-0.16,0.53,-0.63,3.65,1.27,-0.38,0.9199999999999999,-1.44,0.3,1.69,3.7,3.52,0.16,-0.15,0.05,-1.97,0.08,1.76,-4.69
1961-01-01,1.33,0.01,0.86,-2.235,-2.78,-1.23,1.05,-0.28,-0.07,0.98,-3.84,-0.4,-1.23,1.04,-0.07499999999999998,0.34,-1.1,-1.25,0.19,0.07,0.22,0.5,0.6,-0.64,-0.03,0.03500000000000003,-1.47
