Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Single family,Software,Structures,Transportation equipment
2003-04-01,0.29,0.34,0.4,2.745,1.23,1.47,0.86,0.39,0.57,-0.01,7.93,1.58,1.12,0.37,0.91,0.93,-0.38,1.89,3.1,3.62,0.03,2.04,1.51,0.94,0.42,1.81,2.36
2003-07-01,0.59,1.06,0.05,2.4,-0.63,4.02,1.75,0.03,0.05,0.23,6.32,-0.19,2.96,1.45,1.69,3.67,-0.65,5.99,4.14,7.09,-0.26,7.31,4.32,3.44,1.96,3.54,-0.13
2003-10-01,0.18,1.11,0.0,1.2550000000000001,-0.59,2.94,0.99,0.02,0.2,-0.03,3.6,0.06,1.82,0.51,-0.18,4.04,-0.13,4.04,4.22,3.96,-0.11,3.86,4.16,4.08,1.11,1.98,-0.39
2004-01-01,-0.34,-0.26,-0.13,-0.785,-1.07,-0.07,0.15,-0.14,-0.06,0.06,-2.6,-1.21,0.19,-0.25,0.465,0.44,-0.49,0.33,-0.71,0.34,-0.11,1.52,0.5,0.38,0.4,0.17000000000000004,-0.23
2004-04-01,0.91,0.49,0.0,2.915,0.71,1.38,0.8,-0.14,0.13,0.28,7.02,0.32,0.88,0.74,1.185,2.5,-1.01,1.78,2.77,4.75,0.41,4.36,2.45,2.21,0.4,2.375,2.97
2004-07-01,-0.04,0.64,0.22,2.345,0.86,0.83,2.17,0.14,0.22,0.33,7.77,0.8,0.19,1.07,-0.05,1.29,0.41,2.21,2.18,1.93,0.57,1.01,1.37,0.95,1.38,0.965,1.91
2004-10-01,-0.8,0.83,0.36,2.065,0.55,0.55,1.43,0.71,0.08,0.06,5.59,-0.05,-0.28,0.69,0.895,0.07,0.09,1.45,0.65,1.94,0.17,1.9,0.7,0.01,0.89,0.9700000000000001,2.3
2005-01-01,0.39,-0.19,0.3,0.62,0.59,1.21,1.92,0.09,0.54,0.19,3.95,0.68,1.4,0.52,0.35000000000000003,2.17,0.15,1.4,3.36,4.04,1.42,3.25,2.68,1.98,0.2,2.025,-1.07
2005-04-01,-0.09,0.5,0.19,1.655,-0.29,1.16,1.31,-0.18,0.25,0.25,4.38,-0.3,0.66,1.28,0.45,1.3,0.15,2.21,1.15,2.34,0.07,2.57,1.45,1.06,1.05,1.17,1.14
2005-07-01,-0.28,0.69,0.15,2.375,1.15,2.14,1.11,0.07,-0.02,0.13,5.63,-0.29,1.46,0.14,0.29000000000000004,1.05,-0.06,2.68,0.86,1.33,0.42,1.55,1.15,0.92,0.54,0.665,1.32
2005-10-01,0.24,1.04,0.17,0.92,1.1,1.3,-0.32,0.08,-0.19,-0.01,2.07,0.48,0.26,0.29,-0.655,1.3,0.16,1.42,2.11,0.29,-0.61,-0.27,1.62,1.31,0.12,0.145,-0.89
2006-01-01,0.52,0.91,-0.04,2.925,-0.25,3.19,0.97,-0.02,1.12,-0.01,9.02,2.14,2.29,0.97,-0.325,-0.28,0.22,3.54,1.59,0.91,0.66,-1.29,-0.56,-0.27,0.35,0.45500000000000007,1.91
2006-04-01,0.73,0.58,-0.06,0.74,1.61,0.33,1.28,0.31,0.18,-0.07,4.68,1.81,-0.25,-0.03,-0.32999999999999996,-5.33,-0.14,0.66,-3.71,-4.9,1.01,-6.82,-5.51,-5.27,0.33,-2.45,-0.41
2006-07-01,0.65,0.99,-0.07,0.525,-0.22,1.37,2.39,0.23,-0.18,-0.13,4.67,1.14,0.38,-0.61,-0.64,-5.72,0.31,1.99,-4.65,-5.99,1.84,-7.21,-5.8,-5.59,0.62,-2.995,0.52
2006-10-01,-0.17,0.15,0.0,0.33999999999999997,0.08,0.17,2.22,-0.32,-0.23,0.25,2.95,-0.03,0.02,0.07,0.13999999999999999,-5.66,0.39,1.03,-5.9,-5.71,1.37,-5.76,-5.87,-5.91,0.86,-2.8550000000000004,0.39
2007-01-01,1.19,0.72,-0.14,0.92,-0.54,2.98,0.68,0.16,-0.06,-0.25,5.04,2.44,2.25,-0.63,-0.5349999999999999,-4.19,1.13,4.2,-1.9,-2.84,-0.41,-5.37,-4.35,-3.95,1.22,-1.42,0.01
2007-04-01,0.84,-0.12,-0.05,0.9299999999999999,1.83,0.77,0.54,0.29,0.1,-0.66,6.37,3.77,0.89,0.89,-0.20999999999999996,-2.67,1.37,1.0,1.15,-0.5,0.37,-4.47,-2.63,-2.01,0.23,-0.25,-1.62
2007-07-01,0.45,0.69,0.01,0.365,0.16,1.55,0.28,0.95,0.05,-0.46,4.62,3.41,0.87,-0.25,-0.805,-4.3,1.18,2.08,-1.6,-3.27,-0.26,-6.88,-5.01,-3.84,0.53,-1.635,-0.74
2007-10-01,0.06,0.76,-0.16,0.445,-1.53,2.98,1.75,0.5,-0.27,-0.32,4.69,1.86,2.21,-0.11,-0.835,-6.13,1.1,3.79,-4.74,-6.41,1.09,-8.47,-6.6,-5.82,0.82,-3.2050000000000005,-0.44
2008-01-01,-0.27,0.54,-0.17,-0.295,0.07,0.23,1.61,0.07,-0.07,-0.1,1.41,0.3,-0.3,-0.48,-0.875,-5.35,0.29,1.6,-6.18,-7.09,0.41,-7.46,-6.48,-5.25,1.37,-3.545,-0.41
2008-04-01,-0.36,0.18,-0.19,-0.795,-0.23,0.56,0.87,0.58,1.21,0.07,0.72,1.38,0.38,0.51,-0.30500000000000005,-2.61,-0.74,0.91,-2.1,-2.52,0.7,-3.96,-3.48,-2.68,0.36,-1.26,-2.44
2008-07-01,-0.85,-0.36,-0.27,-2.0999999999999996,-0.53,-0.82,-1.02,0.21,0.97,-0.16,-5.58,-0.51,-0.46,-0.26,0.030000000000000002,-4.09,-0.82,-0.55,-4.73,-4.52,-1.03,-4.15,-4.22,-3.93,0.28,-2.26,-2.53
2008-10-01,-2.28,-0.81,-0.14,-7.25,-0.76,-2.99,-0.53,0.21,0.55,-0.52,-16.64,-1.72,-2.17,-4.77,-1.655,-4.48,0.44,-3.54,-7.02,-8.88,0.16,-7.27,-5.3,-3.96,-0.56,-4.44,-5.91
2009-01-01,-3.46,0.19,-0.17,-6.52,-3.94,-1.24,-2.09,1.0,-2.63,-0.65,-21.4,-6.17,-1.43,-2.08,-1.2550000000000001,-5.88,0.4,-1.3,-12.43,-13.07,-1.86,-6.81,-6.26,-5.23,-0.06,-6.54,-5.76
2009-04-01,-2.42,0.66,0.09,-2.39,-1.73,0.11,2.64,-0.25,-4.51,-1.12,-9.25,-6.99,-0.55,-1.9,-0.395,-4.12,0.5,1.07,-11.44,-11.59,1.59,-4.48,-4.45,-3.0,0.96,-5.795,-1.22
2009-07-01,-2.51,0.62,-0.09,1.59,-1.04,2.49,1.13,-0.95,-1.95,-1.18,-1.9,-5.99,1.87,0.1,0.11499999999999999,1.47,0.89,3.34,-4.67,-2.82,0.37,3.39,1.33,2.65,0.85,-1.41,1.58
2009-10-01,-2.44,1.63,0.23,2.99,-0.42,3.08,3.37,-1.27,0.37,-1.04,2.18,-6.84,1.44,0.27,-1.11,-0.02,-1.72,5.15,-8.27,-7.32,1.07,-0.15,-1.42,1.02,2.07,-3.6599999999999997,3.02
2010-01-01,-1.46,0.85,0.42,4.745,-0.74,2.65,-1.94,-0.44,2.18,-0.84,2.32,-4.91,1.8,2.25,-2.0549999999999997,-0.12,-3.76,2.02,-5.63,-7.7,-1.73,-2.46,-0.71,0.71,-0.63,-3.8499999999999996,5.27
2010-04-01,-0.76,0.71,0.59,4.885,1.87,2.03,-0.49,-0.38,2.18,-0.32,11.44,2.22,1.32,2.12,1.315,0.86,1.6,1.36,4.65,6.13,-0.41,3.98,2.43,1.18,-0.67,3.0700000000000003,3.66
2010-07-01,-0.45,-0.17,0.24,3.9050000000000002,0.6,1.98,2.09,-0.99,1.26,-0.09,8.88,-0.97,2.15,-0.03,-2.68,-1.77,-0.36,2.73,-3.84,-7.68,1.1,-6.66,-2.87,-1.68,0.75,-3.84,5.27
2010-10-01,-0.11,-0.78,0.21,1.625,1.38,0.6,2.05,-0.88,0.33,0.01,6.71,1.37,1.38,0.76,0.85,-0.9,2.42,1.46,0.66,2.56,0.99,1.15,-0.71,-0.91,0.86,1.28,0.46
2011-01-01,-0.52,-0.69,-0.43,1.89,1.88,-1.05,1.1,-0.18,0.98,-0.03,-0.37,-5.0,-0.37,1.21,-0.7849999999999999,0.07,-4.28,0.22,-5.55,-5.49,0.26,-0.24,-0.55,0.1,1.27,-2.745,1.69
2011-04-01,0.81,1.12,-0.18,1.18,0.52,1.82,1.85,0.85,1.27,0.1,8.98,4.59,0.69,0.28,0.75,-0.08,1.19,3.36,5.06,5.54,0.49,0.78,0.47,-0.18,1.54,2.775,-0.28
2011-07-01,0.58,0.77,0.05,4.92,2.55,1.25,2.38,0.83,1.81,0.28,16.66,4.32,0.47,2.67,0.42,0.7,0.99,3.06,4.6,5.75,0.51,1.31,0.28,0.42,1.82,2.875,3.36
2011-10-01,0.19,-0.12,0.17,1.92,2.27,0.27,2.53,0.33,1.84,0.16,8.97,2.57,0.39,-0.32,0.71,0.55,0.0,1.81,4.43,4.33,0.82,1.73,1.87,0.4,1.54,2.16,1.58
2012-01-01,0.42,1.46,0.14,2.5799999999999996,-0.25,3.06,0.35,-0.16,0.66,0.31,9.13,3.41,1.6,0.83,1.28,1.79,2.36,3.86,5.98,7.63,-0.58,4.01,2.57,1.49,0.8,3.8150000000000004,1.51
2012-04-01,0.37,-0.1,-0.01,2.245,0.78,1.03,1.38,0.33,0.28,0.42,7.75,1.88,1.12,1.02,-0.15999999999999998,1.34,0.49,2.5,2.14,2.5,-0.1,0.61,0.26,0.92,1.48,1.25,1.66
2012-07-01,0.2,-0.63,-0.03,-0.2,-1.17,-0.96,0.2,0.13,-1.1,0.35,-1.09,-0.84,-0.33,1.61,0.08499999999999999,1.64,-0.24,-0.86,0.67,0.8,0.13,1.7,1.51,1.29,0.1,0.40499999999999997,0.09
2012-10-01,-0.16,0.49,0.02,1.615,0.74,1.51,2.03,0.18,-0.81,0.41,3.79,-1.39,1.03,-0.34,0.5449999999999999,2.39,-0.59,2.69,1.27,2.11,0.83,3.58,2.67,1.98,1.18,1.055,1.28
2013-01-01,0.33,0.37,0.0,1.72,-0.17,2.23,3.43,-0.03,0.91,0.39,5.31,-1.44,1.86,-0.05,0.385,1.84,-2.66,3.72,0.35,1.17,1.95,2.73,1.79,1.45,1.49,0.585,1.35
2013-04-01,-0.43,-0.87,0.09,0.19,-0.19,0.07,-0.4,-0.26,0.69,0.28,1.77,1.74,0.93,-0.33,0.73,1.38,1.42,-0.81,3.43,4.27,0.39,2.48,1.69,1.1,-0.87,2.1350000000000002,0.76
2013-07-01,0.54,0.15,-0.07,0.28500000000000003,0.3,0.7,2.15,0.61,-0.07,0.25,6.16,3.26,0.54,-0.66,0.55,0.67,1.98,1.97,4.72,4.84,0.95,1.39,1.46,0.42,1.27,2.42,0.15
2013-10-01,0.94,0.51,-0.04,3.07,-0.14,0.84,0.98,-0.03,-1.67,0.51,7.91,0.6,0.33,3.76,-0.58,0.03,1.47,1.77,0.49,-0.42,0.09,-1.21,-0.11,-0.49,0.93,-0.20999999999999996,1.67
2014-01-01,-0.01,-0.51,0.16,0.78,0.71,0.39,0.99,-0.1,0.85,0.31,5.33,2.67,0.89,-0.21,-0.435,0.69,1.9,1.12,3.38,2.46,0.1,-0.32,0.7,0.38,0.73,1.23,0.64
2014-04-01,0.9,0.32,0.14,2.1950000000000003,0.9,1.92,2.6,0.24,2.18,0.5,9.79,2.82,1.6,0.14,0.825,1.23,-0.9,3.03,5.05,5.3,1.35,2.5,2.23,0.72,1.11,2.6500000000000004,1.31
2014-07-01,0.73,-0.13,0.14,2.395,0.68,0.0,2.18,0.55,-0.01,0.32,7.25,0.25,0.13,1.91,0.49,0.38,-1.18,1.11,0.8,1.44,0.92,1.16,0.55,0.06,1.11,0.72,2.17
2014-10-01,0.65,0.32,0.16,-0.31,-0.65,1.29,2.26,1.6,0.05,0.22,2.92,1.26,0.97,-0.81,0.655,2.17,-1.76,1.66,3.61,4.01,1.72,2.72,2.36,1.95,0.37,2.0100000000000002,-0.5
2015-01-01,0.07,-0.24,0.04,0.81,0.14,0.47,-0.59,0.81,-3.13,0.17,0.15,-1.01,0.7,-1.15,0.4,0.55,1.54,0.96,0.21,0.64,-1.13,1.52,1.22,0.38,0.5,0.32,2.12
2015-04-01,1.22,0.05,0.04,0.365,0.19,0.91,0.55,0.73,-4.19,0.17,2.29,0.77,0.87,-1.26,1.315,0.46,2.28,1.47,2.24,3.12,-0.04,2.11,1.47,0.29,0.55,1.56,0.83
2015-07-01,-0.12,0.23,0.1,1.26,-0.15,1.37,1.57,-0.14,-2.06,0.48,2.02,-2.03,1.14,-0.19,0.69,1.53,-0.09,1.85,0.2,0.49,0.98,2.56,2.23,1.05,0.48,0.2450000000000001,1.45
2015-10-01,0.32,-0.57,0.06,-0.77,0.26,0.65,2.66,-0.22,-1.59,0.31,-1.39,-2.46,1.22,-0.75,-0.01999999999999999,0.94,-0.63,1.84,-0.49,-1.22,1.41,1.3,1.97,0.63,1.18,-0.61,-1.73
2016-01-01,1.24,0.42,0.11,-0.13999999999999999,-0.48,0.47,3.09,-0.45,-2.93,0.53,0.31,-2.49,0.04,-0.09,0.73,1.27,-0.42,2.0,-0.51,0.16,1.44,2.66,1.98,0.74,1.54,0.08000000000000007,-0.25
2016-04-01,0.81,-0.15,0.03,-0.715,0.35,0.19,2.58,0.3,-1.27,0.19,2.71,1.34,0.34,-0.39,0.645,0.07,0.62,1.39,1.16,1.83,1.35,0.28,-0.18,-0.12,1.19,0.915,-1.6
2016-07-01,1.36,-0.32,0.25,-0.025,-0.24,0.75,2.11,-0.04,0.5,0.1,4.77,2.57,1.07,-0.49,0.35,-0.81,0.77,2.07,2.31,2.48,0.54,-0.23,-0.26,-0.92,1.32,1.24,-0.13
2016-10-01,0.39,0.25,0.12,0.365,0.34,0.9,1.18,-0.49,0.1,-0.09,2.55,0.56,0.65,-0.39,0.285,0.69,0.51,2.12,1.74,1.78,-0.16,1.15,1.18,0.78,1.22,0.8900000000000001,-0.14
2017-01-01,-0.33,0.05,0.04,0.49,0.49,0.64,2.3,-0.7,2.2,-0.18,3.19,0.01,0.59,0.53,0.8150000000000001,0.5,-1.3,1.97,1.22,2.0,0.93,2.09,1.21,0.68,1.33,1.0,-0.74
2017-04-01,0.1,0.53,0.01,1.305,0.71,1.71,0.76,-0.03,0.97,0.08,3.53,0.14,1.18,0.38,-0.15999999999999998,1.19,-1.22,2.89,1.01,0.68,-0.44,0.52,0.88,1.1,1.18,0.345,-0.22
2017-07-01,-0.51,0.65,0.04,1.155,0.22,0.53,2.26,-0.43,0.06,-0.12,3.01,-1.47,-0.12,-0.08,-0.29500000000000004,0.57,-0.6,2.05,-0.53,-1.49,0.71,0.07,0.94,0.7,1.51,-0.745,1.6
2017-10-01,0.2,-0.13,0.13,2.1999999999999997,0.56,1.58,2.15,0.08,0.76,0.14,7.68,1.22,1.71,0.66,0.705,0.41,0.16,3.01,2.58,3.02,0.59,1.89,1.36,0.27,1.43,1.51,1.54
2018-01-01,0.63,1.01,0.1,1.2599999999999998,0.48,1.31,2.29,-0.07,0.91,-0.3,8.81,3.88,0.31,0.1,-0.625,-0.14,2.23,2.82,2.94,2.3,0.68,-1.71,-0.94,0.16,1.51,1.15,0.62
2018-04-01,0.07,0.45,0.09,0.12000000000000001,-0.19,0.17,3.02,0.02,1.02,-0.01,3.59,0.38,-0.28,0.44,0.009999999999999998,0.63,-0.8,1.72,1.36,0.94,1.39,0.61,0.98,0.64,1.55,0.475,-0.14
2018-07-01,-0.19,-0.06,0.04,-0.015,0.31,0.55,1.82,0.19,0.96,-0.03,1.93,0.18,0.61,-0.35,-0.33499999999999996,-0.35,-0.66,1.83,0.01,-0.72,0.5,-0.85,-0.17,-0.31,1.28,-0.36000000000000004,-0.5
2018-10-01,-0.78,-0.3,0.1,0.85,0.59,-0.02,3.07,-0.06,-0.51,0.39,2.83,-1.94,0.28,0.78,-0.375,-1.29,-0.34,1.15,-2.92,-3.73,1.8,-1.79,-0.98,-1.68,1.17,-1.865,0.39
2019-01-01,0.19,0.02,-0.07,0.365,-0.16,0.75,1.15,0.44,-0.23,0.23,2.12,0.08,0.73,0.29,0.35,-1.41,-0.44,0.57,-1.17,-0.74,1.41,-0.98,-1.25,-1.64,-0.19,-0.37,-0.15
2019-04-01,0.3,0.69,-0.02,0.74,0.37,0.88,2.43,0.05,0.07,-0.07,6.15,2.14,0.19,0.86,0.44,0.53,1.88,1.8,2.57,3.72,1.52,1.48,0.43,0.6,0.93,1.8599999999999999,-0.66
2019-07-01,1.0,-0.66,0.12,-0.955,0.3,-0.64,2.21,-0.06,0.43,-0.12,3.07,2.9,0.02,-0.37,0.365,0.55,1.38,0.44,3.99,4.02,1.0,1.25,1.09,0.67,1.09,2.01,-1.24
2019-10-01,0.33,0.39,0.14,-1.44,-1.21,-0.43,2.72,-0.22,-1.64,-0.1,-1.41,-1.07,-0.81,-0.76,-0.185,0.27,0.67,1.29,-0.67,-0.97,0.87,0.28,0.4,0.36,1.72,-0.485,-0.52
2020-01-01,0.64,-0.9,-0.04,-3.4299999999999997,-1.08,-2.33,1.7,-0.19,0.51,0.45,-5.95,-0.8,-1.43,-0.81,0.515,1.41,-1.23,-0.78,1.78,2.18,0.2,2.96,2.58,0.97,1.55,1.09,-2.62
2020-04-01,-0.6,1.91,-0.49,-5.694999999999999,-1.74,2.13,-2.67,-0.51,-5.17,0.06,-21.78,-7.83,0.22,-2.69,-2.145,-2.52,-0.69,2.01,-10.67,-13.78,-2.06,-6.06,-2.84,-2.59,-0.12,-6.890000000000001,-9.06
2020-07-01,-0.43,0.78,-0.27,7.08,1.4,3.39,2.51,-0.02,-0.31,1.11,15.41,-1.32,2.61,3.0,4.8950000000000005,3.14,-0.14,4.32,3.98,12.03,1.85,13.29,5.3,2.02,0.93,6.015,6.19
2020-10-01,-0.22,0.73,0.04,2.58,0.82,1.1,3.13,-0.06,1.0,0.33,8.67,0.24,0.38,0.82,0.53,5.88,0.04,3.16,6.02,7.7,1.04,7.32,5.78,5.56,2.06,3.85,2.48
2021-01-01,0.22,0.79,-0.15,1.0,-0.12,1.26,4.1,0.31,0.85,0.41,7.15,1.12,0.46,0.2,-0.495,2.93,0.03,4.0,4.78,3.35,1.5,2.29,3.66,2.52,2.75,1.675,0.49
2021-04-01,-0.17,-0.6,0.09,1.3099999999999998,1.09,-0.04,3.9,-0.01,0.89,0.17,6.52,0.15,0.56,-0.3,-1.38,1.1,-0.05,1.91,0.51,-0.99,1.85,-0.99,0.36,0.94,1.95,-0.5,1.85
2021-07-01,-0.13,0.08,0.23,-1.585,0.41,-0.46,2.47,0.18,0.24,-0.15,-1.19,-0.43,-0.53,-0.16,-0.745,0.15,-0.39,0.77,-1.57,-1.44,1.02,-0.94,-1.14,0.3,1.23,-0.72,-2.84
2021-10-01,-1.1,0.96,0.27,0.255,0.33,2.73,3.56,0.17,0.31,-0.28,2.56,-1.41,1.76,-0.13,0.53,-0.88,-0.74,4.21,-2.5,-1.17,1.8,0.33,-1.09,-0.6,1.49,-0.59,-2.42
2022-01-01,0.17,0.78,-0.11,2.195,0.43,1.99,3.66,0.63,0.42,-0.11,9.65,1.59,1.21,1.19,-0.8400000000000001,0.86,0.0,4.61,2.3,0.41,1.14,-1.2,0.71,0.98,2.62,0.20000000000000007,0.77
2022-04-01,0.24,-0.88,0.31,0.17,-0.34,-0.84,3.59,0.72,0.07,-0.02,5.24,1.26,0.04,0.31,-1.115,-0.77,0.01,0.91,-0.07,-1.96,1.53,-3.27,-1.32,-0.75,1.75,-0.98,1.2
2022-07-01,-0.08,0.79,0.25,0.92,-0.31,0.77,2.33,0.72,0.73,0.02,5.57,1.4,-0.02,-0.14,-1.015,-5.18,-0.11,1.96,-3.69,-5.96,0.89,-7.37,-5.09,-5.2,1.19,-2.98,1.5
2022-10-01,0.24,-1.0,-0.06,0.14500000000000002,0.47,-1.85,2.34,1.06,0.11,0.87,4.24,1.48,-0.84,-0.06,-1.17,-3.39,-0.25,-0.33,-2.71,-4.57,0.88,-6.18,-4.2,-4.26,1.52,-2.285,1.76
2023-01-01,-0.35,-0.67,0.02,0.17500000000000002,0.13,-0.37,1.37,1.59,0.26,0.54,4.08,2.28,0.3,-0.34,0.14500000000000002,-1.01,0.56,-0.05,0.94,1.34,1.03,-1.03,-1.34,-1.55,0.32,0.6699999999999999,0.86
2023-04-01,0.23,0.22,0.07,1.7999999999999998,0.08,-0.38,1.23,2.22,0.01,0.34,7.63,2.62,-0.6,0.35,0.19999999999999998,1.19,-0.23,0.24,3.93,3.81,0.53,1.01,1.3,0.85,0.63,1.91,3.54
2023-07-01,0.11,-0.11,0.02,-0.13,-0.14,-0.22,0.86,0.37,-0.59,-0.01,0.88,0.23,-0.1,-0.08,-0.07,1.97,0.23,0.57,2.6,1.96,0.05,1.67,2.37,1.98,0.79,0.98,0.14
2023-10-01,-0.38,0.65,-0.12,0.13,0.06,0.91,1.58,0.83,-0.1,-0.42,2.96,0.98,0.25,0.2,0.22999999999999998,0.25,0.63,2.07,2.14,1.69,0.55,0.58,1.16,0.67,1.16,0.845,-0.94
2024-01-01,-0.26,0.83,0.02,0.065,0.51,0.34,2.26,1.17,0.02,-0.26,3.55,0.94,-0.49,0.15,1.04,0.92,0.22,1.7,2.67,4.14,0.88,2.99,1.74,1.18,1.36,2.0700000000000003,-0.83
2024-04-01,-0.72,0.61,-0.05,1.385,-0.26,0.73,0.22,0.88,0.1,-0.24,2.96,0.16,0.12,-0.02,0.039999999999999994,-0.96,-0.06,1.03,-0.13,-0.67,-0.03,-0.64,-0.29,-0.72,0.3,-0.33499999999999996,2.26
2024-07-01,-0.38,1.15,-0.01,1.5099999999999998,0.34,1.61,0.95,-0.11,-0.42,-0.35,3.07,-0.79,0.45,-0.33,0.18000000000000002,-1.4,0.06,1.93,-1.22,-1.89,0.64,-0.99,-0.43,-1.05,0.33,-0.9450000000000001,1.38
2024-10-01,0.16,-0.78,0.0,-1.3150000000000002,-0.06,-0.74,-0.17,0.1,-0.03,-0.47,-2.31,0.47,0.04,-0.54,0.635,-0.07,0.27,-0.41,0.86,1.69,-0.5,1.21,0.4,0.4,0.33,0.845,-1.3
