Date,Command-basis gross domestic product,Command-basis gross national product,Command-basis net domestic product,Command-basis net national product,Final sales to domestic purchasers,Final sales to private domestic purchasers,Gross domestic product (GDP),Gross domestic purchases,Gross national product,Net domestic product,Net national product
1966-07-01,4.1,4.0,3.8,3.7,5.5,3.7,3.4,4.7,3.3,3.1,3.0
1966-10-01,3.7,3.8,3.3,3.5,0.9,-0.9,3.3,3.0,3.4,3.0,3.1
1967-01-01,3.9,3.9,3.7,3.6,4.3,0.2,3.6,3.7,3.5,3.3,3.2
1967-04-01,-0.1,-0.2,-0.9,-1.0,4.5,6.5,0.2,0.4,0.2,-0.5,-0.6
1967-07-01,4.0,4.3,3.8,4.1,3.1,2.6,3.8,4.3,4.1,3.6,3.9
1967-10-01,3.2,3.1,2.8,2.7,4.2,4.5,3.1,3.7,2.9,2.7,2.6
1968-01-01,8.5,8.5,8.9,9.0,9.2,9.8,8.4,9.0,8.4,8.9,8.9
1968-04-01,6.9,6.9,7.1,7.1,4.0,4.7,6.9,6.8,6.9,7.1,7.1
1968-07-01,2.9,3.0,2.6,2.7,5.9,7.4,3.1,2.9,3.2,2.8,2.9
1968-10-01,1.6,1.6,1.1,1.1,2.7,3.4,1.6,1.9,1.6,1.1,1.0
1969-01-01,6.8,6.7,7.0,6.9,4.7,6.0,6.4,6.9,6.4,6.6,6.5
1969-04-01,1.0,0.9,0.4,0.3,1.6,2.5,1.2,0.8,1.1,0.7,0.6
1969-07-01,2.7,2.6,2.4,2.3,2.3,2.8,2.7,2.8,2.5,2.4,2.2
1969-10-01,-1.8,-1.8,-2.7,-2.7,-0.8,0.6,-1.9,-2.7,-1.9,-2.8,-2.8
1970-01-01,-0.7,-0.6,-1.4,-1.3,0.7,1.5,-0.6,-0.9,-0.5,-1.3,-1.2
1970-04-01,0.6,0.6,0.0,0.2,-1.3,-0.3,0.6,0.1,0.7,0.1,0.2
1970-07-01,3.2,3.1,3.1,3.0,3.6,4.3,3.7,3.6,3.7,3.7,3.7
1970-10-01,-4.3,-4.5,-5.4,-5.6,-0.6,-0.9,-4.2,-4.0,-4.4,-5.3,-5.5
1971-01-01,11.4,11.9,12.7,13.2,4.6,8.0,11.3,10.9,11.7,12.5,13.0
1971-04-01,2.0,2.2,1.8,2.0,4.5,6.2,2.2,3.9,2.3,2.0,2.2
1971-07-01,3.0,2.7,3.0,2.6,3.0,4.0,3.3,2.7,3.0,3.4,3.0
1971-10-01,0.8,0.9,0.4,0.6,5.2,7.7,0.9,1.5,1.1,0.6,0.8
1972-01-01,7.4,7.5,8.0,8.1,6.7,8.1,7.6,8.3,7.6,8.2,8.3
1972-04-01,9.0,8.9,9.7,9.6,6.3,7.7,9.4,9.2,9.3,10.2,10.1
1972-07-01,3.8,4.0,3.7,3.9,2.8,5.9,3.8,3.0,4.0,3.7,4.0
1972-10-01,7.5,7.4,7.8,7.8,9.8,11.7,6.9,7.0,6.8,7.1,7.0
1973-01-01,9.7,10.1,10.3,10.8,8.1,9.5,10.3,9.7,10.7,11.0,11.4
1973-04-01,3.1,3.3,2.8,3.0,-0.2,0.6,4.4,2.4,4.6,4.3,4.5
1973-07-01,-1.7,-1.1,-2.6,-1.9,-0.4,0.8,-2.1,-2.9,-1.5,-3.0,-2.4
1973-10-01,4.3,4.3,4.3,4.3,-0.7,-1.7,3.9,2.6,3.9,3.8,3.8
1974-01-01,-6.1,-5.4,-7.5,-6.7,-2.0,-4.5,-3.4,-4.8,-2.7,-4.5,-3.7
1974-04-01,-0.9,-1.2,-1.6,-1.9,0.4,0.0,1.0,1.0,0.7,0.5,0.2
1974-07-01,-4.2,-4.5,-5.3,-5.7,0.1,-0.1,-3.7,-2.6,-4.1,-4.8,-5.2
1974-10-01,-1.3,-1.8,-2.0,-2.6,-6.6,-9.0,-1.5,-2.7,-2.1,-2.3,-2.9
