Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1970-01-01,-1.2225,-3.07,0.5066666666666667,,1.03,-0.87,,1.45,-0.42,-2.04,2.2,-0.18,0.59,-0.31
1970-04-01,1.0925,0.49,0.07333333333333333,,-0.89,1.56,,-0.89,0.74,1.46,1.07,-0.18,0.26,-1.25
1970-07-01,0.015000000000000013,2.07,0.42,,3.72,0.64,,4.5,3.85,-0.77,-1.43,-0.11,1.69,1.41
1970-10-01,-2.5324999999999998,-7.79,-1.8533333333333333,,-0.84,-6.16,,0.9,-4.09,-5.12,1.63,-0.13,0.76,1.18
1971-01-01,4.515,6.88,1.9033333333333333,,5.3,8.88,,2.89,11.33,8.43,1.99,-0.01,1.67,0.77
1971-04-01,-0.3524999999999999,-0.95,-0.06333333333333335,,2.65,-0.56,,3.25,2.18,-1.07,0.39,0.0,1.02,1.73
1971-07-01,-0.2175,2.78,1.2133333333333334,,3.62,1.53,,2.99,3.31,0.34,-1.25,0.02,1.12,0.68
1971-10-01,-2.685,-1.46,1.2,,4.52,-1.78,,0.16,0.87,0.78,-0.31,0.08,1.9,0.82
1972-01-01,1.185,3.62,1.24,,5.97,3.44,,6.39,7.39,1.17,-0.18,0.16,2.53,1.58
1972-04-01,2.16,3.41,3.36,,6.51,7.92,,9.42,9.29,-0.03,4.51,0.1,1.44,0.04
1972-07-01,0.21749999999999997,1.94,1.4166666666666667,,3.54,2.41,,5.11,3.77,-1.28,0.47,0.06,1.36,0.06
1972-10-01,-1.8225,4.94,4.1066666666666665,,9.3,3.73,,3.61,6.76,3.26,-1.21,0.1,1.81,1.33
1973-01-01,1.2249999999999999,5.39,3.7866666666666666,,8.64,7.31,,8.13,10.19,2.15,1.93,0.08,1.59,1.37
1973-04-01,2.04,2.44,1.02,,1.71,4.26,,5.69,4.41,-1.27,1.81,0.02,1.25,-1.08
1973-07-01,-1.83,-0.07,0.06666666666666667,,0.35,-2.34,,-1.56,-2.06,-0.53,-2.27,-0.03,0.88,-0.63
1973-10-01,2.5625,0.21,0.5599999999999999,,0.43,4.26,,4.45,3.91,-0.59,4.06,-0.06,0.62,-1.04
1974-01-01,-2.07,-1.38,-0.06,,-0.64,-2.85,,-1.89,-3.28,-1.51,-1.47,-0.12,0.85,-1.39
