Date,Auto output,Autos,Change in private inventories,Domestic,Domestic output of new autos,Exports,Final sales of domestic product,Final sales of motor vehicles to domestic purchasers,Foreign,Gross government investment,Imports,Light trucks (including utility vehicles),Motor vehicle output,Net exports,Net purchases of used autos and used light trucks,New,New motor vehicles,Other,Personal consumption expenditures,Private fixed investment,Private fixed investment in new autos and new light trucks,Sales of imported new autos,Truck output,Trucks,Used,Used autos,Used light trucks (including utility vehicles)
1985-04-01,113000.0,28855.5,5323.0,1254.5,92532.0,9272.0,174051.0,209011.0,629.5,8588.0,44232.0,29537.0,179374.0,-34960.0,4965.5,1884.0,95246.0,,142129.0,58294.0,,43563.0,66374.0,11047.2,777.0,3833.0,1132.5
1985-07-01,120969.0,31191.166666666668,-2518.0,-2719.0,99009.0,10281.0,194163.0,230531.0,-51.0,7971.0,46648.0,34431.0,191645.0,-36367.0,4471.5,-2770.0,106808.0,,161695.0,60865.0,,48905.0,70676.0,10883.6,1511.0,3164.0,1307.5
1985-10-01,116187.0,30401.166666666668,18274.0,8465.0,95405.0,10319.0,168767.0,208711.0,1224.5,7652.0,50263.0,32871.0,187041.0,-39944.0,6118.0,9689.5,94412.0,,142563.0,58497.0,,46630.0,70854.0,12010.6,-552.5,4813.0,1305.0
1986-01-01,116171.0,30506.166666666668,9287.0,4461.5,96187.0,10374.0,170418.0,210581.0,245.0,7255.0,50536.0,29944.0,179706.0,-40162.0,6076.5,4706.5,95586.0,,146184.0,57141.0,,47712.0,63535.0,11129.0,-62.5,4634.0,1442.5
1986-04-01,118141.0,32547.5,6284.0,512.0,95975.0,11629.0,179987.0,224099.0,1891.0,8333.0,55740.0,34144.0,186271.0,-44111.0,5556.0,2403.0,102327.0,,156809.0,58957.0,,51707.0,68131.0,11442.2,739.0,3794.5,1760.5
1986-07-01,125797.0,34722.666666666664,-11436.0,-8475.0,100351.0,10195.0,204653.0,253917.0,1540.5,8995.0,59459.0,40752.0,193217.0,-49264.0,6080.5,-6934.5,116380.5,,184188.0,60733.0,,57669.0,67420.0,10177.2,1216.5,3887.0,2193.0
1986-10-01,124540.0,33631.0,4825.0,1932.5,95628.0,10258.0,185366.0,231951.0,849.0,7083.0,56843.0,35468.0,190191.0,-46585.0,7439.5,2781.5,104994.0,,168719.0,56148.0,,59419.0,65651.0,10348.8,-369.0,5530.0,1909.5
1987-01-01,120857.0,32709.0,25859.0,10909.0,100404.0,10745.0,160889.0,207470.0,2027.5,7104.0,57326.0,22920.5,186748.0,-46581.0,6263.0,12936.5,93920.0,17041.0,146569.0,53797.0,53201.0,48121.0,65890.0,11913.0,-7.0,4697.0,1566.0
1987-04-01,116540.0,32478.0,6909.0,390.5,91645.0,12099.0,179228.0,227268.0,2452.0,6928.0,60140.0,26744.5,186137.0,-48041.0,7079.5,2842.5,103090.5,18787.0,162769.0,57571.0,57751.0,52108.0,69597.0,11708.2,611.5,5325.5,1754.0
1987-07-01,115930.0,31556.833333333332,-11705.0,-6506.5,86680.0,10783.0,199375.0,245986.0,-293.5,8597.0,57394.0,27176.0,187670.0,-46611.0,7886.5,-6800.0,110807.0,18789.0,179799.0,57590.0,61553.0,57624.0,71740.0,11592.4,947.5,6170.5,1716.0
1987-10-01,122679.0,33019.666666666664,15125.0,6875.5,96161.0,13855.0,179860.0,225812.0,210.5,6303.0,59806.0,26947.5,194985.0,-45951.0,8110.0,7086.0,101644.5,17670.0,167827.0,51682.0,58972.0,54880.0,72307.0,12305.4,476.5,6435.0,1675.5
1988-01-01,118706.0,31674.0,-11048.0,-5948.5,88363.0,13456.0,201832.0,245933.0,-706.5,8283.0,57558.0,28534.5,190784.0,-44102.0,7771.0,-6655.0,111054.5,16610.0,179769.0,57881.0,64323.0,60021.0,72078.0,11916.2,1131.0,5889.5,1881.0
1988-04-01,132522.0,33736.333333333336,5309.0,1943.0,100614.0,13690.0,198770.0,241403.0,855.5,7320.0,56322.0,28626.0,204079.0,-42632.0,7313.5,2798.5,109728.0,16717.0,175914.0,58169.0,64588.0,58960.0,71557.0,11685.8,-144.0,5334.0,1979.5
1988-07-01,124563.0,33055.666666666664,3425.0,215.5,96230.0,15224.0,194682.0,235872.0,-326.5,8116.0,56413.0,29104.0,198107.0,-41189.0,5976.5,-111.0,107901.0,16326.0,170498.0,57258.0,65540.0,56360.0,73544.0,11855.2,1823.0,3901.5,2075.5
1988-10-01,129937.0,34228.666666666664,9241.0,3524.0,104352.0,14921.0,201574.0,245964.0,652.5,7403.0,59310.0,30079.0,210815.0,-44389.0,6846.5,4176.5,112434.5,18927.0,177426.0,61134.0,66324.0,55258.0,80878.0,13508.6,444.0,4594.0,2252.0
1989-01-01,132063.0,34360.5,17267.0,7717.0,106761.0,18649.0,203929.0,245023.0,987.5,9297.0,59743.0,30761.5,221197.0,-41094.0,8431.5,8704.5,109431.5,18396.0,179916.0,55810.0,60236.0,52387.0,89134.0,14391.8,-71.0,5876.5,2555.0
1989-04-01,128553.0,33156.666666666664,4786.0,2437.5,101180.0,14179.0,206703.0,248762.0,-1322.0,9721.0,56238.0,30727.0,211489.0,-42059.0,7862.0,1115.5,111658.5,19065.0,181290.0,57751.0,65157.0,54947.0,82937.0,12768.4,1277.5,5219.5,2642.5
1989-07-01,121365.0,31312.0,-12158.0,-7886.0,89810.0,14515.0,219900.0,256103.0,-268.5,11615.0,50718.0,32552.0,207742.0,-36203.0,7295.0,-8154.5,114949.0,17306.0,189445.0,55043.0,63322.0,56375.0,86377.0,11592.8,2076.0,4384.0,2911.0
1989-10-01,119685.0,29728.666666666668,6223.0,4925.5,92127.0,15908.0,194963.0,231457.0,-652.0,8895.0,52401.0,30430.5,201186.0,-36493.0,10145.0,4273.5,101136.0,16280.0,172569.0,49993.0,57371.0,50874.0,81502.0,12313.6,-1162.0,7372.0,2773.0
1990-01-01,122629.0,30800.5,-15993.0,-8814.5,87218.0,16050.0,215313.0,253400.0,-75.0,10689.0,54137.0,33570.5,199320.0,-38087.0,8913.0,-8889.5,112442.5,14942.0,189747.0,52964.0,63267.0,56654.0,76690.0,11062.6,893.0,6021.0,2892.0
1990-04-01,123237.0,31595.833333333332,4830.0,3419.0,95600.0,15382.0,196857.0,239026.0,-590.0,9261.0,57551.0,31300.0,201687.0,-42169.0,8400.0,2829.0,106483.0,13921.0,177861.0,51904.0,63069.0,54441.0,78450.0,12974.8,-414.0,5681.0,2719.0
1990-07-01,126519.0,32112.0,5472.0,2772.5,98713.0,13275.0,196955.0,239645.0,-206.0,10723.0,55965.0,30292.0,202427.0,-42690.0,7458.0,2566.5,107003.0,14027.0,174668.0,54254.0,67526.0,53978.0,75908.0,12660.4,169.5,4762.5,2695.5
1990-10-01,109509.0,29518.833333333332,-6994.0,-4386.0,84487.0,12255.0,183391.0,228221.0,1375.5,10717.0,57085.0,29037.5,176397.0,-44830.0,6999.5,-3010.5,101752.0,13147.0,165183.0,52321.0,66806.0,52699.0,66887.0,11631.4,-486.5,4325.5,2674.5
1991-01-01,106010.0,27851.166666666668,-15183.0,-8239.5,83470.0,17007.0,180328.0,218790.0,1045.5,12634.0,55469.0,27430.5,165145.0,-38462.0,8848.5,-7194.0,94229.5,11806.0,154447.0,51709.0,66885.0,45145.0,59135.0,10541.4,-398.0,6062.0,2786.5
