Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Recreation services,Recreational goods and vehicles,Services,Transportation services
1961-01-01,0.28,-2.95,-0.31,-0.09,0.72,0.63,0.19,-0.03,-0.24,-2.03,0.01,0.21,1.97,0.62,0.56,0.1,,,-2.95,0.93,-0.01,0.25,0.22,-0.47,-1.09,1.33,0.08,0.03,1.88,-0.02
1961-04-01,0.33,1.07,1.01,0.24,0.4,0.85,-0.19,0.25,0.48,3.23,0.93,0.56,2.62,0.52,1.07,0.69,,,0.55,2.16,0.06,0.5,0.6,4.22,3.71,1.81,0.1,0.21,2.86,0.07
1961-07-01,0.25,1.25,-0.52,0.08,-0.47,-0.14,-0.05,0.33,-0.42,1.37,0.11,0.17,0.51,0.68,0.61,0.02,,,0.61,0.12,0.1,0.43,0.11,2.62,1.94,0.02,0.09,0.21,0.59,0.05
1961-10-01,0.86,2.6,0.29,0.19,0.22,0.39,0.43,0.39,0.05,4.8,0.38,0.32,3.3,1.07,1.34,0.18,,,1.89,2.21,0.18,0.9,0.62,7.61,6.54,2.18,0.21,0.14,3.49,0.17
1962-01-01,0.16,1.17,0.81,0.08,-0.26,-0.05,0.24,0.06,0.51,2.49,0.28,0.49,1.73,0.58,0.9,0.2,,,1.06,1.32,0.09,0.7,0.26,3.55,2.97,0.94,0.01,-0.03,1.81,0.09
1962-04-01,0.35,1.46,0.07,-0.08,0.35,-0.08,0.24,0.22,0.04,2.11,0.08,0.56,2.98,1.0,1.05,0.15,,,0.91,0.65,0.18,0.34,0.33,5.02,4.02,1.87,0.31,0.15,2.9,0.14
1962-07-01,0.14,0.41,0.11,-0.08,-0.16,0.6,0.27,0.46,-0.02,1.61,0.12,0.58,1.73,0.74,0.91,0.2,,,-0.33,1.21,0.03,0.49,0.28,2.55,1.81,0.77,-0.18,0.24,1.65,0.03
1962-10-01,0.25,2.43,0.71,-0.07,0.06,-0.33,0.29,0.14,0.43,3.32,0.12,0.5,2.53,1.05,1.37,0.19,,,1.99,0.89,0.13,0.54,0.06,5.4,4.35,1.12,0.12,0.18,2.46,0.12
1963-01-01,-0.12,1.11,0.77,0.02,-0.14,0.01,0.04,0.33,0.44,1.95,0.27,0.28,0.86,0.28,0.65,0.24,,,0.74,0.84,-0.05,0.52,-0.22,2.05,1.78,0.27,0.12,0.1,0.88,0.12
1963-04-01,0.19,1.21,-0.59,0.19,0.35,0.4,0.08,0.19,-0.19,1.75,0.45,0.19,1.89,0.52,0.16,0.26,,,0.68,0.53,0.08,0.14,0.93,4.02,3.5,1.97,0.04,0.27,2.08,0.13
