Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1957-10-01,-4.17,-0.38,-0.94,-0.55,0.79,-1.02,-0.8433333333333334,1.59,-5.18,-0.06,0.02,-0.55,-0.61,1.34,-0.6,-0.99,0.13,-0.02,0.6833333333333332,0.81,-0.08
1958-01-01,-0.72,-2.23,-2.44,-1.83,-1.53,-3.4,-1.22,-0.57,-4.12,-0.22,0.02,-0.31,-2.05,-1.22,-0.83,-2.69,-3.25,-0.71,-0.5499999999999999,0.97,-0.27
1958-04-01,0.23,-0.5,-1.11,0.12,1.89,-1.47,0.023333333333333334,2.4,-1.24,-0.75,0.07,0.59,-0.63,1.3,0.96,-1.54,2.13,0.07,0.47,0.5,-0.5
1958-07-01,3.51,0.68,-0.21,0.1,-0.17,0.91,0.8233333333333334,0.62,4.41,0.18,0.13,0.02,0.28,-0.19,1.88,-0.41,4.27,1.32,0.6966666666666667,0.79,-0.33
1958-10-01,1.84,1.15,1.06,-0.01,1.24,3.41,0.47333333333333333,1.9,5.26,-0.97,0.17,0.37,-0.97,0.87,1.36,1.45,3.51,1.97,0.37000000000000005,0.66,0.22
1959-01-01,0.36,1.7,1.1,1.23,-1.38,3.46,0.4666666666666666,-1.15,3.82,-0.6,0.15,-1.67,0.63,0.29,1.24,1.18,4.59,2.27,1.2766666666666666,0.24,-0.06
1959-04-01,3.43,1.25,0.62,-0.09,0.96,1.9,0.51,1.08,5.34,-0.92,0.09,-0.67,-1.02,1.63,0.79,1.13,3.92,0.77,0.45999999999999996,0.12,0.42
1959-07-01,-5.08,0.64,0.69,1.63,0.66,0.65,0.6699999999999999,0.7,-4.44,-0.22,-0.02,0.7,1.41,-0.03,0.35,1.07,2.6,-0.42,0.67,0.04,0.4
1959-10-01,2.77,-1.67,-0.04,-0.9,-0.6,-0.72,-0.41333333333333333,-0.77,2.05,0.44,0.04,-0.44,-0.46,-0.16,0.61,-0.11,0.32,-0.62,0.3733333333333333,-0.17,-0.11
1960-01-01,4.48,1.13,0.8,2.3,-2.01,2.15,1.0999999999999999,-1.44,6.63,-0.58,0.09,-0.7,1.72,-1.31,0.28,1.48,2.39,0.67,0.26999999999999996,0.57,0.6
1960-04-01,-5.51,0.78,0.39,0.55,0.11,-1.1,0.8166666666666668,0.96,-6.61,-0.09,0.07,-0.35,0.46,0.46,1.08,0.63,3.05,-1.73,0.35333333333333333,0.85,0.17
1960-07-01,1.13,-0.26,-0.96,0.43,1.63,-1.3,0.0366666666666667,2.15,-0.17,0.53,0.22,1.36,0.96,0.27,-0.55,-0.72,-0.97,-0.58,-0.03666666666666666,0.52,0.03
1960-10-01,-6.83,-0.84,-0.74,0.11,0.22,-0.09,-0.06666666666666665,0.64,-6.92,0.8,0.12,-0.48,0.91,0.7,0.08,-0.07,0.34,-0.02,0.4833333333333334,0.41,0.54
1961-01-01,2.02,-1.82,-0.67,-0.14,0.17,-0.5,-0.3466666666666667,1.35,1.52,0.07,0.16,1.2,-0.07,-1.03,0.58,-0.57,-0.07,0.08,0.3,1.18,-0.07
1961-04-01,3.17,0.65,0.98,-0.94,0.5,0.99,0.23666666666666666,0.25,4.16,-0.2,0.18,-0.18,-1.14,0.68,1.31,0.91,3.69,0.08,0.6166666666666667,-0.25,-0.24
1961-07-01,3.42,0.77,0.29,0.87,1.66,1.43,0.17333333333333334,1.98,4.86,-1.04,0.11,1.41,-0.17,0.25,0.08,0.4,1.23,1.03,0.18333333333333335,0.32,0.01
1961-10-01,-0.67,1.53,1.23,0.32,1.04,1.89,0.9433333333333334,2.03,1.22,-0.39,0.06,0.86,-0.07,0.17,1.3,1.22,4.9,0.67,0.6666666666666666,1.0,-0.07
1962-01-01,2.42,0.7,0.53,-0.12,2.06,1.14,0.30666666666666664,1.8,3.56,-0.49,0.01,1.65,-0.61,0.41,0.79,0.79,2.58,0.35,0.35000000000000003,-0.26,0.26
1962-04-01,-2.15,0.86,0.52,1.09,0.22,1.68,0.6066666666666667,0.46,-0.47,-0.36,0.06,-0.45,0.73,0.67,0.37,1.07,2.95,0.61,0.6233333333333333,0.24,0.49
1962-07-01,0.66,0.24,0.07,-0.03,1.7,0.49,0.26666666666666666,2.15,1.15,-0.21,0.06,0.79,-0.24,0.91,0.72,0.5,1.96,-0.01,0.3066666666666667,0.45,0.37
1962-10-01,-1.71,1.43,0.06,-0.62,0.28,-0.19,0.4033333333333333,0.66,-1.9,-0.2,0.12,0.04,-0.82,0.24,0.52,-0.16,3.39,-0.03,0.4533333333333333,0.38,-0.34
1963-01-01,2.49,0.67,0.39,0.29,-1.91,0.79,0.45999999999999996,-1.23,3.28,0.39,0.18,-1.65,0.68,-0.26,0.51,0.1,1.71,0.69,0.33666666666666667,0.68,-0.47
1963-04-01,-1.61,0.73,0.43,1.51,-0.23,2.66,0.7000000000000001,0.09,1.06,-0.38,0.2,-0.25,1.13,0.03,0.32,1.24,2.29,1.42,0.4366666666666667,0.32,0.62
