Date,Average of GDP and GDI,Gross domestic income (GDI),Real disposable personal income
2004-01-01,4.0,3.6,3.6
2004-04-01,4.1,3.9,3.5
2004-07-01,3.8,4.1,2.4
2004-10-01,3.6,3.8,3.3
2005-01-01,3.9,3.8,1.5
2005-04-01,3.6,3.7,1.4
2005-07-01,3.3,3.2,1.1
2005-10-01,3.6,4.1,0.8
2006-01-01,4.0,4.8,4.1
2006-04-01,3.6,4.3,3.5
2006-07-01,3.1,3.9,3.3
2006-10-01,2.6,2.6,3.6
2007-01-01,1.3,1.0,2.5
2007-04-01,1.5,1.1,2.6
2007-07-01,1.1,-0.2,2.7
2007-10-01,0.9,-0.3,1.6
2008-01-01,0.5,-0.4,1.2
2008-04-01,0.2,-1.1,2.8
2008-07-01,0.0,-0.3,0.6
2008-10-01,-2.6,-2.6,1.7
2009-01-01,-3.7,-4.2,1.2
2009-04-01,-3.8,-3.7,-0.2
2009-07-01,-3.1,-3.2,0.5
2009-10-01,0.4,0.6,-0.5
2010-01-01,2.3,2.9,0.2
2010-04-01,3.2,3.5,1.2
2010-07-01,4.0,4.6,3.0
2010-10-01,3.0,3.3,3.2
2011-01-01,2.5,2.9,3.6
2011-04-01,2.2,2.6,1.7
2011-07-01,1.1,1.3,1.7
2011-10-01,1.8,2.0,1.6
2012-01-01,3.3,3.9,2.1
2012-04-01,2.9,3.4,3.0
2012-07-01,2.4,2.3,1.6
2012-10-01,2.2,2.8,4.2
2013-01-01,1.2,0.8,-1.4
2013-04-01,1.3,1.2,-1.3
2013-07-01,2.2,2.1,-0.2
2013-10-01,2.1,1.3,-2.8
2014-01-01,1.8,1.9,2.4
2014-04-01,2.7,2.7,2.9
2014-07-01,3.4,3.8,3.5
2014-10-01,3.4,4.1,4.9
2015-01-01,4.0,4.1,5.1
2015-04-01,3.2,3.1,4.1
2015-07-01,2.3,2.1,3.7
2015-10-01,1.8,1.4,2.8
2016-01-01,1.6,1.3,2.3
2016-04-01,1.0,0.5,1.7
2016-07-01,1.4,1.0,1.8
2016-10-01,1.7,1.3,1.8
2017-01-01,1.8,1.5,2.1
2017-04-01,2.5,2.6,3.4
