Date,Agriculture,Air,Disability,Economic affairs,Education,Elementary and secondary,Energy,Executive and legislative,Federal,Fire,General economic and labor affairs,General public service,Government,Gross expenditures,Health,Health (net),Higher,Highways,Housing and community services,Housing and other,Income security,Law courts,Less: Sales to other sectors,Libraries,Libraries and other,National defense,Natural resources,Other,Other economic affairs,Police,Postal service,Prisons,Public order and safety,Recreation and culture,Retirement,Sanitation,Sewerage,Space,State and local,Tax collection and financial management,Transit and railroad,Transportation,Unemployment,Water,Welfare and social services
1972-01-01,1797.3333333333333,1457.3333333333333,217.33333333333334,35086.0,43741.333333333336,32942.666666666664,3130.6666666666665,3624.0,141646.0,2108.0,3559.6666666666665,13263.333333333334,286189.0,14725.0,11538.5,9008.0,8166.666666666667,15338.0,4218.666666666667,964.0,3964.0,1596.6666666666667,5717.0,907.0,3573.0,100714.0,2912.0,2219.0,11846.666666666666,5291.0,590.0,1658.0,10653.333333333334,2028.6666666666667,682.0,1437.0,2050.0,6906.0,144544.0,4415.0,795.6666666666666,18634.666666666668,58.0,1086.75,3161.6666666666665
1973-01-01,1890.0,1551.3333333333333,183.33333333333334,36814.666666666664,47799.0,35702.333333333336,3356.0,3985.0,146185.0,2252.6666666666665,3838.6666666666665,14895.666666666666,304765.0,16373.0,13120.5,9671.0,9340.0,16194.333333333334,4736.0,1043.0,4487.0,1831.3333333333333,6702.0,991.0,3773.0,102635.0,2980.6666666666665,2603.6,12532.333333333334,5840.0,594.0,1863.3333333333333,11787.666666666666,2262.6666666666665,665.0,1586.0,2491.0,6745.0,158580.0,4601.666666666667,892.0,19785.666666666668,40.0,1167.0,3631.3333333333335
1974-01-01,2072.6666666666665,1762.0,255.33333333333334,41980.666666666664,53246.0,39848.666666666664,4415.333333333333,4912.666666666667,158835.0,2534.0,3426.6666666666665,17914.666666666668,341370.0,18968.0,14893.0,11408.0,10374.666666666666,19048.666666666668,5634.666666666667,994.0,5655.0,2078.6666666666665,7560.0,1107.0,4250.0,109894.0,3494.0,3123.0,13947.666666666666,6538.0,649.0,2265.6666666666665,13416.333333333334,2738.3333333333335,789.0,1743.0,3464.0,7290.0,182536.0,5264.0,1014.6666666666666,23173.333333333332,42.0,1399.5,4563.333333333333
1975-01-01,2795.0,1824.6666666666667,277.3333333333333,47098.0,60503.333333333336,45516.666666666664,5343.0,5285.333333333333,173729.0,2875.3333333333335,3750.0,21029.333333333332,381128.0,21203.0,17084.5,12587.0,11446.666666666666,20946.666666666668,6404.666666666667,1214.0,6159.666666666667,2395.3333333333335,8615.0,1263.0,4987.5,117976.0,4126.0,3751.1,16527.333333333332,7437.666666666667,602.0,2665.3333333333335,15373.333333333334,3280.6666666666665,802.0,1893.0,3730.0,7815.0,207399.0,6292.333333333333,1103.3333333333333,25360.666666666668,35.0,1648.5,5082.666666666667
1976-01-01,2890.0,1858.6666666666667,288.0,48992.0,64849.333333333336,48853.0,6353.333333333333,5532.0,184800.0,3086.6666666666665,4271.333333333333,22244.333333333332,404153.0,22840.0,18054.5,12818.0,12324.666666666666,20728.0,6699.666666666667,1096.0,6960.0,2644.6666666666665,10022.0,1322.0,5203.0,124952.0,4231.333333333333,4001.8,18372.666666666668,7948.666666666667,797.0,3011.3333333333335,16690.666666666668,3389.3333333333335,821.0,1965.0,4249.0,7872.0,219353.0,6503.666666666667,1270.0,25371.0,51.0,1662.5,5845.333333333333
1977-01-01,3086.0,1952.0,379.3333333333333,52558.0,68964.33333333333,52095.0,7882.333333333333,5932.0,200339.0,3307.3333333333335,4943.333333333333,24331.0,434331.0,25135.0,19429.0,14076.0,13057.333333333334,21294.0,6610.666666666667,1315.0,8034.0,2905.3333333333335,11059.0,1383.0,5393.5,134408.0,4524.333333333333,4361.0,20922.333333333332,8651.333333333334,611.0,3404.6666666666665,18269.0,3536.6666666666665,874.0,2054.0,4064.0,8085.0,233992.0,7216.0,1342.6666666666667,26245.666666666668,45.0,1715.25,6657.333333333333
1978-01-01,3602.0,2193.3333333333335,352.6666666666667,60208.0,74097.33333333333,56058.0,10638.666666666666,6401.666666666667,218922.0,3618.6666666666665,5608.0,26118.666666666668,476336.0,28185.0,21721.5,15319.0,13986.666666666666,23641.333333333332,7889.666666666667,1314.0,8665.333333333334,3290.6666666666665,12866.0,1515.0,5732.5,145181.0,5145.333333333333,4713.2,25525.666666666668,9469.333333333334,665.0,3847.3333333333335,20226.0,3977.3333333333335,969.0,2375.0,5135.0,8215.0,257414.0,7466.666666666667,1442.6666666666667,29206.333333333332,56.0,2068.0,7299.333333333333
1979-01-01,3848.6666666666665,2435.0,406.0,67027.0,81487.33333333333,61869.333333333336,11100.0,7630.0,240574.0,3971.3333333333335,6246.666666666667,28465.666666666668,524802.0,31644.0,23139.5,16259.0,15289.0,26921.333333333332,8720.666666666666,1703.0,9476.333333333334,3794.6666666666665,15385.0,1666.0,6125.5,160587.0,6077.333333333333,5098.1,27852.666666666668,10330.666666666666,736.0,4363.333333333333,22460.0,4326.333333333333,982.0,2513.0,5580.0,8824.0,284228.0,7545.333333333333,1616.6666666666667,33292.0,51.0,2449.25,7986.0
1980-01-01,5336.0,2824.3333333333335,445.0,75886.0,88798.0,67144.0,11769.333333333334,8685.0,274870.0,4371.333333333333,7382.333333333333,31454.666666666668,589598.0,36018.0,26736.0,18470.0,16949.666666666668,29714.333333333332,10452.666666666666,2064.0,10528.0,4379.333333333333,17548.0,1839.0,6646.0,183405.0,6776.666666666667,5753.9,31922.666666666668,11302.333333333334,836.0,4978.666666666667,25032.0,4662.666666666667,987.0,2853.0,6618.0,10091.0,314728.0,7741.666666666667,2018.6666666666667,37236.0,52.0,2901.25,8817.333333333334
1981-01-01,5490.666666666667,2850.0,499.6666666666667,84440.66666666667,96060.33333333333,71903.33333333333,15896.0,8944.0,313980.0,4926.0,7440.333333333333,33073.333333333336,654381.0,40805.0,28836.0,19629.0,19060.0,31778.0,10417.666666666666,2537.0,11123.333333333334,4908.0,21176.0,2018.0,7118.0,213372.0,7629.0,6125.5,37192.0,12631.0,953.0,5680.333333333333,28145.333333333332,4978.0,1004.0,3138.0,5823.0,11138.0,340401.0,8068.666666666667,2355.3333333333335,39823.0,53.0,2981.75,9414.0
