Date,Actual employer and household contributions (5+7),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Claims to benefits accrued through service to employers,Contributions,"Current expenditures, accrual basis","Current receipts, accrual basis",Dividends,Effect on personal income (1-7-9 or 15-7-9),Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets,Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets (including plans' claims on employers),Interest,Interest accrued on benefit entitlements,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Benefit payments and withdrawals (20),Less: Effect on personal consumption expenditures (2),Less: Interest and dividend income received by plans (10),Less: Pension service charges,Monetary income receipts on assets (12+14),Monetary interest,Net change in benefit entitlements,Net transfers from other sources,Output,Plus: Household actual contributions (7),Plus: Implied funding of benefits from holding gains on assets
1996-01-01,34205.0,33412.0,793.0,5866.0,96914.0,-7415.0,55620.0,109824.0,169894.0,169894.0,16914.0,114897.0,47163.0,143284.0,109031.0,54204.0,27281.0,54204.0,-6956.0,54204.0,37290.0,88456.0,5866.0,96914.0,96914.0,5866.0,54204.0,5866.0,61160.0,44246.0,12910.0,,5866.0,793.0,34252.0
1997-01-01,27934.0,27295.0,639.0,6283.0,97213.0,-13468.0,57756.0,106202.0,160932.0,160932.0,16450.0,111846.0,52705.0,149279.0,105563.0,48447.0,36105.0,48447.0,-13648.0,48447.0,31996.0,92162.0,6283.0,97213.0,97213.0,6283.0,48447.0,6283.0,62094.0,45644.0,8989.0,,6283.0,639.0,43716.0
1998-01-01,34146.0,33464.0,682.0,6700.0,111249.0,-23304.0,62477.0,108366.0,160955.0,160955.0,15537.0,114384.0,51080.0,161647.0,107684.0,45889.0,35031.0,45889.0,-14610.0,45889.0,30352.0,99852.0,6700.0,111249.0,111249.0,6700.0,45889.0,6700.0,60499.0,44962.0,-2883.0,,6700.0,682.0,53963.0
1999-01-01,29283.0,28581.0,702.0,6700.0,119375.0,-35385.0,65547.0,107816.0,156786.0,156786.0,14638.0,113814.0,51511.0,170184.0,107114.0,42270.0,42964.0,42270.0,-19137.0,42270.0,27632.0,105339.0,6700.0,119375.0,119375.0,6700.0,42270.0,6700.0,61407.0,46769.0,-11559.0,,6700.0,702.0,63069.0
2000-01-01,33087.0,32446.0,641.0,7300.0,127510.0,-42009.0,65800.0,116335.0,174169.0,174169.0,14745.0,122994.0,47851.0,174720.0,115694.0,50535.0,40013.0,50535.0,-9179.0,50535.0,35789.0,109561.0,7300.0,127510.0,127510.0,7300.0,50535.0,7300.0,59714.0,44969.0,-11175.0,,7300.0,641.0,59026.0
2001-01-01,48181.0,47537.0,644.0,7100.0,129417.0,-30852.0,69800.0,136778.0,210855.0,210855.0,15665.0,143234.0,58489.0,187262.0,136134.0,66978.0,28719.0,66978.0,9494.0,66978.0,51313.0,118106.0,7100.0,129417.0,129417.0,7100.0,66978.0,7100.0,57484.0,41820.0,7361.0,,7100.0,644.0,51128.0
2002-01-01,84275.0,83541.0,734.0,7100.0,135824.0,-5991.0,71787.0,147352.0,230018.0,230018.0,17643.0,153718.0,57229.0,192319.0,146618.0,75565.0,-5388.0,75565.0,22908.0,75565.0,57923.0,121266.0,7100.0,135824.0,135824.0,7100.0,75565.0,7100.0,52658.0,35015.0,11528.0,,7100.0,734.0,45700.0
2003-01-01,118002.0,117156.0,846.0,7200.0,134945.0,26427.0,74000.0,128755.0,190711.0,190711.0,19418.0,135109.0,62911.0,197010.0,127909.0,54755.0,-36802.0,54755.0,4186.0,54755.0,35337.0,123856.0,7200.0,134945.0,134945.0,7200.0,54755.0,7200.0,50570.0,31151.0,-6190.0,,7200.0,846.0,69100.0
2004-01-01,93627.0,92811.0,816.0,7900.0,140440.0,-2557.0,75616.0,131892.0,196069.0,196069.0,22212.0,138976.0,56567.0,196191.0,131076.0,56276.0,-10111.0,56276.0,4120.0,56276.0,34064.0,121391.0,7900.0,140440.0,140440.0,7900.0,56276.0,7900.0,52156.0,29944.0,-8548.0,,7900.0,816.0,65115.0
2005-01-01,90582.0,89768.0,814.0,8200.0,136555.0,1656.0,76097.0,132426.0,196954.0,196954.0,25177.0,139812.0,65513.0,201254.0,131612.0,56329.0,-6285.0,56329.0,500.0,56329.0,31152.0,125971.0,8200.0,136555.0,136555.0,8200.0,56329.0,8200.0,55829.0,30652.0,-4129.0,,8200.0,814.0,69643.0
2006-01-01,89261.0,88409.0,852.0,9200.0,150619.0,-8769.0,77870.0,132649.0,196627.0,196627.0,28768.0,140997.0,59363.0,209130.0,131797.0,54779.0,-2191.0,54779.0,-7010.0,54779.0,26011.0,132112.0,9200.0,150619.0,150619.0,9200.0,54779.0,9200.0,61789.0,33021.0,-17970.0,,9200.0,852.0,77333.0
2007-01-01,67909.0,67107.0,802.0,9800.0,158741.0,-30887.0,81397.0,147464.0,223332.0,223332.0,32189.0,156462.0,61759.0,219698.0,146662.0,66067.0,23288.0,66067.0,-3677.0,66067.0,33879.0,139103.0,9800.0,158741.0,158741.0,9800.0,66067.0,9800.0,69745.0,37556.0,-11277.0,,9800.0,802.0,73035.0
2008-01-01,104966.0,104012.0,954.0,9600.0,166021.0,4176.0,80040.0,196381.0,322322.0,322322.0,33441.0,205027.0,57471.0,222538.0,195427.0,116341.0,-15326.0,116341.0,41510.0,116341.0,82900.0,143452.0,9600.0,166021.0,166021.0,9600.0,116341.0,9600.0,74831.0,41390.0,30360.0,,9600.0,954.0,27111.0
2009-01-01,113039.0,112080.0,959.0,9010.0,167788.0,10930.0,78683.0,182179.0,294684.0,294684.0,29985.0,190230.0,57343.0,224172.0,181220.0,103496.0,-25346.0,103496.0,28807.0,103496.0,73511.0,146448.0,9010.0,167788.0,167788.0,9010.0,103496.0,9010.0,74689.0,44704.0,14391.0,,9010.0,959.0,42952.0
2010-01-01,128203.0,127443.0,760.0,9769.0,169645.0,13095.0,73565.0,162003.0,260209.0,260209.0,29570.0,171012.0,47532.0,216417.0,161243.0,88438.0,-44869.0,88438.0,24132.0,88438.0,58868.0,143612.0,9769.0,169645.0,169645.0,9769.0,88438.0,9769.0,64306.0,34736.0,-7642.0,,9769.0,760.0,55174.0
2011-01-01,134715.0,133831.0,884.0,9795.0,172549.0,14712.0,69981.0,160015.0,259845.0,259845.0,27591.0,168926.0,46615.0,218280.0,159131.0,90034.0,-54939.0,90034.0,27693.0,90034.0,62443.0,149183.0,9795.0,172549.0,172549.0,9795.0,90034.0,9795.0,62341.0,34750.0,-12534.0,,9795.0,884.0,59149.0
2012-01-01,127643.0,126974.0,669.0,10403.0,197634.0,-16174.0,67437.0,153024.0,249015.0,249015.0,30000.0,162758.0,22571.0,219536.0,152355.0,85587.0,-49803.0,85587.0,21368.0,85587.0,55587.0,152768.0,10403.0,197634.0,197634.0,10403.0,85587.0,10403.0,64220.0,34220.0,-44610.0,,10403.0,669.0,67180.0
2013-01-01,113269.0,112625.0,644.0,10772.0,229534.0,-58953.0,73118.0,164235.0,266125.0,266125.0,32240.0,174363.0,-18363.0,210527.0,163591.0,91117.0,-29379.0,91117.0,23033.0,91117.0,58877.0,138053.0,10772.0,229534.0,229534.0,10772.0,91117.0,10772.0,68084.0,35844.0,-65299.0,,10772.0,644.0,46936.0
2014-01-01,97469.0,96838.0,631.0,11665.0,221611.0,-65436.0,72505.0,165302.0,269764.0,269764.0,33508.0,176336.0,-10564.0,210416.0,164671.0,92797.0,-13299.0,92797.0,22426.0,92797.0,59289.0,138542.0,11665.0,221611.0,221611.0,11665.0,92797.0,11665.0,70371.0,36863.0,-56309.0,,11665.0,631.0,45745.0
2015-01-01,106859.0,105963.0,896.0,12757.0,235800.0,-69546.0,69238.0,167631.0,278781.0,278781.0,33821.0,179492.0,-29109.0,205795.0,166735.0,98393.0,-24864.0,98393.0,26241.0,98393.0,64572.0,137453.0,12757.0,235800.0,235800.0,12757.0,98393.0,12757.0,72152.0,38331.0,-68169.0,,12757.0,896.0,39060.0
2016-01-01,124849.0,124112.0,737.0,13922.0,232395.0,-50688.0,67070.0,159700.0,266252.0,266252.0,33912.0,172885.0,-26546.0,205112.0,158963.0,92630.0,-43857.0,92630.0,21850.0,92630.0,58718.0,138779.0,13922.0,232395.0,232395.0,13922.0,92630.0,13922.0,70780.0,36868.0,-72695.0,,13922.0,737.0,46149.0
2017-01-01,157489.0,156861.0,628.0,14145.0,243439.0,-28775.0,67857.0,151466.0,249220.0,249220.0,33609.0,164983.0,-34940.0,207871.0,150838.0,83609.0,-75487.0,83609.0,12289.0,83609.0,50000.0,140642.0,14145.0,243439.0,243439.0,14145.0,83609.0,14145.0,71320.0,37712.0,-91973.0,,14145.0,628.0,57033.0
2018-01-01,97946.0,97296.0,650.0,13341.0,243968.0,-86074.0,71527.0,167368.0,276550.0,276550.0,31911.0,180059.0,-31151.0,212167.0,166718.0,95841.0,-13078.0,95841.0,22552.0,95841.0,63930.0,141290.0,13341.0,243968.0,243968.0,13341.0,95841.0,13341.0,73289.0,41378.0,-76600.0,,13341.0,650.0,45449.0
2019-01-01,101307.0,100670.0,637.0,14140.0,257885.0,-94431.0,75295.0,167426.0,273697.0,273697.0,31951.0,180929.0,-35767.0,221481.0,166789.0,92131.0,-11872.0,92131.0,15844.0,92131.0,60179.0,146823.0,14140.0,257885.0,257885.0,14140.0,92131.0,14140.0,76287.0,44336.0,-90459.0,,14140.0,637.0,54692.0
2020-01-01,106002.0,105417.0,585.0,13261.0,256577.0,-89560.0,74419.0,153584.0,246009.0,246009.0,33040.0,166260.0,-35522.0,220470.0,152999.0,79165.0,-18322.0,79165.0,4888.0,79165.0,46124.0,146636.0,13261.0,256577.0,256577.0,13261.0,79165.0,13261.0,74276.0,41236.0,-102993.0,,13261.0,585.0,67471.0
2021-01-01,75245.0,74707.0,538.0,13699.0,278493.0,-145752.0,74714.0,147653.0,234291.0,234291.0,32525.0,160814.0,-55220.0,222735.0,147115.0,72939.0,13168.0,72939.0,1744.0,72939.0,40413.0,148559.0,13699.0,278493.0,278493.0,13699.0,72939.0,13699.0,71195.0,38669.0,-130840.0,,13699.0,538.0,75620.0
2022-01-01,70558.0,70052.0,506.0,12943.0,277358.0,-140802.0,69531.0,152331.0,248074.0,248074.0,29182.0,164767.0,-46588.0,230265.0,151825.0,82800.0,11915.0,82800.0,11413.0,82800.0,53618.0,161240.0,12943.0,277358.0,277358.0,12943.0,82800.0,12943.0,71387.0,42205.0,-125027.0,7554.0,12943.0,506.0,78440.0
2023-01-01,59160.0,58673.0,487.0,12732.0,284874.0,-111125.0,67984.0,148488.0,241725.0,241725.0,26209.0,160733.0,-53425.0,230962.0,148001.0,80505.0,21556.0,80505.0,-905.0,80505.0,54296.0,163466.0,12732.0,284874.0,284874.0,12732.0,80505.0,12732.0,81410.0,55201.0,-136386.0,45911.0,12732.0,487.0,82961.0
