Date,Consumption expenditures,Consumption of fixed capital,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer receipts,Government social benefits,Grants-in-aid to state and local governments,Gross government investment,Income receipts on assets,Interest payments,Net federal government saving,Other current transfer payments,Personal current taxes,Subsidies,Taxes from the rest of the world,Taxes on corporate income,Taxes on production and imports,To persons,To persons and business,To the rest of the world
1971-04-01,26823.0,7253.0,13257.0,61019.0,48681.0,-641.0,34119.0,24932.0,229.0,17386.0,6073.0,6898.0,1717.0,8689.0,-12338.0,7546.0,21047.0,575.0,91.0,8095.0,4886.0,17178.0,8331.0,679.6666666666666
1971-07-01,26812.0,7300.0,12620.0,61860.0,47550.0,-902.0,33888.0,23256.0,231.0,16527.0,5341.0,7220.0,1713.0,8852.0,-14310.0,6729.0,21730.0,2940.0,91.0,7401.0,4666.0,16322.0,8367.0,692.6666666666666
1971-10-01,26745.0,7329.0,12687.0,60877.0,49454.0,-468.0,35081.0,24448.0,239.0,16987.0,5732.0,6770.0,1915.0,9008.0,-11423.0,7461.0,22521.0,676.0,96.0,7716.0,4748.0,16779.0,8384.0,853.6666666666666
1972-01-01,28071.0,7402.0,13308.0,64172.0,49988.0,-608.0,35350.0,26337.0,258.0,18426.0,5975.0,7115.0,1679.0,9132.0,-14185.0,7911.0,23557.0,632.0,99.0,7350.0,4344.0,18197.0,8571.0,908.6666666666666
1972-04-01,28709.0,7466.0,14980.0,67346.0,55296.0,-572.0,38891.0,28492.0,276.0,18042.0,8774.0,7698.0,1721.0,9296.0,-12050.0,10450.0,25430.0,849.0,102.0,8611.0,4748.0,17805.0,8709.0,833.3333333333334
1972-07-01,27683.0,7630.0,14637.0,66730.0,55444.0,-636.0,39452.0,25345.0,289.0,17103.0,6240.0,7072.0,1703.0,9473.0,-11286.0,8242.0,26549.0,4229.0,102.0,8190.0,4611.0,16878.0,8814.0,962.0
1972-10-01,27833.0,7705.0,15333.0,69771.0,58281.0,-561.0,41324.0,31336.0,297.0,20249.0,9524.0,7464.0,1888.0,9729.0,-11490.0,11087.0,27221.0,873.0,100.0,9225.0,4778.0,19975.0,8985.0,860.3333333333334
1973-01-01,28253.0,7790.0,16711.0,70322.0,57176.0,-738.0,38989.0,31008.0,312.0,21387.0,8407.0,8168.0,1902.0,10236.0,-13146.0,9621.0,25238.0,825.0,97.0,8950.0,4704.0,21104.0,9476.0,752.3333333333334
1973-04-01,28862.0,7945.0,19327.0,72462.0,63116.0,-722.0,42116.0,31881.0,322.0,21339.0,8867.0,8109.0,2073.0,10661.0,-9346.0,10542.0,26634.0,1058.0,96.0,10389.0,4997.0,21053.0,9759.0,954.3333333333334
1973-07-01,28390.0,8200.0,19057.0,72838.0,63422.0,-909.0,42985.0,30558.0,203.0,20981.0,8111.0,7680.0,2087.0,11049.0,-9416.0,9577.0,28282.0,2841.0,92.0,9594.0,5017.0,20689.0,10075.0,910.6666666666666
1973-10-01,29028.0,8419.0,19451.0,71933.0,65531.0,-1016.0,44587.0,31135.0,211.0,21995.0,8104.0,7694.0,2298.0,11345.0,-6402.0,9140.0,29427.0,425.0,93.0,9986.0,5081.0,21698.0,10330.0,782.6666666666666
1974-01-01,29670.0,8498.0,19851.0,75812.0,64054.0,-889.0,42520.0,33774.0,251.0,24460.0,8187.0,8299.0,2320.0,11546.0,-11758.0,9314.0,29205.0,822.0,90.0,8439.0,4786.0,24222.0,10654.0,752.3333333333334
1974-04-01,30119.0,8658.0,22112.0,79644.0,71029.0,-764.0,46925.0,36850.0,271.0,25664.0,9006.0,8841.0,2485.0,11844.0,-8615.0,11186.0,31254.0,831.0,91.0,10468.0,5112.0,25334.0,10846.0,1169.3333333333333
1974-07-01,30961.0,8994.0,21187.0,80362.0,72660.0,-745.0,49367.0,36559.0,280.0,26395.0,8770.0,9103.0,2571.0,12215.0,-7702.0,10164.0,33070.0,627.0,92.0,11082.0,5123.0,26029.0,11168.0,935.6666666666666
1974-10-01,32420.0,9232.0,20935.0,84032.0,70759.0,-851.0,47709.0,38322.0,279.0,28083.0,8945.0,9422.0,2687.0,12379.0,-13274.0,10239.0,32996.0,911.0,94.0,9576.0,5043.0,27695.0,11269.0,930.6666666666666
