Date,Equals: Final sales to domestic purchasers,Equals: Gross domestic purchases,Final sales of domestic product,Final sales to private domestic purchasers,Gross domestic product,Less: Exports of goods and services,Plus: Imports of goods and services
1984-01-01,5.3,10.4,2.9,5.5,8.1,8.6,36.3
1984-04-01,8.3,7.9,7.5,8.1,7.1,10.3,17.8
1984-07-01,4.0,4.2,3.7,4.2,3.9,9.1,10.8
1984-10-01,6.4,3.8,5.9,5.8,3.3,8.4,12.2
1985-01-01,5.8,2.9,7.0,6.2,3.9,1.1,-8.5
1985-04-01,5.1,5.4,3.2,4.1,3.6,-0.9,21.2
1985-07-01,6.4,6.1,6.5,5.6,6.3,-5.7,-3.8
1985-10-01,2.2,3.6,1.6,2.4,3.0,12.5,16.6
1986-01-01,3.0,2.8,4.1,3.0,3.8,13.1,-0.4
1986-04-01,4.5,3.1,3.2,3.4,1.8,4.4,18.1
1986-07-01,5.9,4.2,5.7,5.2,3.9,9.5,11.5
1986-10-01,1.7,1.4,2.5,2.6,2.2,15.8,3.1
1987-01-01,-0.5,2.6,-0.3,-1.2,3.0,0.3,-2.3
1987-04-01,5.2,4.1,5.5,5.7,4.4,17.5,10.4
1987-07-01,4.2,3.0,4.8,5.2,3.5,18.5,8.0
1987-10-01,1.7,6.7,2.0,0.6,7.0,15.8,9.5
1988-01-01,3.8,0.1,5.9,5.7,2.1,24.2,-1.9
1988-04-01,3.5,3.8,5.0,4.1,5.4,11.7,-4.5
1988-07-01,2.6,2.6,2.3,3.2,2.4,8.1,9.8
1988-10-01,5.3,5.6,5.2,4.7,5.4,12.8,12.8
1989-01-01,1.4,3.2,2.3,2.2,4.1,12.5,1.9
1989-04-01,2.5,1.7,3.9,1.6,3.1,18.7,1.9
1989-07-01,4.4,2.5,4.9,4.6,3.0,4.1,-0.5
1989-10-01,0.6,1.0,0.4,0.2,0.8,6.2,7.4
1990-01-01,4.3,4.1,4.6,3.7,4.4,18.5,13.3
1990-04-01,-0.4,0.9,0.1,-0.7,1.5,5.1,-0.7
1990-07-01,0.6,-0.2,1.0,0.6,0.3,3.1,-1.6
1990-10-01,-3.0,-4.9,-1.6,-4.4,-3.6,3.6,-10.3
1991-01-01,-2.2,-2.5,-1.5,-3.4,-1.9,2.5,-4.5
1991-04-01,2.7,2.5,3.3,2.9,3.2,15.4,7.3
1991-07-01,1.1,2.3,0.9,1.7,2.0,9.8,11.7
1991-10-01,-0.5,1.4,-0.5,0.2,1.4,9.3,9.1
1992-01-01,6.3,4.4,6.8,7.1,4.9,7.4,2.9
1992-04-01,3.6,5.1,2.9,4.8,4.4,0.2,6.7
1992-07-01,4.0,3.8,4.2,4.4,4.0,8.8,6.5
1992-10-01,4.9,5.0,4.1,6.2,4.2,2.0,9.9
1993-01-01,0.4,1.5,-0.4,1.8,0.7,0.9,8.9
1993-04-01,3.5,2.7,3.1,4.4,2.3,4.9,8.5
1993-07-01,4.0,2.6,3.4,4.9,1.9,-1.1,5.4
1993-10-01,5.2,6.0,4.7,6.1,5.6,13.5,17.1
1994-01-01,2.8,4.5,2.2,4.7,3.9,4.0,9.6
1994-04-01,3.8,5.8,3.5,4.2,5.5,14.2,15.8
1994-07-01,3.9,2.1,4.1,3.1,2.4,15.8,11.7
1994-10-01,3.7,5.0,3.4,5.5,4.7,9.6,11.7
1995-01-01,2.3,1.6,2.1,2.5,1.4,7.9,9.1
1995-04-01,2.5,1.0,2.7,2.7,1.2,5.7,3.8
1995-07-01,3.1,1.7,4.9,4.1,3.5,18.5,1.4
1995-10-01,2.3,2.7,2.4,3.9,2.7,5.8,5.2
1996-01-01,4.7,4.0,3.7,5.1,3.0,4.9,13.7
1996-04-01,5.9,7.1,5.6,6.1,6.8,6.7,9.3
1996-07-01,3.2,4.8,2.0,3.9,3.6,3.3,13.6
1996-10-01,3.7,2.5,5.5,3.9,4.2,27.4,8.1
1997-01-01,3.7,3.8,2.5,5.0,2.6,7.8,18.2
1997-04-01,3.5,6.6,3.6,3.1,6.8,17.0,14.1
1997-07-01,7.4,5.8,6.7,8.7,5.1,9.6,15.6
1997-10-01,4.0,4.6,2.9,4.5,3.5,-0.6,8.9
1998-01-01,4.5,5.7,2.9,5.9,4.1,1.9,15.9
1998-04-01,8.5,5.3,6.9,8.8,3.8,-4.3,9.5
1998-07-01,5.4,5.9,4.6,5.9,5.1,-1.8,5.5
1998-10-01,6.3,6.5,6.4,7.1,6.6,15.7,13.6
1999-01-01,4.5,5.3,3.0,4.8,3.8,-1.3,11.8
1999-04-01,6.1,4.2,5.2,7.1,3.4,5.1,12.0
1999-07-01,5.6,5.9,5.1,5.7,5.4,12.6,15.3
1999-10-01,5.3,7.0,5.0,5.1,6.7,8.8,10.6
2000-01-01,5.6,2.8,4.3,7.5,1.5,5.9,16.0
2000-04-01,4.8,7.7,4.5,5.0,7.5,12.8,13.4
2000-07-01,2.5,1.4,1.5,3.4,0.4,9.9,15.2
2000-10-01,2.9,2.8,2.5,3.0,2.4,-3.9,0.6
2001-01-01,1.6,-1.5,1.9,0.6,-1.3,-4.9,-5.1
2001-04-01,0.9,1.9,1.5,-0.4,2.5,-11.2,-12.2
2001-07-01,0.3,-0.7,-0.5,0.5,-1.6,-19.0,-8.8
2001-10-01,3.7,1.8,3.1,3.1,1.1,-13.2,-4.1
2002-01-01,1.3,3.9,0.6,0.0,3.4,9.0,11.9
2002-04-01,1.8,3.0,1.2,1.5,2.5,12.4,14.1
2002-07-01,2.1,2.1,1.6,2.1,1.6,1.3,5.2
2002-10-01,1.7,1.9,0.3,1.4,0.5,-5.8,7.4
2003-01-01,2.0,1.9,2.2,2.3,2.1,-1.2,-1.7
2003-04-01,5.4,4.1,4.8,5.7,3.6,0.7,6.0
2003-07-01,6.1,6.4,6.6,7.4,6.8,11.4,6.4
2003-10-01,3.5,4.6,3.6,3.7,4.7,19.2,13.3
2004-01-01,2.6,2.9,2.0,2.7,2.3,9.4,11.7
2004-04-01,3.5,4.4,2.2,4.1,3.1,8.6,16.7
2004-07-01,4.7,4.3,4.2,5.6,3.8,1.3,5.7
2004-10-01,4.2,4.4,3.9,5.2,4.1,9.8,9.7
2005-01-01,3.3,4.1,3.7,3.6,4.5,7.7,3.5
2005-04-01,4.1,1.8,4.4,5.0,2.0,9.2,5.5
2005-07-01,3.7,3.3,3.5,4.2,3.2,-0.1,2.3
2005-10-01,0.9,2.9,0.1,1.0,2.2,13.0,13.5
2006-01-01,5.2,4.9,5.8,5.2,5.5,17.2,8.5
2006-04-01,0.9,0.9,1.1,1.1,1.0,7.6,4.0
2006-07-01,1.1,1.2,0.4,1.4,0.6,-0.5,4.1
2006-10-01,2.5,1.7,4.5,2.4,3.5,16.1,-0.5
2007-01-01,1.6,1.2,1.6,1.9,1.2,8.2,6.0
2007-04-01,1.7,2.0,2.1,1.2,2.5,6.2,2.1
2007-07-01,1.6,1.2,2.8,1.6,2.3,13.1,2.3
2007-10-01,0.9,0.8,2.7,0.4,2.5,9.5,-3.7
2008-01-01,-1.2,-2.1,-0.8,-1.7,-1.7,6.5,1.5
2008-04-01,0.8,0.2,3.0,0.2,2.4,12.3,-3.7
2008-07-01,-3.0,-2.6,-2.5,-4.4,-2.1,-1.8,-5.0
2008-10-01,-5.9,-7.7,-6.6,-7.9,-8.5,-21.5,-13.7
2009-01-01,-4.6,-6.4,-2.6,-6.7,-4.5,-28.3,-32.9
2009-04-01,-2.1,-3.1,0.3,-4.1,-0.7,2.7,-15.3
2009-07-01,2.2,1.9,1.7,2.5,1.4,15.6,17.6
2009-10-01,0.1,4.5,-0.1,0.0,4.4,23.9,20.9
2010-01-01,1.2,2.3,0.8,1.9,1.9,9.3,10.5
2010-04-01,4.7,5.5,3.0,5.5,3.9,9.1,19.5
2010-07-01,1.6,3.8,0.9,2.8,3.1,11.9,14.7
2010-10-01,2.2,0.9,3.4,3.4,2.1,11.4,1.5
2011-01-01,-0.1,-1.0,0.1,1.2,-0.9,3.5,2.0
2011-04-01,1.0,2.0,1.7,2.0,2.7,6.9,1.5
2011-07-01,2.0,-0.1,2.1,4.0,-0.1,5.6,4.5
2011-10-01,1.9,4.9,1.5,2.4,4.6,3.1,5.4
2012-01-01,3.5,3.0,3.9,4.7,3.4,5.0,2.0
2012-04-01,1.3,1.5,1.6,2.1,1.8,4.0,1.5
2012-07-01,0.5,0.6,0.5,0.8,0.6,2.5,2.2
2012-10-01,1.4,-0.2,2.2,2.7,0.5,0.4,-3.7
2013-01-01,2.2,3.5,2.7,3.6,4.0,2.1,-0.3
2013-04-01,1.3,1.5,0.9,1.7,1.1,3.7,5.9
2013-07-01,1.9,3.4,1.9,2.8,3.5,3.5,2.9
2013-10-01,2.8,2.4,4.0,4.2,3.5,12.0,3.2
2014-01-01,1.4,0.0,0.1,2.1,-1.4,-3.8,5.3
2014-04-01,4.6,5.4,4.4,5.5,5.3,8.9,9.4
2014-07-01,4.5,4.7,4.7,4.9,5.0,1.7,0.8
2014-10-01,4.0,3.2,2.8,4.9,2.0,3.4,10.9
2015-01-01,2.7,4.9,1.4,2.8,3.6,-3.1,6.1
2015-04-01,3.3,2.8,3.0,3.1,2.5,1.1,3.2
2015-07-01,3.0,2.4,2.3,3.2,1.6,-3.2,2.8
2015-10-01,1.4,0.9,1.2,1.3,0.7,-0.5,1.1
2016-01-01,3.2,2.3,3.2,3.0,2.3,-1.1,-0.5
2016-04-01,1.8,1.0,2.1,2.2,1.3,3.1,0.5
2016-07-01,2.9,2.4,3.4,3.2,2.9,6.7,3.0
2016-10-01,2.1,3.4,1.0,2.4,2.2,-3.0,5.9
2017-01-01,2.7,1.7,3.1,3.5,2.0,10.1,6.3
2017-04-01,2.2,2.6,1.8,2.4,2.3,1.4,3.9
2017-07-01,2.4,3.0,2.5,2.8,3.2,2.4,1.5
2017-10-01,5.2,4.9,4.9,5.5,4.6,10.8,11.7
2018-01-01,3.3,3.1,3.4,3.8,3.3,2.6,1.7
2018-04-01,2.6,1.9,2.9,2.6,2.1,2.2,0.5
2018-07-01,1.9,3.9,0.5,1.7,2.5,-4.9,5.7
2018-10-01,1.1,1.0,0.7,1.2,0.6,1.7,4.2
2019-01-01,1.6,1.9,2.1,0.7,2.5,3.8,-0.2
2019-04-01,4.5,3.9,4.1,4.3,3.4,-2.0,2.2
2019-07-01,4.6,4.4,5.0,4.6,4.8,0.1,-1.7
2019-10-01,2.1,1.4,3.5,1.9,2.8,2.5,-7.3
2020-01-01,-4.1,-5.3,-4.2,-5.9,-5.5,-16.1,-13.7
2020-04-01,-24.1,-27.4,-24.7,-30.1,-28.1,-61.3,-52.8
2020-07-01,28.8,38.3,25.7,38.5,35.2,60.2,85.7
2020-10-01,6.1,5.7,4.9,7.8,4.4,26.8,32.3
2021-01-01,8.7,6.5,7.8,9.5,5.6,0.3,8.3
2021-04-01,9.2,7.0,8.7,12.3,6.4,3.2,8.3
2021-07-01,1.4,4.4,0.4,2.0,3.5,0.9,8.6
2021-10-01,3.4,7.4,3.2,4.1,7.4,25.5,20.8
2022-01-01,1.5,1.4,-0.9,2.5,-1.0,-4.6,13.4
2022-04-01,1.8,-0.2,2.3,2.4,0.3,12.7,5.9
2022-07-01,0.9,0.2,3.5,0.8,2.7,14.5,-5.4
2022-10-01,1.3,2.7,1.9,0.6,3.4,-1.1,-4.5
2023-01-01,4.6,2.4,5.1,4.6,2.8,2.0,-0.8
2023-04-01,2.6,2.5,2.6,2.5,2.4,-4.8,-3.1
2023-07-01,3.1,4.4,3.0,2.6,4.4,4.9,4.7
2023-10-01,3.5,3.0,3.7,3.5,3.2,6.2,4.2
2024-01-01,2.7,2.2,2.1,2.9,1.6,1.9,6.1
2024-04-01,2.8,3.8,1.9,2.7,3.0,1.0,7.6
2024-07-01,3.7,3.4,3.3,3.4,3.1,9.6,10.7
2024-10-01,3.0,2.1,3.3,2.9,2.4,-0.2,-1.9
