Date,Consumption expenditures,Equipment,Federal,Gross investment,Intellectual property products,National defense,Nondefense,Research and development,Software,State and local,Structures
1980-01-01,1.658,1.056,5.02,1.7420000000000002,0.052000000000000005,2.96,2.06,0.008000000000000004,0.046,0.99,0.632
1980-04-01,2.596,-0.6060000000000001,3.69,-1.5399999999999998,0.134,-0.29,3.98,0.076,0.057999999999999996,-2.9,-1.064
1980-07-01,-1.6480000000000001,-0.202,-2.04,-0.8899999999999999,0.178,0.32,-2.36,0.118,0.064,-3.29,-0.8699999999999999
1980-10-01,-0.256,0.648,0.96,0.41200000000000003,0.192,1.75,-0.79,0.132,0.05600000000000001,-1.05,-0.42400000000000004
1981-01-01,1.642,-0.05,3.73,1.2899999999999998,0.22999999999999998,2.89,0.84,0.18,0.05,1.73,1.11
1981-04-01,2.106,0.6799999999999999,4.82,-0.834,0.14600000000000002,3.1,1.72,0.094,0.052000000000000005,-4.05,-1.658
1981-07-01,-0.12800000000000003,0.296,-0.77,-0.5780000000000001,0.16799999999999998,0.6,-1.37,0.118,0.05,-0.6,-1.0399999999999998
1981-10-01,1.496,0.614,3.56,1.286,0.072,3.5,0.06,0.013999999999999988,0.05800000000000001,1.62,0.6
1982-01-01,0.78,-0.16599999999999998,0.16,-0.9279999999999999,0.084,1.38,-1.22,0.06200000000000001,0.024,-0.6,-0.844
1982-04-01,-0.05999999999999996,0.96,0.83,0.836,0.13,2.52,-1.69,0.1,0.032,0.7,-0.252
1982-07-01,1.9420000000000002,-0.16799999999999998,3.26,0.006000000000000005,0.18,2.89,0.36,0.16,0.014000000000000002,-0.01,-0.003999999999999998
1982-10-01,2.09,0.77,4.77,1.388,0.186,3.04,1.73,0.164,0.018,1.55,0.43600000000000005
1983-01-01,1.782,0.394,3.17,0.414,0.33799999999999997,1.35,1.82,0.244,0.1,0.73,-0.324
1983-04-01,1.536,0.394,3.74,0.546,0.33999999999999997,2.98,0.75,0.266,0.074,-0.4,-0.186
1983-07-01,2.286,0.628,5.3,1.6060000000000003,0.286,1.48,3.83,0.188,0.098,1.78,0.6900000000000001
1983-10-01,-4.828,1.078,-6.4,1.048,0.29,3.19,-9.6,0.20800000000000002,0.08199999999999999,0.15,-0.324
1984-01-01,1.034,0.284,1.7,1.026,0.23399999999999999,0.53,1.17,0.168,0.066,2.61,0.512
1984-04-01,3.5740000000000003,0.272,6.21,1.254,0.43,1.86,4.35,0.352,0.078,2.77,0.554
1984-07-01,0.704,-0.378,-0.16,0.576,0.48,-0.17,0.01,0.38,0.10400000000000001,3.44,0.476
1984-10-01,1.6420000000000001,2.284,6.58,3.1399999999999997,0.642,6.0,0.58,0.534,0.10800000000000001,2.09,0.21200000000000002
1985-01-01,1.5939999999999999,-0.198,1.89,0.558,0.608,0.96,0.93,0.542,0.066,2.53,0.146
1985-04-01,2.1759999999999997,1.1540000000000001,5.46,2.588,0.49400000000000005,4.46,0.99,0.41600000000000004,0.078,3.72,0.9399999999999998
1985-07-01,3.2560000000000002,1.054,6.15,1.75,0.304,5.46,0.69,0.262,0.042,3.28,0.39
1985-10-01,0.506,0.312,0.13,0.184,0.21400000000000002,0.99,-0.86,0.144,0.06799999999999999,1.53,-0.34199999999999997
1986-01-01,0.776,-0.454,-0.52,0.4,0.05800000000000001,-0.69,0.16,0.0020000000000000005,0.052000000000000005,3.72,0.796
1986-04-01,3.436,1.068,6.56,1.316,0.15,5.87,0.69,0.1,0.054000000000000006,2.04,0.096
1986-07-01,2.3899999999999997,2.108,7.09,2.628,0.256,5.63,1.46,0.22000000000000003,0.036,1.91,0.26799999999999996
1986-10-01,-0.706,-0.16199999999999998,-2.3,-0.41200000000000003,0.362,-3.61,1.31,0.31,0.052000000000000005,0.66,-0.608
1987-01-01,0.568,-0.502,1.31,0.6439999999999999,0.44400000000000006,2.34,-1.03,0.39,0.054000000000000006,1.06,0.7020000000000001
1987-04-01,0.586,0.826,2.7,1.208,0.316,3.1,-0.39,0.256,0.057999999999999996,0.43,0.07
1987-07-01,-0.558,0.352,-0.25,0.674,0.182,1.6,-1.85,0.128,0.054000000000000006,0.67,0.13599999999999998
1987-10-01,3.036,-0.10600000000000001,3.42,0.10200000000000001,0.02,0.45,2.97,-0.054000000000000006,0.072,2.71,0.188
1988-01-01,-0.4680000000000001,-1.176,-5.53,-1.9580000000000002,-0.11400000000000002,-2.17,-3.36,-0.184,0.06999999999999999,2.24,-0.6679999999999999
1988-04-01,-0.142,-0.15999999999999998,-1.4,0.34199999999999997,-0.086,-0.83,-0.56,-0.158,0.072,2.6,0.592
1988-07-01,0.122,0.152,-0.89,-0.28200000000000003,-0.030000000000000006,-1.14,0.25,-0.12000000000000002,0.09,0.93,-0.40199999999999997
1988-10-01,3.7600000000000002,0.438,5.41,0.518,-0.052000000000000005,2.97,2.44,-0.138,0.08600000000000001,2.58,0.13
1989-01-01,-1.192,0.298,-3.43,-0.196,-0.06999999999999999,-3.87,0.44,-0.176,0.10400000000000001,1.68,-0.42000000000000004
1989-04-01,3.128,0.028000000000000004,3.91,0.17400000000000002,0.008000000000000002,2.43,1.48,-0.11200000000000002,0.12,2.38,0.132
1989-07-01,0.656,0.9,1.58,1.1179999999999999,0.10600000000000001,1.38,0.2,-0.03200000000000001,0.13799999999999998,2.07,0.11200000000000002
1989-10-01,0.874,-0.784,-0.85,-0.236,0.13999999999999999,-1.73,0.88,0.01,0.128,2.87,0.41200000000000003
1990-01-01,1.722,0.6599999999999999,3.16,1.534,0.10800000000000001,1.66,1.5,0.074,0.036,3.39,0.76
1990-04-01,0.29799999999999993,0.312,0.24,0.006000000000000005,0.011999999999999993,-0.76,1.0,-0.0059999999999999975,0.016,0.4,-0.31799999999999995
1990-07-01,-0.09,0.262,-0.8,0.188,-0.08,-1.46,0.66,-0.076,-0.004000000000000002,1.44,0.003999999999999999
1990-10-01,1.1019999999999999,-0.194,0.25,0.026000000000000023,-0.066,0.83,-0.59,-0.088,0.024,2.46,0.27999999999999997
1991-01-01,2.226,-0.35,2.08,-0.8460000000000001,-0.24000000000000005,1.97,0.1,-0.264,0.026000000000000002,0.33,-0.262
1991-04-01,0.005999999999999983,0.686,0.75,0.798,-0.13999999999999999,0.09,0.66,-0.21800000000000003,0.078,0.88,0.254
1991-07-01,-0.588,-0.346,-2.39,-0.33599999999999997,-0.142,-2.71,0.32,-0.176,0.036,1.27,0.152
