Date,Change in private inventories,Durable goods industries,Farm,Food and beverage stores,General merchandise stores,Manufacturing,Merchant wholesale trade,"Mining, utilities, and construction",Motor vehicle and parts dealers,Nondurable goods industries,Nonfarm industries,Nonmerchant wholesale trade,Other industries,Other retail stores,Residual,Retail trade,Wholesale trade
2008-07-01,-14799.0,10840.5,3072.0,-1014.0,1116.0,-34451.0,25635.0,7097.0,-16866.0,-10253.0,-17347.0,1219.0,4067.0,-4435.0,68.0,-21776.0,26298.0
2008-10-01,-78104.0,-2330.75,-1027.0,-686.0,-7699.0,-46810.0,194.0,-8448.0,-12129.0,-24942.25,-76127.0,15714.0,9035.0,-21385.0,-4360.0,-41994.0,15015.0
2009-01-01,-167736.0,-76290.0,-7443.0,3341.0,-3879.0,-30855.0,-53971.0,13284.0,-45975.0,-2221.0,-158739.0,-24815.0,-2854.0,-16894.0,-3293.0,-65171.0,-78116.0
2009-04-01,-219104.0,-78613.0,-8563.0,-1385.0,-3729.0,-34405.0,-84490.0,9815.0,-41153.0,-29999.25,-208192.0,-22464.0,-11610.0,-20481.0,-3432.0,-68068.0,-106735.0
2009-07-01,-236813.0,-69318.25,-13291.0,-305.0,-5676.0,-42994.0,-69920.0,-8638.0,-47548.0,-38147.5,-221233.0,-17305.0,-9463.0,-18654.0,-4387.0,-73973.0,-87160.0
2009-10-01,-57472.0,-21487.25,-7004.0,-2919.0,-3031.0,-4980.0,8191.0,-21612.0,-7760.0,9600.75,-50498.0,-8015.0,-1431.0,-7883.0,-3228.0,-21787.0,430.0
2010-01-01,-6872.0,11406.25,-11540.0,1997.0,-133.0,10975.0,-3160.0,-16369.0,11821.0,-10397.0,3135.0,9322.0,-1798.0,-7851.0,662.0,6298.0,5929.0
2010-04-01,35277.0,13890.0,-14932.0,-1496.0,2579.0,-1678.0,7700.0,14469.0,18573.0,471.5,47436.0,9188.0,-7394.0,3815.0,4289.0,24192.0,16737.0
2010-07-01,120261.0,37033.25,-19498.0,301.0,4438.0,43458.0,56355.0,-364.0,18474.0,34906.5,135335.0,11574.0,-1954.0,3131.0,3793.0,27031.0,67920.0
2010-10-01,68909.0,23979.5,-17920.0,1090.0,493.0,41071.0,21773.0,11689.0,-708.0,16248.25,84922.0,8232.0,719.0,-942.0,3781.0,-239.0,29907.0
2011-01-01,29124.0,29769.5,-2141.0,-2232.0,5385.0,23213.0,2575.0,-11422.0,3300.0,-13817.5,31088.0,6710.0,2568.0,1525.0,-585.0,7954.0,9237.0
2011-04-01,65520.0,32956.0,-4547.0,1183.0,-1884.0,39589.0,40254.0,-7385.0,-4624.0,14992.25,70083.0,6436.0,-31.0,-4730.0,1542.0,-10147.0,46704.0
2011-07-01,-14852.0,23225.0,-2028.0,515.0,-746.0,-5266.0,-4855.0,-6048.0,2167.0,-29087.5,-12873.0,3554.0,587.0,-2100.0,-2420.0,-62.0,-1268.0
2011-10-01,97693.0,27918.0,-122.0,-94.0,1356.0,36607.0,38429.0,8564.0,8932.0,25425.0,97997.0,2768.0,2979.0,-3074.0,1582.0,7392.0,41204.0
2012-01-01,77751.0,32388.0,-7274.0,2471.0,-3169.0,26130.0,19992.0,19214.0,34732.0,4391.25,85320.0,1599.0,-16899.0,790.0,-221.0,35555.0,21581.0
2012-04-01,89453.0,38803.25,-13927.0,-1879.0,1329.0,12144.0,30919.0,12905.0,23460.0,2673.75,104814.0,82.0,14374.0,12006.0,-3011.0,35442.0,30946.0
2012-07-01,85498.0,35741.0,-24922.0,-302.0,-3888.0,36150.0,43354.0,-8360.0,20930.0,19052.5,114044.0,9716.0,11896.0,3046.0,-2062.0,20426.0,53110.0
2012-10-01,24013.0,21509.0,-19979.0,85.0,5968.0,-1343.0,15891.0,1098.0,11872.0,-5489.75,46231.0,6664.0,4878.0,1517.0,-3627.0,19445.0,22609.0
2013-01-01,75942.0,24306.25,-4949.0,398.0,2073.0,31518.0,26090.0,-13606.0,18037.0,16477.25,81563.0,3097.0,1669.0,12894.0,-804.0,33629.0,29192.0
2013-04-01,79526.0,11511.25,12299.0,1913.0,1035.0,7175.0,8504.0,4138.0,15568.0,15528.75,66771.0,4132.0,11000.0,14175.0,-1217.0,32864.0,12693.0
2013-07-01,137289.0,31985.75,14087.0,-374.0,3165.0,34863.0,37594.0,-2718.0,15342.0,30184.5,122816.0,1397.0,17418.0,16918.0,-108.0,35136.0,38931.0
2013-10-01,121413.0,36651.75,13663.0,326.0,3621.0,29209.0,45201.0,-13366.0,34691.0,23440.25,107322.0,-1752.0,-1711.0,12943.0,-1137.0,51960.0,43195.0
2014-01-01,58313.0,26683.75,-2104.0,1108.0,-524.0,18174.0,31710.0,-12108.0,2904.0,9805.75,60895.0,4051.0,10745.0,6425.0,-3157.0,9937.0,35682.0
2014-04-01,92815.0,35223.5,-1520.0,46.0,-4682.0,29969.0,23938.0,10248.0,12300.0,9783.75,95316.0,7300.0,9545.0,5340.0,-57.0,13100.0,31329.0
2014-07-01,106049.0,33177.25,-1938.0,1889.0,1998.0,22461.0,33359.0,11607.0,9713.0,18082.5,109269.0,8974.0,14642.0,4256.0,-1184.0,17931.0,42419.0
2014-10-01,83220.0,16733.0,-5500.0,625.0,-1491.0,-304.0,46182.0,7758.0,16018.0,27416.25,90589.0,1782.0,11567.0,9586.0,-3023.0,24699.0,47840.0
2015-01-01,169373.0,29722.5,2861.0,4901.0,-908.0,54214.0,38645.0,20455.0,1019.0,47867.5,168155.0,9960.0,24784.0,14523.0,-1107.0,19467.0,48588.0
2015-04-01,145308.0,24470.25,1006.0,0.0,8776.0,49094.0,32776.0,23572.0,7363.0,43163.0,145684.0,10454.0,1281.0,12467.0,-1636.0,28485.0,43208.0
2015-07-01,120301.0,10082.5,-1406.0,3036.0,3595.0,9987.0,24620.0,16870.0,25234.0,37378.75,122530.0,10274.0,6005.0,22724.0,-740.0,54664.0,34837.0
2015-10-01,99571.0,14968.25,1288.0,655.0,163.0,31324.0,8799.0,20282.0,12481.0,23724.0,98316.0,6189.0,7162.0,11881.0,-689.0,25125.0,14895.0
2016-01-01,62384.0,1258.75,-12453.0,877.0,-1400.0,6389.0,5229.0,32195.0,25809.0,20597.0,75335.0,7371.0,-10160.0,10531.0,-2487.0,35924.0,12478.0
2016-04-01,19192.0,-7679.25,-3422.0,2887.0,-1804.0,-17466.0,7391.0,4651.0,18610.0,14404.75,22525.0,9154.0,-4158.0,2813.0,-337.0,22696.0,16386.0
2016-07-01,-3687.0,-4142.25,29.0,1577.0,-221.0,-6720.0,-7672.0,-7070.0,18878.0,-1129.25,-3870.0,4798.0,-14655.0,7190.0,182.0,27482.0,-2956.0
2016-10-01,55550.0,18827.75,-5826.0,1243.0,24.0,14980.0,20011.0,3398.0,13851.0,10566.0,60289.0,7530.0,-5628.0,5403.0,540.0,20492.0,27541.0
2017-01-01,7021.0,6312.5,-6296.0,205.0,-2370.0,-17190.0,3755.0,-4168.0,21126.0,-5478.0,13373.0,6060.0,4021.0,1632.0,254.0,20615.0,9807.0
2017-04-01,26048.0,17696.5,-5504.0,828.0,-3603.0,-10780.0,25756.0,-24492.0,17893.0,2353.75,31873.0,13374.0,7769.0,5512.0,-584.0,20598.0,39099.0
2017-07-01,55486.0,29137.25,-5399.0,2441.0,-3946.0,21909.0,38773.0,-19554.0,3482.0,14308.25,60766.0,18878.0,-3363.0,2430.0,-247.0,4421.0,57628.0
2017-10-01,42140.0,4372.25,-5517.0,4814.0,-3204.0,9330.0,8484.0,-8830.0,14105.0,14309.75,47398.0,6236.0,5721.0,10378.0,576.0,26087.0,14782.0
2018-01-01,34055.0,21206.5,-3159.0,353.0,297.0,16848.0,24434.0,-18210.0,14605.0,4425.25,37397.0,2485.0,2713.0,-5734.0,-531.0,9412.0,26911.0
2018-04-01,466.0,4453.0,-3065.0,-307.0,6509.0,2429.0,-32579.0,-14198.0,21421.0,-17328.75,3729.0,9879.0,7552.0,3371.0,-992.0,30829.0,-22520.0
