Date,Aircraft,Ammunition,Civilian,Compensation of general government employees,Consumption expenditures,Consumption of general government fixed capital,Durable goods,Electronics,Equipment,Gross investment,Gross output of general government,Installation support,Intellectual property products,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Military,Missiles,Nondurable goods,Other durable goods,Other equipment,Other nondurable goods,Personnel support,Petroleum products,Research and development,Services,Ships,Software,Structures,Transportation of material,Travel of persons,Value added,Vehicles,Weapons support
1993-01-01,-0.26499999999999996,0.08,0.35,-0.97,-8.02,-0.27,-2.62,0.33999999999999997,-5.65,-6.79,-7.1,0.96,-0.63,-5.86,0.02,-0.95,-1.32,-0.845,-0.1,-1.12,-4.66,-0.48,-2.86,0.3,-0.42,-3.13,-0.27,-0.21,-0.52,-0.36,0.13,-1.24,-0.20500000000000002,-1.0
1993-04-01,1.18,0.18,-1.05,-2.25,-4.4,-0.37,4.45,0.42,-0.29,-0.78,-4.41,-1.19,-0.65,-1.79,0.08,-0.08,-1.2,-0.615,0.21,0.39,1.64,0.02,-3.42,0.01,-0.65,-6.45,0.6,0.0,0.16,0.4,-1.22,-2.62,-0.515,-1.01
1993-07-01,-1.495,0.07,-0.62,-1.61,1.94,-0.44,-6.83,-0.62,-3.8,-3.82,2.79,1.23,-0.48,4.84,0.12,-0.97,-0.99,-0.595,0.38,-0.34,-1.29,0.34,5.08,-0.03,-0.4,11.3,-1.35,-0.08,0.46,2.75,0.97,-2.05,-0.44999999999999996,1.28
1993-10-01,1.285,-0.52,-1.24,-2.2,-1.89,-0.5,-0.31,-0.405,4.2,2.99,-3.9,0.53,-0.85,-1.2,0.19,1.82,-0.96,0.365,-0.95,0.45,1.03,-0.47,0.85,0.04,-0.83,0.06,0.065,-0.01,-0.36,-1.53,-0.21,-2.7,-0.11,0.43
1994-01-01,-2.375,-0.27,-0.44,-1.16,-10.88,-0.51,-1.14,0.31,-6.51,-7.17,-8.79,1.17,-0.37,-7.12,0.21,-2.3,-0.72,-0.505,-0.52,-0.35,-1.08,-0.11,-3.37,-0.13,-0.27,-5.46,-0.395,-0.1,-0.29,-1.12,-0.66,-1.67,-0.14,-1.48
1994-04-01,0.5299999999999999,-0.36,-0.66,-1.47,-1.96,-0.61,-0.39,-0.155,1.56,1.82,-0.98,-1.77,-0.24,1.09,0.09,-1.07,-0.81,-0.585,-0.16,0.22,0.47,-0.26,2.67,0.46,-0.29,1.65,0.40499999999999997,0.04,0.51,0.08,-0.23,-2.07,0.04,0.91
1994-07-01,1.865,-0.47,-0.54,-1.55,9.06,-0.61,1.72,0.025,3.97,4.29,6.91,0.93,-0.21,9.07,-0.02,2.16,-1.01,0.385,0.4,0.42,1.01,0.97,2.47,-0.1,-0.3,6.94,0.065,0.09,0.52,0.1,1.62,-2.16,-0.20500000000000002,1.81
1994-10-01,-0.63,1.24,-0.23,-1.44,-12.67,-0.59,-2.2,-0.49,-5.0,-5.62,-10.76,-2.51,-0.28,-8.73,0.08,-1.99,-1.2,-0.88,0.87,-0.49,-1.14,-0.12,-2.93,-0.25,-0.29,-7.4,-0.9349999999999999,0.01,-0.33,-0.36,-0.65,-2.03,0.145,-0.95
1995-01-01,-0.81,-1.29,-1.04,-1.88,-2.49,-0.7,0.16,0.16999999999999998,1.51,1.69,-5.18,0.55,-0.66,-2.59,-0.03,2.72,-0.85,-0.5900000000000001,-2.16,0.29,2.37,-0.84,-0.93,-0.04,-0.61,-0.59,0.62,-0.06,0.84,0.2,-0.13,-2.59,0.12,-0.28
1995-04-01,-1.8,0.19,-0.82,-1.48,0.27,-0.69,-2.3,-0.40499999999999997,-0.44,-0.97,-0.88,0.12,-0.17,1.29,0.16,0.99,-0.66,1.26,0.22,-0.03,-0.44,0.23,2.91,-0.21,-0.01,3.37,-0.14,-0.16,-0.37,0.58,-1.14,-2.17,-0.045,0.9
1995-07-01,1.095,-0.2,-0.54,-1.9,-2.26,-0.66,3.89,0.43000000000000005,-3.19,-3.28,-2.47,-1.46,-0.25,0.09,0.06,0.15,-1.36,-0.16,-0.12,-0.32,-1.24,-0.24,-1.29,0.32,-0.28,-3.68,-0.34,0.03,0.16,0.07,0.01,-2.56,0.10500000000000001,-1.01
1995-10-01,-0.7250000000000001,-0.18,-1.38,-2.15,-9.98,-0.62,-5.52,-0.43500000000000005,-2.58,-2.58,-9.28,-0.1,0.23,-6.5,0.16,-0.87,-0.77,-1.1400000000000001,-0.68,-0.44,-1.22,0.03,0.09,-0.53,0.27,-0.3,-0.66,-0.04,-0.23,0.21,0.39,-2.77,-0.26,-0.89
1996-01-01,1.995,0.45,-0.6,-1.08,-0.35,-0.62,1.81,0.075,8.59,8.34,-0.9,0.56,-0.12,0.81,0.13,0.42,-0.48,0.24,0.98,1.1,4.25,0.03,-1.9,0.5,-0.27,-1.99,0.06999999999999999,0.14,-0.13,0.26,0.23,-1.71,0.15,-1.14
1996-04-01,-0.58,0.09,0.32,-0.14,6.85,-0.62,2.2,0.6950000000000001,-2.07,-2.07,7.08,1.33,0.05,7.84,0.07,-0.3,-0.47,0.215,0.67,0.08,-1.2,0.71,3.42,-0.13,-0.07,4.97,0.35,0.12,-0.04,-0.14,-0.52,-0.76,-0.06,0.88
1996-07-01,-1.055,-0.37,-0.7,-1.32,-3.87,-0.61,-0.45,-0.03,-2.53,-2.83,-3.2,-0.97,0.14,-1.28,-0.01,-0.65,-0.62,-0.015,-0.03,-0.21,0.55,0.01,1.29,0.33,0.02,-0.8,-0.6,0.12,-0.44,-0.66,-0.57,-1.92,0.04,0.12
1996-10-01,-1.4649999999999999,0.37,-1.32,-1.75,1.04,-0.6,-2.25,-0.44499999999999995,-5.41,-5.31,0.53,0.95,0.29,2.88,0.1,0.41,-0.44,-0.51,-0.79,-0.39,-1.53,-0.19,1.09,-0.98,0.11,5.92,-0.47000000000000003,0.18,-0.19,0.07,1.15,-2.35,0.024999999999999994,2.66
1997-01-01,-0.12000000000000005,0.48,0.36,-0.17,-8.5,-0.56,0.95,0.245,-3.04,-3.39,-9.36,-2.15,-0.25,-8.62,-0.09,0.95,-0.53,-0.435,0.68,-0.49,-1.1,0.01,-4.25,0.19,-0.31,-10.25,-0.05,0.06,-0.11,-0.62,-0.49,-0.73,0.10500000000000001,-2.74
1997-04-01,0.20999999999999996,-0.45,-1.06,-1.6,10.29,-0.59,2.01,0.14,2.11,1.63,10.57,1.45,-0.5,12.76,0.18,-0.47,-0.54,0.065,-0.56,0.45,1.4,-0.23,6.93,0.12,-0.35,11.32,0.55,-0.15,0.02,0.07,0.14,-2.19,0.165,2.74
1997-07-01,0.83,0.17,-1.18,-1.5,-8.05,-0.59,-1.94,0.15,4.14,4.25,-8.61,-0.82,-0.36,-6.52,0.23,0.33,-0.32,0.06999999999999999,0.52,0.29,0.21,0.45,-3.28,-0.1,-0.24,-5.1,-0.105,-0.11,0.46,-0.02,-0.1,-2.09,-0.095,-0.88
1997-10-01,1.32,0.03,-0.43,-0.78,2.31,-0.6,0.61,-0.28,0.12,-0.1,2.12,0.09,0.29,3.51,0.11,0.08,-0.35,0.060000000000000005,0.0,-0.19,-0.43,-0.05,1.75,0.02,0.09,2.9,-0.37,0.21,-0.51,0.04,-0.05,-1.38,-0.049999999999999996,1.08
1998-01-01,-2.035,-0.09,-0.55,-0.95,-15.03,-0.56,-0.27,0.2,-4.01,-4.2,-14.5,-2.6,0.14,-13.0,-0.12,-0.41,-0.4,-0.095,-0.11,-0.26,-0.61,-0.03,-6.69,0.0,-0.02,-12.61,0.32,0.16,-0.33,0.0,0.02,-1.5,-0.1,-3.35
1998-04-01,0.5,-0.15,-0.52,-1.01,10.87,-0.59,0.01,0.0049999999999999975,0.92,1.26,8.99,2.15,0.02,10.59,-0.16,2.04,-0.48,-0.35,-0.13,0.34,0.54,0.05,5.64,-0.03,-0.27,10.72,-0.38,0.29,0.33,0.2,-0.09,-1.6,0.25,2.82
1998-07-01,1.1,1.17,0.04,-0.31,0.64,-0.56,2.14,-0.03,6.47,6.4,2.85,0.12,-0.16,3.72,0.18,-2.39,-0.34,1.73,1.0,0.45,1.63,-0.18,0.63,0.01,-0.2,0.58,0.59,0.03,0.1,0.0,0.11,-0.87,-0.13,-0.3
1998-10-01,0.515,-0.49,-0.29,-0.81,-0.06,-0.53,-1.39,-0.035,-4.66,-6.3,-2.28,-1.26,-0.62,-0.94,0.35,1.88,-0.52,-1.375,-0.4,-0.98,-3.44,0.18,1.13,-0.08,-0.51,0.84,0.195,-0.11,-1.03,-0.02,0.17,-1.34,-0.105,0.82
1999-01-01,-1.39,-0.36,-0.72,-1.31,-3.08,-0.65,0.01,0.27999999999999997,1.35,0.96,-3.71,-0.3,-0.73,-1.76,0.37,0.26,-0.59,-0.0050000000000000044,-0.41,0.48,2.98,-0.02,-0.17,-0.03,-0.07,-1.36,0.09,-0.65,0.34,0.51,0.17,-1.96,-0.025,-1.57
1999-04-01,0.9450000000000001,0.13,-0.4,-0.61,-1.5,-0.48,1.74,0.5549999999999999,0.23,0.63,0.02,0.17,0.56,1.11,-0.75,-0.76,-0.21,-0.02,0.73,0.1,-1.2,0.31,-1.03,0.28,-0.28,-1.36,-0.1,0.85,-0.16,-0.36,-0.03,-1.09,0.155,-0.1
1999-07-01,1.3499999999999999,0.55,-0.35,-0.1,7.5,-0.45,1.3,0.235,2.66,2.41,8.76,0.8,0.07,9.31,0.01,-1.27,0.26,0.08,1.87,0.49,0.46,0.51,3.87,0.81,0.06,6.14,0.015,0.01,-0.32,-0.2,0.05,-0.55,-0.175,1.61
1999-10-01,-1.815,-0.51,-0.36,-0.34,9.48,-0.44,-2.0,-0.38,0.37,-0.49,8.36,3.33,-0.42,9.14,0.02,1.1,0.03,0.21,-1.6,-0.01,1.54,0.37,5.87,-1.46,-0.4,12.73,0.17,-0.02,-0.44,0.17,0.12,-0.78,0.24,3.25
2000-01-01,2.0949999999999998,-0.18,-0.39,-0.42,-19.57,-0.4,1.28,0.32999999999999996,0.68,0.44,-18.31,-4.83,-0.31,-17.5,0.16,-1.41,-0.03,-0.375,1.54,-0.13,-0.95,1.06,-9.49,0.66,-0.03,-20.32,-0.375,-0.27,0.07,-0.02,-0.13,-0.81,-0.16,-5.85
2000-04-01,-1.855,-0.06,-0.3,-0.14,15.24,-0.41,-0.61,0.22,0.12,0.37,13.44,3.35,0.13,13.99,-0.23,2.03,0.16,0.125,-0.33,0.19,1.16,0.13,6.85,-0.4,0.06,14.93,0.36,0.07,0.12,-0.11,-0.11,-0.55,0.22999999999999998,4.95
2000-07-01,0.8200000000000001,0.54,-0.57,0.23,-8.45,-0.39,-0.87,-0.31,-2.13,-1.45,-7.32,-0.21,0.13,-7.16,-0.32,-0.81,0.8,-0.175,-1.22,-0.68,-2.69,-1.86,-4.03,0.11,0.21,-5.08,-0.08,-0.08,0.55,-0.03,0.07,-0.15,-0.060000000000000005,-0.88
2000-10-01,-1.145,-0.17,-0.11,0.14,0.81,-0.38,-0.05,0.33,3.11,3.06,0.01,-0.63,0.42,0.26,-0.38,1.18,0.25,1.045,-0.06,0.55,2.33,0.28,1.04,-0.17,0.35,0.37,0.045,0.07,-0.47,-0.28,-0.16,-0.25,-0.18,0.39
2001-01-01,0.32,-0.06,-0.14,0.52,5.86,-0.36,0.19,-0.12,-0.31,-0.23,8.47,1.02,0.53,8.31,-0.63,-1.98,0.66,-0.08,0.13,-0.23,-0.97,-0.29,4.39,0.49,0.67,7.99,0.245,-0.14,-0.45,0.04,-0.09,0.16,0.18,2.63
2001-04-01,0.175,0.24,-0.16,-0.05,1.8,-0.26,1.0,0.22,1.8,2.83,0.36,-0.3,0.54,0.68,-0.19,1.63,0.12,-0.095,1.21,0.57,1.24,0.83,-0.77,0.14,0.83,-1.54,0.105,-0.3,0.5,0.17,-0.05,-0.31,0.085,-0.59
2001-07-01,2.48,0.05,-0.02,-0.23,1.84,-0.17,0.7,-0.07,0.33,0.89,2.41,1.15,0.96,2.82,-0.32,-0.25,-0.21,-0.245,-0.38,-0.53,-1.93,-0.72,1.5,0.29,0.94,2.49,-0.26,0.02,-0.4,0.3,0.33,-0.41,-0.15000000000000002,-0.78
2001-10-01,-1.04,-0.03,0.01,1.01,2.75,-0.08,-1.88,0.065,2.07,3.29,3.38,0.26,1.01,2.45,-0.46,-0.18,0.99,-0.04000000000000001,1.15,0.18,1.58,0.57,1.31,0.61,0.98,3.19,0.03500000000000002,0.03,0.2,1.07,0.57,0.93,0.19,-0.01
2002-01-01,-0.685,0.3,0.15,2.15,11.97,0.03,1.46,0.265,0.68,2.53,12.04,1.86,1.65,9.86,-0.37,0.3,2.0,0.17,0.18,0.46,1.24,-0.06,4.62,-0.06,1.87,8.21,0.395,-0.22,0.2,-0.05,-0.62,2.18,0.08,2.42
