Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Government,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1972-01-01,17.78933333333333,16.720666666666666,14.078,21.316,17.447333333333333,17.432,13.661,22.9155,24.556,22.25,20.174,16.817666666666668,8.473,15.42,21.006,18.62033333333333,14.193,13.831999999999999,26.026,14.948,16.43433333333333
1973-01-01,18.944333333333333,17.761666666666667,14.909,22.8,18.538666666666668,18.623,14.638,24.5415,26.534,23.6,21.590333333333334,17.958000000000002,8.967,16.383,22.543,19.63233333333333,15.269,14.901333333333334,27.576,15.949,17.689666666666668
1974-01-01,21.521666666666665,19.141333333333332,15.955,24.62,20.370666666666665,20.412,16.026,26.4575,29.009,25.379,23.620333333333335,19.267333333333337,9.837,18.042,24.387,21.219333333333335,16.387,16.478,30.305,17.717,20.635666666666665
1975-01-01,23.67233333333333,20.801666666666666,17.316,26.785,22.484333333333336,22.297,17.703,28.776,31.914,27.735,26.21166666666667,20.966666666666665,10.932,19.808,26.442,23.638,17.983999999999998,18.113,32.915,19.421,22.540333333333336
1976-01-01,24.46466666666667,21.964333333333332,18.393,28.451,23.995666666666665,23.522,18.749,30.0335,32.959,29.403,27.599333333333334,22.140666666666664,11.984,20.965,28.17,25.011,19.033666666666665,18.933000000000003,34.557,20.369,22.927666666666667
1977-01-01,25.574666666666662,23.403333333333336,19.538,30.201,25.209,24.977,20.207,31.964,35.381,31.217,29.424000000000003,23.767666666666667,12.981,22.435,30.015,26.602333333333334,20.582333333333334,20.28533333333333,36.433,21.636,23.747
1978-01-01,26.819,25.008666666666667,20.694,32.239,26.854,26.629,21.843,34.0475,38.072,33.037,31.468,25.32466666666667,14.111,23.994,32.216,28.21766666666667,22.413999999999998,21.873333333333335,38.678,23.042,24.683999999999997
1979-01-01,28.760333333333335,27.357,22.75,34.664,29.09,28.82,23.461,36.1365,39.917,36.609,33.94866666666667,27.089,15.571,26.121,34.765,30.215333333333334,24.079666666666668,23.71766666666667,41.68,25.077,26.45266666666667
1980-01-01,31.917,30.155666666666672,25.099,38.013,31.933000000000003,31.802,25.74,38.888000000000005,42.507,40.753,37.00866666666666,29.55666666666667,17.63,28.902,38.319,33.06733333333333,26.352,26.125,45.862,27.821,29.492333333333335
1981-01-01,35.405,33.021,27.538,41.563,35.09366666666667,34.959,28.361,42.104,45.356,44.475,40.07333333333333,32.398666666666664,20.052,31.833,41.995,36.10666666666666,29.01733333333333,28.808000000000003,49.926,30.731,33.118
1982-01-01,37.84766666666667,35.295,29.728,44.501,37.068666666666665,37.336,30.273,43.967,45.226,46.977,41.714333333333336,34.443333333333335,22.72,34.154,45.155,38.32066666666667,30.886,30.635,53.227,32.742,35.52333333333333
1983-01-01,38.94766666666666,36.419000000000004,31.038,45.977,37.986333333333334,38.781,32.606,45.201,46.99,47.974,42.385666666666665,36.02133333333333,25.156,36.003,46.824,40.15866666666667,32.800666666666665,32.138666666666666,55.412,34.189,35.84833333333333
1984-01-01,39.66833333333333,38.49366666666666,33.061,48.003,39.590666666666664,40.464,34.315,47.0865,47.615,50.16,44.19133333333334,37.91233333333333,27.203,38.021,48.969,41.465333333333334,34.74366666666667,33.778333333333336,57.866,35.65,36.27066666666666
1985-01-01,40.75033333333334,39.967666666666666,34.607,49.022,41.374,41.718,36.058,48.6175,49.158,51.64,45.379,39.556000000000004,28.951,39.749,49.794,42.927,36.515,35.25066666666667,59.366,37.102,37.068333333333335
1986-01-01,41.78133333333333,41.098,35.912,49.255,41.797333333333334,42.418,37.433,49.3395,49.63,52.284,45.815666666666665,40.62133333333333,30.65,41.061,49.815,43.730333333333334,37.67333333333334,36.106,60.258,38.171,38.18366666666667
1987-01-01,42.829,42.901,38.027,49.597,42.398666666666664,43.564,39.089,49.9615,50.419,55.212,46.40633333333333,41.738,32.62,42.951,50.173,44.37433333333333,38.93333333333334,37.32833333333333,61.205,39.953,39.486333333333334
1988-01-01,43.99966666666666,44.257000000000005,39.114,51.215,44.27433333333334,45.004,41.283,51.939499999999995,51.024,55.834,48.13666666666666,43.977666666666664,35.495,44.639,51.745,45.53233333333333,41.08533333333333,39.492,63.63,41.289,40.869
1989-01-01,45.18833333333333,46.40566666666666,41.368,52.646,46.114000000000004,46.723,43.704,53.351,50.712,58.723,49.76133333333333,46.12866666666667,39.255,46.985,53.147,46.953,43.23266666666667,41.516333333333336,65.738,43.244,42.03966666666667
1990-01-01,46.816333333333326,48.620666666666665,43.855,54.272,47.810333333333325,48.682,46.171,54.454499999999996,50.483,61.866,51.02733333333333,48.22933333333333,43.19,49.428,54.872,48.785333333333334,45.41233333333333,43.46233333333333,67.293,45.465,43.61366666666667
1991-01-01,48.62800000000001,50.648,46.04,56.224,49.525666666666666,50.45,48.387,56.164,49.567,63.564,51.88033333333334,50.81366666666667,47.221,51.498,56.601,51.123,47.766999999999996,45.57066666666666,69.312,47.13,45.18933333333333
1992-01-01,49.461999999999996,52.18,48.028,57.66,50.87866666666667,51.978,50.658,56.842,48.98,64.836,52.17433333333333,52.608666666666664,51.121,53.579,58.247,52.428,49.76433333333333,47.10999999999999,70.411,48.736,45.86066666666667
1993-01-01,50.62866666666667,53.845,49.62,58.918,52.62199999999999,53.203,52.224,58.340500000000006,48.016,65.408,53.65766666666667,54.46866666666667,54.058,55.073,59.147,53.94233333333333,51.59966666666667,49.02466666666667,71.796,49.95,47.02166666666667
1994-01-01,51.976333333333336,55.083,50.733,60.539,54.35566666666667,54.613,53.989,60.0415,49.338,65.5,54.782000000000004,56.25,56.038,56.601,60.696,55.650666666666666,53.516333333333336,51.11833333333333,73.232,51.237,48.224333333333334
1995-01-01,53.96533333333334,56.37633333333334,51.842,62.413,55.98466666666667,56.163,55.787,62.215,51.098,65.716,55.446666666666665,58.041333333333334,57.848,58.163,62.422,57.543,55.27866666666667,53.17466666666667,75.6,52.602,50.13766666666667
