Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Government,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1970-01-01,-2.8333333333333335,7.466666666666666,2.4,-6.2,6.866666666666666,-2.1,6.3,7.65,8.8,8.0,23.599999999999998,7.733333333333333,2.0,10.9,-8.2,-2.8333333333333335,6.433333333333333,-0.2666666666666666,-8.0,2.8,2.766666666666666
1971-01-01,1.1333333333333333,3.1,3.7,-6.4,9.833333333333334,-1.9,9.5,3.25,5.9,2.6,22.400000000000002,4.766666666666667,16.6,6.0,-10.2,5.566666666666666,6.566666666666666,1.4333333333333333,-5.3,3.1,0.26666666666666666
1972-01-01,1.366666666666667,0.36666666666666653,2.6,-3.2,7.1000000000000005,-0.5,3.1,13.2,-3.1,4.6,-8.6,18.099999999999998,14.6,5.1,-7.0,5.2,9.866666666666665,3.9000000000000004,-4.5,2.2,1.6333333333333335
1973-01-01,-1.8666666666666665,1.1666666666666667,2.4,-3.5,4.733333333333333,-0.3,3.8,7.300000000000001,-0.6,7.5,5.233333333333333,3.8000000000000003,10.8,0.3,-5.1,0.7333333333333334,3.8666666666666667,2.9666666666666663,-7.8,2.8,-0.9666666666666667
1974-01-01,-1.1666666666666667,-5.166666666666667,4.1,0.6,9.566666666666666,2.2,5.8,4.65,7.9,4.4,-0.10000000000000024,24.599999999999998,2.8,5.6,-1.0,3.3333333333333335,6.0,10.799999999999999,-1.7,3.6,-2.3333333333333335
1975-01-01,2.3666666666666667,8.966666666666667,5.2,0.5,4.8999999999999995,2.2,1.2,6.2,0.3,0.4,-4.466666666666667,-1.7999999999999998,2.6,7.1,-1.0,5.233333333333333,5.166666666666667,8.066666666666666,-1.3,3.7,-0.3666666666666667
1976-01-01,1.2,-1.2333333333333332,1.0,0.1,-0.7666666666666666,0.5,1.7,1.8,-1.4,1.6,-2.1999999999999997,7.3999999999999995,6.1,-0.8,-0.6,5.133333333333333,3.8000000000000003,0.09999999999999994,-4.1,0.8,-0.16666666666666666
1977-01-01,3.2000000000000006,-0.16666666666666666,0.4,2.1,3.4,1.2,2.1,0.85,2.3,-0.2,-9.133333333333335,9.200000000000001,1.9,-3.3,1.0,6.333333333333333,1.0333333333333334,-0.8999999999999999,-2.6,0.4,2.2
1978-01-01,9.466666666666667,-0.7333333333333333,1.7,2.4,-0.4333333333333332,2.9,3.7,5.4,1.1,1.2,1.7,-0.03333333333333336,7.0,-0.7,0.6,14.5,1.7,3.6333333333333333,-4.3,3.3,7.166666666666667
1979-01-01,3.5,0.3,0.4,2.2,1.3333333333333333,1.8,4.5,0.39999999999999997,1.2,-1.5,-6.0,1.8666666666666665,8.4,-1.8,2.5,2.1,3.6666666666666665,-1.4333333333333336,-0.3,1.5,5.2
1980-01-01,1.8999999999999997,0.13333333333333344,-1.7,4.2,0.4666666666666666,1.8,3.7,7.6,6.7,-0.4,12.366666666666667,2.766666666666667,0.7,-2.1,3.6,4.133333333333334,1.3,-3.433333333333333,3.9,-0.2,-0.3333333333333333
1981-01-01,0.3000000000000001,0.2333333333333334,-2.3,4.5,-5.433333333333334,1.0,2.8,-0.2,-0.4,3.1,-0.33333333333333304,-5.7,6.1,-4.0,6.2,6.0,-0.4666666666666666,-3.6,1.4,-2.1,-5.3
1982-01-01,-4.3999999999999995,-2.2333333333333334,-0.9,3.6,3.533333333333333,1.8,3.6,-0.5,4.4,2.4,-9.733333333333333,-2.6,2.8,-2.8,7.0,-5.3999999999999995,3.1666666666666665,-2.1,-1.6,0.1,-2.8333333333333335
1983-01-01,3.233333333333333,4.466666666666667,2.0,6.3,1.9333333333333333,3.7,-1.3,6.3,-6.1,1.4,0.06666666666666672,1.8333333333333333,2.5,-2.7,6.9,-0.20000000000000004,4.633333333333334,-4.566666666666667,4.1,1.3,7.766666666666666
1984-01-01,1.133333333333333,5.0,2.4,3.2,0.9666666666666667,3.5,0.8,6.1,5.4,2.4,4.733333333333333,2.6666666666666665,-2.4,2.5,5.0,-5.733333333333333,4.466666666666667,2.466666666666667,-0.9,3.9,7.466666666666668
1985-01-01,6.833333333333333,0.8999999999999998,3.9,7.7,9.766666666666666,6.7,3.5,3.5,5.2,7.4,3.5,0.2666666666666666,2.3,3.9,8.5,9.166666666666666,5.233333333333333,4.533333333333333,3.5,5.7,4.7
1986-01-01,2.9,4.5,5.3,5.8,6.233333333333333,5.4,2.6,3.15,2.7,5.6,19.333333333333336,-2.6666666666666665,2.6,3.1,6.9,4.166666666666667,5.466666666666666,3.2000000000000006,-2.2,5.0,1.0333333333333332
1987-01-01,-2.1,1.9000000000000001,1.9,3.7,4.6000000000000005,2.9,2.8,5.550000000000001,6.7,-1.4,-2.433333333333333,2.766666666666667,0.1,3.4,4.9,-5.800000000000001,6.0,0.7000000000000001,6.6,2.2,0.6666666666666666
1988-01-01,-3.6666666666666665,2.566666666666667,5.2,-1.5,-1.7666666666666666,1.2,3.2,4.85,8.0,7.0,-2.9333333333333336,-0.8666666666666666,0.1,4.6,-0.5,-11.0,8.4,2.0666666666666664,8.3,3.8,1.8666666666666665
1989-01-01,5.666666666666667,4.366666666666666,3.6,1.6,2.466666666666667,2.8,4.4,5.15,9.9,5.4,2.6333333333333333,5.466666666666666,0.8,4.9,-0.3,7.433333333333334,6.333333333333333,4.2,12.9,3.9,1.1333333333333333
