Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,Energy goods and services,"Entertainment, literary, and artistic originals",Equipment,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Final sales of computers to domestic purchasers,Financial services and insurance,Fixed investment,Food,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic purchases excluding final sales of computers to domestic purchasers,Gross domestic purchases excluding food and energy,Gross investment,Gross private domestic investment,Health care,Household consumption expenditures,Housing and utilities,Industrial equipment,Information processing equipment,Intellectual property products,Motor vehicles and parts,National defense,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1996-07-01,0.01,-0.16,-0.2,0.1366666666666667,-0.08,-0.16,0.0,-0.08,-0.01,0.16,0.03,-0.31,0.25,0.22,0.26,0.25,0.12,0.02,-0.22,-0.17,0.44,2.06,1.66,0.01,0.22,0.2,1.24,0.31,0.03,-0.2,-0.02,0.05,0.09,0.07,-0.09,0.02,0.04,0.01,0.0,0.03,0.04,0.21,1.09,0.09,-0.15,0.01,0.18,1.27,-0.03,0.28,0.14,0.06,0.07
1996-10-01,-0.06,0.05,-0.21,0.13,-0.14,0.29,0.0,-0.11,-0.06,0.1,0.05,-0.33,0.19,0.0,0.14,0.19,0.14,-0.03,0.27,0.42,0.42,2.44,1.68,0.01,-0.06,0.23,1.28,0.29,0.02,-0.21,-0.05,0.08,0.07,0.02,0.56,0.0,-0.08,0.0,-0.04,0.03,0.05,0.21,1.75,0.09,-0.15,-0.02,0.08,1.33,-0.03,0.32,0.08,0.04,0.12
1997-01-01,-0.03,0.03,-0.24,0.10666666666666667,-0.12,0.24,0.02,-0.23,0.0,0.1,0.07,-0.4,0.18,0.04,0.01,0.02,0.11,0.01,0.12,0.12,0.39,1.94,1.29,0.02666666666666667,0.01,0.15,0.95,0.39,0.01,-0.26,0.07,0.04,0.05,0.05,0.24,-0.03,-0.05,-0.02,0.0,0.01,0.07,0.09,1.14,0.08,-0.18,0.1,0.08,1.02,-0.05,0.3,0.11,0.01,-0.03
1997-04-01,-0.05,0.14,-0.23,0.07333333333333333,-0.32,-0.56,0.0,-0.19,0.0,0.18,0.0,-0.35,0.24,0.08,0.04,0.04,0.1,0.02,-0.47,-0.5,0.32,1.33,1.5,0.03,0.03,0.23,1.13,0.22,0.0,-0.24,0.08,-0.08,0.12,0.05,-0.19,-0.05,0.0,-0.02,-0.02,0.01,0.11,0.18,0.63,0.08,-0.24,0.1,0.08,1.13,-0.02,0.14,0.1,0.05,0.09
1997-07-01,-0.07,-0.12,-0.25,0.07333333333333335,-0.22,0.07,0.01,-0.15,-0.01,0.06,0.09,-0.39,0.12,0.14,0.07,0.08,0.09,-0.03,0.07,-0.26,0.25,1.37,0.83,0.01,0.07,0.13,0.83,0.33,0.01,-0.25,0.02,-0.04,0.01,0.05,-0.04,-0.06,0.0,0.01,0.0,0.0,-0.07,0.06,0.66,0.06,-0.15,0.07,0.14,0.92,-0.05,0.19,0.13,0.09,0.03
1997-10-01,-0.02,-0.05,-0.24,0.16,-0.19,0.05,0.0,-0.22,0.0,0.18,0.11,-0.36,0.12,-0.05,0.04,0.04,0.14,-0.02,0.02,-0.13,0.52,1.6,1.14,0.016666666666666666,-0.07,0.07,0.8,0.32,0.01,-0.25,-0.09,0.0,0.12,0.07,0.06,-0.02,-0.17,-0.01,-0.03,0.02,0.04,0.02,0.78,0.03,-0.14,-0.03,0.13,0.91,-0.06,0.34,0.14,0.01,0.1
1998-01-01,-0.09,-0.12,-0.34,-0.01333333333333333,-0.25,-0.73,0.04,-0.38,-0.01,-0.11,0.09,-0.51,0.01,-0.21,0.05,0.07,0.08,0.01,-0.56,-0.73,-0.06,0.13,0.31,-0.006666666666666667,-0.3,0.2,0.62,0.15,0.01,-0.38,-0.04,-0.08,-0.04,-0.07,-0.49,-0.07,-0.26,-0.04,0.0,0.03,0.13,0.09,-0.01,0.07,-0.18,-0.01,0.05,0.72,-0.07,0.05,0.16,-0.04,0.03
1998-04-01,-0.03,-0.05,-0.31,0.10666666666666667,-0.25,-0.28,-0.05,-0.32,0.0,0.16,0.1,-0.48,-0.18,-0.1,0.05,0.05,0.1,0.04,-0.27,-0.38,0.35,1.13,0.89,0.01,-0.13,0.23,0.71,0.32,0.01,-0.35,-0.02,-0.08,0.1,0.06,-0.13,-0.03,-0.22,-0.03,-0.03,0.02,0.15,0.2,0.43,0.06,-0.18,0.05,0.12,0.81,-0.02,0.19,0.13,-0.01,-0.02
1998-07-01,-0.04,0.07,-0.3,0.14333333333333334,-0.26,-0.09,-0.02,-0.27,0.0,0.16,0.05,-0.52,0.0,0.01,0.06,0.08,0.09,-0.03,-0.02,-0.04,0.49,1.74,1.25,0.016666666666666666,-0.03,0.16,0.75,0.28,0.01,-0.32,0.0,0.06,0.04,0.12,0.22,-0.04,-0.17,-0.01,-0.04,0.03,0.1,0.11,0.77,0.05,-0.25,0.03,0.18,0.81,-0.01,0.32,0.1,0.0,0.07
1998-10-01,-0.01,-0.08,-0.29,0.12333333333333334,-0.26,-0.16,0.01,-0.27,0.0,0.08,0.0,-0.44,-0.04,0.09,0.12,0.12,0.14,-0.04,-0.12,-0.18,0.44,1.61,1.21,0.03,0.08,0.2,0.83,0.28,0.01,-0.3,0.1,0.02,0.08,-0.01,0.08,-0.01,-0.07,0.0,-0.02,0.03,0.17,0.18,0.65,0.07,-0.22,0.11,0.16,0.83,-0.03,0.36,0.1,-0.01,0.0
1999-01-01,-0.03,-0.14,-0.25,0.11666666666666665,-0.29,-0.15,0.03,-0.15,-0.01,0.08,0.01,-0.41,-0.17,0.15,0.08,0.08,0.07,-0.01,-0.16,-0.11,0.41,1.42,1.08,0.016666666666666666,0.12,0.21,0.58,0.25,0.01,-0.26,0.04,-0.04,0.07,0.0,0.18,-0.02,-0.02,-0.01,-0.06,0.02,0.4,0.13,0.48,0.08,-0.19,-0.02,0.17,0.59,0.03,0.33,0.09,0.08,0.02
1999-04-01,-0.03,0.07,-0.24,0.24,-0.17,0.6,0.02,-0.27,0.0,0.21,0.07,-0.34,-0.03,0.11,0.05,0.06,0.1,-0.03,0.62,0.66,0.81,2.66,1.67,0.02666666666666667,0.07,0.16,0.71,0.24,-0.01,-0.27,0.1,0.0,0.14,0.06,0.83,-0.03,-0.1,-0.04,0.02,0.01,0.08,0.07,1.44,0.09,-0.15,0.06,0.2,0.78,0.01,0.6,0.08,0.0,0.07
1999-07-01,-0.02,-0.04,-0.19,0.24,-0.16,0.48,0.0,-0.3,0.0,0.22,0.09,-0.31,0.05,-0.06,0.08,0.08,0.11,-0.03,0.46,0.46,0.76,2.38,1.51,0.013333333333333334,-0.08,0.19,0.84,0.29,0.01,-0.24,0.0,0.11,0.11,0.12,0.62,-0.03,-0.22,-0.05,-0.03,0.0,0.13,0.1,1.39,0.08,-0.21,-0.02,0.16,0.93,0.01,0.54,0.08,-0.07,0.03
1999-10-01,0.0,0.02,-0.13,0.2333333333333333,-0.2,0.37,0.03,-0.16,0.0,0.31,0.1,-0.23,0.17,0.25,0.12,0.12,0.09,-0.05,0.34,0.32,0.83,2.85,2.13,0.043333333333333335,0.25,0.22,1.12,0.32,0.02,-0.18,0.17,0.02,0.17,0.14,0.53,0.0,0.1,-0.05,-0.01,0.0,0.06,0.16,1.54,0.09,-0.17,0.15,0.15,1.22,-0.01,0.52,0.1,0.0,0.06
2000-01-01,-0.01,-0.07,-0.1,0.24,-0.16,0.78,0.02,-0.09,0.0,0.24,0.02,-0.17,0.19,0.47,0.11,0.12,0.12,0.03,0.76,0.74,0.83,3.54,2.48,0.03333333333333333,0.46,0.28,1.32,0.43,0.01,-0.14,0.11,-0.05,0.17,0.07,0.9,0.0,0.15,-0.03,0.0,0.01,0.09,0.11,2.08,0.11,-0.14,0.07,0.32,1.34,0.02,0.59,0.13,0.02,0.08
2000-04-01,-0.02,-0.07,-0.12,0.15333333333333335,-0.07,0.29,0.01,-0.11,-0.01,0.09,0.16,-0.22,-0.23,0.31,0.13,0.14,0.1,-0.01,0.22,0.44,0.57,2.3,1.66,0.04,0.29,0.17,0.62,0.38,0.01,-0.16,0.13,0.06,0.09,0.0,0.51,-0.01,0.12,-0.04,-0.05,0.02,0.22,0.04,1.21,0.07,-0.07,0.07,0.19,0.77,0.05,0.48,0.11,0.02,0.1
2000-07-01,0.0,-0.02,-0.1,0.18666666666666668,-0.21,0.38,0.01,-0.08,0.0,0.17,0.01,-0.18,0.07,0.34,0.19,0.19,0.12,-0.01,0.2,0.25,0.65,2.82,2.07,0.03,0.34,0.39,1.38,0.51,0.01,-0.11,0.14,-0.04,0.07,0.11,0.46,0.0,0.19,-0.01,-0.03,0.01,0.09,0.07,1.65,0.13,-0.13,0.05,0.15,1.39,0.08,0.48,0.13,0.0,0.08
2000-10-01,-0.03,-0.01,-0.11,0.19999999999999998,-0.08,0.26,0.01,-0.18,0.0,0.11,0.1,-0.19,0.06,0.18,0.08,0.08,0.09,-0.04,0.09,0.11,0.66,2.45,1.92,0.023333333333333334,0.15,0.25,1.25,0.54,0.0,-0.12,0.04,0.06,0.07,0.04,0.19,-0.03,0.02,-0.01,0.03,0.01,0.03,0.14,1.45,0.06,-0.14,0.04,0.16,1.34,-0.01,0.56,0.15,-0.07,0.1
2001-01-01,0.0,0.02,-0.33,0.18333333333333335,-0.15,0.28,0.01,-0.31,0.0,0.04,0.13,-0.48,0.21,0.06,0.19,0.19,0.12,-0.03,-0.18,0.0,0.58,3.02,2.07,0.01,0.06,0.35,1.78,0.83,0.01,-0.33,-0.05,0.04,0.09,-0.05,0.15,-0.01,-0.19,-0.01,0.03,0.03,0.13,0.24,1.91,0.07,-0.19,-0.03,0.25,1.91,-0.04,0.54,0.18,-0.02,-0.03
2001-04-01,-0.05,-0.15,-0.13,0.09666666666666668,-0.24,0.19,0.0,-0.15,0.0,0.13,0.05,-0.25,-0.02,0.24,0.13,0.13,0.12,-0.05,0.27,0.16,0.31,1.98,1.41,0.006666666666666667,0.19,0.29,1.02,0.42,0.01,-0.19,-0.04,-0.02,0.04,0.09,0.4,-0.05,0.0,-0.06,-0.01,0.01,0.15,0.16,1.23,0.09,-0.16,-0.05,0.24,1.07,0.01,0.18,0.19,0.02,-0.04
2001-07-01,-0.02,-0.1,-0.14,0.09000000000000001,-0.22,-0.64,0.0,-0.19,0.0,0.16,0.03,-0.26,-0.39,0.17,0.17,0.17,0.11,-0.03,-0.49,-0.45,0.28,0.87,1.08,0.006666666666666665,0.15,0.24,0.59,0.33,-0.01,-0.22,-0.14,-0.04,0.1,0.06,-0.23,-0.02,-0.13,-0.07,0.0,0.01,0.19,0.3,0.17,0.04,-0.15,-0.05,0.3,0.62,-0.09,0.13,0.2,0.03,-0.06
2001-10-01,0.0,-0.1,-0.14,0.08,-0.17,-1.09,0.01,-0.15,0.0,0.17,-0.05,-0.24,0.33,0.02,0.09,0.09,0.07,-0.05,-0.86,-0.98,0.27,0.7,1.45,0.01,0.02,0.25,1.21,0.29,0.01,-0.22,-0.01,0.05,0.05,0.12,-0.81,-0.01,-0.09,-0.09,-0.02,0.03,0.06,0.22,0.17,0.07,-0.14,-0.02,0.11,1.15,0.0,0.1,0.07,0.04,-0.02
2002-01-01,0.04,-0.04,-0.09,0.14,-0.3,-0.29,-0.01,-0.14,0.0,0.17,0.07,-0.18,0.08,-0.09,0.11,0.12,0.11,-0.06,-0.23,-0.38,0.47,1.21,1.2,0.013333333333333334,-0.06,0.12,0.93,0.38,-0.01,-0.15,-0.04,-0.06,0.13,0.04,-0.08,0.04,-0.07,-0.06,-0.01,0.01,0.07,0.19,0.61,0.06,-0.16,0.01,-0.03,0.99,-0.03,0.3,0.1,0.01,-0.01
2002-04-01,-0.32,-0.02,-0.06,0.21666666666666667,-0.17,0.64,0.02,-0.1,0.01,0.25,0.04,-0.11,0.23,0.05,0.02,0.02,0.07,-0.01,0.67,0.67,0.69,2.53,1.75,0.016666666666666666,-0.27,0.26,1.28,0.35,0.0,-0.11,-0.08,-0.02,0.15,0.1,0.84,-0.33,-0.06,-0.05,-0.02,0.0,0.18,0.17,1.99,0.1,-0.12,-0.01,0.11,1.32,-0.09,0.44,0.11,0.01,0.09
2002-07-01,-0.04,-0.05,-0.09,0.17666666666666667,-0.17,0.15,0.01,-0.25,-0.02,0.23,-0.06,-0.15,0.28,-0.06,-0.05,-0.01,0.09,-0.05,0.16,0.0,0.58,2.03,1.78,0.013333333333333334,-0.1,0.38,1.45,0.3,0.02,-0.28,0.02,0.04,0.15,0.07,0.17,-0.02,-0.14,-0.19,-0.03,0.02,0.07,0.36,1.39,0.06,-0.13,0.02,0.09,1.39,-0.01,0.35,0.09,-0.02,-0.02
2002-10-01,0.02,-0.07,-0.09,0.29,-0.22,0.34,0.0,-0.02,0.0,0.49,-0.06,-0.18,0.26,0.35,0.04,0.05,0.09,-0.05,0.28,-0.02,0.9,2.69,2.12,0.006666666666666667,0.37,0.34,1.32,0.38,0.01,-0.13,-0.07,-0.05,0.44,0.05,0.21,0.02,0.02,-0.05,-0.01,0.02,-0.05,0.13,1.24,0.08,-0.11,-0.03,0.33,1.26,-0.04,0.41,0.11,0.09,0.04
2003-01-01,-0.02,-0.1,-0.09,0.29333333333333333,-0.43,1.13,0.01,-0.19,0.0,0.29,-0.06,-0.16,0.25,0.27,0.11,0.11,0.05,-0.05,0.97,0.53,0.97,3.38,1.97,0.03333333333333333,0.25,0.33,1.54,0.49,0.01,-0.17,-0.08,-0.21,0.16,0.13,0.96,-0.02,-0.16,-0.07,-0.03,0.01,-0.02,0.27,2.0,0.09,-0.14,0.01,0.43,1.48,-0.1,0.68,0.11,-0.04,0.05
2003-04-01,-0.01,-0.1,-0.06,0.06666666666666667,-0.37,-0.73,0.0,-0.14,0.0,0.19,-0.15,-0.13,0.45,-0.05,0.13,0.13,0.07,-0.08,-0.93,-1.25,0.23,0.57,1.04,0.013333333333333334,-0.05,0.44,1.67,0.37,0.01,-0.16,0.05,-0.09,0.12,0.07,-0.89,-0.01,-0.08,-0.1,-0.02,0.02,0.01,0.22,0.26,0.05,-0.18,0.08,0.03,1.52,-0.03,0.04,0.0,-0.01,0.06
2003-07-01,-0.02,0.05,-0.05,0.17666666666666667,-0.35,0.5,0.0,-0.2,0.0,0.25,-0.02,-0.14,0.28,0.03,0.16,0.16,0.11,-0.08,0.49,0.44,0.56,2.44,1.64,0.013333333333333334,0.02,0.35,1.31,0.24,0.01,-0.31,0.02,-0.1,0.16,0.1,0.79,-0.01,-0.12,-0.26,0.0,0.01,0.08,0.17,1.72,0.07,-0.16,0.09,0.15,1.28,-0.08,0.31,0.07,0.09,0.08
2003-10-01,-0.02,-0.01,-0.05,0.17666666666666667,-0.32,0.01,0.0,-0.01,0.0,0.21,0.03,-0.09,0.27,0.46,0.24,0.23,0.12,-0.03,0.06,-0.07,0.58,2.4,2.06,0.016666666666666666,0.44,0.35,1.32,0.26,0.01,-0.19,-0.04,-0.16,0.16,0.05,0.25,-0.02,0.07,-0.13,-0.04,0.0,-0.04,0.23,1.29,0.05,-0.09,0.06,0.39,1.35,-0.11,0.37,0.13,0.17,0.04
2004-01-01,0.02,-0.04,-0.04,0.25333333333333335,-0.03,0.68,0.01,-0.06,0.0,0.25,-0.05,-0.07,0.11,0.62,0.09,0.09,0.12,0.02,0.61,0.75,0.84,3.56,2.72,0.02666666666666667,0.64,0.46,1.33,0.32,0.04,-0.1,-0.01,0.02,0.15,0.1,0.78,0.02,0.12,-0.06,0.02,-0.03,0.13,0.24,2.02,0.08,-0.09,0.02,0.5,1.28,-0.04,0.59,0.19,0.03,0.0
2004-04-01,0.0,0.05,-0.04,0.23666666666666666,-0.03,0.23,0.01,0.08,0.0,0.25,0.05,-0.07,0.2,0.73,0.22,0.22,0.17,-0.02,0.18,0.51,0.91,3.46,2.95,0.06333333333333334,0.73,0.31,1.19,0.39,0.04,-0.07,-0.02,0.05,0.14,0.11,0.54,0.0,0.27,-0.03,0.02,0.07,0.1,0.11,1.76,0.06,-0.08,0.01,0.46,1.24,-0.04,0.66,0.21,0.04,-0.04
2004-07-01,0.02,-0.03,-0.07,0.24666666666666667,-0.26,0.37,-0.01,-0.12,-0.02,0.26,-0.08,-0.12,0.16,0.59,0.09,0.09,0.15,-0.05,0.25,0.07,0.99,2.99,2.41,0.08333333333333333,0.61,0.24,1.28,0.41,0.03,-0.13,-0.02,-0.04,0.18,0.08,0.33,0.04,0.12,-0.06,-0.03,0.01,0.02,0.19,1.27,0.06,-0.15,0.0,0.48,1.2,-0.02,0.73,0.26,-0.05,0.06
2004-10-01,0.02,-0.01,-0.07,0.26666666666666666,0.05,0.85,0.0,0.05,0.0,0.27,0.04,-0.15,0.12,0.71,0.14,0.13,0.11,0.04,0.78,1.06,1.05,4.14,3.01,0.08666666666666667,0.73,0.23,1.12,0.28,0.04,-0.04,0.0,0.16,0.2,0.08,1.01,0.02,0.33,0.03,-0.01,0.04,0.11,0.24,2.21,0.07,-0.14,0.07,0.37,1.16,-0.08,0.78,0.29,0.0,0.06
2005-01-01,0.01,0.0,-0.09,0.22,-0.07,-0.06,0.01,0.12,0.0,0.36,0.11,-0.15,0.23,0.75,-0.04,-0.04,0.15,0.02,-0.11,-0.16,0.77,3.17,3.12,0.03333333333333333,0.76,0.42,1.54,0.35,0.06,-0.09,0.04,0.07,0.25,0.12,-0.09,0.01,0.44,0.0,-0.02,0.09,0.06,0.24,1.49,0.06,-0.14,0.03,0.31,1.65,0.0,0.4,0.29,0.06,0.09
2005-04-01,0.01,-0.04,-0.08,0.21333333333333335,-0.04,0.32,0.01,-0.02,0.0,0.25,0.0,-0.14,0.17,0.71,0.2,0.2,0.1,0.03,0.16,0.33,0.82,3.3,2.65,0.06333333333333334,0.71,0.28,1.29,0.4,0.05,-0.16,0.06,0.05,0.17,0.08,0.37,0.0,0.31,-0.07,-0.02,0.07,0.06,0.2,1.63,0.05,-0.1,0.07,0.4,1.3,-0.01,0.57,0.26,0.01,0.09
2005-07-01,-0.06,-0.06,-0.09,0.26666666666666666,-0.24,1.87,0.0,-0.2,0.0,0.29,0.0,-0.14,0.2,0.84,0.02,0.02,0.07,-0.06,1.67,1.52,1.01,4.75,2.72,0.06999999999999999,0.78,0.24,1.29,0.48,0.01,-0.18,0.01,-0.09,0.22,0.07,1.75,-0.06,0.18,-0.09,0.02,0.04,0.11,0.11,2.81,0.1,-0.1,0.04,0.66,1.29,-0.03,0.72,0.37,-0.07,0.09
2005-10-01,0.0,-0.02,-0.09,0.26,-0.07,0.44,0.0,-0.1,0.0,0.2,0.03,-0.14,0.22,0.85,0.11,0.11,0.15,-0.01,-0.05,0.1,0.94,4.0,3.3,0.049999999999999996,0.84,0.36,1.94,0.79,0.03,-0.18,0.06,0.07,0.15,0.05,0.17,0.0,0.37,-0.1,0.02,0.01,0.14,0.15,2.07,0.11,-0.15,0.09,0.48,1.97,-0.02,0.73,0.41,0.04,0.16
2006-01-01,-0.05,-0.03,-0.07,0.16,-0.13,-0.1,0.0,-0.05,0.0,0.24,0.05,-0.14,0.16,0.7,0.09,0.09,0.16,0.0,-0.12,-0.06,0.56,2.71,2.58,0.02666666666666667,0.66,0.23,1.37,0.43,0.04,-0.15,0.06,0.03,0.14,0.09,0.07,-0.05,0.29,-0.08,-0.01,0.04,0.13,0.24,1.36,0.06,-0.15,0.05,0.41,1.42,0.01,0.32,0.28,0.02,0.08
2006-04-01,-0.02,0.09,-0.09,0.22666666666666668,-0.14,0.44,0.01,-0.06,0.0,0.2,0.01,-0.16,0.41,0.47,0.01,0.0,0.15,-0.01,0.63,0.7,0.89,3.77,3.16,0.06999999999999999,0.45,0.31,1.56,0.31,0.04,-0.11,0.02,-0.03,0.15,0.05,0.84,-0.02,0.24,-0.02,0.03,0.0,0.12,0.22,2.27,0.09,-0.14,-0.02,0.23,1.57,0.03,0.69,0.28,0.01,0.08
2006-07-01,0.02,-0.03,-0.08,0.17333333333333334,-0.14,0.51,0.01,0.08,-0.01,0.2,0.01,-0.12,0.05,0.39,0.12,0.13,0.11,0.0,0.5,0.53,0.66,3.05,2.3,0.049999999999999996,0.41,0.33,1.32,0.49,0.07,-0.06,0.01,-0.02,0.15,0.05,0.67,0.03,0.3,0.02,0.02,0.06,0.07,0.22,1.86,0.08,-0.14,0.0,0.09,1.33,0.0,0.46,0.22,0.02,0.04
2006-10-01,-0.02,-0.01,-0.06,0.13333333333333333,-0.2,-1.47,0.01,0.05,-0.01,0.14,-0.02,-0.09,0.22,0.54,0.08,0.09,0.12,0.0,-1.43,-1.54,0.61,0.81,2.1,0.07333333333333333,0.53,0.23,1.14,0.37,0.03,-0.05,0.03,-0.05,0.09,0.04,-1.33,-0.01,0.39,0.01,0.02,0.06,0.01,0.17,-0.42,0.04,-0.18,0.04,0.16,1.12,-0.02,0.47,0.31,0.02,-0.01
2007-01-01,0.0,0.0,-0.05,0.2833333333333334,-0.16,0.54,0.02,0.01,0.0,0.23,0.07,-0.09,0.11,0.36,0.25,0.26,0.17,-0.02,0.41,0.63,1.1,3.92,3.04,0.08666666666666667,0.37,0.62,1.66,0.5,0.05,-0.08,0.09,-0.02,0.13,0.1,0.79,0.01,0.26,-0.03,0.04,0.0,0.12,0.13,2.36,0.08,-0.17,0.09,0.11,1.73,-0.02,0.87,0.15,0.04,0.04
2007-04-01,-0.01,-0.07,-0.07,0.19666666666666668,-0.15,0.97,0.0,-0.02,0.01,0.22,0.0,-0.11,0.17,0.04,0.27,0.27,0.17,-0.01,0.9,0.97,0.71,3.04,1.69,0.03666666666666667,0.03,0.2,1.22,0.34,0.04,-0.11,0.05,0.01,0.13,0.09,1.12,-0.02,0.1,-0.04,-0.01,0.02,0.02,0.22,2.19,0.09,-0.14,0.08,-0.05,1.22,-0.02,0.5,0.06,0.03,0.03
2007-07-01,0.05,-0.08,-0.07,0.18666666666666665,-0.22,0.16,-0.02,-0.18,0.02,0.19,0.07,-0.13,0.21,-0.02,0.24,0.22,0.19,-0.05,0.17,0.19,0.69,2.3,1.77,0.043333333333333335,0.02,0.25,1.2,0.26,0.03,-0.24,0.03,0.01,0.16,0.03,0.41,0.03,-0.03,-0.17,0.01,0.03,0.1,0.18,1.46,0.02,-0.19,0.07,0.0,1.27,-0.02,0.5,0.12,0.01,0.09
2007-10-01,-0.03,0.04,-0.05,0.25333333333333335,-0.13,0.91,0.01,-0.21,-0.06,0.23,-0.09,-0.11,0.25,-0.01,0.16,0.21,0.12,-0.05,0.83,1.1,0.89,3.61,2.43,0.043333333333333335,-0.04,0.42,1.65,0.42,0.04,-0.26,0.01,0.01,0.19,0.04,1.23,0.03,-0.03,-0.21,0.02,0.03,0.15,0.21,2.65,0.11,-0.12,0.02,0.01,1.55,-0.01,0.66,0.17,-0.03,0.11
2008-01-01,-0.05,-0.02,-0.08,0.2866666666666667,-0.08,0.65,0.0,-0.1,-0.01,0.25,0.05,-0.12,-0.04,0.14,0.23,0.26,0.17,0.02,0.61,0.91,0.99,3.35,2.36,0.04666666666666667,0.1,0.23,1.18,0.38,0.05,-0.1,0.11,-0.07,0.15,0.1,1.0,-0.04,0.21,-0.02,0.05,-0.02,0.15,0.25,2.14,0.09,-0.08,0.09,-0.06,1.23,0.02,0.75,0.2,-0.04,0.1
2008-04-01,0.03,-0.04,-0.04,0.2833333333333333,-0.19,1.25,0.0,-0.08,0.0,0.31,0.04,-0.08,-0.17,0.1,0.4,0.4,0.11,-0.04,0.82,1.09,0.95,3.69,1.95,0.036666666666666674,0.13,0.22,1.39,0.63,0.09,-0.1,0.08,-0.09,0.2,0.1,1.28,0.03,0.15,-0.06,0.05,-0.09,0.11,0.35,2.53,0.08,-0.12,0.05,-0.06,1.44,0.03,0.65,0.15,0.03,0.17
2008-07-01,-0.03,0.05,-0.05,0.2333333333333333,-0.09,1.18,0.01,0.22,0.0,0.23,0.05,-0.09,-0.11,0.42,0.44,0.44,0.19,0.04,0.93,1.44,0.86,4.07,2.36,0.05333333333333334,0.39,0.23,1.24,0.51,0.09,-0.08,0.06,-0.07,0.18,0.05,1.54,-0.03,0.54,-0.03,0.01,0.13,0.11,0.2,2.73,0.1,-0.08,0.05,-0.12,1.28,0.01,0.63,0.26,0.07,0.12
2008-10-01,0.57,-0.07,-0.04,-0.30333333333333334,-0.2,-3.66,0.0,0.54,0.0,-0.13,-0.1,-0.09,-0.8,0.6,0.26,0.22,0.14,0.0,-4.02,-3.94,-0.72,-3.71,-0.39,0.060000000000000005,1.16,0.24,-0.2,0.04,0.0,-0.08,-0.06,-0.1,-0.16,0.03,-3.74,0.57,0.77,-0.03,-0.01,0.58,0.12,0.14,-4.24,-0.03,-0.09,-0.04,-0.17,-0.3,-0.02,-0.59,0.28,0.03,0.07
2009-01-01,0.06,0.06,-0.04,-0.3133333333333333,-0.15,-1.7,0.0,-0.03,0.01,-0.26,-0.13,-0.09,-0.85,-0.42,-0.08,-0.08,0.08,0.02,-1.62,-1.54,-0.9,-3.08,-1.39,0.01,-0.36,0.34,-0.24,0.1,-0.01,-0.14,-0.11,-0.02,-0.24,-0.02,-1.39,0.05,-0.33,-0.1,-0.01,0.03,0.24,0.07,-1.91,0.02,-0.14,-0.08,-0.08,-0.37,-0.03,-0.64,-0.19,0.09,0.0
2009-04-01,-0.02,0.06,-0.05,0.07333333333333333,-0.08,0.28,-0.02,-0.1,0.0,0.01,-0.05,-0.1,-0.13,-0.77,-0.19,-0.2,0.02,0.01,0.58,0.88,0.11,0.37,0.18,-0.03666666666666667,-0.79,0.26,0.11,-0.05,-0.01,-0.13,-0.12,0.04,-0.06,0.08,0.96,-0.02,-0.63,-0.07,0.01,-0.02,0.53,0.07,0.95,-0.01,-0.14,-0.04,-0.14,0.06,-0.05,0.1,-0.42,0.05,-0.06
2009-07-01,-0.07,0.02,-0.04,0.15666666666666665,-0.22,1.11,0.02,-0.17,0.01,0.11,-0.02,-0.1,0.21,-0.59,-0.11,-0.12,0.0,-0.1,1.2,1.03,0.36,1.58,0.48,-0.03666666666666667,-0.67,0.28,0.77,-0.02,0.01,-0.05,-0.03,0.09,0.1,0.0,1.25,-0.08,-0.52,-0.01,-0.02,-0.1,0.16,0.12,1.79,0.1,-0.19,0.0,-0.07,0.76,-0.05,0.26,-0.32,-0.03,0.08
2009-10-01,-0.07,-0.01,-0.04,0.19999999999999998,0.1,0.61,-0.01,-0.25,-0.01,0.26,-0.08,-0.06,0.57,-0.14,-0.01,0.0,0.1,-0.07,0.54,0.7,0.62,2.54,1.88,0.006666666666666667,-0.21,0.42,1.45,0.04,0.01,-0.12,0.04,0.27,0.2,0.06,0.61,-0.06,-0.21,-0.08,0.03,-0.01,0.08,0.21,2.07,0.01,-0.13,0.13,0.08,1.36,-0.09,0.36,0.0,-0.13,0.1
2010-01-01,-0.03,0.0,-0.01,0.21999999999999997,-0.14,0.16,-0.01,-0.31,0.01,0.22,0.0,-0.03,0.47,-0.29,0.09,0.09,0.03,-0.06,0.13,0.14,0.72,1.51,1.24,0.02,-0.32,0.26,0.94,0.01,0.01,-0.1,-0.05,0.09,0.11,0.11,0.28,-0.03,-0.3,-0.09,-0.05,-0.1,0.06,0.14,1.08,-0.02,-0.12,0.04,0.01,0.94,-0.07,0.5,0.06,-0.12,0.04
