Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Residual,Services,Structures
1964-01-01,20471.0,,,,4143842.0,798920.0,4135553.0,,,4035009.0,,,101640.0,-174064.5,2768311.0,887690.0
1964-04-01,19642.0,,,,4190561.0,810673.0,4180592.0,,,4078072.0,,,103521.0,-171307.5,2800086.0,882838.0
1964-07-01,23536.0,,,,4251183.0,830596.0,4245918.0,,,4141641.0,,,105276.0,-163846.0,2828336.0,885877.0
1964-10-01,22509.0,,,,4263612.0,830493.0,4259046.0,,,4152784.0,,,107070.0,-165892.0,2852738.0,880522.0
1965-01-01,51575.0,,,,4330608.0,865968.0,4362111.0,,,4253700.0,,,109289.0,-147429.5,2877257.0,893674.0
1965-04-01,37157.0,,,,4404176.0,868443.0,4417225.0,,,4306239.0,,,111746.0,-162889.0,2924466.0,925987.0
1965-07-01,41846.0,,,,4495873.0,890635.0,4515427.0,,,4401677.0,,,114495.0,-161684.0,2982485.0,943383.0
1965-10-01,33654.0,,,,4612652.0,918919.0,4619458.0,,,4502293.0,,,117846.0,-157417.0,3035635.0,952891.0
1966-01-01,58962.0,,,,4689988.0,958422.0,4731888.0,,,4611284.0,,,121241.0,-136193.5,3055451.0,973340.0
1966-04-01,56666.0,,,,4711405.0,955229.0,4748046.0,,,4624007.0,,,124409.0,-141735.0,3122904.0,933357.0
1966-07-01,50369.0,,,,4759098.0,964683.0,4788254.0,,,4661274.0,,,127200.0,-140748.5,3156008.0,927847.0
1966-10-01,69319.0,,,,4773209.0,980594.0,4827537.0,,,4698239.0,,,129429.0,-125836.0,3194052.0,889570.0
1967-01-01,64874.0,,,,4822883.0,976229.0,4870299.0,,,4739165.0,,,131225.0,-142247.0,3270160.0,890945.0
1967-04-01,28499.0,,,,4874106.0,967394.0,4873287.0,,,4740582.0,,,132705.0,-160316.0,3287646.0,909560.0
1967-07-01,38402.0,,,,4906353.0,972197.0,4919392.0,,,4785111.0,,,134266.0,-165122.0,3327023.0,925052.0
1967-10-01,37360.0,,,,4949088.0,971158.0,4956477.0,,,4820626.0,,,135810.0,-179354.5,3363661.0,950396.0
